frameNo,left,top,w,h,conf,lat,long,alt
2620,2265.0,561.0,66.0,39.0,0.0,23.055988,72.506014,132.687
2621,2263.0,562.0,63.0,38.0,0.0,23.055988,72.506014,132.687
2622,2262.0,563.0,63.0,37.0,0.0,23.055988,72.506014,132.687
2623,2263.0,563.0,63.0,37.0,0.0,23.055989,72.506015,132.68
2624,2262.0,562.0,63.0,37.0,0.0,23.055989,72.506015,132.68
2625,2263.0,561.0,63.0,38.0,0.0,23.055989,72.506015,132.68
2626,2262.0,561.0,63.0,38.0,0.0,23.055989,72.506015,132.68
2627,2263.0,560.0,63.0,38.0,0.0,23.055989,72.506015,132.68
2628,2262.7083333333335,559.75,62.916666666666664,38.125,0.0,23.055988958333334,72.506015,132.6786666666667
2629,2262.4166666666665,559.5,62.833333333333336,38.25,0.0,23.055988916666667,72.506015,132.67733333333334
2630,2262.125,559.25,62.75,38.375,0.0,23.055988875,72.506015,132.67600000000002
2631,2261.8333333333335,559.0,62.666666666666664,38.5,0.0,23.055988833333334,72.506015,132.67466666666667
2632,2261.5416666666665,558.75,62.583333333333336,38.625,0.0,23.055988791666667,72.506015,132.67333333333335
2633,2261.25,558.5,62.5,38.75,0.0,23.05598875,72.506015,132.672
2634,2260.9583333333335,558.25,62.416666666666664,38.875,0.0,23.055988708333334,72.506015,132.67066666666668
2635,2260.6666666666665,558.0,62.333333333333336,39.0,0.0,23.055988666666668,72.506015,132.66933333333333
2636,2260.375,557.75,62.25,39.125,0.0,23.055988625,72.506015,132.668
2637,2260.0833333333335,557.5,62.166666666666664,39.25,0.0,23.055988583333335,72.506015,132.66666666666666
2638,2259.7916666666665,557.25,62.083333333333336,39.375,0.0,23.055988541666668,72.506015,132.66533333333334
2639,2259.5,557.0,62.0,39.5,0.0,23.055988499999998,72.506015,132.664
2640,2259.2083333333335,556.75,61.916666666666664,39.625,0.0,23.05598845833333,72.506015,132.66266666666667
2641,2258.9166666666665,556.5,61.833333333333336,39.75,0.0,23.055988416666665,72.506015,132.66133333333335
2642,2258.625,556.25,61.75,39.875,0.0,23.055988375,72.506015,132.66
2643,2258.3333333333335,556.0,61.666666666666664,40.0,0.0,23.05598833333333,72.506015,132.65866666666668
2644,2258.0416666666665,555.75,61.583333333333336,40.125,0.0,23.055988291666665,72.506015,132.65733333333333
2645,2257.75,555.5,61.5,40.25,0.0,23.05598825,72.506015,132.656
2646,2257.4583333333335,555.25,61.416666666666664,40.375,0.0,23.055988208333332,72.506015,132.65466666666666
2647,2257.1666666666665,555.0,61.333333333333336,40.5,0.0,23.055988166666666,72.506015,132.65333333333334
2648,2256.875,554.75,61.25,40.625,0.0,23.055988125,72.506015,132.652
2649,2256.5833333333335,554.5,61.166666666666664,40.75,0.0,23.055988083333332,72.506015,132.65066666666667
2650,2256.2916666666665,554.25,61.083333333333336,40.875,0.0,23.055988041666666,72.506015,132.64933333333332
