frameNo,left,top,w,h,conf,lat,long,alt
18,2194,385,64,44,0,23,73,133
19,2194,384,65,46,0,23,73,133
20,2194,384,65,46,0,23,73,133
21,2195,385,64,45,0,23,73,133
22,2196,385,63,44,0,23,73,133
23,2196,386,62,44,0,23,73,133
24,2197,386,62,43,0,23,73,133
25,2198,387,61,42,0,23,73,133
26,2198,388,60,42,0,23,73,133
27,2199,388,59,41,0,23,73,133
28,2200,389,58,40,0,23,73,133
29,2201,390,56,39,0,23,73,133
30,2202,390,56,39,0,23,73,133
31,2202,390,56,39,0,23,73,133
32,2202,390,55,38,0,23,73,133
33,2202,390,55,38,0,23,73,133
34,2202,390,56,38,0,23,73,133
35,2202,390,56,38,0,23,73,133
36,2201,390,56,38,0,23,73,133
37,2201,390,57,38,0,23,73,133
38,2201,390,57,38,0,23,73,133
39,2202,391,56,37,0,23,73,133
40,2202,391,56,38,0,23,73,133
41,2202,390,56,38,0,23,73,133
42,2203,391,56,37,0,23,73,133
43,2203,390,56,38,0,23,73,133
44,2203,391,56,37,0,23,73,133
45,2203,390,56,38,0,23,73,133
46,2204,391,56,37,0,23,73,133
47,2205,391,55,37,0,23,73,133
48,2208,394,57,38,0,23,73,133
49,2206,391,56,38,0,23,73,133
50,2209,394,58,38,0,23,73,133
51,2209,394,58,38,0,23,73,133
52,2210,395,59,38,0,23,73,133
53,2210,395,59,38,0,23,73,133
54,2210,396,60,38,0,23,73,133
55,2207,393,59,38,0,23,73,133
56,2210,395,59,38,0,23,73,133
57,2207,391,58,38,0,23,73,133
58,2209,393,58,39,0,23,73,133
59,2210,395,59,38,0,23,73,133
60,2209,393,60,39,0,23,73,133
61,2208,393,61,40,0,23,73,133
62,2209,393,60,39,0,23,73,133
63,2209,394,61,39,0,23,73,133
64,2209,393,62,40,0,23,73,133
65,2209,394,62,40,0,23,73,133
66,2209,394,62,40,0,23,73,133
67,2207,391,61,39,0,23,73,133
68,2206,390,62,39,0,23,73,133
69,2206,390,61,39,0,23,73,133
70,2206,389,60,39,0,23,73,133
71,2206,390,60,38,0,23,73,133
72,2206,389,60,39,0,23,73,133
73,2206,390,60,39,0,23,73,133
74,2206,390,59,39,0,23,73,133
75,2206,390,60,39,0,23,73,133
76,2206,390,60,39,0,23,73,133
77,2205,389,62,39,0,23,73,133
78,2208,392,62,40,0,23,73,133
79,2206,389,62,40,0,23,73,133
80,2204,388,64,40,0,23,73,133
81,2204,387,64,41,0,23,73,133
82,2204,388,63,40,0,23,73,133
83,2204,387,64,41,0,23,73,133
84,2204,387,64,41,0,23,73,133
85,2204,387,64,41,0,23,73,133
86,2204,387,64,41,0,23,73,133
87,2204,387,64,41,0,23,73,133
88,2204,387,64,41,0,23,73,133
89,2204,387,64,41,0,23,73,133
90,2204,387,64,41,0,23,73,133
91,2204,387,64,41,0,23,73,133
92,2204,387,64,41,0,23,73,133
93,2204,387,63,41,0,23,73,133
94,2204,387,63,41,0,23,73,133
95,2204,387,63,41,0,23,73,133
96,2204,387,63,41,0,23,73,133
97,2204,387,63,41,0,23,73,133
98,2204,387,63,41,0,23,73,133
99,2204,387,63,41,0,23,73,133
