frameNo,left,top,w,h,conf,lat,long,alt
907,6,929,54,92,0,23,73,133
908,6,930,62,93,0,23,73,133
909,7,929,73,94,0,23,73,133
910,7,930,84,92,0,23,73,133
911,8,930,96,93,0,23,73,133
912,7,930,107,92,0,23,73,133
913,7,930,117,93,0,23,73,133
914,7,932,128,92,0,23,73,133
915,9,933,137,91,0,23,73,133
916,12,932,147,91,0,23,73,133
917,17,932,154,90,0,23,73,133
918,28,933,157,89,0,23,73,133
919,39,934,158,87,0,23,73,133
920,49,934,160,86,0,23,73,133
921,59,934,160,86,0,23,73,133
922,71,936,160,84,0,23,73,133
923,82,935,160,84,0,23,73,133
924,93,936,161,85,0,23,73,133
925,104,936,162,86,0,23,73,133
926,113,936,161,86,0,23,73,133
927,122,936,161,85,0,23,73,133
928,131,935,162,86,0,23,73,133
929,142,936,160,85,0,23,73,133
930,153,936,160,84,0,23,73,133
931,164,936,159,84,0,23,73,133
932,174,935,157,84,0,23,73,133
933,183,935,158,83,0,23,73,133
934,193,935,158,83,0,23,73,133
935,203,935,159,82,0,23,73,133
936,212,935,157,82,0,23,73,133
937,220,937,158,81,0,23,73,133
938,229,937,157,81,0,23,73,133
939,240,937,156,81,0,23,73,133
940,249,938,155,81,0,23,73,133
941,257,938,155,81,0,23,73,133
942,265,938,156,81,0,23,73,133
943,275,936,156,82,0,23,73,133
944,284,937,156,81,0,23,73,133
945,293,938,155,79,0,23,73,133
946,301,938,156,79,0,23,73,133
947,308,938,156,79,0,23,73,133
948,317,938,157,79,0,23,73,133
949,326,938,156,78,0,23,73,133
950,335,938,154,78,0,23,73,133
951,343,939,154,77,0,23,73,133
952,350,939,155,77,0,23,73,133
953,358,939,154,77,0,23,73,133
954,367,939,154,77,0,23,73,133
955,376,938,152,77,0,23,73,133
956,384,938,153,77,0,23,73,133
957,393,939,153,77,0,23,73,133
958,401,938,153,77,0,23,73,133
959,407,938,153,77,0,23,73,133
960,416,938,153,77,0,23,73,133
961,424,937,154,78,0,23,73,133
962,432,938,153,77,0,23,73,133
963,439,938,152,77,0,23,73,133
964,447,938,153,77,0,23,73,133
965,454,938,153,78,0,23,73,133
966,461,939,153,77,0,23,73,133
967,467,938,151,77,0,23,73,133
968,476,938,149,77,0,23,73,133
969,486,938,148,76,0,23,73,133
970,495,937,148,77,0,23,73,133
971,501,936,150,77,0,23,73,133
972,509,936,151,77,0,23,73,133
973,516,935,151,77,0,23,73,133
974,523,935,152,77,0,23,73,133
975,531,936,152,76,0,23,73,133
976,537,936,153,77,0,23,73,133
977,543,937,154,77,0,23,73,133
978,552,937,153,77,0,23,73,133
979,561,937,151,77,0,23,73,133
980,569,938,150,76,0,23,73,133
981,578,938,149,76,0,23,73,133
982,586,937,151,77,0,23,73,133
983,592,937,151,77,0,23,73,133
984,598,937,151,77,0,23,73,133
985,608,936,150,78,0,23,73,133
986,615,936,151,78,0,23,73,133
987,621,935,151,79,0,23,73,133
988,629,935,151,78,0,23,73,133
989,637,934,152,79,0,23,73,133
990,644,935,151,79,0,23,73,133
991,652,934,150,79,0,23,73,133
992,658,933,153,79,0,23,73,133
993,668,933,151,79,0,23,73,133
994,677,933,151,78,0,23,73,133
995,683,933,153,77,0,23,73,133
996,690,934,153,77,0,23,73,133
997,697,933,152,78,0,23,73,133
998,704,933,152,78,0,23,73,133
999,711,932,152,78,0,23,73,133
1000,717,932,152,78,0,23,73,133
1001,728,933,151,78,0,23,73,133
1002,734,933,152,78,0,23,73,133
1003,740,932,151,79,0,23,73,133
1004,748,932,151,78,0,23,73,133
1005,756,931,152,79,0,23,73,133
1006,765,930,151,79,0,23,73,133
1007,773,931,151,78,0,23,73,133
1008,780,932,152,77,0,23,73,133
1009,786,932,151,77,0,23,73,133
1010,793,931,152,78,0,23,73,133
1011,800,931,152,79,0,23,73,133
1012,808,930,151,80,0,23,73,133
1013,815,930,151,80,0,23,73,133
1014,824,931,151,79,0,23,73,133
1015,830,931,152,79,0,23,73,133
1016,836,932,152,78,0,23,73,133
1017,844,931,153,79,0,23,73,133
1018,852,931,152,80,0,23,73,133
1019,859,930,153,80,0,23,73,133
