frameNo,left,top,w,h,conf,lat,long,alt
1863,1779,4,76,89,0,23,73,132
1864,1781,4,77,96,0,23,73,132
1865,1783,9,77,101,0,23,73,132
1866,1787,14,76,103,0,23,73,132
1867,1790,22,75,102,0,23,73,132
1868,1792,31,75,104,0,23,73,132
1869,1795,38,74,106,0,23,73,132
1870,1798,44,74,109,0,23,73,132
1871,1801,53,73,108,0,23,73,132
1872,1804,61,72,108,0,23,73,132
1873,1807,70,72,108,0,23,73,132
1874,1810,79,71,107,0,23,73,132
1875,1812,88,70,106,0,23,73,132
1876,1815,96,69,106,0,23,73,132
1877,1818,105,68,106,0,23,73,132
1878,1821,114,68,105,0,23,73,132
1879,1824,122,67,104,0,23,73,132
1880,1827,131,66,104,0,23,73,132
1881,1829,138,66,105,0,23,73,132
1882,1830,147,66,104,0,23,73,132
1883,1832,154,66,102,0,23,73,132
1884,1834,163,65,103,0,23,73,132
1885,1836,171,66,104,0,23,73,132
1886,1838,178,67,103,0,23,73,132
1887,1839,184,66,102,0,23,73,132
1888,1841,191,67,104,0,23,73,132
1889,1844,200,67,106,0,23,73,132
1890,1846,207,68,105,0,23,73,132
1891,1848,214,68,106,0,23,73,132
1892,1850,220,67,104,0,23,73,132
1893,1851,227,67,102,0,23,73,132
1894,1853,233,67,102,0,23,73,132
1895,1855,243,67,103,0,23,73,132
1896,1856,250,68,104,0,23,73,132
1897,1856,257,70,103,0,23,73,132
1898,1858,262,71,103,0,23,73,132
1899,1862,271,71,105,0,23,73,132
1900,1865,275,71,106,0,23,73,132
1901,1867,276,72,109,0,23,73,132
1902,1869,278,73,111,0,23,73,132
1903,1871,284,71,112,0,23,73,132
1904,1872,292,72,110,0,23,73,132
1905,1872,298,74,109,0,23,73,132
1906,1874,306,74,107,0,23,73,132
1907,1876,313,74,107,0,23,73,132
1908,1878,319,75,107,0,23,73,132
1909,1880,324,75,108,0,23,73,132
1910,1882,330,76,108,0,23,73,132
1911,1884,336,76,108,0,23,73,132
1912,1886,341,76,109,0,23,73,132
1913,1887,347,76,109,0,23,73,132
1914,1888,354,76,109,0,23,73,132
1915,1889,360,78,108,0,23,73,132
1916,1891,365,77,108,0,23,73,132
1917,1893,371,77,109,0,23,73,132
1918,1896,376,77,110,0,23,73,132
1919,1900,385,75,109,0,23,73,132
1920,1904,392,74,108,0,23,73,132
1921,1906,398,74,107,0,23,73,132
1922,1908,405,74,105,0,23,73,132
1923,1913,411,72,104,0,23,73,132
1924,1915,417,72,104,0,23,73,132
1925,1917,422,72,103,0,23,73,132
1926,1919,428,73,102,0,23,73,132
1927,1921,434,73,102,0,23,73,132
1928,1923,439,73,101,0,23,73,132
1929,1925,445,73,102,0,23,73,132
1930,1927,451,73,102,0,23,73,132
1931,1929,457,73,103,0,23,73,132
1932,1932,463,72,103,0,23,73,132
1933,1934,469,72,104,0,23,73,132
1934,1936,475,72,104,0,23,73,132
1935,1938,481,72,105,0,23,73,132
1936,1938,487,72,104,0,23,73,132
1937,1940,492,73,105,0,23,73,132
1938,1942,497,73,105,0,23,73,132
1939,1945,501,74,106,0,23,73,132
1940,1947,506,74,106,0,23,73,132
1941,1949,511,75,107,0,23,73,132
1942,1951,516,75,107,0,23,73,132
1943,1954,520,76,108,0,23,73,132
1944,1956,525,76,108,0,23,73,132
1945,1958,530,77,109,0,23,73,132
1946,1960,535,78,110,0,23,73,132
1947,1964,541,77,110,0,23,73,132
1948,1968,548,75,109,0,23,73,132
1949,1971,554,75,108,0,23,73,132
1950,1974,559,74,108,0,23,73,132
1951,1976,565,74,108,0,23,73,132
1952,1978,572,74,107,0,23,73,132
1953,1980,578,75,106,0,23,73,132
1954,1982,584,75,106,0,23,73,132
1955,1985,590,75,105,0,23,73,132
1956,1987,597,75,105,0,23,73,132
1957,1990,603,75,104,0,23,73,132
1958,1992,609,75,103,0,23,73,132
1959,1995,615,75,102,0,23,73,132
1960,1997,622,75,102,0,23,73,132
1961,2000,628,75,101,0,23,73,132
1962,2003,632,74,102,0,23,73,132
1963,2004,637,75,102,0,23,73,132
1964,2007,646,75,101,0,23,73,132
1965,2010,651,75,101,0,23,73,132
1966,2012,657,75,101,0,23,73,132
1967,2015,662,76,102,0,23,73,132
1968,2017,668,76,102,0,23,73,132
1969,2020,673,76,102,0,23,73,132
1970,2023,680,75,102,0,23,73,132
1971,2026,683,76,104,0,23,73,132
1972,2029,690,76,103,0,23,73,132
1973,2031,697,76,102,0,23,73,132
1974,2034,703,77,102,0,23,73,132
1975,2036,707,77,101,0,23,73,132
1976,2041,714,76,102,0,23,73,132
1977,2043,719,77,104,0,23,73,132
1978,2047,726,77,105,0,23,73,132
1979,2049,732,76,105,0,23,73,132
1980,2052,738,76,105,0,23,73,132
1981,2055,745,76,104,0,23,73,132
1982,2059,751,77,103,0,23,73,132
1983,2062,757,78,101,0,23,73,132
1984,2065,761,78,101,0,23,73,132
1985,2067,766,78,101,0,23,73,132
1986,2069,771,78,100,0,23,73,132
1987,2072,776,78,100,0,23,73,132
1988,2074,781,78,100,0,23,73,132
1989,2076,786,79,99,0,23,73,132
1990,2078,791,79,99,0,23,73,132
1991,2080,796,79,99,0,23,73,132
1992,2083,801,79,98,0,23,73,132
1993,2085,806,79,98,0,23,73,132
1994,2087,812,79,98,0,23,73,132
1995,2089,817,79,98,0,23,73,132
1996,2092,822,79,97,0,23,73,132
1997,2094,827,79,97,0,23,73,132
1998,2096,832,79,97,0,23,73,132
1999,2098,837,80,96,0,23,73,132
2000,2100,842,80,96,0,23,73,132
2001,2103,847,80,96,0,23,73,132
2002,2105,852,80,95,0,23,73,132
2003,2107,857,80,95,0,23,73,132
2004,2108,861,83,98,0,23,73,132
2005,2109,864,83,97,0,23,73,132
2006,2113,869,84,101,0,23,73,132
2007,2115,874,82,101,0,23,73,132
2008,2120,878,80,102,0,23,73,132
2009,2122,882,80,102,0,23,73,132
2010,2123,886,80,102,0,23,73,132
2011,2125,890,81,102,0,23,73,132
2012,2127,894,81,102,0,23,73,132
2013,2128,898,81,102,0,23,73,132
2014,2130,901,81,102,0,23,73,132
2015,2132,905,81,102,0,23,73,132
2016,2134,909,82,102,0,23,73,132
2017,2135,913,82,102,0,23,73,132
2018,2137,917,82,102,0,23,73,132
2019,2138,923,81,101,0,23,73,132
2020,2141,928,80,99,0,23,73,132
2021,2143,933,80,100,0,23,73,132
2022,2145,937,79,99,0,23,73,132
2023,2146,941,81,98,0,23,73,132
2024,2149,944,80,97,0,23,73,132
2025,2151,947,81,97,0,23,73,132
2026,2154,950,80,96,0,23,73,132
2027,2158,952,79,96,0,23,73,132
2028,2158,955,80,96,0,23,73,132
2029,2160,958,79,95,0,23,73,132
2030,2161,960,80,96,0,23,73,132
2031,2163,963,80,96,0,23,73,132
2032,2165,966,79,97,0,23,73,132
2033,2167,970,78,97,0,23,73,132
2034,2168,974,77,96,0,23,73,132
2035,2171,978,76,96,0,23,73,132
2036,2172,983,75,95,0,23,73,132
2037,2173,986,75,96,0,23,73,132
2038,2174,989,76,96,0,23,73,132
2039,2174,992,76,96,0,23,73,132
2040,2175,994,76,96,0,23,73,132
2041,2176,997,77,96,0,23,73,132
2042,2178,998,77,96,0,23,73,132
2043,2179,1000,77,96,0,23,73,132
2044,2180,1003,77,96,0,23,73,132
2045,2181,1005,78,96,0,23,73,132
2046,2182,1007,78,97,0,23,73,132
2047,2183,1009,78,97,0,23,73,132
2048,2184,1012,78,97,0,23,73,132
2049,2186,1014,78,97,0,23,73,132
2050,2187,1016,78,97,0,23,73,132
2051,2188,1019,79,97,0,23,73,132
2052,2189,1021,79,97,0,23,73,132
2053,2190,1023,79,97,0,23,73,132
2054,2191,1025,79,98,0,23,73,132
2055,2192,1028,79,98,0,23,73,132
2056,2193,1030,80,98,0,23,73,132
2057,2194,1032,80,98,0,23,73,132
2058,2195,1035,80,98,0,23,73,132
2059,2196,1037,80,98,0,23,73,132
2060,2197,1039,80,98,0,23,73,132
2061,2198,1041,80,98,0,23,73,132
2062,2200,1044,81,99,0,23,73,132
2063,2201,1046,81,99,0,23,73,132
2064,2202,1048,81,99,0,23,73,132
2065,2203,1050,81,99,0,23,73,132
2066,2204,1053,81,99,0,23,73,132
2067,2205,1055,81,99,0,23,73,132
2068,2206,1057,82,99,0,23,73,132
2069,2207,1060,82,99,0,23,73,132
2070,2208,1062,82,100,0,23,73,132
2071,2209,1064,82,100,0,23,73,132
2072,2210,1066,82,100,0,23,73,132
2073,2211,1069,83,100,0,23,73,132
2074,2212,1071,83,100,0,23,73,132
2075,2214,1073,83,100,0,23,73,132
2076,2215,1076,83,100,0,23,73,132
2077,2216,1078,83,100,0,23,73,132
2078,2217,1080,83,101,0,23,73,132
2079,2218,1082,84,101,0,23,73,132
2080,2219,1085,84,101,0,23,73,132
2081,2220,1087,84,101,0,23,73,132
2082,2220,1089,85,100,0,23,73,132
2083,2222,1090,85,101,0,23,73,132
2084,2224,1091,84,101,0,23,73,132
2085,2225,1092,84,102,0,23,73,132
2086,2226,1095,84,101,0,23,73,132
2087,2227,1098,85,100,0,23,73,132
2088,2228,1100,86,99,0,23,73,132
2089,2229,1103,86,98,0,23,73,132
2090,2211,1106,106,101,0,23,73,132
2091,2192,1108,126,104,0,23,73,132
2092,2174,1111,146,107,0,23,73,132
2093,2156,1114,166,110,0,23,73,132
2094,2137,1117,186,112,0,23,73,132
2095,2119,1120,206,115,0,23,73,132
2096,2100,1122,226,118,0,23,73,132
2097,2082,1125,246,121,0,23,73,132
2098,2083,1127,247,123,0,23,73,132
2099,2086,1130,246,121,0,23,73,132
2100,2090,1133,243,121,0,23,73,132
2101,2089,1133,243,120,0,23,73,132
2102,2091,1136,245,118,0,23,73,132
2103,2098,1139,239,117,0,23,73,132
2104,2106,1142,233,116,0,23,73,132
2105,2113,1146,227,116,0,23,73,132
2106,2121,1149,221,115,0,23,73,132
2107,2128,1152,214,114,0,23,73,132
2108,2135,1155,208,113,0,23,73,132
2109,2143,1158,202,112,0,23,73,132
2110,2150,1161,196,111,0,23,73,132
2111,2158,1165,190,111,0,23,73,132
2112,2165,1168,184,110,0,23,73,132
2113,2172,1171,178,109,0,23,73,132
2114,2180,1174,172,108,0,23,73,132
2115,2187,1177,166,107,0,23,73,132
2116,2195,1181,159,107,0,23,73,132
2117,2202,1184,153,106,0,23,73,132
2118,2210,1187,147,105,0,23,73,132
2119,2217,1190,141,104,0,23,73,132
2120,2224,1193,135,103,0,23,73,132
2121,2232,1197,129,103,0,23,73,132
2122,2239,1200,123,102,0,23,73,132
2123,2247,1203,117,101,0,23,73,132
2124,2254,1206,111,100,0,23,73,132
2125,2261,1209,104,99,0,23,73,132
2126,2269,1212,98,98,0,23,73,132
2127,2276,1216,92,98,0,23,73,132
2128,2284,1219,86,97,0,23,73,132
2129,2291,1222,80,96,0,23,73,132
2130,2291,1226,82,96,0,23,73,132
2131,2293,1231,81,96,0,23,73,132
2132,2295,1234,81,97,0,23,73,132
2133,2296,1236,82,99,0,23,73,132
2134,2298,1238,81,100,0,23,73,132
2135,2299,1240,81,99,0,23,73,132
2136,2301,1244,81,100,0,23,73,132
2137,2302,1248,82,100,0,23,73,132
2138,2303,1252,82,100,0,23,73,132
2139,2304,1256,82,101,0,23,73,132
2140,2306,1259,81,102,0,23,73,132
2141,2307,1263,81,102,0,23,73,132
2142,2309,1268,81,101,0,23,73,132
2143,2311,1274,80,100,0,23,73,132
2144,2313,1280,80,100,0,23,73,132
2145,2315,1284,79,101,0,23,73,132
2146,2316,1288,79,101,0,23,73,132
2147,2317,1292,79,102,0,23,73,132
2148,2318,1296,80,102,0,23,73,132
2149,2319,1300,80,102,0,23,73,132
2150,2320,1304,80,103,0,23,73,132
2151,2321,1308,80,103,0,23,73,132
