frameNo,left,top,w,h,conf,lat,long,alt
1981,1802,1,67,81,0,23,73,132
1982,1802,2,72,89,0,23,73,132
1983,1805,3,72,94,0,23,73,132
1984,1807,5,73,102,0,23,73,132
1985,1808,12,75,106,0,23,73,132
1986,1811,19,74,107,0,23,73,132
1987,1813,26,74,109,0,23,73,132
1988,1816,35,74,110,0,23,73,132
1989,1818,44,74,111,0,23,73,132
1990,1820,52,73,112,0,23,73,132
1991,1823,61,73,113,0,23,73,132
1992,1825,69,73,114,0,23,73,132
1993,1828,78,72,114,0,23,73,132
1994,1830,86,71,114,0,23,73,132
1995,1832,94,71,113,0,23,73,132
1996,1834,102,71,112,0,23,73,132
1997,1836,110,71,111,0,23,73,132
1998,1838,118,70,110,0,23,73,132
1999,1841,127,70,109,0,23,73,132
2000,1843,135,70,108,0,23,73,132
2001,1845,143,70,107,0,23,73,132
2002,1847,151,70,106,0,23,73,132
2003,1849,159,70,105,0,23,73,132
2004,1851,167,70,104,0,23,73,132
2005,1853,174,69,103,0,23,73,132
2006,1855,182,69,102,0,23,73,132
2007,1858,190,69,102,0,23,73,132
2008,1860,198,69,101,0,23,73,132
2009,1862,206,69,100,0,23,73,132
2010,1864,213,68,99,0,23,73,132
2011,1866,221,68,98,0,23,73,132
2012,1868,229,68,97,0,23,73,132
2013,1870,237,68,98,0,23,73,132
2014,1872,242,69,101,0,23,73,132
2015,1872,250,70,102,0,23,73,132
2016,1873,258,71,106,0,23,73,132
2017,1875,263,70,109,0,23,73,132
2018,1877,268,70,111,0,23,73,132
2019,1879,273,70,110,0,23,73,132
2020,1880,276,69,111,0,23,73,132
2021,1881,280,70,111,0,23,73,132
2022,1882,287,70,110,0,23,73,132
2023,1884,294,70,109,0,23,73,132
2024,1885,300,70,108,0,23,73,132
2025,1886,307,70,107,0,23,73,132
2026,1889,315,70,105,0,23,73,132
2027,1890,321,70,105,0,23,73,132
2028,1891,325,70,106,0,23,73,132
2029,1892,330,70,108,0,23,73,132
2030,1894,339,70,106,0,23,73,132
2031,1896,346,70,104,0,23,73,132
2032,1897,352,70,106,0,23,73,132
2033,1898,358,69,105,0,23,73,132
2034,1898,363,71,105,0,23,73,132
2035,1900,369,70,105,0,23,73,132
2036,1902,376,70,106,0,23,73,132
2037,1904,381,69,106,0,23,73,132
2038,1905,387,69,107,0,23,73,132
2039,1907,393,69,106,0,23,73,132
2040,1909,398,69,106,0,23,73,132
2041,1911,404,69,105,0,23,73,132
2042,1913,410,69,104,0,23,73,132
2043,1915,417,69,103,0,23,73,132
2044,1918,422,70,102,0,23,73,132
2045,1919,429,71,105,0,23,73,132
2046,1918,434,73,104,0,23,73,132
2047,1920,440,72,104,0,23,73,132
2048,1923,447,71,104,0,23,73,132
2049,1925,451,71,105,0,23,73,132
2050,1926,457,71,105,0,23,73,132
2051,1928,462,71,106,0,23,73,132
2052,1930,468,71,106,0,23,73,132
2053,1931,474,71,106,0,23,73,132
2054,1931,479,73,107,0,23,73,132
2055,1931,485,75,107,0,23,73,132
2056,1934,490,74,106,0,23,73,132
2057,1935,495,75,106,0,23,73,132
2058,1935,500,75,105,0,23,73,132
2059,1937,505,75,105,0,23,73,132
2060,1939,511,74,105,0,23,73,132
2061,1941,515,73,105,0,23,73,132
2062,1943,518,72,107,0,23,73,132
2063,1944,523,73,107,0,23,73,132
2064,1946,530,72,107,0,23,73,132
2065,1946,537,72,107,0,23,73,132
2066,1948,542,73,107,0,23,73,132
2067,1950,547,72,106,0,23,73,132
2068,1952,552,72,104,0,23,73,132
2069,1953,558,73,104,0,23,73,132
2070,1954,564,74,104,0,23,73,132
2071,1955,569,74,103,0,23,73,132
2072,1956,575,75,103,0,23,73,132
2073,1957,580,76,104,0,23,73,132
2074,1960,586,76,105,0,23,73,132
2075,1962,591,75,105,0,23,73,132
2076,1964,596,74,105,0,23,73,132
2077,1967,600,74,104,0,23,73,132
2078,1970,605,73,104,0,23,73,132
2079,1972,610,72,104,0,23,73,132
2080,1974,616,71,104,0,23,73,132
2081,1975,623,71,105,0,23,73,132
2082,1976,629,72,105,0,23,73,132
2083,1978,635,73,105,0,23,73,132
2084,1980,640,72,106,0,23,73,132
2085,1980,646,73,105,0,23,73,132
2086,1982,651,73,106,0,23,73,132
2087,1984,656,73,106,0,23,73,132
2088,1988,659,73,105,0,23,73,132
2089,1991,663,72,106,0,23,73,132
2090,1991,671,73,106,0,23,73,132
2091,1992,676,73,106,0,23,73,132
2092,1995,684,72,105,0,23,73,132
2093,1997,691,73,106,0,23,73,132
2094,1998,697,72,105,0,23,73,132
2095,2000,703,73,104,0,23,73,132
2096,2003,706,73,105,0,23,73,132
2097,2005,709,73,105,0,23,73,132
2098,2007,714,73,105,0,23,73,132
2099,2009,720,73,105,0,23,73,132
2100,2011,725,74,104,0,23,73,132
2101,2013,731,74,104,0,23,73,132
2102,2015,736,74,104,0,23,73,132
2103,2017,742,74,104,0,23,73,132
2104,2019,747,75,103,0,23,73,132
2105,2021,753,75,103,0,23,73,132
2106,2023,758,75,103,0,23,73,132
2107,2025,764,75,103,0,23,73,132
2108,2027,770,75,103,0,23,73,132
2109,2029,775,75,103,0,23,73,132
2110,2031,781,75,103,0,23,73,132
2111,2034,787,75,103,0,23,73,132
2112,2036,793,75,103,0,23,73,132
2113,2038,798,75,103,0,23,73,132
2114,2040,804,75,103,0,23,73,132
2115,2042,810,75,103,0,23,73,132
2116,2044,815,75,103,0,23,73,132
2117,2046,820,75,102,0,23,73,132
2118,2048,825,75,102,0,23,73,132
2119,2050,830,75,102,0,23,73,132
2120,2052,836,76,101,0,23,73,132
2121,2054,841,76,101,0,23,73,132
2122,2056,846,76,101,0,23,73,132
2123,2058,851,76,100,0,23,73,132
2124,2061,856,76,100,0,23,73,132
2125,2063,861,76,99,0,23,73,132
2126,2065,866,76,99,0,23,73,132
2127,2067,871,76,99,0,23,73,132
2128,2069,877,77,98,0,23,73,132
2129,2071,882,77,98,0,23,73,132
2130,2073,887,77,98,0,23,73,132
2131,2075,892,77,97,0,23,73,132
2132,2077,897,77,97,0,23,73,132
2133,2078,903,77,97,0,23,73,132
2134,2079,906,77,97,0,23,73,132
2135,2081,910,76,97,0,23,73,132
2136,2082,913,76,97,0,23,73,132
2137,2083,916,76,98,0,23,73,132
2138,2085,920,76,98,0,23,73,132
2139,2086,923,75,98,0,23,73,132
2140,2087,926,75,98,0,23,73,132
2141,2089,930,75,98,0,23,73,132
2142,2090,933,75,98,0,23,73,132
2143,2091,936,74,98,0,23,73,132
2144,2093,940,74,99,0,23,73,132
2145,2094,943,74,99,0,23,73,132
2146,2095,946,74,99,0,23,73,132
2147,2097,950,73,99,0,23,73,132
2148,2098,953,73,99,0,23,73,132
2149,2099,956,73,99,0,23,73,132
2150,2100,960,72,100,0,23,73,132
2151,2102,963,72,100,0,23,73,132
2152,2103,966,72,100,0,23,73,132
2153,2104,969,72,100,0,23,73,132
2154,2106,973,71,100,0,23,73,132
2155,2107,976,71,100,0,23,73,132
2156,2108,979,71,100,0,23,73,132
2157,2110,983,71,101,0,23,73,132
2158,2111,986,70,101,0,23,73,132
2159,2112,989,70,101,0,23,73,132
2160,2114,993,70,101,0,23,73,132
2161,2115,996,70,101,0,23,73,132
2162,2116,999,69,101,0,23,73,132
2163,2118,1003,69,101,0,23,73,132
2164,2119,1006,69,102,0,23,73,132
2165,2120,1009,69,102,0,23,73,132
2166,2122,1013,68,102,0,23,73,132
2167,2123,1016,68,102,0,23,73,132
2168,2122,1020,67,101,0,23,73,132
2169,2122,1021,67,101,0,23,73,132
2170,2123,1023,67,102,0,23,73,132
2171,2123,1024,67,102,0,23,73,132
2172,2123,1026,67,102,0,23,73,132
2173,2124,1027,67,103,0,23,73,132
2174,2124,1029,67,103,0,23,73,132
2175,2124,1030,67,104,0,23,73,132
2176,2125,1032,67,104,0,23,73,132
2177,2125,1033,67,104,0,23,73,132
2178,2125,1035,67,105,0,23,73,132
2179,2126,1036,67,105,0,23,73,132
2180,2126,1038,67,105,0,23,73,132
2181,2126,1039,67,106,0,23,73,132
