frameNo,left,top,w,h,conf,lat,long,alt
1,1364,560,50,61,0,23,73,133
2,1364,562,48,62,0,23,73,133
3,1365,563,46,62,0,23,73,133
4,1362,564,48,64,0,23,73,133
5,1359,566,51,65,0,23,73,133
6,1357,569,52,64,0,23,73,133
7,1353,572,55,65,0,23,73,133
8,1349,573,57,65,0,23,73,133
9,1346,575,60,65,0,23,73,133
10,1344,576,61,63,0,23,73,133
11,1342,578,61,64,0,23,73,133
12,1341,579,61,65,0,23,73,133
13,1341,580,62,65,0,23,73,133
14,1340,581,62,66,0,23,73,133
15,1338,583,62,66,0,23,73,133
16,1338,585,61,66,0,23,73,133
17,1335,587,61,66,0,23,73,133
18,1333,589,62,66,0,23,73,133
19,1328,590,64,66,0,23,73,133
20,1324,594,65,64,0,23,73,133
21,1321,594,67,65,0,23,73,133
22,1319,595,67,65,0,23,73,133
23,1317,596,67,64,0,23,73,133
24,1315,597,67,64,0,23,73,133
25,1313,599,68,64,0,23,73,133
26,1311,600,68,63,0,23,73,133
27,1309,601,68,63,0,23,73,133
28,1307,602,68,63,0,23,73,133
29,1305,603,68,62,0,23,73,133
30,1303,604,68,62,0,23,73,133
31,1301,606,68,62,0,23,73,133
32,1299,607,69,62,0,23,73,133
33,1297,608,69,61,0,23,73,133
34,1295,609,69,61,0,23,73,133
35,1293,610,69,61,0,23,73,133
36,1292,611,69,60,0,23,73,133
37,1290,613,69,60,0,23,73,133
38,1288,614,70,60,0,23,73,133
39,1286,615,70,59,0,23,73,133
40,1284,616,70,59,0,23,73,133
41,1282,617,70,59,0,23,73,133
42,1280,618,70,58,0,23,73,133
43,1278,620,70,58,0,23,73,133
44,1276,621,70,58,0,23,73,133
45,1274,622,71,57,0,23,73,133
46,1272,623,71,57,0,23,73,133
47,1270,624,71,57,0,23,73,133
48,1268,625,71,56,0,23,73,133
49,1266,626,71,56,0,23,73,133
50,1264,628,71,56,0,23,73,133
51,1262,629,71,55,0,23,73,133
52,1260,630,72,55,0,23,73,133
53,1258,631,72,55,0,23,73,133
54,1256,632,72,54,0,23,73,133
55,1254,633,72,54,0,23,73,133
56,1252,635,72,54,0,23,73,133
57,1250,636,72,54,0,23,73,133
58,1248,637,72,53,0,23,73,133
59,1246,638,73,53,0,23,73,133
60,1244,639,73,53,0,23,73,133
61,1242,640,73,52,0,23,73,133
62,1240,642,73,52,0,23,73,133
63,1238,643,73,52,0,23,73,133
64,1236,644,73,51,0,23,73,133
65,1234,645,74,51,0,23,73,133
66,1233,646,74,51,0,23,73,133
67,1231,647,74,50,0,23,73,133
68,1229,648,74,50,0,23,73,133
69,1227,650,74,50,0,23,73,133
70,1225,651,74,49,0,23,73,133
71,1223,652,74,49,0,23,73,133
72,1221,653,75,49,0,23,73,133
73,1219,654,75,48,0,23,73,133
74,1217,655,75,48,0,23,73,133
75,1215,657,75,48,0,23,73,133
76,1213,658,75,48,0,23,73,133
77,1211,659,75,47,0,23,73,133
78,1209,660,75,47,0,23,73,133
79,1207,661,76,47,0,23,73,133
80,1205,662,76,46,0,23,73,133
81,1203,664,76,46,0,23,73,133
82,1201,665,76,46,0,23,73,133
83,1199,666,76,45,0,23,73,133
84,1197,667,76,45,0,23,73,133
85,1195,668,76,45,0,23,73,133
86,1193,669,77,44,0,23,73,133
87,1191,670,77,44,0,23,73,133
88,1189,672,77,44,0,23,73,133
89,1187,673,77,43,0,23,73,133
90,1185,674,77,43,0,23,73,133
91,1183,675,77,43,0,23,73,133
92,1181,676,77,42,0,23,73,133
93,1179,677,78,42,0,23,73,133
94,1177,679,78,42,0,23,73,133
95,1176,680,78,41,0,23,73,133
96,1174,681,78,41,0,23,73,133
97,1172,682,78,41,0,23,73,133
98,1170,683,78,40,0,23,73,133
99,1168,684,79,40,0,23,73,133
100,1166,686,79,40,0,23,73,133
101,1164,687,79,40,0,23,73,133
102,1162,688,79,39,0,23,73,133
103,1160,689,79,39,0,23,73,133
104,1158,690,79,39,0,23,73,133
105,1156,691,79,38,0,23,73,133
106,1154,693,80,38,0,23,73,133
107,1152,694,80,38,0,23,73,133
108,1150,695,80,37,0,23,73,133
109,1148,696,80,37,0,23,73,133
110,1146,697,81,37,0,23,73,133
111,1146,697,79,37,0,23,73,133
112,1143,698,80,37,0,23,73,133
113,1143,698,78,37,0,23,73,133
114,1141,698,80,36,0,23,73,133
115,1140,700,79,35,0,23,73,133
116,1137,700,80,35,0,23,73,133
117,1139,701,77,33,0,23,73,133
