frameNo,left,top,w,h,conf,lat,long,alt
1,2520,570,67,45,0,23,73,133
2,2520,570,65,45,0,23,73,133
3,2520,570,65,45,0,23,73,133
4,2520,570,65,46,0,23,73,133
5,2520,570,64,46,0,23,73,133
6,2521,569,65,46,0,23,73,133
7,2520,569,65,46,0,23,73,133
8,2521,570,64,46,0,23,73,133
9,2521,571,65,45,0,23,73,133
10,2520,571,65,44,0,23,73,133
11,2520,571,65,44,0,23,73,133
12,2518,572,65,44,0,23,73,133
13,2517,573,64,43,0,23,73,133
14,2517,574,63,42,0,23,73,133
15,2517,575,62,41,0,23,73,133
16,2516,574,63,42,0,23,73,133
17,2517,574,62,41,0,23,73,133
18,2516,574,63,41,0,23,73,133
19,2516,574,62,41,0,23,73,133
20,2517,574,63,41,0,23,73,133
21,2518,573,63,42,0,23,73,133
22,2518,573,64,41,0,23,73,133
23,2519,572,63,42,0,23,73,133
24,2519,571,64,42,0,23,73,133
25,2519,571,65,42,0,23,73,133
26,2519,570,66,43,0,23,73,133
27,2519,569,66,44,0,23,73,133
28,2519,569,67,44,0,23,73,133
29,2519,568,67,45,0,23,73,133
30,2519,569,67,44,0,23,73,133
31,2519,569,66,45,0,23,73,133
32,2519,570,66,44,0,23,73,133
33,2519,569,65,45,0,23,73,133
34,2519,569,65,45,0,23,73,133
35,2519,569,65,45,0,23,73,133
36,2519,569,66,45,0,23,73,133
37,2519,569,66,45,0,23,73,133
38,2519,569,66,45,0,23,73,133
39,2519,568,66,46,0,23,73,133
40,2519,569,67,45,0,23,73,133
41,2519,569,67,45,0,23,73,133
42,2519,569,66,45,0,23,73,133
43,2519,569,67,45,0,23,73,133
44,2519,569,67,45,0,23,73,133
45,2519,569,66,45,0,23,73,133
46,2519,570,66,44,0,23,73,133
47,2519,570,67,44,0,23,73,133
48,2519,569,67,45,0,23,73,133
49,2519,569,67,45,0,23,73,133
50,2519,568,67,45,0,23,73,133
51,2519,568,67,46,0,23,73,133
52,2519,567,67,47,0,23,73,133
53,2519,567,68,46,0,23,73,133
54,2519,567,69,47,0,23,73,133
55,2520,567,68,47,0,23,73,133
56,2520,567,69,47,0,23,73,133
57,2520,566,70,48,0,23,73,133
58,2520,566,70,48,0,23,73,133
59,2520,566,69,48,0,23,73,133
60,2520,566,69,48,0,23,73,133
61,2520,566,69,48,0,23,73,133
62,2520,565,69,49,0,23,73,133
63,2520,564,69,50,0,23,73,133
64,2520,564,69,50,0,23,73,133
65,2520,564,69,50,0,23,73,133
66,2520,564,69,50,0,23,73,133
67,2521,564,68,50,0,23,73,133
68,2521,564,68,50,0,23,73,133
69,2521,563,68,51,0,23,73,133
70,2522,564,66,50,0,23,73,133
71,2522,564,65,51,0,23,73,133
72,2522,564,65,52,0,23,73,133
73,2523,564,64,53,0,23,73,133
74,2523,565,64,52,0,23,73,133
75,2523,565,64,53,0,23,73,133
76,2522,566,65,52,0,23,73,133
77,2521,565,65,53,0,23,73,133
78,2522,564,65,54,0,23,73,133
79,2522,564,65,54,0,23,73,133
80,2522,564,66,54,0,23,73,133
81,2521,563,67,55,0,23,73,133
82,2521,563,67,55,0,23,73,133
83,2522,563,67,55,0,23,73,133
84,2521,562,69,56,0,23,73,133
85,2521,562,69,56,0,23,73,133
86,2521,563,70,54,0,23,73,133
87,2521,563,70,54,0,23,73,133
88,2520,563,70,54,0,23,73,133
89,2521,563,69,55,0,23,73,133
90,2521,563,69,54,0,23,73,133
91,2521,563,69,55,0,23,73,133
92,2522,563,68,55,0,23,73,133
93,2522,563,68,54,0,23,73,133
94,2521,563,69,54,0,23,73,133
95,2522,563,68,54,0,23,73,133
96,2522,563,68,55,0,23,73,133
97,2521,563,68,55,0,23,73,133
98,2522,563,67,55,0,23,73,133
99,2522,564,67,53,0,23,73,133
100,2522,564,67,54,0,23,73,133
101,2522,564,66,54,0,23,73,133
102,2522,564,65,54,0,23,73,133
103,2522,565,65,53,0,23,73,133
104,2522,565,64,53,0,23,73,133
105,2522,565,64,53,0,23,73,133
106,2522,565,64,53,0,23,73,133
107,2522,565,64,52,0,23,73,133
108,2522,565,65,53,0,23,73,133
109,2522,565,65,52,0,23,73,133
110,2522,565,66,53,0,23,73,133
111,2523,565,64,52,0,23,73,133
112,2522,565,65,52,0,23,73,133
113,2522,566,65,51,0,23,73,133
114,2522,565,64,52,0,23,73,133
115,2521,566,64,51,0,23,73,133
116,2522,567,63,51,0,23,73,133
117,2521,568,63,50,0,23,73,133
118,2521,568,64,50,0,23,73,133
119,2522,568,63,50,0,23,73,133
120,2522,567,64,51,0,23,73,133
121,2522,567,64,50,0,23,73,133
122,2522,567,63,50,0,23,73,133
123,2522,568,64,50,0,23,73,133
124,2523,568,64,50,0,23,73,133
125,2523,568,65,50,0,23,73,133
126,2524,568,65,50,0,23,73,133
127,2524,568,66,50,0,23,73,133
128,2523,568,67,50,0,23,73,133
129,2523,567,66,51,0,23,73,133
130,2523,566,67,52,0,23,73,133
131,2523,566,67,51,0,23,73,133
132,2523,566,68,51,0,23,73,133
133,2523,567,69,50,0,23,73,133
134,2524,567,68,51,0,23,73,133
135,2524,567,69,51,0,23,73,133
136,2524,567,69,51,0,23,73,133
137,2524,566,69,51,0,23,73,133
138,2523,566,70,51,0,23,73,133
139,2523,567,69,51,0,23,73,133
140,2523,567,70,51,0,23,73,133
141,2523,567,70,51,0,23,73,133
142,2522,567,70,50,0,23,73,133
143,2523,567,70,49,0,23,73,133
144,2523,567,70,49,0,23,73,133
145,2523,566,70,49,0,23,73,133
146,2524,567,70,48,0,23,73,133
147,2523,567,70,48,0,23,73,133
148,2523,567,70,47,0,23,73,133
149,2523,567,71,47,0,23,73,133
150,2523,567,71,47,0,23,73,133
151,2523,567,72,47,0,23,73,133
152,2523,567,71,47,0,23,73,133
153,2524,567,70,47,0,23,73,133
154,2524,568,70,46,0,23,73,133
155,2524,568,71,46,0,23,73,133
156,2524,568,71,46,0,23,73,133
157,2524,569,71,45,0,23,73,133
158,2524,568,71,47,0,23,73,133
159,2525,569,70,46,0,23,73,133
160,2524,569,71,46,0,23,73,133
161,2524,569,71,46,0,23,73,133
162,2524,569,71,46,0,23,73,133
163,2524,570,71,45,0,23,73,133
164,2524,569,71,46,0,23,73,133
165,2525,569,70,46,0,23,73,133
166,2525,569,70,46,0,23,73,133
167,2525,569,70,46,0,23,73,133
168,2525,569,70,47,0,23,73,133
169,2524,568,71,47,0,23,73,133
170,2525,568,70,47,0,23,73,133
171,2525,568,70,48,0,23,73,133
172,2525,568,70,48,0,23,73,133
173,2525,567,70,49,0,23,73,133
174,2525,567,70,49,0,23,73,133
175,2525,567,69,49,0,23,73,133
176,2525,566,69,49,0,23,73,133
177,2525,566,69,49,0,23,73,133
178,2525,566,67,50,0,23,73,133
179,2525,566,66,50,0,23,73,133
180,2525,566,65,50,0,23,73,133
181,2524,567,65,49,0,23,73,133
182,2524,567,63,49,0,23,73,133
183,2525,566,63,50,0,23,73,133
184,2525,566,63,50,0,23,73,133
185,2525,567,62,49,0,23,73,133
186,2524,567,62,49,0,23,73,133
187,2525,567,62,49,0,23,73,133
188,2525,567,63,49,0,23,73,133
189,2524,567,62,49,0,23,73,133
190,2524,567,61,49,0,23,73,133
191,2525,567,61,49,0,23,73,133
192,2525,567,60,49,0,23,73,133
193,2526,566,60,50,0,23,73,133
194,2526,566,60,50,0,23,73,133
195,2526,565,61,50,0,23,73,133
196,2526,565,61,50,0,23,73,133
197,2526,565,61,50,0,23,73,133
198,2526,566,62,50,0,23,73,133
199,2526,566,62,50,0,23,73,133
200,2527,567,63,49,0,23,73,133
201,2527,566,65,50,0,23,73,133
202,2527,566,65,49,0,23,73,133
203,2526,567,67,49,0,23,73,133
204,2526,568,68,48,0,23,73,133
205,2526,568,68,47,0,23,73,133
206,2526,568,68,47,0,23,73,133
207,2526,568,69,47,0,23,73,133
208,2525,569,70,46,0,23,73,133
209,2525,569,70,46,0,23,73,133
210,2525,569,71,46,0,23,73,133
211,2525,569,71,46,0,23,73,133
212,2524,570,71,45,0,23,73,133
213,2524,569,71,46,0,23,73,133
214,2524,569,71,45,0,23,73,133
215,2523,569,71,45,0,23,73,133
216,2524,568,71,46,0,23,73,133
217,2524,568,70,46,0,23,73,133
218,2523,568,71,46,0,23,73,133
219,2523,568,71,46,0,23,73,133
220,2523,568,71,46,0,23,73,133
221,2523,567,71,47,0,23,73,133
222,2523,567,71,47,0,23,73,133
223,2523,567,71,47,0,23,73,133
224,2523,567,71,47,0,23,73,133
225,2523,567,70,47,0,23,73,133
226,2523,567,71,47,0,23,73,133
227,2524,568,70,46,0,23,73,133
228,2523,568,70,48,0,23,73,133
229,2524,567,70,48,0,23,73,133
230,2523,567,70,47,0,23,73,133
231,2523,568,70,47,0,23,73,133
232,2523,569,70,47,0,23,73,133
233,2524,568,70,47,0,23,73,133
234,2524,568,71,47,0,23,73,133
235,2524,568,70,46,0,23,73,133
236,2524,568,71,46,0,23,73,133
237,2524,568,70,46,0,23,73,133
238,2524,568,70,46,0,23,73,133
239,2524,568,70,46,0,23,73,133
240,2525,568,69,46,0,23,73,133
241,2524,568,69,47,0,23,73,133
242,2524,568,69,46,0,23,73,133
243,2525,568,69,47,0,23,73,133
244,2525,568,68,47,0,23,73,133
245,2524,567,69,48,0,23,73,133
246,2524,567,69,48,0,23,73,133
247,2524,567,69,48,0,23,73,133
248,2524,568,69,47,0,23,73,133
249,2524,567,68,47,0,23,73,133
250,2523,567,69,47,0,23,73,133
251,2523,567,69,47,0,23,73,133
252,2523,567,69,47,0,23,73,133
253,2522,567,69,47,0,23,73,133
254,2521,567,68,47,0,23,73,133
255,2520,567,68,47,0,23,73,133
256,2520,567,66,47,0,23,73,133
257,2520,568,68,46,0,23,73,133
258,2521,568,67,46,0,23,73,133
259,2521,569,67,45,0,23,73,133
260,2520,569,67,45,0,23,73,133
261,2520,569,67,45,0,23,73,133
262,2519,569,66,45,0,23,73,133
263,2519,569,66,45,0,23,73,133
264,2520,569,66,45,0,23,73,133
265,2520,569,66,45,0,23,73,133
266,2519,569,66,45,0,23,73,133
