frameNo,left,top,w,h,conf,lat,long,alt
1,2245,462,69,36,0,23,73,133
2,2246,461,69,35,0,23,73,133
3,2245,461,70,36,0,23,73,133
4,2245,463,69,36,0,23,73,133
5,2246,462,70,36,0,23,73,133
6,2246,461,71,37,0,23,73,133
7,2247,461,71,37,0,23,73,133
8,2248,460,71,37,0,23,73,133
9,2248,461,71,37,0,23,73,133
10,2248,461,70,37,0,23,73,133
11,2248,460,71,37,0,23,73,133
12,2249,459,71,37,0,23,73,133
13,2249,459,70,36,0,23,73,133
14,2249,459,70,36,0,23,73,133
15,2250,458,70,37,0,23,73,133
16,2250,459,70,37,0,23,73,133
17,2250,458,71,38,0,23,73,133
18,2250,459,72,38,0,23,73,133
19,2250,459,72,38,0,23,73,133
20,2250,460,72,38,0,23,73,133
21,2248,461,73,38,0,23,73,133
22,2247,461,73,38,0,23,73,133
23,2250,462,73,38,0,23,73,133
24,2251,463,73,38,0,23,73,133
25,2251,464,73,38,0,23,73,133
26,2251,464,73,38,0,23,73,133
27,2250,464,73,38,0,23,73,133
28,2250,464,72,38,0,23,73,133
29,2250,464,72,38,0,23,73,133
30,2250,464,72,38,0,23,73,133
31,2249,464,72,38,0,23,73,133
32,2249,464,71,38,0,23,73,133
33,2249,464,71,38,0,23,73,133
34,2249,464,71,38,0,23,73,133
35,2248,464,71,38,0,23,73,133
36,2248,464,70,38,0,23,73,133
37,2248,464,70,38,0,23,73,133
38,2248,464,70,38,0,23,73,133
39,2247,464,70,38,0,23,73,133
40,2247,464,70,38,0,23,73,133
41,2247,464,69,38,0,23,73,133
42,2246,464,69,38,0,23,73,133
43,2246,464,69,38,0,23,73,133
44,2246,464,69,38,0,23,73,133
45,2246,464,68,38,0,23,73,133
46,2245,464,68,38,0,23,73,133
47,2245,464,68,38,0,23,73,133
48,2245,464,68,38,0,23,73,133
49,2245,464,67,38,0,23,73,133
50,2244,464,67,38,0,23,73,133
51,2244,464,67,38,0,23,73,133
52,2242,468,68,38,0,23,73,133
53,2242,467,68,39,0,23,73,133
54,2239,472,69,38,0,23,73,133
55,2239,470,68,38,0,23,73,133
56,2239,473,68,39,0,23,73,133
57,2238,475,69,39,0,23,73,133
58,2239,473,69,39,0,23,73,133
59,2239,472,69,39,0,23,73,133
60,2240,470,69,39,0,23,73,133
61,2240,471,69,39,0,23,73,133
62,2240,471,69,39,0,23,73,133
63,2241,472,69,39,0,23,73,133
64,2241,472,69,39,0,23,73,133
65,2241,473,69,39,0,23,73,133
66,2238,476,70,39,0,23,73,133
67,2239,477,69,39,0,23,73,133
68,2238,478,70,38,0,23,73,133
69,2239,479,70,38,0,23,73,133
70,2239,478,70,39,0,23,73,133
71,2240,477,71,39,0,23,73,133
72,2240,477,71,39,0,23,73,133
73,2240,475,71,40,0,23,73,133
74,2240,474,71,40,0,23,73,133
75,2240,474,71,40,0,23,73,133
76,2240,474,71,41,0,23,73,133
77,2240,474,71,41,0,23,73,133
78,2241,474,71,41,0,23,73,133
79,2241,473,72,41,0,23,73,133
80,2242,472,72,40,0,23,73,133
81,2242,472,73,41,0,23,73,133
82,2243,471,73,41,0,23,73,133
83,2243,469,73,41,0,23,73,133
84,2243,469,73,41,0,23,73,133
85,2244,467,73,41,0,23,73,133
86,2244,468,73,40,0,23,73,133
87,2245,467,73,40,0,23,73,133
88,2243,470,73,40,0,23,73,133
89,2242,472,74,41,0,23,73,133
90,2242,472,73,41,0,23,73,133
91,2241,472,73,41,0,23,73,133
92,2240,472,73,40,0,23,73,133
93,2240,473,73,40,0,23,73,133
94,2239,473,73,40,0,23,73,133
95,2240,474,73,40,0,23,73,133
96,2240,475,73,39,0,23,73,133
97,2240,476,72,39,0,23,73,133
98,2241,478,72,39,0,23,73,133
99,2242,479,72,38,0,23,73,133
100,2242,480,72,38,0,23,73,133
101,2242,480,72,38,0,23,73,133
102,2242,479,72,38,0,23,73,133
103,2242,479,72,38,0,23,73,133
104,2242,478,71,38,0,23,73,133
105,2242,478,71,38,0,23,73,133
106,2242,477,71,38,0,23,73,133
107,2241,477,71,38,0,23,73,133
108,2241,476,71,38,0,23,73,133
109,2241,476,71,38,0,23,73,133
110,2241,475,70,38,0,23,73,133
111,2241,475,70,38,0,23,73,133
112,2241,474,70,38,0,23,73,133
113,2241,474,70,38,0,23,73,133
114,2242,473,70,38,0,23,73,133
115,2243,473,69,38,0,23,73,133
116,2244,470,69,39,0,23,73,133
117,2244,472,69,39,0,23,73,133
118,2242,477,69,38,0,23,73,133
119,2243,473,69,38,0,23,73,133
120,2243,473,70,38,0,23,73,133
121,2242,473,70,39,0,23,73,133
122,2242,472,70,39,0,23,73,133
123,2241,471,71,39,0,23,73,133
124,2241,471,70,39,0,23,73,133
125,2241,471,70,39,0,23,73,133
126,2240,471,71,40,0,23,73,133
127,2240,472,72,39,0,23,73,133
128,2239,471,72,39,0,23,73,133
129,2239,469,72,39,0,23,73,133
130,2239,468,74,40,0,23,73,133
131,2239,469,74,39,0,23,73,133
132,2241,469,73,39,0,23,73,133
133,2242,470,73,38,0,23,73,133
134,2243,469,73,39,0,23,73,133
135,2242,471,73,38,0,23,73,133
136,2242,471,73,38,0,23,73,133
137,2242,472,71,37,0,23,73,133
138,2243,472,71,38,0,23,73,133
139,2241,472,72,37,0,23,73,133
140,2241,473,71,38,0,23,73,133
141,2241,475,71,37,0,23,73,133
142,2240,475,71,37,0,23,73,133
143,2239,475,70,36,0,23,73,133
144,2239,474,70,37,0,23,73,133
145,2239,475,69,36,0,23,73,133
146,2241,475,70,36,0,23,73,133
147,2239,475,70,36,0,23,73,133
148,2240,475,70,36,0,23,73,133
149,2242,474,70,36,0,23,73,133
150,2241,475,71,35,0,23,73,133
151,2240,476,70,35,0,23,73,133
152,2239,476,70,36,0,23,73,133
153,2238,476,70,35,0,23,73,133
154,2238,475,69,35,0,23,73,133
155,2239,474,68,36,0,23,73,133
156,2239,474,70,36,0,23,73,133
157,2239,473,70,36,0,23,73,133
158,2240,473,70,36,0,23,73,133
159,2240,472,70,36,0,23,73,133
160,2240,471,70,37,0,23,73,133
161,2240,471,70,37,0,23,73,133
162,2240,470,71,37,0,23,73,133
163,2240,470,72,37,0,23,73,133
164,2247,469,72,37,0,23,73,133
165,2247,467,73,37,0,23,73,133
166,2246,465,74,38,0,23,73,133
167,2246,463,73,39,0,23,73,133
168,2246,465,74,38,0,23,73,133
169,2246,465,74,39,0,23,73,133
170,2245,465,74,39,0,23,73,133
171,2246,465,74,39,0,23,73,133
172,2246,465,74,39,0,23,73,133
173,2245,465,74,39,0,23,73,133
174,2246,466,74,39,0,23,73,133
175,2246,467,74,39,0,23,73,133
176,2244,464,74,39,0,23,73,133
177,2243,463,74,39,0,23,73,133
178,2243,463,72,40,0,23,73,133
179,2243,465,72,39,0,23,73,133
180,2242,465,72,38,0,23,73,133
181,2242,464,72,39,0,23,73,133
182,2242,464,71,38,0,23,73,133
183,2243,465,70,38,0,23,73,133
184,2242,464,71,38,0,23,73,133
185,2242,464,71,38,0,23,73,133
186,2243,465,70,38,0,23,73,133
187,2243,465,70,38,0,23,73,133
188,2243,465,70,38,0,23,73,133
189,2243,464,70,38,0,23,73,133
190,2244,464,70,38,0,23,73,133
191,2244,465,70,38,0,23,73,133
192,2244,464,71,38,0,23,73,133
193,2243,464,71,39,0,23,73,133
194,2243,463,71,39,0,23,73,133
195,2243,463,71,39,0,23,73,133
196,2243,462,72,40,0,23,73,133
197,2243,463,72,40,0,23,73,133
198,2243,463,72,40,0,23,73,133
199,2243,464,72,39,0,23,73,133
200,2244,462,72,40,0,23,73,133
201,2243,462,73,40,0,23,73,133
202,2244,463,72,40,0,23,73,133
203,2245,463,73,40,0,23,73,133
204,2246,463,73,40,0,23,73,133
205,2246,464,73,40,0,23,73,133
206,2247,465,73,39,0,23,73,133
207,2247,466,74,39,0,23,73,133
208,2247,467,74,38,0,23,73,133
209,2246,467,73,38,0,23,73,133
210,2242,468,72,38,0,23,73,133
211,2240,469,71,38,0,23,73,133
212,2240,470,70,37,0,23,73,133
213,2239,471,70,37,0,23,73,133
214,2239,471,70,37,0,23,73,133
215,2239,471,69,37,0,23,73,133
216,2239,472,69,36,0,23,73,133
217,2238,472,69,36,0,23,73,133
218,2239,472,69,36,0,23,73,133
219,2239,472,69,37,0,23,73,133
220,2240,472,69,36,0,23,73,133
221,2239,473,69,36,0,23,73,133
222,2239,473,68,36,0,23,73,133
223,2239,474,68,36,0,23,73,133
224,2239,474,67,36,0,23,73,133
225,2239,474,67,35,0,23,73,133
226,2238,474,67,35,0,23,73,133
227,2239,474,66,36,0,23,73,133
228,2239,475,67,35,0,23,73,133
229,2239,474,66,36,0,23,73,133
230,2239,475,67,35,0,23,73,133
231,2240,474,68,35,0,23,73,133
232,2239,473,68,35,0,23,73,133
233,2239,472,69,36,0,23,73,133
234,2240,472,68,36,0,23,73,133
235,2240,471,69,37,0,23,73,133
236,2241,471,69,37,0,23,73,133
237,2240,470,70,37,0,23,73,133
238,2240,469,71,37,0,23,73,133
239,2243,468,73,38,0,23,73,133
