frameNo,left,top,w,h,conf,lat,long,alt
1,2275,415,66,38,0,23,73,133
2,2275,414,66,38,0,23,73,133
3,2275,414,66,39,0,23,73,133
4,2275,414,67,39,0,23,73,133
5,2275,413,67,39,0,23,73,133
6,2275,412,68,39,0,23,73,133
7,2276,412,67,38,0,23,73,133
8,2276,412,66,38,0,23,73,133
9,2276,412,66,37,0,23,73,133
10,2276,412,66,37,0,23,73,133
11,2276,413,65,37,0,23,73,133
12,2269,413,67,37,0,23,73,133
13,2273,414,66,37,0,23,73,133
14,2272,407,67,37,0,23,73,133
15,2273,405,67,36,0,23,73,133
16,2273,404,68,36,0,23,73,133
17,2273,403,68,37,0,23,73,133
18,2272,406,70,38,0,23,73,133
19,2272,408,70,38,0,23,73,133
20,2272,408,69,38,0,23,73,133
21,2278,405,71,39,0,23,73,133
22,2280,405,72,39,0,23,73,133
23,2276,404,72,40,0,23,73,133
24,2277,406,73,40,0,23,73,133
25,2276,408,73,41,0,23,73,133
26,2274,406,73,41,0,23,73,133
27,2274,405,73,42,0,23,73,133
28,2274,407,74,43,0,23,73,133
29,2274,408,74,43,0,23,73,133
30,2274,408,75,44,0,23,73,133
31,2274,408,75,44,0,23,73,133
32,2273,409,75,43,0,23,73,133
33,2273,408,75,44,0,23,73,133
34,2274,405,73,44,0,23,73,133
35,2273,407,74,44,0,23,73,133
36,2273,404,73,44,0,23,73,133
37,2274,407,73,44,0,23,73,133
38,2274,407,74,44,0,23,73,133
39,2274,407,75,45,0,23,73,133
40,2274,408,75,44,0,23,73,133
41,2274,408,74,44,0,23,73,133
42,2274,408,74,44,0,23,73,133
43,2274,408,74,44,0,23,73,133
44,2273,409,73,44,0,23,73,133
45,2274,405,72,44,0,23,73,133
46,2274,408,72,44,0,23,73,133
47,2275,405,71,44,0,23,73,133
48,2274,409,72,44,0,23,73,133
49,2275,410,71,44,0,23,73,133
50,2275,410,71,45,0,23,73,133
51,2274,410,72,46,0,23,73,133
52,2274,409,73,47,0,23,73,133
53,2275,408,72,48,0,23,73,133
54,2275,407,74,49,0,23,73,133
55,2275,407,74,49,0,23,73,133
56,2275,407,75,50,0,23,73,133
57,2275,407,75,50,0,23,73,133
58,2275,407,75,51,0,23,73,133
59,2274,408,75,50,0,23,73,133
60,2274,408,76,50,0,23,73,133
61,2275,407,75,51,0,23,73,133
62,2274,407,76,52,0,23,73,133
63,2274,408,75,51,0,23,73,133
64,2274,408,75,52,0,23,73,133
65,2274,407,75,52,0,23,73,133
66,2274,407,76,52,0,23,73,133
67,2274,407,75,51,0,23,73,133
68,2273,407,76,52,0,23,73,133
69,2273,408,75,51,0,23,73,133
70,2273,408,75,51,0,23,73,133
71,2273,408,75,51,0,23,73,133
72,2274,407,75,52,0,23,73,133
73,2274,407,75,52,0,23,73,133
74,2274,408,75,51,0,23,73,133
75,2274,408,75,51,0,23,73,133
76,2274,407,75,52,0,23,73,133
77,2274,407,76,52,0,23,73,133
78,2274,407,76,52,0,23,73,133
79,2274,407,75,52,0,23,73,133
80,2274,407,75,52,0,23,73,133
81,2274,407,75,51,0,23,73,133
82,2275,407,75,51,0,23,73,133
83,2275,407,75,50,0,23,73,133
84,2275,408,74,49,0,23,73,133
85,2276,407,74,49,0,23,73,133
86,2277,407,73,49,0,23,73,133
87,2277,407,73,48,0,23,73,133
88,2277,406,74,48,0,23,73,133
89,2278,406,73,48,0,23,73,133
90,2278,407,73,47,0,23,73,133
91,2277,408,73,46,0,23,73,133
92,2278,407,72,47,0,23,73,133
93,2278,408,72,46,0,23,73,133
94,2278,407,72,47,0,23,73,133
95,2278,408,72,46,0,23,73,133
96,2278,408,71,46,0,23,73,133
97,2278,409,70,45,0,23,73,133
98,2278,409,70,45,0,23,73,133
99,2277,409,70,46,0,23,73,133
100,2277,409,71,46,0,23,73,133
101,2277,409,71,47,0,23,73,133
102,2277,409,70,47,0,23,73,133
103,2277,410,70,46,0,23,73,133
104,2277,409,70,47,0,23,73,133
105,2277,409,70,46,0,23,73,133
106,2277,409,70,46,0,23,73,133
107,2277,409,70,46,0,23,73,133
108,2277,409,70,45,0,23,73,133
109,2277,409,69,46,0,23,73,133
110,2276,410,70,46,0,23,73,133
111,2277,410,69,46,0,23,73,133
112,2277,409,70,46,0,23,73,133
113,2277,409,71,47,0,23,73,133
114,2277,409,71,47,0,23,73,133
115,2276,409,71,48,0,23,73,133
116,2276,409,72,49,0,23,73,133
117,2276,408,72,49,0,23,73,133
118,2275,408,73,49,0,23,73,133
119,2276,408,73,49,0,23,73,133
120,2276,408,73,50,0,23,73,133
121,2276,408,73,49,0,23,73,133
122,2276,408,73,49,0,23,73,133
123,2277,407,73,49,0,23,73,133
124,2277,407,73,48,0,23,73,133
125,2278,406,73,48,0,23,73,133
126,2279,406,72,47,0,23,73,133
127,2279,407,73,45,0,23,73,133
128,2279,407,72,45,0,23,73,133
129,2280,407,71,45,0,23,73,133
130,2280,406,71,45,0,23,73,133
131,2280,407,71,44,0,23,73,133
132,2279,409,69,43,0,23,73,133
133,2278,412,69,42,0,23,73,133
134,2278,414,68,40,0,23,73,133
135,2277,416,68,40,0,23,73,133
136,2277,417,66,39,0,23,73,133
137,2278,417,65,39,0,23,73,133
138,2279,416,65,39,0,23,73,133
139,2279,415,66,39,0,23,73,133
140,2280,414,65,39,0,23,73,133
141,2280,414,65,39,0,23,73,133
142,2280,414,66,38,0,23,73,133
143,2280,414,65,37,0,23,73,133
144,2279,414,66,37,0,23,73,133
145,2280,414,65,37,0,23,73,133
146,2279,414,66,37,0,23,73,133
147,2279,414,66,37,0,23,73,133
148,2279,414,66,37,0,23,73,133
149,2279,414,67,37,0,23,73,133
150,2278,414,67,37,0,23,73,133
151,2279,414,66,37,0,23,73,133
152,2279,414,67,37,0,23,73,133
153,2279,415,66,37,0,23,73,133
154,2279,414,66,37,0,23,73,133
155,2280,413,66,36,0,23,73,133
156,2280,411,68,37,0,23,73,133
157,2281,409,68,37,0,23,73,133
158,2282,408,67,37,0,23,73,133
