frameNo,left,top,w,h,conf,lat,long,alt
510,1781.0,3.0,41.0,69.0,0.0,23.055987,72.506014,132.834
511,1784.0,8.0,40.0,74.0,0.0,23.055987,72.506014,132.834
512,1786.0,17.0,41.0,76.0,0.0,23.055987,72.506014,132.834
513,1787.0,24.0,41.0,80.0,0.0,23.055987,72.506014,132.843
514,1790.0,36.0,41.0,79.0,0.0,23.055987,72.506014,132.843
515,1792.0,45.0,40.0,80.0,0.0,23.055987,72.506014,132.843
516,1793.0,55.0,41.0,81.0,0.0,23.055987,72.506014,132.843
517,1797.0,67.0,39.0,81.0,0.0,23.055987,72.506014,132.843
518,1797.0,76.0,40.0,81.0,0.0,23.055987,72.506014,132.843
519,1800.0,85.0,40.0,81.0,0.0,23.055987,72.506014,132.848
520,1804.0,97.0,39.0,81.0,0.0,23.055987,72.506014,132.848
521,1805.0,107.0,38.0,81.0,0.0,23.055987,72.506014,132.848
522,1807.0,116.0,37.0,82.0,0.0,23.055987,72.506014,132.848
523,1811.0,124.0,37.0,83.0,0.0,23.055987,72.506014,132.848
524,1813.0,136.0,37.0,80.0,0.0,23.055987,72.506014,132.848
525,1816.0,145.0,36.0,79.0,0.0,23.055987,72.506014,132.85
526,1818.0,156.0,36.0,79.0,0.0,23.055987,72.506014,132.85
527,1820.0,165.0,36.0,78.0,0.0,23.055987,72.506014,132.85
528,1823.0,175.0,36.0,77.0,0.0,23.055987,72.506014,132.85
529,1825.0,186.0,36.0,76.0,0.0,23.055987,72.506014,132.85
530,1828.0,194.0,35.0,74.0,0.0,23.055987,72.506014,132.85
531,1831.0,205.0,35.0,76.0,0.0,23.055987,72.506014,132.857
532,1832.0,213.0,35.0,75.0,0.0,23.055987,72.506014,132.857
533,1833.0,222.0,37.0,75.0,0.0,23.055987,72.506014,132.857
534,1836.0,230.0,37.0,74.0,0.0,23.055987,72.506014,132.857
535,1838.0,235.0,38.0,72.0,0.0,23.055987,72.506014,132.857
536,1840.0,246.0,39.0,73.0,0.0,23.055987,72.506014,132.857
537,1843.0,256.0,39.0,73.0,0.0,23.055987,72.506014,132.864
538,1845.0,266.0,38.0,71.0,0.0,23.055987,72.506014,132.864
539,1847.0,277.0,38.0,66.0,0.0,23.055987,72.506014,132.864
540,1850.0,285.0,37.0,63.0,0.0,23.055987,72.506014,132.864
541,1851.0,295.0,38.0,67.0,0.0,23.055987,72.506014,132.864
542,1854.0,302.0,37.0,67.0,0.0,23.055987,72.506014,132.864
543,1853.0,307.0,37.0,68.0,0.0,23.055987,72.506014,132.864
544,1857.0,314.0,38.0,69.0,0.0,23.055987,72.506014,132.864
545,1861.0,323.0,37.0,67.0,0.0,23.055987,72.506014,132.864
546,1865.0,328.0,37.0,68.0,0.0,23.055987,72.506014,132.864
547,1867.0,338.0,37.0,66.0,0.0,23.055987,72.506014,132.864
548,1872.0,348.0,37.0,65.0,0.0,23.055987,72.506014,132.864
549,1874.0,354.0,37.0,67.0,0.0,23.055987,72.506014,132.866
550,1878.0,363.0,37.0,66.0,0.0,23.055987,72.506014,132.866
551,1879.0,369.0,37.0,66.0,0.0,23.055987,72.506014,132.866
552,1881.0,377.0,36.0,65.0,0.0,23.055987,72.506014,132.866
553,1883.0,381.0,36.0,67.0,0.0,23.055987,72.506014,132.866
554,1884.0,385.0,37.0,69.0,0.0,23.055987,72.506014,132.866
555,1886.0,395.0,38.0,70.0,0.0,23.055987,72.506014,132.866
556,1887.0,401.0,38.0,71.0,0.0,23.055987,72.506014,132.866
557,1890.0,408.0,40.0,71.0,0.0,23.055987,72.506014,132.866
558,1892.0,413.0,41.0,72.0,0.0,23.055987,72.506014,132.866
559,1894.0,420.0,42.0,73.0,0.0,23.055987,72.506014,132.866
560,1896.0,425.0,43.0,73.0,0.0,23.055987,72.506014,132.866
561,1898.0,431.0,42.0,74.0,0.0,23.055987,72.506014,132.861
562,1899.0,438.0,44.0,74.0,0.0,23.055987,72.506014,132.861
563,1902.0,446.0,43.0,73.0,0.0,23.055987,72.506014,132.861
564,1904.0,450.0,42.0,75.0,0.0,23.055987,72.506014,132.861
565,1908.0,456.0,41.0,74.0,0.0,23.055987,72.506014,132.861
566,1912.0,462.0,40.0,73.0,0.0,23.055987,72.506014,132.861
567,1916.0,470.0,39.0,75.0,0.0,23.055987,72.506014,132.854
568,1918.0,477.0,39.0,76.0,0.0,23.055987,72.506014,132.854
569,1919.0,482.0,40.0,78.0,0.0,23.055987,72.506014,132.854
570,1920.0,488.0,40.0,79.0,0.0,23.055987,72.506014,132.854
571,1924.0,493.0,40.0,78.0,0.0,23.055987,72.506014,132.854
572,1923.0,500.0,42.0,76.0,0.0,23.055987,72.506014,132.854
573,1926.0,506.0,42.0,75.0,0.0,23.055987,72.506014,132.844
574,1926.0,511.0,42.0,73.0,0.0,23.055987,72.506014,132.844
575,1928.0,519.0,42.0,71.0,0.0,23.055987,72.506014,132.844
576,1928.0,524.0,41.0,71.0,0.0,23.055987,72.506014,132.844
577,1930.0,531.0,42.0,68.0,0.0,23.055987,72.506014,132.844
578,1927.0,540.0,46.0,67.0,0.0,23.055987,72.506014,132.844
579,1933.0,543.0,45.0,67.0,0.0,23.055987,72.506014,132.838
580,1935.0,546.0,44.0,66.0,0.0,23.055987,72.506014,132.838
