frameNo,left,top,w,h,conf,lat,long,alt
640,1860.0,1.0,33.0,44.0,0.0,23.055987,72.506014,132.74
641,1861.0,1.0,34.0,46.0,0.0,23.055987,72.506014,132.74
642,1862.0,4.0,35.0,49.0,0.0,23.055987,72.506014,132.74
643,1864.0,14.0,35.0,50.0,0.0,23.055987,72.506014,132.74
644,1866.0,21.0,35.0,51.0,0.0,23.055987,72.506014,132.74
645,1868.0,25.0,34.0,50.0,0.0,23.055987,72.506014,132.736
646,1869.0,33.0,36.0,55.0,0.0,23.055987,72.506014,132.736
647,1870.0,40.0,37.0,58.0,0.0,23.055987,72.506014,132.736
648,1873.0,47.0,35.0,56.0,0.0,23.055987,72.506014,132.736
649,1875.0,52.0,34.0,55.0,0.0,23.055987,72.506014,132.736
650,1878.0,62.0,33.0,53.0,0.0,23.055987,72.506014,132.736
651,1881.0,70.0,32.0,52.0,0.0,23.055987,72.506014,132.73
652,1883.0,75.0,31.0,51.0,0.0,23.055987,72.506014,132.73
653,1884.4,82.2,31.2,50.8,0.0,23.055987,72.506014,132.7278
654,1885.8,89.4,31.4,50.6,0.0,23.055987,72.506014,132.7256
655,1887.2,96.6,31.6,50.4,0.0,23.055987,72.506014,132.7234
656,1888.6,103.8,31.8,50.2,0.0,23.055987,72.506014,132.72119999999998
657,1890.0,111.0,32.0,50.0,0.0,23.055987,72.506014,132.719
658,1893.0,118.0,31.0,48.0,0.0,23.055987,72.506014,132.719
659,1895.0,125.0,30.0,46.0,0.0,23.055987,72.506014,132.719
660,1896.0,132.0,30.0,45.0,0.0,23.055987,72.506014,132.719
661,1897.0,138.0,30.0,43.0,0.0,23.055987,72.506014,132.719
662,1896.0,145.0,31.0,47.0,0.0,23.055987,72.506014,132.71
663,1897.0,152.0,30.0,48.0,0.0,23.055987,72.506014,132.71
664,1901.0,160.0,30.0,47.0,0.0,23.055987,72.506014,132.71
665,1903.0,167.0,30.0,45.0,0.0,23.055987,72.506014,132.71
