frameNo,left,top,w,h,conf,lat,long,alt
118,3201,570,28,32,0,23,73,133
119,3200,570,29,33,0,23,73,133
120,3198,571,30,33,0,23,73,133
121,3197,571,30,33,0,23,73,133
122,3195,571,30,33,0,23,73,133
123,3194,572,30,33,0,23,73,133
124,3192,572,30,33,0,23,73,133
125,3191,572,30,33,0,23,73,133
126,3189,572,30,33,0,23,73,133
127,3188,573,31,33,0,23,73,133
128,3186,573,31,33,0,23,73,133
129,3185,573,31,33,0,23,73,133
130,3184,573,31,33,0,23,73,133
131,3182,574,31,33,0,23,73,133
132,3181,574,31,33,0,23,73,133
133,3179,574,31,33,0,23,73,133
134,3178,574,31,33,0,23,73,133
135,3176,575,31,33,0,23,73,133
136,3175,575,31,33,0,23,73,133
137,3173,575,31,33,0,23,73,133
138,3172,575,31,33,0,23,73,133
139,3171,576,31,33,0,23,73,133
140,3169,576,31,33,0,23,73,133
141,3168,576,32,33,0,23,73,133
142,3166,576,32,33,0,23,73,133
143,3165,577,32,33,0,23,73,133
144,3163,577,32,33,0,23,73,133
145,3162,577,32,33,0,23,73,133
146,3160,577,32,33,0,23,73,133
147,3159,578,32,33,0,23,73,133
148,3158,578,32,33,0,23,73,133
149,3156,578,32,33,0,23,73,133
150,3155,578,32,33,0,23,73,133
151,3153,579,32,33,0,23,73,133
152,3152,579,32,33,0,23,73,133
153,3150,579,32,33,0,23,73,133
154,3149,579,33,33,0,23,73,133
155,3147,580,33,33,0,23,73,133
156,3146,580,33,33,0,23,73,133
157,3145,580,33,33,0,23,73,133
158,3143,580,33,33,0,23,73,133
159,3142,581,33,33,0,23,73,133
160,3140,581,33,33,0,23,73,133
161,3139,581,33,34,0,23,73,133
162,3137,581,33,34,0,23,73,133
163,3136,582,33,34,0,23,73,133
164,3134,582,33,34,0,23,73,133
165,3133,582,33,34,0,23,73,133
166,3132,582,33,34,0,23,73,133
167,3130,583,33,34,0,23,73,133
168,3129,583,34,34,0,23,73,133
169,3127,583,34,34,0,23,73,133
170,3126,583,34,34,0,23,73,133
171,3124,584,34,34,0,23,73,133
172,3123,584,34,34,0,23,73,133
173,3121,584,34,34,0,23,73,133
174,3120,584,34,34,0,23,73,133
175,3119,585,34,34,0,23,73,133
176,3117,585,34,34,0,23,73,133
177,3116,585,34,34,0,23,73,133
178,3114,585,34,34,0,23,73,133
179,3113,586,34,34,0,23,73,133
180,3111,586,34,34,0,23,73,133
181,3110,586,35,34,0,23,73,133
182,3108,586,35,34,0,23,73,133
183,3107,587,35,34,0,23,73,133
184,3106,587,35,34,0,23,73,133
185,3104,587,35,34,0,23,73,133
186,3103,587,35,34,0,23,73,133
187,3101,588,35,34,0,23,73,133
188,3100,588,35,34,0,23,73,133
189,3098,588,35,34,0,23,73,133
190,3097,588,35,34,0,23,73,133
191,3095,589,35,34,0,23,73,133
192,3094,589,35,34,0,23,73,133
193,3093,589,35,34,0,23,73,133
194,3091,589,35,34,0,23,73,133
195,3090,590,36,34,0,23,73,133
196,3088,590,36,34,0,23,73,133
197,3087,590,36,34,0,23,73,133
198,3085,590,36,34,0,23,73,133
199,3084,591,36,34,0,23,73,133
200,3082,591,36,34,0,23,73,133
201,3081,591,36,34,0,23,73,133
202,3079,591,37,35,0,23,73,133
203,3075,593,39,34,0,23,73,133
204,3072,593,40,34,0,23,73,133
205,3070,593,40,33,0,23,73,133
206,3068,594,41,33,0,23,73,133
207,3065,594,42,33,0,23,73,133
208,3062,594,42,32,0,23,73,133
209,3060,594,43,32,0,23,73,133
210,3058,593,45,34,0,23,73,133
211,3056,594,45,33,0,23,73,133
212,3054,594,45,33,0,23,73,133
213,3052,594,46,33,0,23,73,133
214,3052,594,45,33,0,23,73,133
215,3051,594,45,34,0,23,73,133
216,3049,594,44,34,0,23,73,133
217,3048,593,44,35,0,23,73,133
218,3047,593,44,35,0,23,73,133
219,3045,593,43,36,0,23,73,133
220,3044,593,43,36,0,23,73,133
221,3042,593,42,37,0,23,73,133
222,3041,593,42,37,0,23,73,133
223,3040,592,42,38,0,23,73,133
224,3038,592,41,38,0,23,73,133
225,3037,592,41,39,0,23,73,133
226,3034,592,40,38,0,23,73,133
227,3034,591,37,37,0,23,73,133
228,3032,592,37,36,0,23,73,133
229,3034,593,35,36,0,23,73,133
230,3033,593,35,36,0,23,73,133
231,3031,593,35,36,0,23,73,133
232,3030,593,35,36,0,23,73,133
233,3028,593,34,36,0,23,73,133
234,3027,593,34,35,0,23,73,133
