frameNo,left,top,w,h,conf,lat,long,alt
515,2258,424,67,39,0,23,73,133
516,2258,424,67,39,0,23,73,133
517,2258,425,67,39,0,23,73,133
518,2258,425,67,39,0,23,73,133
519,2258,426,67,39,0,23,73,133
520,2258,426,66,39,0,23,73,133
521,2257,426,66,39,0,23,73,133
522,2257,427,66,39,0,23,73,133
523,2257,427,66,39,0,23,73,133
524,2257,428,66,39,0,23,73,133
525,2257,428,66,39,0,23,73,133
526,2257,430,66,39,0,23,73,133
527,2256,431,66,40,0,23,73,133
528,2256,432,65,40,0,23,73,133
529,2256,434,65,40,0,23,73,133
530,2256,435,66,40,0,23,73,133
531,2256,435,66,40,0,23,73,133
532,2256,435,66,40,0,23,73,133
533,2256,435,66,40,0,23,73,133
534,2256,435,66,40,0,23,73,133
535,2255,434,67,41,0,23,73,133
536,2255,434,67,41,0,23,73,133
537,2255,434,67,41,0,23,73,133
538,2255,434,67,41,0,23,73,133
539,2255,434,67,41,0,23,73,133
540,2254,434,67,41,0,23,73,133
541,2254,434,67,41,0,23,73,133
542,2254,434,67,41,0,23,73,133
543,2254,434,67,41,0,23,73,133
544,2254,434,67,41,0,23,73,133
545,2254,433,67,41,0,23,73,133
546,2254,433,67,41,0,23,73,133
547,2255,433,67,41,0,23,73,133
548,2255,433,67,41,0,23,73,133
549,2255,433,67,41,0,23,73,133
550,2255,433,67,41,0,23,73,133
551,2255,433,67,41,0,23,73,133
552,2255,433,67,41,0,23,73,133
553,2255,432,67,41,0,23,73,133
554,2255,432,67,41,0,23,73,133
555,2255,432,67,41,0,23,73,133
556,2255,432,67,41,0,23,73,133
557,2255,432,67,41,0,23,73,133
558,2255,432,67,41,0,23,73,133
559,2256,432,67,41,0,23,73,133
560,2256,432,67,41,0,23,73,133
561,2256,431,67,41,0,23,73,133
562,2256,431,67,41,0,23,73,133
563,2256,431,67,41,0,23,73,133
564,2256,431,67,41,0,23,73,133
565,2256,431,67,42,0,23,73,133
566,2256,431,67,42,0,23,73,133
567,2256,431,67,42,0,23,73,133
568,2256,431,67,42,0,23,73,133
569,2256,430,67,42,0,23,73,133
570,2256,430,67,42,0,23,73,133
571,2257,430,67,42,0,23,73,133
572,2257,430,67,42,0,23,73,133
573,2257,430,67,42,0,23,73,133
574,2257,430,67,42,0,23,73,133
575,2257,430,67,42,0,23,73,133
576,2257,430,67,42,0,23,73,133
577,2257,429,67,42,0,23,73,133
578,2257,429,67,42,0,23,73,133
579,2257,429,67,42,0,23,73,133
580,2257,429,67,42,0,23,73,133
581,2257,429,67,42,0,23,73,133
582,2257,429,67,42,0,23,73,133
583,2258,429,67,42,0,23,73,133
584,2258,429,67,42,0,23,73,133
585,2258,428,67,42,0,23,73,133
586,2258,428,67,42,0,23,73,133
587,2258,428,67,42,0,23,73,133
588,2258,428,67,42,0,23,73,133
589,2258,428,67,42,0,23,73,133
590,2258,423,68,42,0,23,73,133
591,2259,420,68,42,0,23,73,133
592,2259,419,68,41,0,23,73,133
593,2259,418,69,42,0,23,73,133
594,2259,418,70,42,0,23,73,133
595,2260,418,69,42,0,23,73,133
596,2259,419,69,41,0,23,73,133
597,2259,419,69,42,0,23,73,133
598,2259,418,69,42,0,23,73,133
599,2259,418,69,42,0,23,73,133
600,2259,418,69,42,0,23,73,133
601,2259,418,70,42,0,23,73,133
602,2259,418,70,42,0,23,73,133
603,2259,418,70,42,0,23,73,133
604,2260,417,69,42,0,23,73,133
605,2259,416,71,43,0,23,73,133
606,2259,417,70,42,0,23,73,133
607,2259,416,70,42,0,23,73,133
608,2259,416,70,42,0,23,73,133
609,2259,418,70,42,0,23,73,133
610,2259,419,69,42,0,23,73,133
611,2259,419,69,42,0,23,73,133
612,2259,418,69,42,0,23,73,133
613,2259,419,69,42,0,23,73,133
614,2259,419,69,42,0,23,73,133
615,2259,418,70,42,0,23,73,133
616,2260,417,69,42,0,23,73,133
617,2259,418,70,42,0,23,73,133
618,2259,419,70,41,0,23,73,133
619,2259,419,69,42,0,23,73,133
620,2259,419,70,42,0,23,73,133
621,2259,420,70,42,0,23,73,133
622,2259,419,70,42,0,23,73,133
623,2259,419,70,41,0,23,73,133
624,2259,418,71,42,0,23,73,133
625,2259,418,71,42,0,23,73,133
626,2259,419,71,41,0,23,73,133
627,2258,420,71,41,0,23,73,133
628,2259,420,70,41,0,23,73,133
629,2258,421,71,40,0,23,73,133
630,2259,420,71,40,0,23,73,133
631,2258,420,71,40,0,23,73,133
632,2258,420,72,40,0,23,73,133
633,2258,419,72,40,0,23,73,133
634,2258,420,72,39,0,23,73,133
635,2258,419,72,40,0,23,73,133
636,2258,420,72,39,0,23,73,133
637,2258,421,72,39,0,23,73,133
638,2258,421,71,39,0,23,73,133
639,2258,421,71,39,0,23,73,133
640,2257,421,72,38,0,23,73,133
641,2257,421,72,39,0,23,73,133
642,2257,422,72,38,0,23,73,133
643,2257,422,72,38,0,23,73,133
644,2257,422,73,38,0,23,73,133
645,2257,422,72,39,0,23,73,133
646,2256,422,73,38,0,23,73,133
647,2257,422,73,38,0,23,73,133
648,2257,421,73,38,0,23,73,133
649,2257,421,73,39,0,23,73,133
650,2257,422,73,38,0,23,73,133
651,2258,421,73,39,0,23,73,133
652,2257,422,74,39,0,23,73,133
653,2257,421,74,39,0,23,73,133
654,2257,422,74,39,0,23,73,133
655,2257,422,74,39,0,23,73,133
656,2258,421,73,39,0,23,73,133
657,2258,420,73,39,0,23,73,133
658,2258,421,73,39,0,23,73,133
659,2258,422,72,38,0,23,73,133
660,2258,422,73,39,0,23,73,133
661,2257,423,73,38,0,23,73,133
662,2257,422,72,39,0,23,73,133
663,2257,422,73,38,0,23,73,133
664,2257,421,73,39,0,23,73,133
665,2257,422,73,38,0,23,73,133
666,2257,422,72,38,0,23,73,133
667,2257,421,73,38,0,23,73,133
668,2257,421,73,38,0,23,73,133
669,2257,421,72,38,0,23,73,133
670,2257,421,72,38,0,23,73,133
671,2258,421,71,37,0,23,73,133
672,2257,421,72,38,0,23,73,133
673,2257,422,71,38,0,23,73,133
674,2257,422,72,38,0,23,73,133
675,2257,423,72,37,0,23,73,133
676,2257,422,71,38,0,23,73,133
677,2258,422,71,38,0,23,73,133
678,2258,423,71,37,0,23,73,133
679,2257,423,71,37,0,23,73,133
680,2257,424,70,37,0,23,73,133
681,2257,424,70,37,0,23,73,133
682,2257,424,70,37,0,23,73,133
683,2257,424,70,38,0,23,73,133
684,2257,424,70,38,0,23,73,133
685,2257,424,70,38,0,23,73,133
686,2257,423,70,37,0,23,73,133
687,2257,424,70,38,0,23,73,133
688,2257,431,70,38,0,23,73,133
689,2257,427,70,39,0,23,73,133
690,2257,426,71,39,0,23,73,133
691,2256,432,71,39,0,23,73,133
692,2256,434,70,39,0,23,73,133
693,2256,434,70,40,0,23,73,133
694,2256,428,71,40,0,23,73,133
695,2256,426,71,39,0,23,73,133
696,2256,425,70,39,0,23,73,133
