frameNo,left,top,w,h,conf,lat,long,alt
2,2578,614,33,53,0,23,73,133
3,2578,614,33,53,0,23,73,133
4,2578,614,33,53,0,23,73,133
5,2578,614,34,53,0,23,73,133
6,2578,614,34,52,0,23,73,133
7,2578,614,34,52,0,23,73,133
8,2578,614,34,52,0,23,73,133
9,2578,614,34,52,0,23,73,133
10,2578,614,34,52,0,23,73,133
11,2578,614,35,52,0,23,73,133
12,2578,614,35,52,0,23,73,133
13,2578,614,35,52,0,23,73,133
14,2578,614,35,51,0,23,73,133
15,2578,614,35,51,0,23,73,133
16,2578,614,35,51,0,23,73,133
17,2578,614,36,51,0,23,73,133
18,2578,614,36,51,0,23,73,133
19,2578,614,36,51,0,23,73,133
20,2578,614,36,51,0,23,73,133
21,2578,614,36,50,0,23,73,133
22,2578,614,36,50,0,23,73,133
23,2578,614,37,50,0,23,73,133
24,2578,614,37,50,0,23,73,133
25,2578,614,37,50,0,23,73,133
26,2578,614,37,50,0,23,73,133
27,2578,614,37,50,0,23,73,133
28,2578,614,38,50,0,23,73,133
29,2577,614,38,49,0,23,73,133
30,2577,614,38,49,0,23,73,133
31,2577,614,38,49,0,23,73,133
32,2577,614,38,49,0,23,73,133
33,2577,614,38,49,0,23,73,133
34,2577,614,39,49,0,23,73,133
35,2577,614,39,49,0,23,73,133
36,2577,614,39,48,0,23,73,133
37,2577,614,39,48,0,23,73,133
38,2577,614,39,48,0,23,73,133
39,2577,614,39,48,0,23,73,133
40,2577,614,40,48,0,23,73,133
41,2577,614,40,48,0,23,73,133
42,2577,614,40,48,0,23,73,133
43,2577,614,40,47,0,23,73,133
44,2577,614,40,47,0,23,73,133
45,2577,614,40,47,0,23,73,133
46,2577,614,41,47,0,23,73,133
47,2577,614,41,47,0,23,73,133
48,2577,614,41,47,0,23,73,133
49,2577,614,41,47,0,23,73,133
50,2577,614,41,47,0,23,73,133
51,2577,614,41,46,0,23,73,133
52,2577,614,42,46,0,23,73,133
53,2577,614,42,46,0,23,73,133
54,2577,614,42,46,0,23,73,133
55,2577,614,43,46,0,23,73,133
56,2577,614,43,46,0,23,73,133
57,2578,614,44,45,0,23,73,133
58,2578,614,44,44,0,23,73,133
59,2578,615,44,44,0,23,73,133
60,2579,615,45,44,0,23,73,133
61,2579,615,45,43,0,23,73,133
