frameNo,left,top,w,h,conf,lat,long,alt
3,2230,467,56,36,0,23,73,133
4,2230,467,56,36,0,23,73,133
5,2230,467,56,36,0,23,73,133
6,2229,467,55,35,0,23,73,133
7,2229,467,55,35,0,23,73,133
8,2229,467,55,35,0,23,73,133
9,2228,467,54,35,0,23,73,133
10,2228,467,54,35,0,23,73,133
11,2228,468,54,34,0,23,73,133
12,2228,468,54,34,0,23,73,133
13,2228,468,54,34,0,23,73,133
14,2227,468,53,34,0,23,73,133
15,2227,468,53,34,0,23,73,133
16,2227,468,53,34,0,23,73,133
17,2226,468,52,33,0,23,73,133
18,2226,468,52,33,0,23,73,133
19,2226,468,52,33,0,23,73,133
20,2226,468,52,33,0,23,73,133
21,2226,468,52,33,0,23,73,133
22,2226,469,51,33,0,23,73,133
23,2226,468,52,33,0,23,73,133
24,2226,468,53,33,0,23,73,133
25,2226,468,53,34,0,23,73,133
26,2226,468,53,34,0,23,73,133
27,2226,468,53,34,0,23,73,133
28,2227,467,53,34,0,23,73,133
29,2227,467,52,34,0,23,73,133
30,2227,467,53,34,0,23,73,133
31,2228,467,54,34,0,23,73,133
32,2228,468,54,34,0,23,73,133
33,2229,468,55,34,0,23,73,133
34,2229,468,55,34,0,23,73,133
35,2230,468,56,34,0,23,73,133
36,2230,469,57,35,0,23,73,133
37,2231,469,57,35,0,23,73,133
38,2231,469,58,35,0,23,73,133
39,2232,470,58,35,0,23,73,133
40,2232,470,59,35,0,23,73,133
41,2233,470,60,35,0,23,73,133
42,2234,471,60,35,0,23,73,133
43,2234,471,61,35,0,23,73,133
44,2235,471,61,35,0,23,73,133
45,2235,472,62,36,0,23,73,133
46,2236,472,63,36,0,23,73,133
47,2236,472,63,36,0,23,73,133
48,2237,472,64,36,0,23,73,133
49,2237,473,64,36,0,23,73,133
50,2238,473,65,36,0,23,73,133
51,2238,473,65,37,0,23,73,133
52,2238,473,65,36,0,23,73,133
53,2238,473,66,37,0,23,73,133
54,2239,473,65,37,0,23,73,133
55,2238,472,65,37,0,23,73,133
56,2237,477,65,37,0,23,73,133
57,2237,479,65,36,0,23,73,133
58,2238,474,65,37,0,23,73,133
59,2237,478,65,37,0,23,73,133
60,2236,479,67,37,0,23,73,133
61,2237,475,66,37,0,23,73,133
62,2238,474,66,37,0,23,73,133
63,2239,473,66,37,0,23,73,133
64,2239,473,66,37,0,23,73,133
65,2239,473,66,37,0,23,73,133
66,2238,473,66,37,0,23,73,133
67,2239,473,66,37,0,23,73,133
68,2238,473,67,37,0,23,73,133
69,2238,473,67,37,0,23,73,133
70,2238,473,67,37,0,23,73,133
71,2238,473,67,37,0,23,73,133
72,2238,473,67,36,0,23,73,133
73,2238,473,67,37,0,23,73,133
74,2238,473,67,37,0,23,73,133
75,2238,473,67,37,0,23,73,133
76,2238,473,68,37,0,23,73,133
77,2237,472,68,37,0,23,73,133
78,2237,473,68,37,0,23,73,133
79,2238,472,67,37,0,23,73,133
80,2238,473,67,36,0,23,73,133
81,2238,472,66,37,0,23,73,133
82,2238,472,67,37,0,23,73,133
83,2238,472,67,37,0,23,73,133
84,2238,473,67,37,0,23,73,133
85,2238,473,66,37,0,23,73,133
86,2237,473,67,37,0,23,73,133
87,2238,473,66,37,0,23,73,133
88,2238,473,67,37,0,23,73,133
89,2239,472,66,37,0,23,73,133
90,2238,472,67,38,0,23,73,133
91,2239,473,67,37,0,23,73,133
92,2238,473,68,37,0,23,73,133
93,2239,472,68,38,0,23,73,133
94,2238,472,68,38,0,23,73,133
95,2238,472,68,38,0,23,73,133
96,2238,472,68,38,0,23,73,133
97,2237,476,67,38,0,23,73,133
98,2237,473,67,39,0,23,73,133
99,2238,472,67,39,0,23,73,133
100,2238,472,67,38,0,23,73,133
101,2238,472,67,38,0,23,73,133
102,2237,476,67,38,0,23,73,133
103,2237,474,67,38,0,23,73,133
104,2236,477,67,38,0,23,73,133
105,2237,474,67,38,0,23,73,133
106,2238,473,66,38,0,23,73,133
107,2238,474,67,37,0,23,73,133
108,2239,474,66,37,0,23,73,133
109,2238,474,67,37,0,23,73,133
110,2238,474,66,36,0,23,73,133
111,2237,474,67,36,0,23,73,133
112,2237,474,67,36,0,23,73,133
113,2237,474,67,36,0,23,73,133
114,2237,474,67,36,0,23,73,133
115,2237,474,67,36,0,23,73,133
116,2237,474,67,36,0,23,73,133
117,2237,474,67,36,0,23,73,133
118,2237,474,67,36,0,23,73,133
119,2237,474,67,36,0,23,73,133
120,2236,474,67,36,0,23,73,133
