frameNo,left,top,w,h,conf,lat,long,alt
593,1935,1702,95,112,0,23,73,133
594,1934,1698,94,112,0,23,73,133
595,1933,1695,93,111,0,23,73,133
596,1931,1692,93,111,0,23,73,133
597,1930,1689,93,111,0,23,73,133
598,1928,1686,93,111,0,23,73,133
599,1927,1683,93,111,0,23,73,133
600,1925,1680,93,111,0,23,73,133
601,1924,1678,94,111,0,23,73,133
602,1922,1675,94,111,0,23,73,133
603,1921,1672,94,112,0,23,73,133
604,1919,1669,94,112,0,23,73,133
605,1918,1666,94,112,0,23,73,133
606,1916,1663,94,112,0,23,73,133
607,1914,1660,94,112,0,23,73,133
608,1913,1657,94,112,0,23,73,133
609,1911,1654,94,112,0,23,73,133
610,1910,1651,94,112,0,23,73,133
611,1908,1649,95,112,0,23,73,133
612,1907,1646,95,112,0,23,73,133
613,1905,1643,95,112,0,23,73,133
614,1904,1640,95,112,0,23,73,133
615,1902,1637,95,112,0,23,73,133
616,1900,1634,95,112,0,23,73,133
617,1899,1631,95,112,0,23,73,133
618,1897,1628,95,112,0,23,73,133
619,1896,1625,95,113,0,23,73,133
620,1894,1622,95,113,0,23,73,133
621,1893,1620,96,113,0,23,73,133
622,1891,1617,96,113,0,23,73,133
623,1890,1614,96,113,0,23,73,133
624,1888,1611,96,113,0,23,73,133
625,1887,1608,96,113,0,23,73,133
626,1885,1605,96,113,0,23,73,133
627,1886,1602,95,111,0,23,73,133
628,1885,1600,95,111,0,23,73,133
629,1884,1598,95,111,0,23,73,133
630,1883,1596,95,111,0,23,73,133
631,1882,1594,95,111,0,23,73,133
632,1881,1592,95,111,0,23,73,133
633,1880,1590,95,111,0,23,73,133
634,1879,1588,95,111,0,23,73,133
635,1878,1586,95,111,0,23,73,133
636,1877,1583,95,110,0,23,73,133
637,1876,1581,95,110,0,23,73,133
638,1875,1579,95,110,0,23,73,133
639,1874,1577,95,110,0,23,73,133
640,1873,1575,95,110,0,23,73,133
641,1872,1573,95,110,0,23,73,133
642,1871,1571,95,110,0,23,73,133
643,1870,1569,95,110,0,23,73,133
644,1869,1567,95,110,0,23,73,133
645,1868,1566,94,110,0,23,73,133
646,1866,1564,94,110,0,23,73,133
647,1865,1562,93,109,0,23,73,133
648,1864,1561,92,109,0,23,73,133
649,1863,1559,92,107,0,23,73,133
650,1862,1558,91,107,0,23,73,133
651,1862,1556,90,107,0,23,73,133
652,1861,1555,89,108,0,23,73,133
653,1861,1553,88,108,0,23,73,133
654,1860,1552,87,108,0,23,73,133
655,1861,1549,87,111,0,23,73,133
656,1860,1548,87,111,0,23,73,133
657,1859,1547,87,111,0,23,73,133
658,1859,1545,87,110,0,23,73,133
659,1858,1544,88,110,0,23,73,133
660,1857,1543,88,110,0,23,73,133
661,1856,1542,88,110,0,23,73,133
662,1856,1540,88,109,0,23,73,133
663,1855,1539,88,109,0,23,73,133
664,1854,1538,88,109,0,23,73,133
665,1853,1537,88,109,0,23,73,133
666,1852,1536,89,109,0,23,73,133
667,1852,1534,89,108,0,23,73,133
668,1851,1533,89,108,0,23,73,133
669,1850,1532,89,108,0,23,73,133
670,1849,1531,89,108,0,23,73,133
671,1849,1529,89,107,0,23,73,133
672,1848,1528,90,107,0,23,73,133
673,1847,1527,90,107,0,23,73,133
674,1846,1526,90,107,0,23,73,133
675,1845,1525,90,107,0,23,73,133
676,1845,1523,90,106,0,23,73,133
677,1844,1522,90,106,0,23,73,133
678,1843,1521,90,106,0,23,73,133
679,1842,1520,91,106,0,23,73,133
680,1842,1518,91,105,0,23,73,133
681,1841,1517,91,105,0,23,73,133
682,1840,1516,91,105,0,23,73,133
683,1841,1515,88,105,0,23,73,133
684,1838,1510,90,109,0,23,73,133
685,1837,1508,91,111,0,23,73,133
686,1840,1508,90,110,0,23,73,133
687,1842,1508,88,110,0,23,73,133
688,1840,1505,89,112,0,23,73,133
689,1838,1503,90,113,0,23,73,133
690,1837,1502,92,112,0,23,73,133
691,1836,1501,93,112,0,23,73,133
692,1837,1500,93,112,0,23,73,133
693,1837,1499,91,112,0,23,73,133
694,1836,1499,91,111,0,23,73,133
695,1836,1498,91,111,0,23,73,133
696,1835,1498,91,111,0,23,73,133
697,1835,1497,91,110,0,23,73,133
698,1835,1496,91,110,0,23,73,133
699,1834,1496,91,110,0,23,73,133
700,1834,1495,90,110,0,23,73,133
701,1834,1494,90,110,0,23,73,133
702,1833,1494,90,110,0,23,73,133
703,1833,1493,90,109,0,23,73,133
704,1833,1493,90,109,0,23,73,133
705,1833,1492,90,109,0,23,73,133
706,1832,1491,90,109,0,23,73,133
707,1832,1491,90,109,0,23,73,133
708,1832,1490,90,109,0,23,73,133
709,1831,1489,90,108,0,23,73,133
710,1831,1489,89,108,0,23,73,133
711,1831,1488,89,108,0,23,73,133
712,1830,1487,89,108,0,23,73,133
713,1830,1487,89,108,0,23,73,133
714,1830,1486,89,107,0,23,73,133
715,1829,1485,89,107,0,23,73,133
716,1829,1485,89,107,0,23,73,133
717,1829,1484,89,107,0,23,73,133
718,1828,1483,89,107,0,23,73,133
719,1828,1483,89,107,0,23,73,133
720,1828,1482,88,106,0,23,73,133
721,1828,1482,88,106,0,23,73,133
722,1827,1481,88,106,0,23,73,133
723,1827,1480,88,106,0,23,73,133
724,1827,1480,88,106,0,23,73,133
725,1826,1479,88,106,0,23,73,133
726,1826,1478,88,105,0,23,73,133
727,1826,1478,88,105,0,23,73,133
728,1825,1477,88,105,0,23,73,133
729,1825,1476,88,105,0,23,73,133
730,1825,1476,87,105,0,23,73,133
731,1824,1475,87,104,0,23,73,133
732,1824,1474,87,104,0,23,73,133
733,1824,1474,87,104,0,23,73,133
734,1823,1473,87,104,0,23,73,133
735,1823,1472,87,104,0,23,73,133
736,1823,1472,87,104,0,23,73,133
737,1823,1471,87,103,0,23,73,133
738,1822,1471,87,103,0,23,73,133
739,1822,1470,87,103,0,23,73,133
740,1822,1469,86,103,0,23,73,133
741,1821,1469,86,103,0,23,73,133
742,1821,1468,86,103,0,23,73,133
743,1821,1467,86,102,0,23,73,133
744,1820,1467,86,102,0,23,73,133
745,1820,1466,86,102,0,23,73,133
746,1820,1466,85,100,0,23,73,133
747,1821,1466,82,98,0,23,73,133
748,1819,1465,83,99,0,23,73,133
749,1818,1462,85,104,0,23,73,133
750,1818,1459,87,108,0,23,73,133
751,1818,1458,87,109,0,23,73,133
752,1820,1455,85,109,0,23,73,133
753,1822,1455,82,107,0,23,73,133
754,1821,1455,83,109,0,23,73,133
755,1823,1457,80,108,0,23,73,133
756,1823,1458,80,108,0,23,73,133
757,1823,1458,80,107,0,23,73,133
758,1822,1459,79,108,0,23,73,133
759,1819,1458,81,109,0,23,73,133
760,1818,1457,82,109,0,23,73,133
761,1817,1456,83,110,0,23,73,133
762,1816,1455,84,110,0,23,73,133
763,1814,1454,86,110,0,23,73,133
764,1813,1453,87,110,0,23,73,133
765,1812,1452,88,110,0,23,73,133
766,1811,1451,89,111,0,23,73,133
767,1810,1450,90,111,0,23,73,133
768,1805,1450,93,111,0,23,73,133
769,1805,1448,93,111,0,23,73,133
770,1804,1446,92,111,0,23,73,133
771,1804,1445,92,111,0,23,73,133
772,1803,1443,92,111,0,23,73,133
773,1803,1441,91,111,0,23,73,133
774,1802,1439,91,111,0,23,73,133
775,1802,1437,90,111,0,23,73,133
776,1802,1436,90,111,0,23,73,133
777,1801,1434,90,111,0,23,73,133
778,1801,1432,89,111,0,23,73,133
779,1800,1430,89,111,0,23,73,133
780,1800,1428,88,112,0,23,73,133
781,1800,1427,88,112,0,23,73,133
782,1799,1425,88,112,0,23,73,133
783,1799,1423,87,112,0,23,73,133
784,1798,1421,87,112,0,23,73,133
785,1798,1420,87,112,0,23,73,133
786,1798,1418,86,112,0,23,73,133
787,1797,1416,86,112,0,23,73,133
788,1797,1414,86,112,0,23,73,133
789,1796,1412,85,112,0,23,73,133
790,1796,1411,85,112,0,23,73,133
791,1795,1409,84,112,0,23,73,133
792,1795,1407,84,112,0,23,73,133
793,1797,1404,83,112,0,23,73,133
794,1797,1402,82,112,0,23,73,133
795,1793,1397,84,115,0,23,73,133
796,1795,1396,83,114,0,23,73,133
797,1791,1395,84,114,0,23,73,133
798,1789,1391,85,114,0,23,73,133
799,1786,1385,87,116,0,23,73,133
800,1785,1383,87,114,0,23,73,133
801,1783,1379,90,114,0,23,73,133
802,1783,1377,90,115,0,23,73,133
803,1782,1375,90,116,0,23,73,133
804,1781,1373,88,117,0,23,73,133
805,1781,1368,87,117,0,23,73,133
806,1780,1366,87,117,0,23,73,133
807,1779,1364,88,117,0,23,73,133
808,1775,1359,89,119,0,23,73,133
809,1773,1355,88,120,0,23,73,133
810,1772,1352,88,119,0,23,73,133
811,1771,1350,87,118,0,23,73,133
812,1770,1347,86,118,0,23,73,133
813,1769,1344,86,117,0,23,73,133
814,1768,1342,86,116,0,23,73,133
815,1768,1339,85,115,0,23,73,133
816,1767,1336,84,114,0,23,73,133
817,1766,1333,84,114,0,23,73,133
818,1765,1331,84,113,0,23,73,133
819,1764,1328,83,112,0,23,73,133
820,1764,1326,83,113,0,23,73,133
821,1764,1323,81,112,0,23,73,133
822,1763,1320,81,112,0,23,73,133
823,1761,1318,81,111,0,23,73,133
824,1760,1315,81,111,0,23,73,133
825,1759,1313,81,111,0,23,73,133
826,1758,1310,81,111,0,23,73,133
827,1756,1308,81,110,0,23,73,133
828,1755,1305,81,110,0,23,73,133
829,1756,1302,80,110,0,23,73,133
830,1755,1299,80,108,0,23,73,133
831,1754,1296,81,107,0,23,73,133
832,1752,1294,82,108,0,23,73,133
833,1750,1292,82,106,0,23,73,133
834,1751,1289,80,106,0,23,73,133
835,1748,1284,81,106,0,23,73,133
836,1747,1281,81,107,0,23,73,133
837,1744,1279,82,107,0,23,73,133
838,1744,1273,82,109,0,23,73,133
839,1742,1269,83,109,0,23,73,133
840,1742,1264,82,110,0,23,73,133
841,1741,1261,82,110,0,23,73,133
842,1741,1257,81,111,0,23,73,133
843,1739,1254,82,111,0,23,73,133
844,1739,1248,79,113,0,23,73,133
845,1737,1245,80,112,0,23,73,133
846,1735,1242,81,112,0,23,73,133
847,1734,1240,82,112,0,23,73,133
848,1732,1237,82,111,0,23,73,133
849,1730,1234,83,110,0,23,73,133
850,1728,1231,84,110,0,23,73,133
851,1727,1230,84,108,0,23,73,133
852,1725,1227,84,107,0,23,73,133
853,1724,1223,84,108,0,23,73,133
854,1723,1219,84,108,0,23,73,133
855,1722,1215,84,109,0,23,73,133
856,1721,1211,84,109,0,23,73,133
857,1720,1207,84,110,0,23,73,133
858,1718,1203,85,110,0,23,73,133
859,1717,1199,85,111,0,23,73,133
860,1716,1195,85,111,0,23,73,133
861,1715,1191,85,112,0,23,73,133
862,1714,1187,85,112,0,23,73,133
863,1713,1183,85,113,0,23,73,133
864,1713,1182,83,111,0,23,73,133
865,1709,1181,83,108,0,23,73,133
866,1708,1177,83,109,0,23,73,133
867,1707,1175,84,107,0,23,73,133
868,1707,1170,84,107,0,23,73,133
869,1706,1165,83,108,0,23,73,133
870,1706,1160,83,108,0,23,73,133
871,1706,1155,82,108,0,23,73,133
872,1705,1150,82,109,0,23,73,133
873,1705,1145,81,109,0,23,73,133
874,1705,1140,81,109,0,23,73,133
875,1704,1135,80,110,0,23,73,133
876,1704,1130,80,110,0,23,73,133
877,1703,1125,81,111,0,23,73,133
