frameNo,left,top,w,h,conf,lat,long,alt
1107,3703,1196,39,28,0,23,73,133
1108,3689,1196,37,27,0,23,73,133
1109,3669,1196,41,27,0,23,73,133
1110,3652,1197,43,28,0,23,73,133
1111,3638,1199,41,27,0,23,73,133
1112,3623,1200,42,25,0,23,73,133
1113,3604,1200,43,26,0,23,73,133
1114,3590,1201,42,26,0,23,73,133
1115,3575,1200,41,27,0,23,73,133
1116,3557,1201,40,27,0,23,73,133
1117,3540,1201,39,28,0,23,73,133
1118,3523,1202,40,28,0,23,73,133
1119,3506,1203,40,29,0,23,73,133
1120,3489,1203,40,29,0,23,73,133
1121,3469,1203,45,28,0,23,73,133
1122,3454,1205,43,28,0,23,73,133
1123,3439,1206,43,28,0,23,73,133
1124,3421,1207,43,29,0,23,73,133
1125,3406,1206,42,29,0,23,73,133
1126,3391,1206,42,29,0,23,73,133
1127,3374,1206,46,29,0,23,73,133
1128,3357,1205,49,28,0,23,73,133
1129,3341,1205,47,29,0,23,73,133
1130,3322,1206,49,28,0,23,73,133
1131,3304,1207,52,28,0,23,73,133
1132,3289,1209,52,27,0,23,73,133
1133,3271,1208,52,28,0,23,73,133
1134,3256,1208,51,27,0,23,73,133
1135,3239,1209,52,28,0,23,73,133
1136,3225,1210,51,27,0,23,73,133
1137,3209,1210,50,27,0,23,73,133
1138,3196,1209,46,28,0,23,73,133
1139,3185,1210,43,29,0,23,73,133
1140,3168,1210,43,29,0,23,73,133
1141,3154,1210,41,28,0,23,73,133
1142,3140,1211,39,29,0,23,73,133
1143,3121,1213,40,28,0,23,73,133
1144,3104,1213,41,28,0,23,73,133
1145,3086,1215,41,28,0,23,73,133
1146,3070,1215,44,28,0,23,73,133
1147,3051,1215,47,27,0,23,73,133
1148,3043,1215,47,27,0,23,73,133
1149,3024,1216,45,28,0,23,73,133
1150,3011,1217,44,28,0,23,73,133
1151,2990,1216,45,29,0,23,73,133
1152,2976,1216,42,29,0,23,73,133
