frameNo,left,top,w,h,conf,lat,long,alt
1,831,2012,77,144,0,23,73,133
2,830,2012,78,144,0,23,73,133
3,830,2012,77,144,0,23,73,133
4,830,2012,78,144,0,23,73,133
5,830,2012,78,144,0,23,73,133
6,830,2011,78,145,0,23,73,133
7,830,2012,78,144,0,23,73,133
8,830,2012,78,144,0,23,73,133
9,828,2012,80,145,0,23,73,133
10,827,2013,81,144,0,23,73,133
11,826,2013,82,144,0,23,73,133
12,826,2013,82,144,0,23,73,133
13,824,2013,84,144,0,23,73,133
14,823,2012,85,146,0,23,73,133
15,822,2012,86,146,0,23,73,133
16,819,2012,89,146,0,23,73,133
17,817,2012,91,147,0,23,73,133
18,816,2012,93,147,0,23,73,133
19,815,2012,95,147,0,23,73,133
20,814,2011,96,148,0,23,73,133
21,813,2011,96,148,0,23,73,133
22,812,2011,98,148,0,23,73,133
23,812,2010,98,149,0,23,73,133
24,812,2010,98,149,0,23,73,133
25,812,2010,98,149,0,23,73,133
26,811,2010,99,149,0,23,73,133
27,811,2010,99,149,0,23,73,133
28,811,2010,99,149,0,23,73,133
29,811,2010,99,149,0,23,73,133
30,810,2010,100,149,0,23,73,133
31,811,2011,99,148,0,23,73,133
32,811,2011,99,148,0,23,73,133
33,811,2010,99,149,0,23,73,133
34,812,2011,98,148,0,23,73,133
35,813,2012,98,147,0,23,73,133
36,813,2012,98,146,0,23,73,133
37,812,2012,98,147,0,23,73,133
38,812,2012,98,147,0,23,73,133
39,812,2012,98,147,0,23,73,133
40,812,2012,98,147,0,23,73,133
41,812,2012,98,147,0,23,73,133
42,812,2012,98,147,0,23,73,133
43,812,2012,98,147,0,23,73,133
44,812,2012,98,147,0,23,73,133
45,812,2012,98,147,0,23,73,133
46,813,2012,98,147,0,23,73,133
47,814,2012,97,147,0,23,73,133
48,815,2012,96,146,0,23,73,133
49,816,2012,95,146,0,23,73,133
50,816,2012,95,146,0,23,73,133
51,816,2012,95,146,0,23,73,133
52,816,2012,94,146,0,23,73,133
53,816,2012,95,145,0,23,73,133
54,816,2013,94,144,0,23,73,133
55,815,2013,95,144,0,23,73,133
56,815,2013,95,144,0,23,73,133
57,816,2013,95,144,0,23,73,133
58,814,2013,96,144,0,23,73,133
59,813,2012,97,146,0,23,73,133
60,812,2012,97,147,0,23,73,133
61,811,2012,98,147,0,23,73,133
62,810,2011,99,148,0,23,73,133
63,810,2011,100,148,0,23,73,133
64,810,2011,100,148,0,23,73,133
65,810,2011,99,147,0,23,73,133
66,811,2011,99,147,0,23,73,133
67,811,2011,99,147,0,23,73,133
68,811,2011,99,147,0,23,73,133
69,811,2011,98,147,0,23,73,133
70,812,2011,97,147,0,23,73,133
71,812,2011,97,147,0,23,73,133
72,812,2011,96,148,0,23,73,133
73,811,2011,97,148,0,23,73,133
74,811,2011,97,148,0,23,73,133
75,810,2011,98,146,0,23,73,133
76,810,2011,98,146,0,23,73,133
77,810,2012,98,144,0,23,73,133
78,810,2012,98,144,0,23,73,133
79,810,2013,99,143,0,23,73,133
80,810,2013,99,143,0,23,73,133
81,810,2013,98,143,0,23,73,133
82,809,2013,100,142,0,23,73,133
83,809,2013,100,142,0,23,73,133
84,810,2013,99,142,0,23,73,133
