frameNo,left,top,w,h,conf,lat,long,alt
1,1562,912,71,32,0.0,23.05595,72.506036,133.565
3,1575,909,68,33,0.0,23.05595,72.506036,133.565
10,1619,899,74,35,0.0,23.05595,72.506036,133.573
14,1647,893,66,35,0.0,23.05595,72.506036,133.585
15,1655,891,65,35,0.0,23.05595,72.506036,133.585
16,1660,889,64,34,0.0,23.05595,72.506036,133.585
17,1664,889,64,34,0.0,23.05595,72.506036,133.585
32,1745,872,56,31,0.0,23.05595,72.506036,133.618
44,1788,856,57,30,0.0,23.05595,72.506036,133.639
45,1795,857,60,31,0.0,23.05595,72.506036,133.639
50,1818,855,56,32,0.0,23.05595,72.506036,133.643
51,1820,854,57,34,0.0,23.05595,72.506036,133.643
57,1834,849,62,34,0.0,23.055951,72.506036,133.653
58,1846,847,59,33,0.0,23.055951,72.506036,133.653
65,1873,843,55,31,0.0,23.055951,72.506036,133.666
66,1878,843,53,30,0.0,23.055951,72.506036,133.666
67,1882,841,52,31,0.0,23.05595,72.506036,133.67
68,1887,839,51,32,0.0,23.05595,72.506036,133.67
69,1889,839,51,32,0.0,23.05595,72.506036,133.67
78,1912,825,62,34,0.0,23.05595,72.506036,133.677
79,1914,823,63,35,0.0,23.05595,72.506036,133.687
80,1916,821,65,36,0.0,23.05595,72.506036,133.687
81,1925,818,57,35,0.0,23.05595,72.506036,133.687
85,1928,817,68,38,0.0,23.05595,72.506036,133.701
86,1930,814,70,40,0.0,23.05595,72.506036,133.701
91,1944,809,73,41,0.0,23.05595,72.506036,133.714
92,1948,807,72,41,0.0,23.05595,72.506036,133.714
93,1950,805,74,42,0.0,23.05595,72.506036,133.714
94,1956,803,74,41,0.0,23.05595,72.506036,133.714
95,1960,801,75,41,0.0,23.05595,72.506036,133.714
96,1973,804,65,40,0.0,23.05595,72.506036,133.714
97,1971,800,69,41,0.0,23.05595,72.506036,133.723
104,1994,806,69,37,0.0,23.05595,72.506036,133.739
105,1997,806,69,36,0.0,23.05595,72.506036,133.739
106,2001,807,68,35,0.0,23.05595,72.506036,133.739
107,2003,807,68,35,0.0,23.05595,72.506036,133.739
108,2011,807,66,35,0.0,23.05595,72.506036,133.739
109,2017,806,63,34,0.0,23.05595,72.506036,133.746
116,2030,802,71,35,0.0,23.05595,72.506036,133.761
117,2033,802,72,36,0.0,23.05595,72.506036,133.761
118,2037,802,73,36,0.0,23.05595,72.506036,133.761
119,2046,803,70,35,0.0,23.05595,72.506036,133.761
120,2047,802,72,35,0.0,23.05595,72.506036,133.761
121,2051,801,72,35,0.0,23.05595,72.506036,133.772
122,2056,804,70,35,0.0,23.05595,72.506036,133.772
123,2062,808,66,33,0.0,23.05595,72.506036,133.772
124,2067,808,65,33,0.0,23.05595,72.506036,133.772
125,2066,806,66,34,0.0,23.05595,72.506036,133.772
126,2067,807,67,33,0.0,23.05595,72.506036,133.772
127,2071,806,69,34,0.0,23.05595,72.506036,133.779
128,2075,808,71,34,0.0,23.05595,72.506036,133.779
129,2083,809,67,31,0.0,23.05595,72.506036,133.779
132,2090,801,74,34,0.0,23.05595,72.506036,133.779
133,2093,802,73,34,0.0,23.05595,72.506036,133.791
134,2099,802,73,35,0.0,23.05595,72.506036,133.791
135,2102,803,74,34,0.0,23.05595,72.506036,133.791
136,2105,806,77,36,0.0,23.05595,72.506036,133.791
