frameNo,left,top,w,h,conf,lat,long,alt
3,2335,720,46,51,0.0,23.05595,72.506036,133.565
6,2335,721,46,50,0.0,23.05595,72.506036,133.565
10,2336,723,47,48,0.0,23.05595,72.506036,133.573
11,2336,722,46,49,0.0,23.05595,72.506036,133.573
12,2336,722,47,48,0.0,23.05595,72.506036,133.573
13,2335,723,47,47,0.0,23.05595,72.506036,133.585
14,2336,723,46,47,0.0,23.05595,72.506036,133.585
19,2336,722,45,48,0.0,23.05595,72.506036,133.593
20,2336,722,46,48,0.0,23.05595,72.506036,133.593
21,2336,722,46,48,0.0,23.05595,72.506036,133.593
22,2336,722,46,48,0.0,23.05595,72.506036,133.593
23,2336,722,46,48,0.0,23.05595,72.506036,133.593
24,2336,722,46,49,0.0,23.05595,72.506036,133.593
25,2335,722,46,49,0.0,23.055951,72.506036,133.607
26,2335,721,46,49,0.0,23.055951,72.506036,133.607
27,2335,721,46,50,0.0,23.055951,72.506036,133.607
28,2335,721,46,50,0.0,23.055951,72.506036,133.607
29,2335,721,47,51,0.0,23.055951,72.506036,133.607
30,2335,721,47,50,0.0,23.055951,72.506036,133.607
31,2335,721,47,51,0.0,23.05595,72.506036,133.618
32,2336,721,46,50,0.0,23.05595,72.506036,133.618
33,2336,721,45,51,0.0,23.05595,72.506036,133.618
34,2336,721,45,51,0.0,23.05595,72.506036,133.618
38,2336,720,46,51,0.0,23.05595,72.506036,133.628
39,2336,720,46,51,0.0,23.05595,72.506036,133.628
40,2336,720,46,52,0.0,23.05595,72.506036,133.628
41,2336,720,46,52,0.0,23.05595,72.506036,133.628
42,2336,719,46,52,0.0,23.05595,72.506036,133.628
47,2335,719,48,54,0.0,23.05595,72.506036,133.639
48,2335,719,48,53,0.0,23.05595,72.506036,133.639
49,2335,719,48,54,0.0,23.05595,72.506036,133.643
182,2332,713,57,56,0.0,23.05595,72.506036,133.854
183,2332,713,57,56,0.0,23.05595,72.506036,133.854
184,2333,714,56,55,0.0,23.05595,72.506036,133.854
185,2333,714,56,55,0.0,23.05595,72.506036,133.854
186,2332,714,57,55,0.0,23.05595,72.506036,133.854
187,2332,714,57,56,0.0,23.05595,72.506036,133.864
188,2332,714,58,56,0.0,23.05595,72.506036,133.864
189,2332,715,59,56,0.0,23.05595,72.506036,133.864
190,2332,715,59,57,0.0,23.05595,72.506037,133.864
191,2332,714,59,58,0.0,23.05595,72.506037,133.864
