frameNo,left,top,w,h,conf,lat,long,alt
3,2557,725,52,44,0.0,23.05595,72.506036,133.565
6,2556,727,46,42,0.0,23.05595,72.506036,133.565
7,2556,727,46,42,0.0,23.05595,72.506036,133.573
8,2556,727,46,42,0.0,23.05595,72.506036,133.573
9,2556,725,48,43,0.0,23.05595,72.506036,133.573
10,2556,725,49,44,0.0,23.05595,72.506036,133.573
11,2556,725,48,43,0.0,23.05595,72.506036,133.573
12,2556,725,48,43,0.0,23.05595,72.506036,133.573
13,2556,725,47,43,0.0,23.05595,72.506036,133.585
14,2556,725,48,43,0.0,23.05595,72.506036,133.585
15,2556,725,49,43,0.0,23.05595,72.506036,133.585
16,2557,724,48,44,0.0,23.05595,72.506036,133.585
17,2557,724,48,44,0.0,23.05595,72.506036,133.585
18,2557,725,48,43,0.0,23.05595,72.506036,133.585
19,2557,724,49,44,0.0,23.05595,72.506036,133.593
20,2557,723,49,44,0.0,23.05595,72.506036,133.593
21,2559,722,52,44,0.0,23.05595,72.506036,133.593
22,2560,722,53,44,0.0,23.05595,72.506036,133.593
23,2559,722,55,44,0.0,23.05595,72.506036,133.593
24,2559,722,55,43,0.0,23.05595,72.506036,133.593
25,2559,722,56,43,0.0,23.055951,72.506036,133.607
26,2557,723,54,44,0.0,23.055951,72.506036,133.607
27,2561,720,55,42,0.0,23.055951,72.506036,133.607
28,2562,719,56,41,0.0,23.055951,72.506036,133.607
29,2558,722,55,42,0.0,23.055951,72.506036,133.607
30,2556,723,54,43,0.0,23.055951,72.506036,133.607
31,2556,723,53,44,0.0,23.05595,72.506036,133.618
32,2556,724,52,44,0.0,23.05595,72.506036,133.618
33,2556,724,52,45,0.0,23.05595,72.506036,133.618
34,2561,721,54,42,0.0,23.05595,72.506036,133.618
35,2562,720,57,39,0.0,23.05595,72.506036,133.618
36,2562,720,59,38,0.0,23.05595,72.506036,133.618
37,2560,723,59,39,0.0,23.05595,72.506036,133.628
38,2560,722,61,38,0.0,23.05595,72.506036,133.628
39,2560,721,62,37,0.0,23.05595,72.506036,133.628
