frameNo,left,top,w,h,conf,lat,long,alt
1,2520,570,67,45,0.0,23.055986,72.506015,133.062
2,2520,570,65,45,0.0,23.055986,72.506015,133.062
3,2520,570,65,45,0.0,23.055986,72.506015,133.064
4,2520,570,65,46,0.0,23.055986,72.506015,133.064
5,2520,570,64,46,0.0,23.055986,72.506015,133.064
6,2521,569,65,46,0.0,23.055986,72.506015,133.064
7,2520,569,65,46,0.0,23.055986,72.506015,133.064
8,2521,570,64,46,0.0,23.055986,72.506015,133.064
9,2521,571,65,45,0.0,23.055986,72.506015,133.07
10,2520,571,65,44,0.0,23.055986,72.506015,133.07
11,2520,571,65,44,0.0,23.055986,72.506015,133.07
12,2518,572,65,44,0.0,23.055986,72.506015,133.07
13,2517,573,64,43,0.0,23.055986,72.506015,133.07
14,2517,574,63,42,0.0,23.055986,72.506015,133.07
15,2517,575,62,41,0.0,23.055986,72.506015,133.068
16,2516,574,63,42,0.0,23.055986,72.506015,133.068
17,2517,574,62,41,0.0,23.055986,72.506015,133.068
18,2516,574,63,41,0.0,23.055986,72.506015,133.068
19,2516,574,62,41,0.0,23.055986,72.506015,133.068
20,2517,574,63,41,0.0,23.055986,72.506015,133.068
21,2518,573,63,42,0.0,23.055987,72.506015,133.075
22,2518,573,64,41,0.0,23.055987,72.506015,133.075
23,2519,572,63,42,0.0,23.055987,72.506015,133.075
24,2519,571,64,42,0.0,23.055987,72.506015,133.075
25,2519,571,65,42,0.0,23.055987,72.506015,133.075
26,2519,570,66,43,0.0,23.055987,72.506015,133.075
27,2519,569,66,44,0.0,23.055986,72.506015,133.073
28,2519,569,67,44,0.0,23.055986,72.506015,133.073
29,2519,568,67,45,0.0,23.055986,72.506015,133.073
30,2519,569,67,44,0.0,23.055986,72.506015,133.073
31,2519,569,66,45,0.0,23.055986,72.506015,133.073
32,2519,570,66,44,0.0,23.055986,72.506015,133.073
33,2519,569,65,45,0.0,23.055987,72.506015,133.075
34,2519,569,65,45,0.0,23.055987,72.506015,133.075
35,2519,569,65,45,0.0,23.055987,72.506015,133.075
36,2519,569,66,45,0.0,23.055987,72.506015,133.075
37,2519,569,66,45,0.0,23.055987,72.506015,133.075
38,2519,569,66,45,0.0,23.055987,72.506015,133.075
39,2519,568,66,46,0.0,23.055987,72.506015,133.073
40,2519,569,67,45,0.0,23.055987,72.506015,133.073
41,2519,569,67,45,0.0,23.055987,72.506015,133.073
42,2519,569,66,45,0.0,23.055987,72.506015,133.073
43,2519,569,67,45,0.0,23.055987,72.506015,133.073
44,2519,569,67,45,0.0,23.055987,72.506015,133.073
45,2519,569,66,45,0.0,23.055987,72.506015,133.074
46,2519,570,66,44,0.0,23.055987,72.506015,133.074
47,2519,570,67,44,0.0,23.055987,72.506015,133.074
48,2519,569,67,45,0.0,23.055987,72.506015,133.074
49,2519,569,67,45,0.0,23.055987,72.506015,133.074
50,2519,568,67,45,0.0,23.055987,72.506015,133.074
51,2519,568,67,46,0.0,23.055987,72.506015,133.068
52,2519,567,67,47,0.0,23.055987,72.506015,133.068
53,2519,567,68,46,0.0,23.055987,72.506015,133.068
54,2519,567,69,47,0.0,23.055987,72.506015,133.068
55,2520,567,68,47,0.0,23.055987,72.506015,133.068
56,2520,567,69,47,0.0,23.055987,72.506015,133.068
57,2520,566,70,48,0.0,23.055987,72.506015,133.071
58,2520,566,70,48,0.0,23.055987,72.506015,133.071
59,2520,566,69,48,0.0,23.055987,72.506015,133.071
60,2520,566,69,48,0.0,23.055987,72.506015,133.071
61,2520,566,69,48,0.0,23.055987,72.506015,133.071
62,2520,565,69,49,0.0,23.055987,72.506015,133.071
63,2520,564,69,50,0.0,23.055987,72.506015,133.07
64,2520,564,69,50,0.0,23.055987,72.506015,133.07
65,2520,564,69,50,0.0,23.055987,72.506015,133.07
66,2520,564,69,50,0.0,23.055987,72.506015,133.07
67,2521,564,68,50,0.0,23.055987,72.506015,133.07
68,2521,564,68,50,0.0,23.055987,72.506015,133.07
69,2521,563,68,51,0.0,23.055987,72.506015,133.075
70,2522,564,66,50,0.0,23.055987,72.506015,133.075
71,2522,564,65,51,0.0,23.055987,72.506015,133.075
72,2522,564,65,52,0.0,23.055987,72.506015,133.075
73,2523,564,64,53,0.0,23.055987,72.506015,133.075
74,2523,565,64,52,0.0,23.055987,72.506015,133.075
75,2523,565,64,53,0.0,23.055987,72.506015,133.077
76,2522,566,65,52,0.0,23.055987,72.506015,133.077
77,2521,565,65,53,0.0,23.055987,72.506015,133.077
78,2522,564,65,54,0.0,23.055987,72.506015,133.077
79,2522,564,65,54,0.0,23.055987,72.506015,133.077
80,2522,564,66,54,0.0,23.055987,72.506015,133.077
81,2521,563,67,55,0.0,23.055987,72.506015,133.087
82,2521,563,67,55,0.0,23.055987,72.506015,133.087
83,2522,563,67,55,0.0,23.055987,72.506015,133.087
84,2521,562,69,56,0.0,23.055987,72.506015,133.087
85,2521,562,69,56,0.0,23.055987,72.506015,133.087
86,2521,563,70,54,0.0,23.055987,72.506015,133.087
87,2521,563,70,54,0.0,23.055987,72.506015,133.096
88,2520,563,70,54,0.0,23.055987,72.506015,133.096
89,2521,563,69,55,0.0,23.055987,72.506015,133.096
90,2521,563,69,54,0.0,23.055987,72.506015,133.096
91,2521,563,69,55,0.0,23.055987,72.506015,133.096
92,2522,563,68,55,0.0,23.055987,72.506015,133.096
93,2522,563,68,54,0.0,23.055987,72.506015,133.101
94,2521,563,69,54,0.0,23.055987,72.506015,133.101
95,2522,563,68,54,0.0,23.055987,72.506015,133.101
96,2522,563,68,55,0.0,23.055987,72.506015,133.101
97,2521,563,68,55,0.0,23.055987,72.506015,133.101
98,2522,563,67,55,0.0,23.055987,72.506015,133.101
99,2522,564,67,53,0.0,23.055987,72.506015,133.107
100,2522,564,67,54,0.0,23.055987,72.506015,133.107
101,2522,564,66,54,0.0,23.055987,72.506015,133.107
102,2522,564,65,54,0.0,23.055987,72.506015,133.107
103,2522,565,65,53,0.0,23.055987,72.506015,133.107
104,2522,565,64,53,0.0,23.055987,72.506015,133.107
105,2522,565,64,53,0.0,23.055987,72.506015,133.106
106,2522,565,64,53,0.0,23.055987,72.506015,133.106
107,2522,565,64,52,0.0,23.055987,72.506015,133.106
108,2522,565,65,53,0.0,23.055987,72.506015,133.106
109,2522,565,65,52,0.0,23.055987,72.506015,133.106
110,2522,565,66,53,0.0,23.055987,72.506015,133.106
111,2523,565,64,52,0.0,23.055987,72.506015,133.107
112,2522,565,65,52,0.0,23.055987,72.506015,133.107
113,2522,566,65,51,0.0,23.055987,72.506015,133.107
114,2522,565,64,52,0.0,23.055987,72.506015,133.107
115,2521,566,64,51,0.0,23.055987,72.506015,133.107
116,2522,567,63,51,0.0,23.055987,72.506015,133.107
117,2521,568,63,50,0.0,23.055987,72.506015,133.107
118,2521,568,64,50,0.0,23.055987,72.506015,133.107
119,2522,568,63,50,0.0,23.055987,72.506015,133.107
120,2522,567,64,51,0.0,23.055987,72.506015,133.107
121,2522,567,64,50,0.0,23.055987,72.506015,133.107
122,2522,567,63,50,0.0,23.055987,72.506015,133.107
123,2522,568,64,50,0.0,23.055987,72.506015,133.108
124,2523,568,64,50,0.0,23.055987,72.506015,133.108
125,2523,568,65,50,0.0,23.055987,72.506015,133.108
126,2524,568,65,50,0.0,23.055987,72.506015,133.108
127,2524,568,66,50,0.0,23.055987,72.506015,133.108
128,2523,568,67,50,0.0,23.055987,72.506015,133.108
129,2523,567,66,51,0.0,23.055987,72.506015,133.096
130,2523,566,67,52,0.0,23.055987,72.506015,133.096
131,2523,566,67,51,0.0,23.055987,72.506015,133.096
132,2523,566,68,51,0.0,23.055987,72.506015,133.096
133,2523,567,69,50,0.0,23.055987,72.506015,133.096
134,2524,567,68,51,0.0,23.055987,72.506015,133.096
135,2524,567,69,51,0.0,23.055987,72.506015,133.09
136,2524,567,69,51,0.0,23.055987,72.506015,133.09
137,2524,566,69,51,0.0,23.055987,72.506015,133.09
138,2523,566,70,51,0.0,23.055987,72.506015,133.09
139,2523,567,69,51,0.0,23.055987,72.506015,133.09
140,2523,567,70,51,0.0,23.055987,72.506015,133.09
141,2523,567,70,51,0.0,23.055987,72.506015,133.088
