frameNo,left,top,w,h,conf,lat,long,alt
682,2238,478,69,37,0.0,23.055987,72.506014,132.69
689,2236,479,72,38,0.0,23.055987,72.506014,132.69
690,2236,479,73,38,0.0,23.055987,72.506014,132.69
691,2237,479,73,38,0.0,23.055987,72.506014,132.69
692,2237,479,72,38,0.0,23.055987,72.506014,132.69
693,2237,479,72,38,0.0,23.055987,72.506014,132.684
694,2237,478,72,38,0.0,23.055987,72.506014,132.684
695,2236,479,72,37,0.0,23.055987,72.506014,132.684
696,2236,478,72,38,0.0,23.055987,72.506014,132.684
697,2236,478,71,38,0.0,23.055987,72.506014,132.684
701,2236,479,70,37,0.0,23.055987,72.506014,132.689
854,2236,478,65,36,0.0,23.055988,72.506014,132.711
855,2236,477,64,37,0.0,23.055988,72.506014,132.708
856,2236,476,65,37,0.0,23.055988,72.506014,132.708
863,2236,478,65,36,0.0,23.055988,72.506014,132.701
864,2236,477,65,37,0.0,23.055988,72.506014,132.701
865,2236,477,66,37,0.0,23.055988,72.506014,132.701
870,2236,476,65,37,0.0,23.055988,72.506014,132.696
958,2235,476,77,41,0.0,23.055988,72.506015,132.593
959,2235,477,76,41,0.0,23.055988,72.506015,132.593
963,2235,472,78,42,0.0,23.055988,72.506015,132.583
964,2235,473,79,42,0.0,23.055988,72.506015,132.583
965,2235,474,79,42,0.0,23.055988,72.506015,132.583
966,2235,476,78,42,0.0,23.055988,72.506015,132.583
967,2235,476,78,41,0.0,23.055988,72.506015,132.583
968,2235,476,78,41,0.0,23.055988,72.506015,132.58
969,2235,473,78,42,0.0,23.055988,72.506015,132.58
970,2235,473,78,42,0.0,23.055988,72.506015,132.58
971,2235,473,78,42,0.0,23.055988,72.506015,132.58
972,2235,473,78,42,0.0,23.055988,72.506015,132.58
973,2235,473,77,41,0.0,23.055988,72.506015,132.58
974,2234,473,77,41,0.0,23.055988,72.506015,132.574
975,2235,473,76,42,0.0,23.055988,72.506015,132.574
976,2235,473,76,42,0.0,23.055988,72.506015,132.574
977,2234,472,76,42,0.0,23.055988,72.506015,132.574
978,2234,474,76,41,0.0,23.055988,72.506015,132.574
979,2234,474,76,41,0.0,23.055988,72.506015,132.574
980,2234,473,76,41,0.0,23.055988,72.506015,132.572
