frameNo,left,top,w,h,conf,lat,long,alt
206,2321,458,47,40,0.0,23.055988,72.506015,132.967
216,2314,457,55,41,0.0,23.055988,72.506015,132.992
220,2314,457,54,41,0.0,23.055988,72.506015,133.003
221,2313,458,54,40,0.0,23.055988,72.506014,133.003
222,2313,458,55,40,0.0,23.055988,72.506014,133.003
223,2314,457,54,41,0.0,23.055988,72.506014,133.003
224,2315,457,55,40,0.0,23.055988,72.506014,133.003
225,2316,457,55,39,0.0,23.055988,72.506014,133.003
226,2316,457,55,40,0.0,23.055988,72.506014,133.011
227,2316,457,54,40,0.0,23.055988,72.506015,133.011
228,2316,456,54,40,0.0,23.055988,72.506015,133.011
229,2316,456,54,40,0.0,23.055988,72.506015,133.011
230,2314,457,55,40,0.0,23.055988,72.506015,133.011
235,2313,457,56,40,0.0,23.055988,72.506014,133.016
236,2314,457,55,40,0.0,23.055988,72.506014,133.016
242,2312,457,57,41,0.0,23.055988,72.506014,133.021
243,2312,458,56,40,0.0,23.055988,72.506014,133.021
244,2313,458,56,40,0.0,23.055988,72.506014,133.021
245,2313,458,56,40,0.0,23.055988,72.506015,133.02
246,2314,457,56,40,0.0,23.055988,72.506015,133.02
247,2314,457,56,41,0.0,23.055988,72.506015,133.02
248,2313,457,56,41,0.0,23.055988,72.506015,133.02
249,2314,457,56,40,0.0,23.055988,72.506015,133.02
250,2312,457,57,41,0.0,23.055988,72.506015,133.018
251,2310,458,57,41,0.0,23.055988,72.506015,133.018
252,2309,457,57,42,0.0,23.055988,72.506015,133.018
253,2307,458,58,42,0.0,23.055988,72.506015,133.018
254,2307,457,58,43,0.0,23.055988,72.506015,133.018
255,2303,458,60,43,0.0,23.055988,72.506015,133.018
256,2302,459,60,43,0.0,23.055988,72.506015,133.029
257,2302,459,60,43,0.0,23.055988,72.506015,133.029
258,2299,460,61,43,0.0,23.055988,72.506015,133.029
263,2291,461,66,44,0.0,23.055988,72.506015,133.033
264,2289,461,68,44,0.0,23.055988,72.506015,133.033
268,2280,460,72,43,0.0,23.055988,72.506015,133.033
269,2276,460,74,43,0.0,23.055988,72.506015,133.039
270,2277,460,73,44,0.0,23.055988,72.506015,133.039
390,2287,462,70,42,0.0,23.055987,72.506014,133.156
391,2291,464,67,41,0.0,23.055987,72.506014,133.156
392,2291,463,68,41,0.0,23.055987,72.506014,133.156
396,2294,464,64,41,0.0,23.055987,72.506014,133.171
397,2292,463,65,41,0.0,23.055987,72.506014,133.171
413,2289,463,67,42,0.0,23.055987,72.506014,133.214
414,2299,466,62,41,0.0,23.055987,72.506014,133.214
415,2302,467,59,41,0.0,23.055987,72.506014,133.214
442,2308,468,51,40,0.0,23.055988,72.506015,133.242
471,2320,456,52,39,0.0,23.055988,72.506015,133.237
472,2320,455,52,40,0.0,23.055988,72.506015,133.231
473,2320,455,52,39,0.0,23.055988,72.506015,133.231
474,2319,456,53,39,0.0,23.055988,72.506015,133.231
475,2320,456,52,39,0.0,23.055988,72.506015,133.231
476,2321,455,52,39,0.0,23.055988,72.506015,133.231
477,2322,455,51,39,0.0,23.055988,72.506015,133.231
478,2322,454,50,40,0.0,23.055988,72.506015,133.232
479,2323,454,49,40,0.0,23.055988,72.506015,133.232
480,2322,455,50,39,0.0,23.055988,72.506015,133.232
481,2321,455,51,39,0.0,23.055988,72.506015,133.232
482,2320,455,52,39,0.0,23.055988,72.506015,133.232
483,2320,455,52,39,0.0,23.055988,72.506015,133.232
484,2320,455,52,39,0.0,23.055988,72.506015,133.224
485,2320,455,52,39,0.0,23.055988,72.506015,133.224
486,2320,455,52,39,0.0,23.055988,72.506015,133.224
487,2320,454,53,40,0.0,23.055988,72.506015,133.224
488,2321,454,52,40,0.0,23.055988,72.506015,133.224
489,2321,453,51,40,0.0,23.055988,72.506015,133.224
490,2321,454,51,40,0.0,23.055988,72.506015,133.218
491,2321,454,52,40,0.0,23.055988,72.506015,133.218
492,2320,454,52,40,0.0,23.055988,72.506015,133.218
493,2320,455,52,39,0.0,23.055988,72.506015,133.218
494,2321,454,50,40,0.0,23.055988,72.506015,133.218
495,2322,454,49,41,0.0,23.055988,72.506015,133.218
496,2321,454,49,40,0.0,23.055988,72.506015,133.219
497,2321,455,48,40,0.0,23.055988,72.506015,133.219
513,2313,460,51,39,0.0,23.055988,72.506015,133.212
