frameNo,left,top,w,h,conf,lat,long,alt
1246,1307,5,52,64,0.0,23.055986,72.506015,133.314
1247,1307,9,53,65,0.0,23.055986,72.506015,133.314
1248,1311,12,52,67,0.0,23.055986,72.506015,133.314
1249,1312,16,52,67,0.0,23.055986,72.506015,133.314
1250,1315,19,51,70,0.0,23.055986,72.506015,133.314
1251,1316,21,52,73,0.0,23.055986,72.506015,133.314
1252,1318,26,51,74,0.0,23.055986,72.506015,133.305
1253,1322,34,50,73,0.0,23.055986,72.506015,133.305
1254,1326,42,48,72,0.0,23.055986,72.506015,133.305
1255,1327,47,48,73,0.0,23.055986,72.506015,133.305
1256,1330,51,46,73,0.0,23.055986,72.506015,133.305
1257,1332,58,47,73,0.0,23.055986,72.506015,133.305
1258,1335,64,47,73,0.0,23.055986,72.506015,133.297
1259,1339,69,45,72,0.0,23.055986,72.506015,133.297
1260,1342,74,43,72,0.0,23.055986,72.506015,133.297
1261,1343,80,43,72,0.0,23.055986,72.506015,133.297
1262,1344,87,43,71,0.0,23.055986,72.506015,133.297
1263,1345,93,43,71,0.0,23.055986,72.506015,133.297
1264,1347,99,42,71,0.0,23.055986,72.506015,133.286
1265,1348,103,42,73,0.0,23.055986,72.506015,133.286
1266,1349,108,43,74,0.0,23.055986,72.506015,133.286
1267,1351,113,42,75,0.0,23.055986,72.506015,133.286
1268,1353,118,42,74,0.0,23.055986,72.506015,133.286
1269,1354,124,43,72,0.0,23.055986,72.506015,133.286
1270,1353,129,44,73,0.0,23.055986,72.506015,133.274
1271,1355,135,43,73,0.0,23.055986,72.506015,133.274
1272,1357,139,42,74,0.0,23.055986,72.506015,133.274
1273,1360,143,40,73,0.0,23.055986,72.506015,133.274
1274,1360,149,42,74,0.0,23.055986,72.506015,133.274
1275,1361,156,42,74,0.0,23.055986,72.506015,133.274
1276,1362,163,42,74,0.0,23.055986,72.506015,133.268
1277,1364,169,42,72,0.0,23.055986,72.506015,133.268
1278,1365,174,42,71,0.0,23.055986,72.506015,133.268
1279,1368,179,41,71,0.0,23.055986,72.506015,133.268
1280,1369,186,41,72,0.0,23.055986,72.506015,133.268
1281,1371,191,40,72,0.0,23.055986,72.506015,133.26
1282,1370,198,40,71,0.0,23.055987,72.506015,133.26
1283,1370,204,41,71,0.0,23.055987,72.506015,133.26
1284,1370,210,41,72,0.0,23.055987,72.506015,133.26
1285,1371,215,41,73,0.0,23.055987,72.506015,133.26
1286,1372,220,41,73,0.0,23.055987,72.506015,133.26
1287,1374,224,39,72,0.0,23.055987,72.506015,133.26
1288,1375,231,38,71,0.0,23.055987,72.506015,133.255
1289,1377,238,37,70,0.0,23.055987,72.506015,133.255
1290,1378,243,36,70,0.0,23.055987,72.506015,133.255
1291,1378,248,37,70,0.0,23.055987,72.506015,133.255
1292,1377,254,38,69,0.0,23.055987,72.506015,133.255
1293,1377,260,38,68,0.0,23.055987,72.506015,133.255
1294,1378,264,37,68,0.0,23.055987,72.506015,133.246
1295,1380,270,37,69,0.0,23.055987,72.506015,133.246
1296,1382,276,36,69,0.0,23.055987,72.506015,133.246
1297,1383,282,35,69,0.0,23.055987,72.506015,133.246
1298,1384,287,35,70,0.0,23.055987,72.506015,133.246
1299,1384,291,34,70,0.0,23.055987,72.506015,133.246
1300,1383,296,35,70,0.0,23.055987,72.506015,133.245
1301,1384,302,35,69,0.0,23.055987,72.506015,133.245
1302,1382,307,36,69,0.0,23.055987,72.506015,133.245
1303,1381,311,37,69,0.0,23.055987,72.506015,133.245
1304,1381,316,36,69,0.0,23.055987,72.506015,133.245
1305,1381,321,37,67,0.0,23.055987,72.506015,133.241
1306,1382,326,36,68,0.0,23.055987,72.506015,133.241
1307,1382,332,36,67,0.0,23.055987,72.506015,133.241
1308,1383,337,34,67,0.0,23.055987,72.506015,133.241
1356,1379,523,37,74,0.0,23.055987,72.506015,133.249
1357,1377,523,39,76,0.0,23.055987,72.506014,133.249
1358,1377,525,39,77,0.0,23.055987,72.506014,133.249
1359,1377,528,38,77,0.0,23.055987,72.506014,133.249
1360,1377,532,39,75,0.0,23.055987,72.506015,133.249
1361,1376,535,39,74,0.0,23.055987,72.506015,133.249
1362,1375,542,38,71,0.0,23.055987,72.506015,133.249
1363,1373,545,39,70,0.0,23.055987,72.506015,133.249
1364,1375,548,38,70,0.0,23.055987,72.506015,133.249
1365,1372,549,40,70,0.0,23.055987,72.506015,133.249
1366,1370,551,41,72,0.0,23.055987,72.506015,133.249
1367,1369,552,41,73,0.0,23.055987,72.506015,133.249
1368,1367,556,42,73,0.0,23.055987,72.506015,133.249
1372,1356,568,52,72,0.0,23.055987,72.506014,133.249
1373,1355,571,53,72,0.0,23.055987,72.506014,133.249
