frameNo,left,top,w,h,conf,lat,long,alt
1667,3719,1156,66,28,0.0,23.055988,72.506015,133.215
1668,3714,1156,59,28,0.0,23.055988,72.506015,133.215
1669,3706,1157,56,28,0.0,23.055988,72.506015,133.215
1670,3697,1156,60,29,0.0,23.055988,72.506015,133.215
1671,3685,1155,63,30,0.0,23.055988,72.506015,133.192
1672,3678,1155,57,30,0.0,23.055988,72.506015,133.192
1673,3671,1156,53,28,0.0,23.055988,72.506015,133.192
1674,3664,1156,52,29,0.0,23.055988,72.506015,133.192
1675,3652,1156,57,30,0.0,23.055988,72.506015,133.192
1676,3643,1155,61,30,0.0,23.055988,72.506015,133.192
1677,3634,1156,56,30,0.0,23.055988,72.506015,133.175
1678,3626,1156,58,30,0.0,23.055988,72.506015,133.175
1679,3620,1156,55,29,0.0,23.055988,72.506015,133.175
1680,3611,1158,54,30,0.0,23.055988,72.506015,133.175
1681,3601,1155,57,31,0.0,23.055988,72.506015,133.175
1682,3591,1155,59,31,0.0,23.055988,72.506015,133.175
1683,3584,1156,56,31,0.0,23.055987,72.506014,133.157
1684,3576,1157,53,30,0.0,23.055987,72.506014,133.157
1685,3572,1157,51,29,0.0,23.055987,72.506014,133.157
1686,3559,1156,54,30,0.0,23.055987,72.506014,133.157
1687,3550,1156,58,30,0.0,23.055987,72.506014,133.157
1688,3539,1157,61,30,0.0,23.055987,72.506014,133.157
1689,3530,1156,60,30,0.0,23.055987,72.506014,133.149
1690,3523,1157,59,30,0.0,23.055987,72.506014,133.149
1691,3514,1157,60,30,0.0,23.055987,72.506014,133.149
1692,3506,1157,62,30,0.0,23.055987,72.506014,133.149
1693,3498,1157,62,31,0.0,23.055987,72.506014,133.149
1694,3487,1158,62,30,0.0,23.055987,72.506014,133.149
1695,3480,1157,63,31,0.0,23.055987,72.506015,133.134
1696,3475,1159,60,30,0.0,23.055987,72.506015,133.134
1697,3466,1159,59,30,0.0,23.055987,72.506015,133.134
1698,3459,1159,60,30,0.0,23.055987,72.506015,133.134
1699,3450,1160,59,32,0.0,23.055987,72.506015,133.134
1700,3441,1159,60,31,0.0,23.055987,72.506015,133.134
1701,3433,1159,61,31,0.0,23.055987,72.506014,133.125
1702,3427,1159,58,31,0.0,23.055987,72.506014,133.125
1703,3418,1158,59,31,0.0,23.055987,72.506014,133.125
1704,3411,1158,60,31,0.0,23.055987,72.506014,133.125
1705,3405,1158,59,31,0.0,23.055987,72.506014,133.125
1706,3396,1159,56,31,0.0,23.055987,72.506014,133.125
1707,3389,1160,55,30,0.0,23.055987,72.506014,133.115
1708,3384,1159,53,30,0.0,23.055987,72.506014,133.115
1709,3380,1159,51,30,0.0,23.055987,72.506014,133.115
1710,3370,1159,52,30,0.0,23.055987,72.506014,133.115
1711,3361,1159,54,31,0.0,23.055987,72.506014,133.115
1712,3353,1160,54,30,0.0,23.055987,72.506014,133.115
1713,3345,1160,55,30,0.0,23.055987,72.506015,133.109
1714,3337,1159,55,30,0.0,23.055987,72.506015,133.109
1715,3333,1159,52,30,0.0,23.055987,72.506015,133.109
1716,3325,1159,53,30,0.0,23.055987,72.506015,133.109
1717,3318,1159,53,30,0.0,23.055987,72.506015,133.109
1718,3309,1159,53,30,0.0,23.055987,72.506015,133.109
1719,3300,1159,55,30,0.0,23.055987,72.506015,133.103
1720,3293,1160,55,30,0.0,23.055987,72.506015,133.103
1721,3286,1160,57,30,0.0,23.055987,72.506015,133.103
1722,3277,1160,57,30,0.0,23.055987,72.506015,133.103
1723,3270,1160,58,31,0.0,23.055987,72.506015,133.103
1724,3264,1160,57,31,0.0,23.055987,72.506015,133.103
1725,3258,1160,56,31,0.0,23.055987,72.506015,133.099
1726,3251,1161,57,30,0.0,23.055987,72.506015,133.099
1727,3245,1161,56,30,0.0,23.055987,72.506015,133.099
1728,3238,1161,56,30,0.0,23.055987,72.506015,133.099
1729,3232,1161,53,30,0.0,23.055987,72.506015,133.099
1730,3228,1161,50,31,0.0,23.055987,72.506015,133.099
1731,3222,1161,47,31,0.0,23.055987,72.506015,133.097
1732,3216,1161,45,31,0.0,23.055987,72.506015,133.097
1733,3209,1161,46,31,0.0,23.055987,72.506015,133.097
1734,3201,1161,49,31,0.0,23.055987,72.506015,133.097
1735,3193,1161,52,31,0.0,23.055987,72.506015,133.097
1736,3187,1161,53,31,0.0,23.055987,72.506015,133.097
1737,3181,1162,51,31,0.0,23.055987,72.506014,133.099
1738,3175,1162,49,31,0.0,23.055987,72.506014,133.099
1739,3168,1162,47,32,0.0,23.055987,72.506014,133.099
1740,3163,1162,45,32,0.0,23.055987,72.506014,133.099
1741,3159,1162,44,32,0.0,23.055987,72.506014,133.099
1742,3151,1161,44,31,0.0,23.055987,72.506014,133.099
1743,3146,1162,45,31,0.0,23.055987,72.506015,133.1
1744,3143,1163,45,31,0.0,23.055987,72.506015,133.1
1745,3134,1162,46,31,0.0,23.055987,72.506015,133.1
1746,3125,1162,47,30,0.0,23.055987,72.506015,133.1
1747,3118,1161,48,30,0.0,23.055987,72.506015,133.1
1748,3112,1161,49,30,0.0,23.055987,72.506015,133.1
1749,3105,1162,50,30,0.0,23.055987,72.506015,133.092
1750,3098,1163,51,30,0.0,23.055987,72.506015,133.092
1751,3093,1163,51,30,0.0,23.055987,72.506015,133.092
1752,3086,1165,50,30,0.0,23.055987,72.506015,133.092
1753,3081,1164,48,31,0.0,23.055987,72.506015,133.092
1754,3071,1164,50,30,0.0,23.055987,72.506015,133.092
1755,3063,1163,51,30,0.0,23.055987,72.506015,133.093
1756,3056,1163,52,31,0.0,23.055987,72.506015,133.093
1757,3050,1163,51,31,0.0,23.055987,72.506015,133.093
1758,3044,1164,52,29,0.0,23.055987,72.506015,133.093
1759,3039,1164,53,30,0.0,23.055987,72.506015,133.093
1760,3034,1165,52,30,0.0,23.055987,72.506015,133.093
1761,3028,1166,50,30,0.0,23.055987,72.506015,133.091
1762,3021,1165,50,29,0.0,23.055987,72.506015,133.091
1763,3013,1165,52,30,0.0,23.055987,72.506015,133.091
1764,3008,1165,51,29,0.0,23.055987,72.506015,133.091
1765,3001,1165,51,29,0.0,23.055987,72.506015,133.091
1766,2996,1165,51,29,0.0,23.055987,72.506015,133.091
1767,2991,1166,52,29,0.0,23.055987,72.506015,133.081
1768,2986,1167,50,30,0.0,23.055987,72.506015,133.081
1769,2979,1168,49,30,0.0,23.055987,72.506015,133.081
1770,2973,1168,48,30,0.0,23.055987,72.506015,133.081
1771,2967,1166,47,30,0.0,23.055987,72.506015,133.081
1772,2963,1165,45,31,0.0,23.055987,72.506015,133.081
1773,2958,1165,45,30,0.0,23.055987,72.506015,133.073
1774,2953,1165,45,30,0.0,23.055987,72.506015,133.073
1775,2950,1165,45,31,0.0,23.055987,72.506015,133.073
1776,2945,1166,45,31,0.0,23.055987,72.506015,133.073
1777,2938,1167,44,31,0.0,23.055987,72.506015,133.073
1778,2930,1166,44,30,0.0,23.055987,72.506015,133.073
1779,2924,1166,44,30,0.0,23.055987,72.506015,133.069
1780,2919,1167,45,30,0.0,23.055987,72.506015,133.069
1781,2911,1166,47,31,0.0,23.055987,72.506015,133.069
1782,2906,1165,47,30,0.0,23.055987,72.506015,133.069
1783,2901,1165,48,31,0.0,23.055987,72.506015,133.069
1784,2894,1165,48,31,0.0,23.055987,72.506015,133.069
1785,2887,1166,47,31,0.0,23.055987,72.506015,133.066
1786,2880,1167,48,31,0.0,23.055987,72.506015,133.066
1787,2875,1167,47,31,0.0,23.055987,72.506015,133.066
1788,2870,1167,46,31,0.0,23.055987,72.506015,133.066
1789,2862,1166,48,31,0.0,23.055987,72.506015,133.066
1790,2856,1166,49,30,0.0,23.055987,72.506015,133.066
1791,2852,1166,49,30,0.0,23.055987,72.506015,133.063
1792,2846,1167,47,31,0.0,23.055987,72.506015,133.063
1793,2839,1168,48,31,0.0,23.055987,72.506015,133.063
1794,2833,1168,46,31,0.0,23.055987,72.506015,133.063
1795,2829,1168,45,31,0.0,23.055987,72.506015,133.063
1796,2823,1167,45,31,0.0,23.055987,72.506015,133.063
1797,2818,1168,44,31,0.0,23.055987,72.506015,133.066
1798,2811,1168,46,31,0.0,23.055987,72.506015,133.066
1799,2807,1168,46,30,0.0,23.055987,72.506015,133.066
1800,2800,1168,48,30,0.0,23.055987,72.506015,133.066
1801,2794,1169,47,31,0.0,23.055987,72.506015,133.066
1802,2787,1169,48,31,0.0,23.055987,72.506015,133.066
1803,2782,1170,49,31,0.0,23.055987,72.506015,133.063
1804,2775,1170,49,32,0.0,23.055987,72.506015,133.063
1805,2768,1169,49,32,0.0,23.055987,72.506015,133.063
1806,2763,1169,49,31,0.0,23.055987,72.506015,133.063
1807,2757,1168,50,31,0.0,23.055987,72.506015,133.063
1808,2750,1169,52,31,0.0,23.055987,72.506015,133.063
1809,2744,1172,51,31,0.0,23.055987,72.506015,133.057
1810,2740,1173,49,31,0.0,23.055987,72.506015,133.057
1811,2735,1173,50,31,0.0,23.055987,72.506015,133.057
1812,2730,1173,49,31,0.0,23.055987,72.506015,133.057
1813,2727,1174,46,30,0.0,23.055987,72.506015,133.057
1814,2720,1172,45,31,0.0,23.055987,72.506015,133.057
1815,2714,1172,46,30,0.0,23.055987,72.506015,133.056
1816,2709,1174,46,29,0.0,23.055987,72.506015,133.056
1817,2703,1176,46,28,0.0,23.055987,72.506015,133.056
1818,2698,1178,46,28,0.0,23.055987,72.506015,133.056
1819,2693,1179,46,28,0.0,23.055987,72.506015,133.056
1820,2690,1179,45,28,0.0,23.055987,72.506015,133.056
1821,2687,1179,44,28,0.0,23.055987,72.506015,133.053
1822,2683,1178,42,28,0.0,23.055987,72.506015,133.053
1823,2675,1176,42,29,0.0,23.055987,72.506015,133.053
1824,2667,1176,43,28,0.0,23.055987,72.506015,133.053
1825,2661,1176,44,27,0.0,23.055987,72.506015,133.053
1826,2654,1178,43,27,0.0,23.055987,72.506015,133.053
1827,2650,1179,42,27,0.0,23.055987,72.506015,133.052
1828,2646,1179,40,27,0.0,23.055987,72.506015,133.052
1829,2641,1179,40,28,0.0,23.055987,72.506015,133.052
1830,2635,1179,41,29,0.0,23.055987,72.506015,133.052
1831,2628,1178,41,29,0.0,23.055987,72.506015,133.052
1832,2622,1178,41,28,0.0,23.055987,72.506015,133.052
1833,2617,1178,42,28,0.0,23.055987,72.506015,133.047
1834,2610,1178,44,28,0.0,23.055987,72.506015,133.047
1835,2606,1179,44,28,0.0,23.055987,72.506015,133.047
1836,2602,1181,43,27,0.0,23.055987,72.506015,133.047
1837,2596,1181,45,28,0.0,23.055987,72.506015,133.047
1838,2591,1181,46,29,0.0,23.055987,72.506015,133.047
