frameNo,left,top,w,h,conf,lat,long,alt
1,831,2012,77,144,0.0,23.055988,72.506015,133.088
2,830,2012,78,144,0.0,23.055988,72.506015,133.088
3,830,2012,77,144,0.0,23.055988,72.506015,133.088
4,830,2012,78,144,0.0,23.055988,72.506015,133.088
5,830,2012,78,144,0.0,23.055988,72.506015,133.079
6,830,2011,78,145,0.0,23.055988,72.506015,133.079
7,830,2012,78,144,0.0,23.055988,72.506015,133.079
8,830,2012,78,144,0.0,23.055988,72.506015,133.079
9,828,2012,80,145,0.0,23.055988,72.506015,133.079
10,827,2013,81,144,0.0,23.055988,72.506015,133.079
11,826,2013,82,144,0.0,23.055988,72.506015,133.075
12,826,2013,82,144,0.0,23.055988,72.506015,133.075
13,824,2013,84,144,0.0,23.055988,72.506015,133.075
14,823,2012,85,146,0.0,23.055988,72.506015,133.075
15,822,2012,86,146,0.0,23.055988,72.506015,133.075
16,819,2012,89,146,0.0,23.055988,72.506015,133.075
17,817,2012,91,147,0.0,23.055988,72.506015,133.067
18,816,2012,93,147,0.0,23.055988,72.506015,133.067
19,815,2012,95,147,0.0,23.055988,72.506015,133.067
20,814,2011,96,148,0.0,23.055988,72.506015,133.067
21,813,2011,96,148,0.0,23.055988,72.506015,133.067
22,812,2011,98,148,0.0,23.055988,72.506015,133.067
23,812,2010,98,149,0.0,23.055988,72.506015,133.06
24,812,2010,98,149,0.0,23.055988,72.506015,133.06
25,812,2010,98,149,0.0,23.055988,72.506015,133.06
26,811,2010,99,149,0.0,23.055988,72.506015,133.06
27,811,2010,99,149,0.0,23.055988,72.506015,133.06
28,811,2010,99,149,0.0,23.055988,72.506015,133.06
29,811,2010,99,149,0.0,23.055988,72.506015,133.058
30,810,2010,100,149,0.0,23.055988,72.506015,133.058
31,811,2011,99,148,0.0,23.055988,72.506015,133.058
32,811,2011,99,148,0.0,23.055988,72.506015,133.058
33,811,2010,99,149,0.0,23.055988,72.506015,133.058
34,812,2011,98,148,0.0,23.055988,72.506015,133.058
35,813,2012,98,147,0.0,23.055988,72.506015,133.051
36,813,2012,98,146,0.0,23.055988,72.506015,133.051
37,812,2012,98,147,0.0,23.055988,72.506015,133.051
38,812,2012,98,147,0.0,23.055988,72.506015,133.051
39,812,2012,98,147,0.0,23.055988,72.506015,133.051
40,812,2012,98,147,0.0,23.055988,72.506015,133.051
41,812,2012,98,147,0.0,23.055988,72.506015,133.047
42,812,2012,98,147,0.0,23.055988,72.506015,133.047
43,812,2012,98,147,0.0,23.055988,72.506015,133.047
44,812,2012,98,147,0.0,23.055988,72.506015,133.047
45,812,2012,98,147,0.0,23.055988,72.506015,133.047
46,813,2012,98,147,0.0,23.055988,72.506015,133.047
47,814,2012,97,147,0.0,23.055988,72.506015,133.035
48,815,2012,96,146,0.0,23.055988,72.506015,133.035
49,816,2012,95,146,0.0,23.055988,72.506015,133.035
50,816,2012,95,146,0.0,23.055988,72.506015,133.035
51,816,2012,95,146,0.0,23.055988,72.506015,133.035
52,816,2012,94,146,0.0,23.055988,72.506015,133.035
53,816,2012,95,145,0.0,23.055988,72.506015,133.026
54,816,2013,94,144,0.0,23.055988,72.506015,133.026
55,815,2013,95,144,0.0,23.055988,72.506015,133.026
56,815,2013,95,144,0.0,23.055988,72.506015,133.026
57,816,2013,95,144,0.0,23.055988,72.506015,133.026
58,814,2013,96,144,0.0,23.055988,72.506015,133.026
59,813,2012,97,146,0.0,23.055988,72.506015,133.011
60,812,2012,97,147,0.0,23.055988,72.506015,133.011
61,811,2012,98,147,0.0,23.055988,72.506015,133.011
62,810,2011,99,148,0.0,23.055988,72.506015,133.011
63,810,2011,100,148,0.0,23.055988,72.506015,133.011
64,810,2011,100,148,0.0,23.055988,72.506015,133.011
65,810,2011,99,147,0.0,23.055988,72.506015,132.994
66,811,2011,99,147,0.0,23.055988,72.506015,132.994
67,811,2011,99,147,0.0,23.055988,72.506015,132.994
68,811,2011,99,147,0.0,23.055988,72.506015,132.994
69,811,2011,98,147,0.0,23.055988,72.506015,132.994
70,812,2011,97,147,0.0,23.055988,72.506015,132.994
71,812,2011,97,147,0.0,23.055988,72.506015,132.973
72,812,2011,96,148,0.0,23.055988,72.506015,132.973
73,811,2011,97,148,0.0,23.055988,72.506015,132.973
74,811,2011,97,148,0.0,23.055988,72.506015,132.973
75,810,2011,98,146,0.0,23.055988,72.506015,132.973
76,810,2011,98,146,0.0,23.055988,72.506015,132.973
77,810,2012,98,144,0.0,23.055988,72.506015,132.949
78,810,2012,98,144,0.0,23.055988,72.506015,132.949
79,810,2013,99,143,0.0,23.055988,72.506015,132.949
80,810,2013,99,143,0.0,23.055988,72.506015,132.949
81,810,2013,98,143,0.0,23.055988,72.506015,132.949
82,809,2013,100,142,0.0,23.055988,72.506015,132.949
83,809,2013,100,142,0.0,23.055988,72.506015,132.934
84,810,2013,99,142,0.0,23.055988,72.506015,132.934
85,810,2013,99,142,0.0,23.055988,72.506015,132.934
86,810,2013,98,142,0.0,23.055988,72.506015,132.934
87,811,2013,98,144,0.0,23.055988,72.506015,132.934
88,810,2013,99,145,0.0,23.055988,72.506015,132.934
89,810,2013,99,144,0.0,23.055988,72.506015,132.918
90,810,2013,98,144,0.0,23.055988,72.506015,132.918
91,810,2012,98,145,0.0,23.055988,72.506015,132.918
92,810,2013,98,144,0.0,23.055988,72.506015,132.918
93,810,2012,98,146,0.0,23.055988,72.506015,132.918
94,810,2012,99,146,0.0,23.055988,72.506015,132.918
95,810,2012,99,146,0.0,23.055988,72.506014,132.9
96,810,2011,99,148,0.0,23.055988,72.506014,132.9
97,810,2012,99,147,0.0,23.055988,72.506014,132.9
98,810,2012,99,147,0.0,23.055988,72.506014,132.9
99,810,2011,99,148,0.0,23.055988,72.506014,132.9
100,809,2012,99,147,0.0,23.055988,72.506014,132.9
101,809,2011,99,148,0.0,23.055988,72.506014,132.895
102,810,2012,98,147,0.0,23.055988,72.506014,132.895
103,810,2012,98,147,0.0,23.055988,72.506014,132.895
104,810,2012,98,147,0.0,23.055988,72.506014,132.895
105,810,2012,98,147,0.0,23.055988,72.506014,132.895
106,810,2011,98,148,0.0,23.055988,72.506014,132.895
107,810,2012,98,147,0.0,23.055988,72.506014,132.888
108,811,2012,97,147,0.0,23.055988,72.506014,132.888
109,812,2011,96,148,0.0,23.055988,72.506014,132.888
110,812,2012,95,147,0.0,23.055988,72.506014,132.888
111,812,2012,95,147,0.0,23.055988,72.506014,132.888
112,812,2011,95,148,0.0,23.055988,72.506014,132.888
113,812,2011,94,148,0.0,23.055988,72.506014,132.885
114,811,2011,94,148,0.0,23.055988,72.506014,132.885
115,812,2011,94,148,0.0,23.055988,72.506014,132.885
116,812,2011,93,148,0.0,23.055988,72.506014,132.885
117,812,2011,93,148,0.0,23.055988,72.506014,132.885
118,812,2011,93,148,0.0,23.055988,72.506014,132.885
119,812,2011,93,148,0.0,23.055988,72.506014,132.888
120,812,2011,93,148,0.0,23.055988,72.506014,132.888
121,812,2011,93,148,0.0,23.055988,72.506014,132.888
122,812,2012,93,147,0.0,23.055988,72.506014,132.888
123,812,2012,93,147,0.0,23.055988,72.506014,132.888
124,813,2012,92,147,0.0,23.055988,72.506014,132.888
125,812,2011,93,148,0.0,23.055988,72.506014,132.893
126,813,2012,92,147,0.0,23.055988,72.506014,132.893
127,813,2012,91,147,0.0,23.055988,72.506014,132.893
128,813,2012,91,147,0.0,23.055988,72.506014,132.893
129,813,2011,91,148,0.0,23.055988,72.506014,132.893
130,813,2011,91,148,0.0,23.055988,72.506014,132.893
131,813,2012,92,147,0.0,23.055989,72.506014,132.898
132,813,2012,92,147,0.0,23.055989,72.506014,132.898
133,813,2012,91,147,0.0,23.055989,72.506014,132.898
134,812,2011,92,148,0.0,23.055989,72.506014,132.898
135,812,2011,92,147,0.0,23.055989,72.506014,132.898
136,813,2011,90,147,0.0,23.055989,72.506014,132.898
137,814,2011,88,146,0.0,23.055989,72.506014,132.905
138,814,2011,88,146,0.0,23.055989,72.506014,132.905
139,814,2011,88,146,0.0,23.055989,72.506014,132.905
140,814,2011,88,147,0.0,23.055989,72.506014,132.905
141,813,2011,89,147,0.0,23.055989,72.506014,132.905
142,813,2011,90,147,0.0,23.055989,72.506014,132.905
143,812,2011,91,147,0.0,23.055989,72.506014,132.906
144,812,2012,91,147,0.0,23.055989,72.506014,132.906
145,812,2012,92,147,0.0,23.055989,72.506014,132.906
146,812,2012,92,147,0.0,23.055988,72.506014,132.906
147,812,2012,93,147,0.0,23.055988,72.506014,132.906
148,812,2012,93,147,0.0,23.055988,72.506014,132.906
149,811,2012,94,147,0.0,23.055988,72.506014,132.907
150,811,2012,94,147,0.0,23.055988,72.506014,132.907
151,810,2012,94,147,0.0,23.055988,72.506014,132.907
152,810,2012,95,147,0.0,23.055988,72.506015,132.907
153,809,2013,96,146,0.0,23.055988,72.506015,132.907
154,809,2012,96,147,0.0,23.055988,72.506015,132.907
155,809,2013,96,146,0.0,23.055988,72.506014,132.909
156,809,2013,96,146,0.0,23.055988,72.506014,132.909
157,808,2013,97,146,0.0,23.055988,72.506014,132.909
158,809,2013,97,146,0.0,23.055988,72.506014,132.909
159,809,2014,97,145,0.0,23.055988,72.506014,132.909
160,809,2015,97,144,0.0,23.055988,72.506014,132.909
161,809,2015,97,144,0.0,23.055988,72.506015,132.911
162,809,2015,97,144,0.0,23.055988,72.506015,132.911
163,809,2016,98,143,0.0,23.055988,72.506015,132.911
164,810,2016,97,143,0.0,23.055988,72.506015,132.911
165,810,2016,97,142,0.0,23.055988,72.506015,132.911
166,811,2016,96,142,0.0,23.055988,72.506015,132.913
167,810,2017,96,141,0.0,23.055988,72.506015,132.913
168,810,2016,96,141,0.0,23.055988,72.506015,132.913
169,810,2016,96,141,0.0,23.055988,72.506015,132.913
170,810,2017,96,140,0.0,23.055988,72.506015,132.913
171,809,2017,97,140,0.0,23.055988,72.506015,132.913
172,810,2017,96,141,0.0,23.055988,72.506015,132.913
173,810,2017,96,141,0.0,23.055988,72.506015,132.917
174,810,2017,96,141,0.0,23.055988,72.506015,132.917
175,810,2018,96,141,0.0,23.055988,72.506015,132.917
176,810,2018,97,141,0.0,23.055988,72.506015,132.917
177,810,2018,97,141,0.0,23.055988,72.506015,132.917
178,810,2018,97,141,0.0,23.055988,72.506015,132.917
179,810,2018,97,141,0.0,23.055988,72.506015,132.924
180,810,2018,97,141,0.0,23.055988,72.506015,132.924
181,810,2018,97,141,0.0,23.055988,72.506015,132.924
182,810,2018,97,141,0.0,23.055988,72.506015,132.924
183,811,2018,96,141,0.0,23.055988,72.506015,132.924
184,811,2018,96,141,0.0,23.055988,72.506015,132.924
185,811,2018,96,141,0.0,23.055988,72.506015,132.933
186,811,2018,96,141,0.0,23.055988,72.506015,132.933
187,811,2018,96,141,0.0,23.055988,72.506015,132.933
188,812,2018,95,141,0.0,23.055988,72.506015,132.933
189,812,2018,95,141,0.0,23.055988,72.506015,132.933
190,812,2018,95,141,0.0,23.055988,72.506015,132.933
191,812,2018,95,140,0.0,23.055988,72.506015,132.946
192,812,2018,95,140,0.0,23.055988,72.506015,132.946
193,812,2018,95,140,0.0,23.055988,72.506015,132.946
194,812,2018,95,140,0.0,23.055988,72.506015,132.946
195,812,2018,96,141,0.0,23.055988,72.506015,132.946
196,812,2018,96,140,0.0,23.055988,72.506015,132.946
197,812,2018,96,140,0.0,23.055988,72.506015,132.955
198,812,2018,96,140,0.0,23.055988,72.506015,132.955
199,812,2018,96,140,0.0,23.055988,72.506015,132.955
200,812,2019,96,140,0.0,23.055988,72.506015,132.955
201,811,2019,98,140,0.0,23.055988,72.506015,132.955
202,812,2019,97,140,0.0,23.055988,72.506015,132.955
203,811,2018,98,141,0.0,23.055988,72.506015,132.967
204,811,2018,99,141,0.0,23.055988,72.506015,132.967
205,811,2018,99,141,0.0,23.055988,72.506015,132.967
206,812,2019,98,140,0.0,23.055988,72.506015,132.967
207,811,2018,99,141,0.0,23.055988,72.506015,132.967
208,811,2018,99,141,0.0,23.055988,72.506015,132.967
209,811,2018,99,141,0.0,23.055988,72.506015,132.976
210,812,2018,98,141,0.0,23.055988,72.506015,132.976
211,812,2018,99,141,0.0,23.055988,72.506015,132.976
212,812,2018,98,141,0.0,23.055988,72.506015,132.976
213,812,2018,99,141,0.0,23.055988,72.506015,132.976
214,813,2018,98,141,0.0,23.055988,72.506015,132.976
215,812,2018,99,141,0.0,23.055988,72.506015,132.992
216,812,2018,99,141,0.0,23.055988,72.506015,132.992
217,813,2018,98,141,0.0,23.055988,72.506015,132.992
218,812,2018,99,141,0.0,23.055988,72.506015,132.992
219,812,2018,99,141,0.0,23.055988,72.506015,132.992
220,813,2018,98,141,0.0,23.055988,72.506015,133.003
221,813,2018,98,141,0.0,23.055988,72.506014,133.003
222,813,2018,98,141,0.0,23.055988,72.506014,133.003
223,813,2018,98,141,0.0,23.055988,72.506014,133.003
224,814,2017,97,142,0.0,23.055988,72.506014,133.003
225,814,2018,97,141,0.0,23.055988,72.506014,133.003
226,814,2017,98,142,0.0,23.055988,72.506014,133.011
227,814,2017,97,142,0.0,23.055988,72.506015,133.011
228,813,2017,98,142,0.0,23.055988,72.506015,133.011
229,813,2017,98,142,0.0,23.055988,72.506015,133.011
230,813,2017,98,142,0.0,23.055988,72.506015,133.011
231,813,2017,98,142,0.0,23.055988,72.506015,133.011
232,813,2017,99,142,0.0,23.055988,72.506015,133.011
233,813,2017,99,142,0.0,23.055988,72.506014,133.016
234,813,2017,99,142,0.0,23.055988,72.506014,133.016
235,812,2017,99,142,0.0,23.055988,72.506014,133.016
236,812,2017,99,142,0.0,23.055988,72.506014,133.016
237,812,2017,99,142,0.0,23.055988,72.506014,133.016
238,812,2017,99,142,0.0,23.055988,72.506014,133.016
239,812,2017,100,142,0.0,23.055988,72.506014,133.021
240,812,2017,99,142,0.0,23.055988,72.506014,133.021
241,813,2017,99,142,0.0,23.055988,72.506014,133.021
242,813,2017,99,142,0.0,23.055988,72.506014,133.021
243,813,2017,99,142,0.0,23.055988,72.506014,133.021
244,813,2017,98,142,0.0,23.055988,72.506014,133.021
245,813,2017,98,142,0.0,23.055988,72.506015,133.02
246,813,2017,98,142,0.0,23.055988,72.506015,133.02
247,812,2017,99,142,0.0,23.055988,72.506015,133.02
248,812,2017,99,142,0.0,23.055988,72.506015,133.02
249,812,2016,99,143,0.0,23.055988,72.506015,133.02
250,812,2016,99,143,0.0,23.055988,72.506015,133.018
251,812,2016,99,143,0.0,23.055988,72.506015,133.018
252,813,2016,98,143,0.0,23.055988,72.506015,133.018
253,813,2016,98,143,0.0,23.055988,72.506015,133.018
254,813,2016,98,143,0.0,23.055988,72.506015,133.018
255,813,2015,97,144,0.0,23.055988,72.506015,133.018
256,813,2015,98,144,0.0,23.055988,72.506015,133.029
257,813,2016,98,142,0.0,23.055988,72.506015,133.029
258,814,2016,97,142,0.0,23.055988,72.506015,133.029
259,814,2016,97,141,0.0,23.055988,72.506015,133.029
260,814,2016,97,141,0.0,23.055988,72.506015,133.029
261,813,2016,99,141,0.0,23.055988,72.506015,133.029
262,813,2015,99,142,0.0,23.055988,72.506015,133.033
263,814,2015,98,142,0.0,23.055988,72.506015,133.033
264,814,2016,98,141,0.0,23.055988,72.506015,133.033
265,814,2016,98,141,0.0,23.055988,72.506015,133.033
266,814,2016,98,141,0.0,23.055988,72.506015,133.033
267,814,2016,97,141,0.0,23.055988,72.506015,133.033
268,814,2016,97,141,0.0,23.055988,72.506015,133.033
269,815,2016,96,141,0.0,23.055988,72.506015,133.039
270,815,2016,96,140,0.0,23.055988,72.506015,133.039
271,815,2016,96,140,0.0,23.055988,72.506015,133.039
272,815,2016,96,140,0.0,23.055988,72.506015,133.039
273,816,2016,95,140,0.0,23.055988,72.506015,133.039
274,816,2016,95,140,0.0,23.055988,72.506015,133.045
275,817,2017,93,139,0.0,23.055988,72.506015,133.045
276,817,2016,93,140,0.0,23.055988,72.506015,133.045
277,819,2017,92,140,0.0,23.055988,72.506015,133.045
278,819,2017,91,139,0.0,23.055988,72.506015,133.045
279,819,2017,91,139,0.0,23.055988,72.506015,133.045
280,820,2017,90,139,0.0,23.055988,72.506015,133.05
