frameNo,left,top,w,h,conf,lat,long,alt
1513,1046.0,917.0,48.0,23.0,0.0,23.055951,72.506035,133.116
1514,1050.0,916.0,48.0,23.0,0.0,23.055951,72.506035,133.116
1515,1055.95,914.75,48.2,23.0,0.0,23.055951,72.506035,133.11645000000001
1516,1061.9,913.5,48.4,23.0,0.0,23.055951,72.506035,133.11690000000002
1517,1067.85,912.25,48.6,23.0,0.0,23.055951,72.506035,133.11735000000002
1518,1073.8,911.0,48.8,23.0,0.0,23.055951,72.506035,133.11780000000002
1519,1079.75,909.75,49.0,23.0,0.0,23.055951,72.506035,133.11825000000002
1520,1085.7,908.5,49.2,23.0,0.0,23.055951,72.506035,133.11870000000002
1521,1091.65,907.25,49.4,23.0,0.0,23.055951,72.506035,133.11915000000002
1522,1097.6,906.0,49.6,23.0,0.0,23.055951,72.506035,133.11960000000002
1523,1103.55,904.75,49.8,23.0,0.0,23.055951,72.506035,133.12005000000002
1524,1109.5,903.5,50.0,23.0,0.0,23.055951,72.506035,133.1205
1525,1115.45,902.25,50.2,23.0,0.0,23.055951,72.506035,133.12095
1526,1121.4,901.0,50.4,23.0,0.0,23.055951,72.506035,133.1214
1527,1127.35,899.75,50.6,23.0,0.0,23.055951,72.506035,133.12185
1528,1133.3,898.5,50.8,23.0,0.0,23.055951,72.506035,133.1223
1529,1139.25,897.25,51.0,23.0,0.0,23.055951,72.506035,133.12275
1530,1145.2,896.0,51.2,23.0,0.0,23.055951,72.506035,133.1232
1531,1151.15,894.75,51.4,23.0,0.0,23.055951,72.506035,133.12365
1532,1157.1,893.5,51.6,23.0,0.0,23.055951,72.506035,133.1241
1533,1163.05,892.25,51.8,23.0,0.0,23.055951,72.506035,133.12455
1534,1169.0,891.0,52.0,23.0,0.0,23.055951,72.506035,133.125
