frameNo,left,top,w,h,conf,lat,long,alt
159,2026.0,1921.0,64.0,110.0,0.0,23.05595,72.506036,133.825
160,2025.0,1916.0,64.0,106.0,0.0,23.05595,72.506036,133.825
161,2022.0,1908.0,66.0,107.0,0.0,23.05595,72.506036,133.825
162,2015.0,1897.0,69.0,111.0,0.0,23.05595,72.506036,133.825
163,2011.0,1892.0,71.0,112.0,0.0,23.05595,72.506036,133.834
164,2009.0,1882.0,72.0,115.0,0.0,23.05595,72.506036,133.834
165,2007.0,1875.0,73.0,117.0,0.0,23.05595,72.506036,133.834
166,2003.0,1868.0,74.0,116.0,0.0,23.05595,72.506036,133.834
167,1999.0,1865.0,74.0,112.0,0.0,23.05595,72.506036,133.834
168,1998.0,1861.0,76.0,112.0,0.0,23.05595,72.506036,133.834
169,1996.0,1858.0,78.0,112.0,0.0,23.05595,72.506036,133.844
170,1993.0,1854.0,77.0,110.0,0.0,23.05595,72.506036,133.844
171,1988.0,1848.0,74.0,106.0,0.0,23.05595,72.506036,133.844
172,1987.0,1841.0,73.0,105.0,0.0,23.05595,72.506036,133.844
173,1985.0,1835.0,72.0,105.0,0.0,23.05595,72.506036,133.844
174,1982.0,1830.0,73.0,103.0,0.0,23.05595,72.506036,133.844
175,1980.0,1826.0,71.0,100.0,0.0,23.05595,72.506036,133.849
176,1978.0,1820.0,71.0,100.0,0.0,23.05595,72.506036,133.849
177,1975.0,1815.0,71.0,100.0,0.0,23.05595,72.506036,133.849
178,1969.0,1806.0,72.0,103.0,0.0,23.05595,72.506036,133.849
179,1967.0,1801.0,72.0,101.0,0.0,23.05595,72.506036,133.849
180,1969.0,1793.0,72.0,103.0,0.0,23.05595,72.506036,133.849
181,1965.0,1786.0,73.0,105.0,0.0,23.05595,72.506036,133.854
182,1965.0,1783.0,73.0,105.0,0.0,23.05595,72.506036,133.854
183,1962.0,1777.0,74.0,107.0,0.0,23.05595,72.506036,133.854
184,1960.0,1769.0,76.0,110.0,0.0,23.05595,72.506036,133.854
185,1958.0,1766.0,76.0,111.0,0.0,23.05595,72.506036,133.854
186,1958.0,1761.0,75.0,110.0,0.0,23.05595,72.506036,133.854
187,1955.0,1752.0,73.0,108.0,0.0,23.05595,72.506036,133.864
188,1949.0,1744.0,72.0,106.0,0.0,23.05595,72.506036,133.864
189,1947.0,1739.0,71.0,105.0,0.0,23.05595,72.506036,133.864
190,1945.0,1734.0,71.0,105.0,0.0,23.05595,72.506037,133.864
191,1941.0,1727.0,72.0,107.0,0.0,23.05595,72.506037,133.864
192,1939.0,1723.0,73.0,106.0,0.0,23.05595,72.506037,133.864
193,1937.0,1717.0,73.0,107.0,0.0,23.05595,72.506036,133.867
194,1934.0,1713.0,74.0,108.0,0.0,23.05595,72.506036,133.867
195,1933.0,1707.0,73.0,109.0,0.0,23.05595,72.506036,133.867
196,1931.0,1702.0,72.0,108.0,0.0,23.05595,72.506036,133.867
197,1930.0,1697.0,72.0,108.0,0.0,23.05595,72.506036,133.867
198,1930.0,1693.0,71.0,107.0,0.0,23.05595,72.506036,133.867
199,1929.0,1689.0,71.0,106.0,0.0,23.05595,72.506036,133.869
200,1926.0,1684.0,71.0,105.0,0.0,23.05595,72.506036,133.869
201,1926.0,1682.0,70.0,103.0,0.0,23.05595,72.506036,133.869
202,1922.0,1677.0,72.0,105.0,0.0,23.05595,72.506036,133.869
203,1918.0,1673.0,73.0,105.0,0.0,23.05595,72.506036,133.869
204,1916.0,1668.0,75.0,104.0,0.0,23.05595,72.506036,133.869
205,1916.0,1664.0,74.0,104.0,0.0,23.05595,72.506036,133.874
206,1914.0,1660.0,74.0,105.0,0.0,23.05595,72.506036,133.874
207,1912.0,1653.0,74.0,105.0,0.0,23.05595,72.506036,133.874
208,1911.0,1645.0,73.0,105.0,0.0,23.05595,72.506036,133.874
209,1910.0,1640.0,73.0,105.0,0.0,23.05595,72.506036,133.874
210,1909.0,1637.0,74.0,105.0,0.0,23.05595,72.506036,133.874
211,1909.0,1633.0,74.0,105.0,0.0,23.05595,72.506036,133.877
212,1906.0,1629.0,75.0,105.0,0.0,23.05595,72.506036,133.877
213,1903.0,1627.0,76.0,105.0,0.0,23.05595,72.506036,133.877
214,1898.0,1625.0,76.0,105.0,0.0,23.05595,72.506036,133.877
215,1896.0,1621.0,77.0,105.0,0.0,23.05595,72.506036,133.877
216,1893.0,1618.0,77.0,106.0,0.0,23.05595,72.506036,133.877
217,1892.0,1613.0,76.0,106.0,0.0,23.05595,72.506036,133.882
218,1892.0,1607.0,74.0,106.0,0.0,23.05595,72.506036,133.882
219,1890.0,1601.0,75.0,107.0,0.0,23.05595,72.506036,133.882
220,1890.0,1596.0,74.0,107.0,0.0,23.05595,72.506036,133.882
221,1890.0,1594.0,74.0,108.0,0.0,23.05595,72.506036,133.882
222,1890.0,1591.0,74.0,108.0,0.0,23.05595,72.506036,133.882
223,1885.0,1584.0,74.0,105.0,0.0,23.05595,72.506036,133.891
224,1883.0,1580.0,74.0,104.0,0.0,23.05595,72.506036,133.891
225,1883.0,1578.0,73.0,102.0,0.0,23.05595,72.506036,133.891
226,1880.0,1573.0,73.0,103.0,0.0,23.05595,72.506036,133.891
227,1878.0,1570.0,74.0,103.0,0.0,23.05595,72.506036,133.891
228,1877.0,1567.0,73.0,102.0,0.0,23.05595,72.506036,133.891
229,1874.0,1560.0,74.0,100.0,0.0,23.05595,72.506036,133.904
230,1870.0,1555.0,74.0,99.0,0.0,23.05595,72.506036,133.904
231,1866.0,1551.0,76.0,99.0,0.0,23.05595,72.506036,133.904
232,1862.0,1544.0,77.0,100.0,0.0,23.05595,72.506036,133.904
233,1862.0,1542.0,78.0,102.0,0.0,23.05595,72.506036,133.904
234,1861.0,1540.0,79.0,102.0,0.0,23.05595,72.506036,133.904
235,1859.0,1537.0,80.0,103.0,0.0,23.05595,72.506036,133.911
236,1860.0,1533.0,80.0,102.0,0.0,23.05595,72.506036,133.911
237,1855.0,1531.0,81.0,103.0,0.0,23.05595,72.506036,133.911
238,1855.0,1528.0,80.0,104.0,0.0,23.05595,72.506036,133.911
239,1855.0,1526.0,81.0,105.0,0.0,23.05595,72.506036,133.911
240,1854.0,1526.0,80.0,102.0,0.0,23.05595,72.506036,133.911
241,1851.0,1517.0,80.0,102.0,0.0,23.05595,72.506036,133.918
242,1850.0,1515.0,79.0,99.0,0.0,23.05595,72.506036,133.918
243,1849.0,1511.0,79.0,98.0,0.0,23.05595,72.506036,133.918
244,1849.0,1507.0,76.0,98.0,0.0,23.05595,72.506036,133.918
245,1847.0,1501.0,76.0,102.0,0.0,23.05595,72.506036,133.918
246,1846.0,1497.0,77.0,104.0,0.0,23.05595,72.506036,133.918
247,1845.0,1493.0,77.0,105.0,0.0,23.055951,72.506036,133.927
248,1843.5,1489.5,76.66666666666667,104.33333333333333,0.0,23.055951,72.506036,133.92983333333333
249,1842.0,1486.0,76.33333333333333,103.66666666666667,0.0,23.055951,72.506036,133.93266666666665
250,1840.5,1482.5,76.0,103.0,0.0,23.055951,72.506036,133.9355
251,1839.0,1479.0,75.66666666666667,102.33333333333333,0.0,23.055951,72.506036,133.93833333333333
252,1837.5,1475.5,75.33333333333333,101.66666666666667,0.0,23.055951,72.506036,133.94116666666665
253,1836.0,1472.0,75.0,101.0,0.0,23.055951,72.506036,133.944
254,1832.0,1466.0,75.0,99.0,0.0,23.055951,72.506036,133.944
255,1827.0,1459.0,74.0,101.0,0.0,23.055951,72.506036,133.944
256,1824.0,1457.0,75.0,101.0,0.0,23.055951,72.506036,133.944
257,1822.0,1456.0,75.0,100.0,0.0,23.055951,72.506036,133.944
258,1819.0,1450.0,74.0,103.0,0.0,23.055951,72.506036,133.944
259,1812.0,1448.0,78.0,103.0,0.0,23.055951,72.506036,133.951
260,1803.0,1439.0,84.0,104.0,0.0,23.055951,72.506036,133.951
261,1806.0,1436.0,83.0,105.0,0.0,23.055951,72.506036,133.951
262,1808.0,1431.0,83.0,105.0,0.0,23.055951,72.506036,133.951
263,1809.0,1427.0,82.0,104.0,0.0,23.055951,72.506036,133.951
264,1809.0,1425.0,80.0,102.0,0.0,23.055951,72.506036,133.951
265,1809.0,1419.0,78.0,103.0,0.0,23.055951,72.506036,133.954
266,1808.0,1415.0,78.0,103.0,0.0,23.055951,72.506036,133.954
267,1807.0,1410.0,77.0,102.0,0.0,23.055951,72.506036,133.954
268,1805.0,1404.0,77.0,102.0,0.0,23.055951,72.506036,133.954
269,1802.0,1397.0,78.0,105.0,0.0,23.055951,72.506036,133.954
270,1800.0,1394.0,79.0,106.0,0.0,23.055951,72.506036,133.954
271,1797.0,1390.0,81.0,107.0,0.0,23.055951,72.506036,133.959
272,1795.0,1385.0,80.0,107.0,0.0,23.055951,72.506036,133.959
273,1794.0,1381.0,80.0,106.0,0.0,23.055951,72.506036,133.959
274,1792.6666666666667,1376.2222222222222,79.22222222222223,105.33333333333333,0.0,23.055951,72.506036,133.95933333333335
275,1791.3333333333333,1371.4444444444443,78.44444444444444,104.66666666666667,0.0,23.055951,72.506036,133.95966666666666
276,1790.0,1366.6666666666667,77.66666666666667,104.0,0.0,23.055951,72.506036,133.96
277,1788.6666666666667,1361.888888888889,76.88888888888889,103.33333333333333,0.0,23.055951,72.506036,133.96033333333332
278,1787.3333333333333,1357.111111111111,76.11111111111111,102.66666666666667,0.0,23.055951,72.506036,133.96066666666667
279,1786.0,1352.3333333333333,75.33333333333333,102.0,0.0,23.055951,72.506036,133.96099999999998
280,1784.6666666666667,1347.5555555555557,74.55555555555556,101.33333333333333,0.0,23.055951,72.506036,133.96133333333333
281,1783.3333333333333,1342.7777777777778,73.77777777777777,100.66666666666667,0.0,23.055951,72.506036,133.96166666666664
282,1782.0,1338.0,73.0,100.0,0.0,23.055951,72.506036,133.962
283,1782.0,1334.0,73.0,101.0,0.0,23.055951,72.506036,133.963
284,1780.0,1330.0,73.0,101.0,0.0,23.055951,72.506036,133.963
285,1776.137254901961,1326.8039215686274,75.72549019607843,101.74509803921569,0.0,23.055951,72.506036,133.9628431372549
286,1772.2745098039215,1323.6078431372548,78.45098039215686,102.49019607843137,0.0,23.055951,72.506036,133.9626862745098
287,1768.4117647058824,1320.4117647058824,81.17647058823529,103.23529411764706,0.0,23.055951,72.506036,133.9625294117647
288,1764.549019607843,1317.2156862745098,83.90196078431373,103.98039215686275,0.0,23.055951,72.506036,133.9623725490196
289,1760.686274509804,1314.0196078431372,86.62745098039215,104.72549019607843,0.0,23.055951,72.506036,133.9622156862745
290,1756.8235294117646,1310.8235294117646,89.35294117647058,105.47058823529412,0.0,23.055951,72.506036,133.96205882352942
291,1752.9607843137255,1307.627450980392,92.07843137254902,106.2156862745098,0.0,23.055951,72.506036,133.9619019607843
292,1749.0980392156862,1304.4313725490197,94.80392156862746,106.9607843137255,0.0,23.055951,72.506036,133.96174509803922
293,1745.235294117647,1301.235294117647,97.52941176470588,107.70588235294117,0.0,23.055951,72.506036,133.9615882352941
294,1741.372549019608,1298.0392156862745,100.25490196078431,108.45098039215686,0.0,23.055951,72.506036,133.96143137254901
295,1737.5098039215686,1294.8431372549019,102.98039215686275,109.19607843137254,0.0,23.055951,72.506036,133.96127450980393
296,1733.6470588235295,1291.6470588235295,105.70588235294117,109.94117647058823,0.0,23.055951,72.506036,133.9611176470588
297,1729.7843137254902,1288.450980392157,108.43137254901961,110.68627450980392,0.0,23.055951,72.506036,133.96096078431373
298,1725.921568627451,1285.2549019607843,111.15686274509804,111.43137254901961,0.0,23.055951,72.506036,133.96080392156864
299,1722.0588235294117,1282.0588235294117,113.88235294117646,112.17647058823529,0.0,23.055951,72.506036,133.96064705882353
300,1718.1960784313726,1278.862745098039,116.6078431372549,112.92156862745098,0.0,23.055951,72.506036,133.96049019607844
301,1714.3333333333333,1275.6666666666667,119.33333333333334,113.66666666666667,0.0,23.055951,72.506036,133.96033333333332
302,1710.4705882352941,1272.4705882352941,122.05882352941177,114.41176470588235,0.0,23.055951,72.506036,133.96017647058824
303,1706.6078431372548,1269.2745098039215,124.7843137254902,115.15686274509804,0.0,23.055951,72.506036,133.96001960784315
304,1702.7450980392157,1266.078431372549,127.50980392156863,115.90196078431373,0.0,23.055951,72.506036,133.95986274509804
305,1698.8823529411766,1262.8823529411766,130.23529411764707,116.64705882352942,0.0,23.055951,72.506036,133.95970588235295
306,1695.0196078431372,1259.686274509804,132.9607843137255,117.3921568627451,0.0,23.055951,72.506036,133.95954901960783
307,1691.1568627450981,1256.4901960784314,135.68627450980392,118.13725490196079,0.0,23.055951,72.506036,133.95939215686275
308,1687.2941176470588,1253.2941176470588,138.41176470588235,118.88235294117646,0.0,23.055951,72.506036,133.95923529411766
309,1683.4313725490197,1250.0980392156862,141.13725490196077,119.62745098039215,0.0,23.055951,72.506036,133.95907843137255
310,1679.5686274509803,1246.9019607843138,143.86274509803923,120.37254901960785,0.0,23.055951,72.506036,133.95892156862746
311,1675.7058823529412,1243.7058823529412,146.58823529411765,121.11764705882354,0.0,23.055951,72.506036,133.95876470588234
312,1671.8431372549019,1240.5098039215686,149.31372549019608,121.86274509803921,0.0,23.055951,72.506036,133.95860784313726
313,1667.9803921568628,1237.313725490196,152.03921568627453,122.6078431372549,0.0,23.055951,72.506036,133.95845098039217
