frameNo,left,top,w,h,conf,lat,long,alt
159,1243.0,712.0,105.0,116.0,0.0,23.05595,72.506036,133.825
160,1240.0,713.0,108.0,115.0,0.0,23.05595,72.506036,133.825
161,1238.0,713.0,111.0,114.0,0.0,23.05595,72.506036,133.825
162,1240.0,711.0,111.0,115.0,0.0,23.05595,72.506036,133.825
163,1239.0,708.0,113.0,115.0,0.0,23.05595,72.506036,133.834
164,1239.0,711.0,113.0,113.0,0.0,23.05595,72.506036,133.834
165,1238.0,716.0,114.0,109.0,0.0,23.05595,72.506036,133.834
166,1238.0,717.0,115.0,108.0,0.0,23.05595,72.506036,133.834
167,1236.0,717.0,117.0,108.0,0.0,23.05595,72.506036,133.834
168,1235.0,714.0,118.0,109.0,0.0,23.05595,72.506036,133.834
169,1234.0,711.0,120.0,111.0,0.0,23.05595,72.506036,133.844
170,1236.0,709.0,119.0,112.0,0.0,23.05595,72.506036,133.844
171,1234.0,710.0,120.0,112.0,0.0,23.05595,72.506036,133.844
172,1233.0,714.0,120.0,110.0,0.0,23.05595,72.506036,133.844
173,1231.0,719.0,121.0,107.0,0.0,23.05595,72.506036,133.844
174,1227.0,725.0,123.0,102.0,0.0,23.05595,72.506036,133.844
175,1219.0,731.0,127.0,99.0,0.0,23.05595,72.506036,133.849
176,1216.0,733.0,129.0,97.0,0.0,23.05595,72.506036,133.849
177,1214.0,733.0,131.0,96.0,0.0,23.05595,72.506036,133.849
178,1214.0,734.0,132.0,95.0,0.0,23.05595,72.506036,133.849
179,1213.0,733.0,133.0,95.0,0.0,23.05595,72.506036,133.849
180,1213.0,733.0,134.0,95.0,0.0,23.05595,72.506036,133.849
181,1211.0,733.0,135.0,96.0,0.0,23.05595,72.506036,133.854
182,1210.0,734.0,136.0,95.0,0.0,23.05595,72.506036,133.854
183,1214.0,731.0,136.0,97.0,0.0,23.05595,72.506036,133.854
184,1209.0,734.0,138.0,96.0,0.0,23.05595,72.506036,133.854
185,1208.0,734.0,139.0,96.0,0.0,23.05595,72.506036,133.854
186,1208.0,735.0,139.0,96.0,0.0,23.05595,72.506036,133.854
187,1206.0,736.0,141.0,96.0,0.0,23.05595,72.506036,133.864
188,1205.0,736.0,142.0,95.0,0.0,23.05595,72.506036,133.864
189,1205.0,736.0,142.0,96.0,0.0,23.05595,72.506036,133.864
190,1208.0,736.0,140.0,96.0,0.0,23.05595,72.506037,133.864
191,1208.0,736.0,140.0,95.0,0.0,23.05595,72.506037,133.864
192,1206.0,736.0,141.0,95.0,0.0,23.05595,72.506037,133.864
193,1207.0,734.0,142.0,95.0,0.0,23.05595,72.506036,133.867
194,1208.0,734.0,142.0,95.0,0.0,23.05595,72.506036,133.867
195,1208.0,734.0,141.0,95.0,0.0,23.05595,72.506036,133.867
196,1209.0,735.0,141.0,94.0,0.0,23.05595,72.506036,133.867
197,1209.0,735.0,141.0,94.0,0.0,23.05595,72.506036,133.867
198,1210.0,735.0,140.0,94.0,0.0,23.05595,72.506036,133.867
199,1210.0,735.0,140.0,94.0,0.0,23.05595,72.506036,133.869
200,1209.0,735.0,141.0,94.0,0.0,23.05595,72.506036,133.869
201,1212.0,732.0,140.0,94.0,0.0,23.05595,72.506036,133.869
202,1213.0,730.0,141.0,95.0,0.0,23.05595,72.506036,133.869
203,1210.0,732.0,141.0,94.0,0.0,23.05595,72.506036,133.869
204,1215.0,728.0,139.0,96.0,0.0,23.05595,72.506036,133.869
205,1212.0,730.0,139.0,96.0,0.0,23.05595,72.506036,133.874
206,1218.0,726.0,137.0,98.0,0.0,23.05595,72.506036,133.874
207,1213.0,730.0,138.0,96.0,0.0,23.05595,72.506036,133.874
208,1210.0,732.0,140.0,96.0,0.0,23.05595,72.506036,133.874
209,1209.0,733.0,140.0,95.0,0.0,23.05595,72.506036,133.874
210,1207.0,733.0,142.0,96.0,0.0,23.05595,72.506036,133.874
211,1208.0,734.0,142.0,95.0,0.0,23.05595,72.506036,133.877
212,1210.0,733.0,141.0,95.0,0.0,23.05595,72.506036,133.877
213,1209.0,735.0,141.0,94.0,0.0,23.05595,72.506036,133.877
214,1210.0,736.0,140.0,92.0,0.0,23.05595,72.506036,133.877
215,1210.0,737.0,141.0,91.0,0.0,23.05595,72.506036,133.877
216,1212.0,737.0,140.0,89.0,0.0,23.05595,72.506036,133.877
217,1215.0,734.0,138.0,90.0,0.0,23.05595,72.506036,133.882
218,1213.0,735.0,142.0,92.0,0.0,23.05595,72.506036,133.882
219,1218.0,732.0,138.0,93.0,0.0,23.05595,72.506036,133.882
220,1221.0,731.0,135.0,94.0,0.0,23.05595,72.506036,133.882
221,1222.0,729.0,133.0,95.0,0.0,23.05595,72.506036,133.882
222,1224.0,728.0,131.0,97.0,0.0,23.05595,72.506036,133.882
223,1226.0,727.0,129.0,98.0,0.0,23.05595,72.506036,133.891
224,1225.0,727.0,131.0,96.0,0.0,23.05595,72.506036,133.891
225,1225.0,728.0,132.0,94.0,0.0,23.05595,72.506036,133.891
226,1223.0,728.0,135.0,94.0,0.0,23.05595,72.506036,133.891
227,1222.0,728.0,137.0,94.0,0.0,23.05595,72.506036,133.891
228,1219.0,729.0,140.0,94.0,0.0,23.05595,72.506036,133.891
229,1217.0,730.0,142.0,94.0,0.0,23.05595,72.506036,133.904
230,1218.0,731.0,142.0,93.0,0.0,23.05595,72.506036,133.904
231,1223.0,728.0,137.0,94.0,0.0,23.05595,72.506036,133.904
232,1228.0,728.0,133.0,94.0,0.0,23.05595,72.506036,133.904
233,1227.0,729.0,132.0,93.0,0.0,23.05595,72.506036,133.904
234,1228.0,729.0,130.0,93.0,0.0,23.05595,72.506036,133.904
235,1226.0,732.0,131.0,92.0,0.0,23.05595,72.506036,133.911
236,1223.0,733.0,133.0,91.0,0.0,23.05595,72.506036,133.911
237,1224.0,739.0,133.0,91.0,0.0,23.05595,72.506036,133.911
238,1223.0,739.0,132.0,91.0,0.0,23.05595,72.506036,133.911
239,1219.0,739.0,134.0,90.0,0.0,23.05595,72.506036,133.911
240,1219.0,736.0,140.0,95.0,0.0,23.05595,72.506036,133.911
241,1221.0,737.0,138.0,97.0,0.0,23.05595,72.506036,133.918
242,1219.0,733.0,138.0,98.0,0.0,23.05595,72.506036,133.918
243,1218.0,736.0,139.0,98.0,0.0,23.05595,72.506036,133.918
244,1212.0,736.0,142.0,98.0,0.0,23.05595,72.506036,133.918
245,1210.0,735.0,142.0,97.0,0.0,23.05595,72.506036,133.918
246,1210.1025641025642,734.8461538461538,141.87179487179486,97.12820512820512,0.0,23.055950025641025,72.506036,133.91915384615385
247,1210.2051282051282,734.6923076923077,141.74358974358975,97.25641025641026,0.0,23.05595005128205,72.506036,133.9203076923077
248,1210.3076923076924,734.5384615384615,141.6153846153846,97.38461538461539,0.0,23.055950076923075,72.506036,133.92146153846156
249,1210.4102564102564,734.3846153846154,141.48717948717947,97.51282051282051,0.0,23.0559501025641,72.506036,133.9226153846154
250,1210.5128205128206,734.2307692307693,141.35897435897436,97.64102564102564,0.0,23.05595012820513,72.506036,133.92376923076924
251,1210.6153846153845,734.0769230769231,141.23076923076923,97.76923076923077,0.0,23.055950153846155,72.506036,133.92492307692308
252,1210.7179487179487,733.9230769230769,141.10256410256412,97.8974358974359,0.0,23.05595017948718,72.506036,133.92607692307692
253,1210.820512820513,733.7692307692307,140.97435897435898,98.02564102564102,0.0,23.055950205128205,72.506036,133.92723076923076
254,1210.923076923077,733.6153846153846,140.84615384615384,98.15384615384616,0.0,23.05595023076923,72.506036,133.92838461538463
255,1211.025641025641,733.4615384615385,140.71794871794873,98.28205128205128,0.0,23.055950256410256,72.506036,133.92953846153847
256,1211.128205128205,733.3076923076923,140.5897435897436,98.41025641025641,0.0,23.05595028205128,72.506036,133.9306923076923
257,1211.2307692307693,733.1538461538462,140.46153846153845,98.53846153846153,0.0,23.055950307692306,72.506036,133.93184615384615
258,1211.3333333333333,733.0,140.33333333333334,98.66666666666667,0.0,23.05595033333333,72.506036,133.933
259,1211.4358974358975,732.8461538461538,140.2051282051282,98.7948717948718,0.0,23.055950358974357,72.506036,133.93415384615386
260,1211.5384615384614,732.6923076923077,140.07692307692307,98.92307692307692,0.0,23.055950384615386,72.506036,133.9353076923077
261,1211.6410256410256,732.5384615384615,139.94871794871796,99.05128205128204,0.0,23.05595041025641,72.506036,133.93646153846154
262,1211.7435897435898,732.3846153846154,139.82051282051282,99.17948717948718,0.0,23.055950435897437,72.506036,133.93761538461538
263,1211.8461538461538,732.2307692307693,139.69230769230768,99.3076923076923,0.0,23.055950461538462,72.506036,133.93876923076922
264,1211.948717948718,732.0769230769231,139.56410256410257,99.43589743589743,0.0,23.055950487179487,72.506036,133.93992307692307
265,1212.051282051282,731.9230769230769,139.43589743589743,99.56410256410257,0.0,23.055950512820512,72.506036,133.94107692307693
266,1212.1538461538462,731.7692307692307,139.30769230769232,99.6923076923077,0.0,23.055950538461538,72.506036,133.94223076923078
267,1212.2564102564102,731.6153846153846,139.17948717948718,99.82051282051282,0.0,23.055950564102563,72.506036,133.94338461538462
268,1212.3589743589744,731.4615384615385,139.05128205128204,99.94871794871794,0.0,23.05595058974359,72.506036,133.94453846153846
269,1212.4615384615386,731.3076923076923,138.92307692307693,100.07692307692308,0.0,23.055950615384614,72.506036,133.9456923076923
270,1212.5641025641025,731.1538461538462,138.7948717948718,100.2051282051282,0.0,23.055950641025643,72.506036,133.94684615384614
271,1212.6666666666667,731.0,138.66666666666666,100.33333333333333,0.0,23.055950666666668,72.506036,133.948
272,1212.7692307692307,730.8461538461538,138.53846153846155,100.46153846153847,0.0,23.055950692307693,72.506036,133.94915384615385
273,1212.871794871795,730.6923076923077,138.4102564102564,100.58974358974359,0.0,23.05595071794872,72.506036,133.9503076923077
274,1212.974358974359,730.5384615384615,138.28205128205127,100.71794871794872,0.0,23.055950743589744,72.506036,133.95146153846153
275,1213.076923076923,730.3846153846154,138.15384615384616,100.84615384615384,0.0,23.05595076923077,72.506036,133.95261538461537
276,1213.179487179487,730.2307692307693,138.02564102564102,100.97435897435898,0.0,23.055950794871794,72.506036,133.95376923076924
277,1213.2820512820513,730.0769230769231,137.8974358974359,101.1025641025641,0.0,23.05595082051282,72.506036,133.95492307692308
278,1213.3846153846155,729.9230769230769,137.76923076923077,101.23076923076923,0.0,23.055950846153845,72.506036,133.95607692307692
279,1213.4871794871794,729.7692307692307,137.64102564102564,101.35897435897436,0.0,23.05595087179487,72.506036,133.95723076923076
280,1213.5897435897436,729.6153846153846,137.51282051282053,101.48717948717949,0.0,23.0559508974359,72.506036,133.9583846153846
281,1213.6923076923076,729.4615384615385,137.3846153846154,101.61538461538461,0.0,23.055950923076924,72.506036,133.95953846153844
282,1213.7948717948718,729.3076923076923,137.25641025641025,101.74358974358974,0.0,23.05595094871795,72.506036,133.9606923076923
283,1213.8974358974358,729.1538461538462,137.12820512820514,101.87179487179488,0.0,23.055950974358975,72.506036,133.96184615384615
284,1214.0,729.0,137.0,102.0,0.0,23.055951,72.506036,133.963
285,1211.0,735.0,139.0,94.0,0.0,23.055951,72.506036,133.963
286,1210.0,740.0,140.0,90.0,0.0,23.055951,72.506036,133.963
287,1210.0,742.0,139.0,85.0,0.0,23.055951,72.506036,133.963
288,1211.0,743.0,138.0,83.0,0.0,23.055951,72.506036,133.963
289,1210.0,744.0,140.0,83.0,0.0,23.055951,72.506036,133.963
290,1212.0,742.0,139.0,83.0,0.0,23.055951,72.506036,133.963
291,1209.0,740.0,141.0,84.0,0.0,23.055951,72.506036,133.963
292,1209.0,739.0,140.0,83.0,0.0,23.055951,72.506036,133.963
293,1208.0,740.0,141.0,82.0,0.0,23.055951,72.506036,133.963
294,1208.0,740.0,140.0,82.0,0.0,23.055951,72.506036,133.963
295,1209.0,741.0,140.0,83.0,0.0,23.055951,72.506036,133.967
296,1208.0,740.0,144.0,87.0,0.0,23.055951,72.506036,133.967
297,1207.0,737.0,146.0,91.0,0.0,23.055951,72.506036,133.967
298,1208.0,737.0,144.0,91.0,0.0,23.055951,72.506036,133.967
299,1206.0,737.0,143.0,91.0,0.0,23.055951,72.506036,133.967
300,1210.0,736.0,140.0,91.0,0.0,23.055951,72.506036,133.967
301,1214.0,737.0,137.0,91.0,0.0,23.055951,72.506036,133.967
302,1214.0,736.0,137.0,94.0,0.0,23.055951,72.506036,133.967
303,1220.0,733.0,135.0,95.0,0.0,23.055951,72.506036,133.967
304,1224.0,731.0,132.0,97.0,0.0,23.055951,72.506036,133.967
305,1223.878048780488,730.390243902439,132.2439024390244,97.53658536585365,0.0,23.055951,72.506036,133.96648780487806
306,1223.7560975609756,729.780487804878,132.4878048780488,98.07317073170732,0.0,23.055951,72.506036,133.9659756097561
307,1223.6341463414635,729.170731707317,132.73170731707316,98.60975609756098,0.0,23.055951,72.506036,133.96546341463417
308,1223.5121951219512,728.560975609756,132.97560975609755,99.14634146341463,0.0,23.055951,72.506036,133.96495121951222
309,1223.3902439024391,727.9512195121952,133.21951219512195,99.6829268292683,0.0,23.055951,72.506036,133.96443902439026
310,1223.2682926829268,727.3414634146342,133.46341463414635,100.21951219512195,0.0,23.055951,72.506036,133.9639268292683
311,1223.1463414634147,726.7317073170732,133.70731707317074,100.7560975609756,0.0,23.055951,72.506036,133.96341463414635
312,1223.0243902439024,726.1219512195122,133.9512195121951,101.29268292682927,0.0,23.055951,72.506036,133.9629024390244
313,1222.9024390243903,725.5121951219512,134.1951219512195,101.82926829268293,0.0,23.055951,72.506036,133.96239024390246
314,1222.780487804878,724.9024390243902,134.4390243902439,102.36585365853658,0.0,23.055951,72.506036,133.9618780487805
315,1222.658536585366,724.2926829268292,134.6829268292683,102.90243902439025,0.0,23.055951,72.506036,133.96136585365855
316,1222.5365853658536,723.6829268292682,134.9268292682927,103.4390243902439,0.0,23.055951,72.506036,133.9608536585366
317,1222.4146341463415,723.0731707317074,135.17073170731706,103.97560975609755,0.0,23.055951,72.506036,133.96034146341464
318,1222.2926829268292,722.4634146341464,135.41463414634146,104.51219512195122,0.0,23.055951,72.506036,133.95982926829268
319,1222.1707317073171,721.8536585365854,135.65853658536585,105.04878048780488,0.0,23.055951,72.506036,133.95931707317075
320,1222.0487804878048,721.2439024390244,135.90243902439025,105.58536585365854,0.0,23.055951,72.506036,133.9588048780488
321,1221.9268292682927,720.6341463414634,136.14634146341464,106.1219512195122,0.0,23.055951,72.506036,133.95829268292684
322,1221.8048780487804,720.0243902439024,136.390243902439,106.65853658536585,0.0,23.055951,72.506036,133.95778048780488
