frameNo,left,top,w,h,conf,lat,long,alt
1701,1853.0,26.0,30.0,47.0,0.0,23.055988,72.506013,132.423
1702,1856.0,33.0,29.0,48.0,0.0,23.055988,72.506013,132.423
1703,1857.0,39.0,30.0,50.0,0.0,23.055988,72.506013,132.423
1704,1859.0,47.0,30.0,49.0,0.0,23.055988,72.506013,132.423
1705,1860.0,53.0,31.0,50.0,0.0,23.055988,72.506013,132.423
1706,1862.0,61.0,32.0,51.0,0.0,23.055988,72.506013,132.427
1707,1863.8,67.4,31.8,52.0,0.0,23.055988,72.506013,132.427
1708,1865.6,73.8,31.6,53.0,0.0,23.055988,72.506013,132.427
1709,1867.4,80.2,31.4,54.0,0.0,23.055988,72.506013,132.427
1710,1869.2,86.6,31.2,55.0,0.0,23.055988,72.506013,132.427
1711,1871.0,93.0,31.0,56.0,0.0,23.055988,72.506013,132.427
1712,1871.0,99.0,32.0,55.0,0.0,23.055988,72.506013,132.422
1713,1873.0,107.0,33.0,55.0,0.0,23.055988,72.506013,132.422
1714,1876.0,115.0,32.0,53.0,0.0,23.055988,72.506013,132.422
1715,1878.0,120.0,32.0,51.0,0.0,23.055988,72.506013,132.422
1716,1880.0,129.0,31.0,49.0,0.0,23.055988,72.506013,132.422
1717,1882.0,135.0,31.0,49.0,0.0,23.055988,72.506013,132.422
1718,1883.75,141.25,31.0,49.25,0.0,23.055988,72.506013,132.42175
1719,1885.5,147.5,31.0,49.5,0.0,23.055988,72.506013,132.42149999999998
1720,1887.25,153.75,31.0,49.75,0.0,23.055988,72.506013,132.42125
1721,1889.0,160.0,31.0,50.0,0.0,23.055988,72.506013,132.421
1722,1893.0,167.0,30.0,49.0,0.0,23.055988,72.506013,132.421
1723,1896.0,173.0,29.0,47.0,0.0,23.055988,72.506013,132.421
1724,1896.0,180.0,30.0,48.0,0.0,23.055988,72.506013,132.42
1725,1897.0,186.0,30.0,48.0,0.0,23.055988,72.506013,132.42
1726,1900.0,192.0,30.0,47.0,0.0,23.055988,72.506013,132.42
1727,1901.0,199.0,31.0,46.0,0.0,23.055988,72.506013,132.42
1728,1902.0,207.0,31.0,46.0,0.0,23.055988,72.506013,132.42
1729,1904.0,212.0,31.0,45.0,0.0,23.055988,72.506013,132.42
1730,1905.0,217.0,31.0,45.0,0.0,23.055988,72.506013,132.408
1731,1907.0,223.0,30.0,45.0,0.0,23.055988,72.506013,132.408
1732,1908.0,230.0,31.0,47.0,0.0,23.055988,72.506013,132.408
1733,1911.0,235.0,30.0,48.0,0.0,23.055988,72.506013,132.408
1734,1912.0,240.0,31.0,48.0,0.0,23.055988,72.506013,132.408
1735,1914.0,245.0,31.0,49.0,0.0,23.055988,72.506013,132.408
1736,1916.0,249.0,31.0,49.0,0.0,23.055988,72.506013,132.404
