frameNo,left,top,w,h,conf,lat,long,alt
1845,2258.0,526.0,67.0,42.0,0.0,23.055988,72.506014,132.345
1846,2258.5,526.25,66.75,42.0,0.0,23.055988,72.506014,132.345
1847,2259.0,526.5,66.5,42.0,0.0,23.055988,72.506014,132.345
1848,2259.5,526.75,66.25,42.0,0.0,23.055988,72.506014,132.345
1849,2260.0,527.0,66.0,42.0,0.0,23.055988,72.506014,132.345
1850,2260.0208333333335,527.0,65.96527777777777,41.97222222222222,0.0,23.055988,72.506014,132.3457013888889
1851,2260.0416666666665,527.0,65.93055555555556,41.94444444444444,0.0,23.055988,72.506014,132.34640277777777
1852,2260.0625,527.0,65.89583333333333,41.916666666666664,0.0,23.055988,72.506014,132.34710416666667
1853,2260.0833333333335,527.0,65.86111111111111,41.888888888888886,0.0,23.055988,72.506014,132.34780555555557
1854,2260.1041666666665,527.0,65.82638888888889,41.861111111111114,0.0,23.055988,72.506014,132.34850694444444
1855,2260.125,527.0,65.79166666666667,41.833333333333336,0.0,23.055988,72.506014,132.34920833333334
1856,2260.1458333333335,527.0,65.75694444444444,41.80555555555556,0.0,23.055988,72.506014,132.3499097222222
1857,2260.1666666666665,527.0,65.72222222222223,41.77777777777778,0.0,23.055988,72.506014,132.3506111111111
1858,2260.1875,527.0,65.6875,41.75,0.0,23.055988,72.506014,132.3513125
1859,2260.2083333333335,527.0,65.65277777777777,41.72222222222222,0.0,23.055988,72.506014,132.35201388888888
1860,2260.2291666666665,527.0,65.61805555555556,41.69444444444444,0.0,23.055988,72.506014,132.35271527777778
1861,2260.25,527.0,65.58333333333333,41.666666666666664,0.0,23.055988,72.506014,132.35341666666667
1862,2260.2708333333335,527.0,65.54861111111111,41.638888888888886,0.0,23.055988,72.506014,132.35411805555555
1863,2260.2916666666665,527.0,65.51388888888889,41.611111111111114,0.0,23.055988,72.506014,132.35481944444444
1864,2260.3125,527.0,65.47916666666667,41.583333333333336,0.0,23.055988,72.506014,132.35552083333334
1865,2260.3333333333335,527.0,65.44444444444444,41.55555555555556,0.0,23.055988,72.506014,132.35622222222221
1866,2260.3541666666665,527.0,65.40972222222223,41.52777777777778,0.0,23.055988,72.506014,132.3569236111111
1867,2260.375,527.0,65.375,41.5,0.0,23.055988,72.506014,132.35762499999998
1868,2260.3958333333335,527.0,65.34027777777777,41.47222222222222,0.0,23.055988,72.506014,132.35832638888888
1869,2260.4166666666665,527.0,65.30555555555556,41.44444444444444,0.0,23.055988,72.506014,132.35902777777778
1870,2260.4375,527.0,65.27083333333333,41.416666666666664,0.0,23.055988,72.506014,132.35972916666665
1871,2260.4583333333335,527.0,65.23611111111111,41.388888888888886,0.0,23.055988,72.506014,132.36043055555555
1872,2260.4791666666665,527.0,65.20138888888889,41.361111111111114,0.0,23.055988,72.506014,132.36113194444445
1873,2260.5,527.0,65.16666666666667,41.333333333333336,0.0,23.055988,72.506014,132.36183333333332
1874,2260.5208333333335,527.0,65.13194444444444,41.30555555555556,0.0,23.055988,72.506014,132.36253472222222
1875,2260.5416666666665,527.0,65.09722222222223,41.27777777777778,0.0,23.055988,72.506014,132.36323611111112
1876,2260.5625,527.0,65.0625,41.25,0.0,23.055988,72.506014,132.3639375
1877,2260.5833333333335,527.0,65.02777777777777,41.22222222222222,0.0,23.055988,72.506014,132.3646388888889
