frameNo,left,top,w,h,conf,lat,long,alt
2409,2248.0,475.0,62.0,36.0,0.0,23.055988,72.506014,132.788
2410,2248.0,475.0,62.0,36.0,0.0,23.055988,72.506014,132.788
2411,2248.0,475.0,61.0,36.0,0.0,23.055988,72.506014,132.788
2412,2249.0,474.0,61.0,37.0,0.0,23.055988,72.506014,132.788
2413,2254.0,471.0,64.0,36.0,0.0,23.055988,72.506014,132.793
2414,2251.0,473.0,63.0,36.0,0.0,23.055988,72.506014,132.793
2415,2250.0,473.0,63.0,37.0,0.0,23.055988,72.506014,132.793
2416,2253.0,471.0,66.0,36.0,0.0,23.055988,72.506014,132.793
2417,2250.0,473.0,65.0,36.0,0.0,23.055988,72.506014,132.793
2418,2248.0,473.0,64.0,37.0,0.0,23.055988,72.506014,132.793
2419,2248.4545454545455,472.6363636363636,64.18181818181819,36.72727272727273,0.0,23.055988,72.506014,132.79318181818184
2420,2248.909090909091,472.27272727272725,64.36363636363636,36.45454545454545,0.0,23.055988,72.506014,132.79336363636364
2421,2249.3636363636365,471.90909090909093,64.54545454545455,36.18181818181818,0.0,23.055988,72.506014,132.79354545454547
2422,2249.818181818182,471.54545454545456,64.72727272727273,35.90909090909091,0.0,23.055988,72.506014,132.79372727272727
2423,2250.2727272727275,471.1818181818182,64.9090909090909,35.63636363636363,0.0,23.055988,72.506014,132.7939090909091
2424,2250.7272727272725,470.8181818181818,65.0909090909091,35.36363636363637,0.0,23.055988,72.506014,132.7940909090909
2425,2251.181818181818,470.45454545454544,65.27272727272727,35.09090909090909,0.0,23.055988,72.506014,132.79427272727273
2426,2251.6363636363635,470.09090909090907,65.45454545454545,34.81818181818182,0.0,23.055988,72.506014,132.79445454545453
2427,2252.090909090909,469.72727272727275,65.63636363636364,34.54545454545455,0.0,23.055988,72.506014,132.79463636363636
2428,2252.5454545454545,469.3636363636364,65.81818181818181,34.27272727272727,0.0,23.055988,72.506014,132.79481818181816
2429,2253.0,469.0,66.0,34.0,0.0,23.055988,72.506014,132.795
2430,2253.0,468.0,66.0,34.0,0.0,23.055988,72.506014,132.795
2431,2253.0,469.0,67.0,34.0,0.0,23.055988,72.506014,132.797
2432,2253.0,467.0,66.0,35.0,0.0,23.055988,72.506014,132.797
2433,2253.0,466.0,67.0,34.0,0.0,23.055988,72.506014,132.797
2434,2253.0,467.0,68.0,34.0,0.0,23.055988,72.506014,132.797
2435,2253.0,467.0,69.0,35.0,0.0,23.055988,72.506014,132.797
2436,2253.0,468.0,69.0,35.0,0.0,23.055988,72.506014,132.797
2437,2249.0,472.0,65.0,34.0,0.0,23.055988,72.506014,132.793
2438,2247.0,474.0,64.0,34.0,0.0,23.055988,72.506014,132.793
2439,2247.0,474.0,62.0,35.0,0.0,23.055988,72.506014,132.793
2440,2248.0,474.0,61.0,35.0,0.0,23.055988,72.506014,132.793
2441,2248.0,474.0,59.0,35.0,0.0,23.055988,72.506014,132.793
2442,2248.0,475.0,59.0,35.0,0.0,23.055988,72.506014,132.793
2443,2248.1071428571427,474.75,59.607142857142854,35.107142857142854,0.0,23.055988,72.50601403571427,132.79271428571428
2444,2248.214285714286,474.5,60.214285714285715,35.214285714285715,0.0,23.055988,72.50601407142857,132.7924285714286
2445,2248.3214285714284,474.25,60.82142857142857,35.32142857142857,0.0,23.055988,72.50601410714285,132.79214285714286
2446,2248.4285714285716,474.0,61.42857142857143,35.42857142857143,0.0,23.055988,72.50601414285714,132.79185714285714
2447,2248.535714285714,473.75,62.035714285714285,35.535714285714285,0.0,23.055988,72.50601417857142,132.79157142857144
2448,2248.6428571428573,473.5,62.64285714285714,35.642857142857146,0.0,23.055988,72.50601421428571,132.79128571428572
2449,2248.75,473.25,63.25,35.75,0.0,23.055988,72.50601424999999,132.791
2450,2248.8571428571427,473.0,63.857142857142854,35.857142857142854,0.0,23.055988,72.50601428571429,132.7907142857143
2451,2248.964285714286,472.75,64.46428571428571,35.964285714285715,0.0,23.055988,72.50601432142857,132.79042857142858
2452,2249.0714285714284,472.5,65.07142857142857,36.07142857142857,0.0,23.055988,72.50601435714286,132.79014285714285
2453,2249.1785714285716,472.25,65.67857142857143,36.17857142857143,0.0,23.055988,72.50601439285714,132.78985714285716
2454,2249.285714285714,472.0,66.28571428571428,36.285714285714285,0.0,23.055988,72.50601442857143,132.78957142857143
2455,2249.3928571428573,471.75,66.89285714285714,36.392857142857146,0.0,23.055988,72.50601446428571,132.7892857142857
2456,2249.5,471.5,67.5,36.5,0.0,23.055988,72.50601449999999,132.789
2457,2249.6071428571427,471.25,68.10714285714286,36.607142857142854,0.0,23.055988,72.50601453571429,132.7887142857143
2458,2249.714285714286,471.0,68.71428571428571,36.714285714285715,0.0,23.055988,72.50601457142857,132.78842857142857
2459,2249.8214285714284,470.75,69.32142857142857,36.82142857142857,0.0,23.055988,72.50601460714286,132.78814285714284
2460,2249.9285714285716,470.5,69.92857142857143,36.92857142857143,0.0,23.055988,72.50601464285714,132.78785714285715
2461,2250.035714285714,470.25,70.53571428571428,37.035714285714285,0.0,23.055988,72.50601467857143,132.78757142857143
2462,2250.1428571428573,470.0,71.14285714285714,37.142857142857146,0.0,23.055988,72.50601471428571,132.7872857142857
2463,2250.25,469.75,71.75,37.25,0.0,23.055988,72.50601475,132.787
2464,2250.3571428571427,469.5,72.35714285714286,37.357142857142854,0.0,23.055988,72.50601478571429,132.78671428571428
2465,2250.464285714286,469.25,72.96428571428571,37.464285714285715,0.0,23.055988,72.50601482142858,132.78642857142856
2466,2250.5714285714284,469.0,73.57142857142857,37.57142857142857,0.0,23.055988,72.50601485714286,132.78614285714286
2467,2250.6785714285716,468.75,74.17857142857143,37.67857142857143,0.0,23.055988,72.50601489285715,132.78585714285714
2468,2250.785714285714,468.5,74.78571428571428,37.785714285714285,0.0,23.055988,72.50601492857143,132.78557142857142
2469,2250.8928571428573,468.25,75.39285714285714,37.892857142857146,0.0,23.055988,72.50601496428573,132.78528571428572
2470,2251.0,468.0,76.0,38.0,0.0,23.055988,72.506015,132.785
2471,2251.0,468.0,75.0,38.0,0.0,23.055988,72.506015,132.785
