frameNo,left,top,w,h,conf,lat,long,alt
420,1776.0,3.0,43.0,68.0,0.0,23.055987,72.506014,132.881
421,1779.0,5.0,43.0,72.0,0.0,23.055987,72.506014,132.881
422,1780.0,9.0,44.0,78.0,0.0,23.055987,72.506014,132.881
423,1782.0,11.0,45.0,84.0,0.0,23.055987,72.506014,132.869
424,1785.0,19.0,45.0,87.0,0.0,23.055987,72.506014,132.869
425,1787.0,27.0,45.0,88.0,0.0,23.055987,72.506014,132.869
426,1791.0,40.0,43.0,84.0,0.0,23.055987,72.506014,132.869
427,1792.0,47.0,44.0,87.0,0.0,23.055987,72.506014,132.869
428,1794.0,55.0,44.0,87.0,0.0,23.055987,72.506014,132.869
429,1798.0,62.0,44.0,89.0,0.0,23.055987,72.506014,132.859
430,1800.0,69.0,45.0,88.0,0.0,23.055987,72.506014,132.859
431,1805.0,82.0,42.0,87.0,0.0,23.055987,72.506014,132.859
432,1806.0,90.0,42.0,86.0,0.0,23.055987,72.506014,132.859
433,1810.0,100.0,41.0,84.0,0.0,23.055987,72.506014,132.859
434,1813.0,109.0,40.0,85.0,0.0,23.055987,72.506014,132.859
435,1814.0,116.0,41.0,85.0,0.0,23.055987,72.506014,132.844
436,1817.0,121.0,40.0,86.0,0.0,23.055987,72.506014,132.844
437,1819.0,129.0,40.0,85.0,0.0,23.055987,72.506014,132.844
438,1823.0,140.0,40.0,84.0,0.0,23.055987,72.506014,132.844
439,1826.0,146.0,39.0,86.0,0.0,23.055987,72.506014,132.844
440,1827.0,157.0,40.0,85.0,0.0,23.055987,72.506014,132.844
441,1831.0,165.0,38.0,84.0,0.0,23.055987,72.506014,132.841
442,1832.0,172.0,38.0,83.0,0.0,23.055987,72.506014,132.841
443,1835.0,182.0,39.0,79.0,0.0,23.055987,72.506014,132.841
444,1837.0,189.0,39.0,75.0,0.0,23.055987,72.506014,132.841
445,1840.0,196.0,38.0,75.0,0.0,23.055987,72.506014,132.841
446,1843.0,205.0,38.0,73.0,0.0,23.055987,72.506014,132.841
447,1843.0,212.0,39.0,73.0,0.0,23.055987,72.506014,132.832
448,1845.0,218.0,41.0,76.0,0.0,23.055987,72.506014,132.832
449,1848.0,224.0,40.0,74.0,0.0,23.055987,72.506014,132.832
450,1848.0,234.0,41.0,73.0,0.0,23.055987,72.506014,132.832
451,1851.0,246.0,40.0,73.0,0.0,23.055987,72.506014,132.832
452,1853.0,251.0,39.0,74.0,0.0,23.055987,72.506014,132.832
453,1855.0,258.0,40.0,74.0,0.0,23.055987,72.506014,132.834
454,1857.0,266.0,40.0,74.0,0.0,23.055987,72.506014,132.834
455,1861.0,273.0,39.0,75.0,0.0,23.055987,72.506014,132.834
456,1864.0,278.0,39.0,74.0,0.0,23.055987,72.506014,132.834
457,1867.0,285.0,39.0,77.0,0.0,23.055987,72.506014,132.834
458,1869.0,289.0,39.0,78.0,0.0,23.055987,72.506014,132.834
459,1872.0,298.0,38.0,77.0,0.0,23.055987,72.506014,132.824
460,1874.0,303.0,38.0,76.0,0.0,23.055987,72.506014,132.824
461,1877.0,311.0,38.0,76.0,0.0,23.055987,72.506014,132.824
462,1880.0,320.0,38.0,74.0,0.0,23.055987,72.506014,132.824
463,1880.0,325.0,39.0,75.0,0.0,23.055987,72.506014,132.824
464,1882.0,332.0,39.0,73.0,0.0,23.055987,72.506014,132.824
465,1886.0,340.0,37.0,75.0,0.0,23.055987,72.506014,132.821
466,1889.0,348.0,36.0,74.0,0.0,23.055987,72.506014,132.821
467,1891.0,352.0,35.0,77.0,0.0,23.055987,72.506014,132.821
468,1892.0,358.0,36.0,78.0,0.0,23.055987,72.506014,132.821
469,1894.0,361.0,36.0,79.0,0.0,23.055987,72.506014,132.821
470,1895.0,368.0,38.0,79.0,0.0,23.055987,72.506014,132.821
471,1897.0,376.0,38.0,80.0,0.0,23.055987,72.506014,132.819
472,1898.0,380.0,39.0,81.0,0.0,23.055987,72.506014,132.819
473,1901.0,389.0,38.0,80.0,0.0,23.055987,72.506014,132.819
474,1903.0,394.0,38.0,80.0,0.0,23.055987,72.506014,132.819
475,1905.0,401.0,39.0,80.0,0.0,23.055987,72.506014,132.819
476,1907.0,405.0,39.0,81.0,0.0,23.055987,72.506014,132.819
477,1908.0,411.0,39.0,81.0,0.0,23.055987,72.506014,132.811
478,1911.0,415.0,39.0,81.0,0.0,23.055987,72.506014,132.811
479,1912.0,424.0,39.0,79.0,0.0,23.055987,72.506014,132.811
480,1914.0,430.0,39.0,79.0,0.0,23.055987,72.506014,132.811
481,1915.0,434.0,40.0,79.0,0.0,23.055987,72.506014,132.811
482,1917.0,439.0,40.0,79.0,0.0,23.055987,72.506014,132.811
483,1920.0,444.0,40.0,80.0,0.0,23.055987,72.506014,132.812
484,1921.0,450.0,41.0,80.0,0.0,23.055987,72.506014,132.812
485,1924.0,454.0,40.0,80.0,0.0,23.055987,72.506014,132.812
486,1926.0,460.0,40.0,84.0,0.0,23.055987,72.506014,132.812
487,1928.0,465.0,40.0,86.0,0.0,23.055987,72.506014,132.812
488,1928.0,471.0,41.0,85.0,0.0,23.055987,72.506014,132.812
489,1930.0,476.0,41.0,83.0,0.0,23.055987,72.506014,132.811
490,1933.0,484.0,41.0,83.0,0.0,23.055987,72.506014,132.811
491,1934.0,489.0,41.0,82.0,0.0,23.055987,72.506014,132.811
492,1936.0,494.0,40.0,82.0,0.0,23.055987,72.506014,132.811
493,1938.0,500.0,40.0,80.0,0.0,23.055987,72.506014,132.811
494,1939.0,506.0,41.0,79.0,0.0,23.055987,72.506014,132.811
