frameNo,left,top,w,h,conf,lat,long,alt
1,3547.0,573.0,147.0,77.0,0.0,23.055986,72.506015,133.062
2,3549.0,574.0,149.0,76.0,0.0,23.055986,72.506015,133.062
3,3549.0,573.0,152.0,77.0,0.0,23.055986,72.506015,133.064
4,3549.0,573.0,152.0,77.0,0.0,23.055986,72.506015,133.064
5,3549.0,574.0,152.0,77.0,0.0,23.055986,72.506015,133.064
6,3549.0,574.0,151.0,77.0,0.0,23.055986,72.506015,133.064
7,3549.0,573.0,152.0,78.0,0.0,23.055986,72.506015,133.064
8,3549.0,574.0,151.0,77.0,0.0,23.055986,72.506015,133.064
9,3548.0,574.0,151.0,78.0,0.0,23.055986,72.506015,133.07
10,3550.0,574.0,151.0,78.0,0.0,23.055986,72.506015,133.07
11,3548.0,575.0,149.0,78.0,0.0,23.055986,72.506015,133.07
12,3549.0,575.0,148.0,78.0,0.0,23.055986,72.506015,133.07
13,3548.0,576.0,144.0,77.0,0.0,23.055986,72.506015,133.07
14,3548.0,577.0,143.0,77.0,0.0,23.055986,72.506015,133.07
15,3549.0,577.0,141.0,77.0,0.0,23.055986,72.506015,133.068
16,3551.0,576.0,142.0,78.0,0.0,23.055986,72.506015,133.068
17,3550.0,575.0,141.0,79.0,0.0,23.055986,72.506015,133.068
18,3551.0,575.0,142.0,79.0,0.0,23.055986,72.506015,133.068
19,3551.0,575.0,141.0,79.0,0.0,23.055986,72.506015,133.068
20,3551.0,574.0,141.0,80.0,0.0,23.055986,72.506015,133.068
21,3550.0,574.0,138.0,80.0,0.0,23.055987,72.506015,133.075
22,3549.0,575.0,136.0,79.0,0.0,23.055987,72.506015,133.075
23,3551.0,575.0,138.0,79.0,0.0,23.055987,72.506015,133.075
24,3552.0,574.0,140.0,81.0,0.0,23.055987,72.506015,133.075
25,3552.0,574.0,141.0,81.0,0.0,23.055987,72.506015,133.075
26,3552.0,574.0,143.0,81.0,0.0,23.055987,72.506015,133.075
27,3553.0,575.0,146.0,80.0,0.0,23.055986,72.506015,133.073
28,3553.0,576.0,148.0,80.0,0.0,23.055986,72.506015,133.073
29,3552.0,575.0,150.0,80.0,0.0,23.055986,72.506015,133.073
30,3551.0,576.0,150.0,80.0,0.0,23.055986,72.506015,133.073
31,3551.0,576.0,150.0,80.0,0.0,23.055986,72.506015,133.073
32,3551.0,577.0,150.0,79.0,0.0,23.055986,72.506015,133.073
33,3551.0,578.0,149.0,78.0,0.0,23.055987,72.506015,133.075
34,3551.0,578.0,148.0,78.0,0.0,23.055987,72.506015,133.075
35,3551.0,578.0,147.0,78.0,0.0,23.055987,72.506015,133.075
36,3552.0,579.0,146.0,77.0,0.0,23.055987,72.506015,133.075
37,3553.0,579.0,147.0,78.0,0.0,23.055987,72.506015,133.075
38,3553.0,580.0,147.0,77.0,0.0,23.055987,72.506015,133.075
39,3552.0,580.0,148.0,77.0,0.0,23.055987,72.506015,133.073
40,3552.0,580.0,147.0,77.0,0.0,23.055987,72.506015,133.073
41,3552.0,580.0,147.0,76.0,0.0,23.055987,72.506015,133.073
42,3551.0,580.0,147.0,76.0,0.0,23.055987,72.506015,133.073
43,3551.0,580.0,146.0,77.0,0.0,23.055987,72.506015,133.073
44,3551.0,580.0,143.0,77.0,0.0,23.055987,72.506015,133.073
45,3551.0,580.0,143.0,77.0,0.0,23.055987,72.506015,133.074
46,3551.0,580.0,143.0,77.0,0.0,23.055987,72.506015,133.074
47,3551.0,580.0,143.0,77.0,0.0,23.055987,72.506015,133.074
48,3551.0,580.0,144.0,77.0,0.0,23.055987,72.506015,133.074
49,3552.0,580.0,144.0,77.0,0.0,23.055987,72.506015,133.074
50,3553.0,580.0,145.0,78.0,0.0,23.055987,72.506015,133.074
51,3552.0,580.0,146.0,77.0,0.0,23.055987,72.506015,133.068
52,3551.0,580.0,146.0,78.0,0.0,23.055987,72.506015,133.068
53,3551.0,580.0,145.0,77.0,0.0,23.055987,72.506015,133.068
54,3551.0,580.0,144.0,77.0,0.0,23.055987,72.506015,133.068
55,3551.0,580.0,146.0,77.0,0.0,23.055987,72.506015,133.068
