frameNo,left,top,w,h,conf,lat,long,alt
2199,1856.0,1623.0,35.0,50.0,0.0,23.055988,72.506014,132.465
2200,1852.875,1616.75,35.0625,50.1875,0.0,23.055988,72.506014,132.4651875
2201,1849.75,1610.5,35.125,50.375,0.0,23.055988,72.506014,132.465375
2202,1846.625,1604.25,35.1875,50.5625,0.0,23.055988,72.506014,132.4655625
2203,1843.5,1598.0,35.25,50.75,0.0,23.055988,72.506014,132.46575
2204,1840.375,1591.75,35.3125,50.9375,0.0,23.055988,72.506014,132.4659375
2205,1837.25,1585.5,35.375,51.125,0.0,23.055988,72.506014,132.466125
2206,1834.125,1579.25,35.4375,51.3125,0.0,23.055988,72.506014,132.4663125
2207,1831.0,1573.0,35.5,51.5,0.0,23.055988,72.506014,132.4665
2208,1827.875,1566.75,35.5625,51.6875,0.0,23.055988,72.506014,132.4666875
2209,1824.75,1560.5,35.625,51.875,0.0,23.055988,72.506014,132.466875
2210,1821.625,1554.25,35.6875,52.0625,0.0,23.055988,72.506014,132.4670625
2211,1818.5,1548.0,35.75,52.25,0.0,23.055988,72.506014,132.46724999999998
2212,1815.375,1541.75,35.8125,52.4375,0.0,23.055988,72.506014,132.4674375
2213,1812.25,1535.5,35.875,52.625,0.0,23.055988,72.506014,132.467625
2214,1809.125,1529.25,35.9375,52.8125,0.0,23.055988,72.506014,132.46781249999998
2215,1806.0,1523.0,36.0,53.0,0.0,23.055988,72.506014,132.468
2216,1803.1666666666667,1516.25,35.75,52.5,0.0,23.055988,72.50601391666666,132.46958333333333
2217,1800.3333333333333,1509.5,35.5,52.0,0.0,23.055988,72.50601383333333,132.47116666666665
2218,1797.5,1502.75,35.25,51.5,0.0,23.055988,72.50601375,132.47275
2219,1794.6666666666667,1496.0,35.0,51.0,0.0,23.055988,72.50601366666666,132.47433333333333
2220,1791.8333333333333,1489.25,34.75,50.5,0.0,23.055988,72.50601358333333,132.47591666666665
2221,1789.0,1482.5,34.5,50.0,0.0,23.055988,72.5060135,132.4775
2222,1786.1666666666667,1475.75,34.25,49.5,0.0,23.055988,72.50601341666666,132.47908333333334
2223,1783.3333333333333,1469.0,34.0,49.0,0.0,23.055988,72.50601333333333,132.48066666666665
2224,1780.5,1462.25,33.75,48.5,0.0,23.055988,72.50601325,132.48225
2225,1777.6666666666667,1455.5,33.5,48.0,0.0,23.055988,72.50601316666666,132.48383333333334
2226,1774.8333333333333,1448.75,33.25,47.5,0.0,23.055988,72.50601308333333,132.48541666666665
2227,1772.0,1442.0,33.0,47.0,0.0,23.055988,72.506013,132.487
2228,1769.5,1435.7,32.9,46.7,0.0,23.055988,72.506013,132.488
2229,1767.0,1429.4,32.8,46.4,0.0,23.055988,72.506013,132.489
2230,1764.5,1423.1,32.7,46.1,0.0,23.055988,72.506013,132.49
2231,1762.0,1416.8,32.6,45.8,0.0,23.055988,72.506013,132.491
2232,1759.5,1410.5,32.5,45.5,0.0,23.055988,72.506013,132.49200000000002
2233,1757.0,1404.2,32.4,45.2,0.0,23.055988,72.506013,132.493
2234,1754.5,1397.9,32.3,44.9,0.0,23.055988,72.506013,132.494
2235,1752.0,1391.6,32.2,44.6,0.0,23.055988,72.506013,132.495
2236,1749.5,1385.3,32.1,44.3,0.0,23.055988,72.506013,132.496
2237,1747.0,1379.0,32.0,44.0,0.0,23.055988,72.506013,132.497
2238,1745.0,1374.0,32.0,44.0,0.0,23.055988,72.506013,132.497
2239,1740.0,1367.0,32.0,43.0,0.0,23.055988,72.506014,132.509
2240,1737.25,1360.5,32.25,44.0,0.0,23.055988,72.506014,132.509
2241,1734.5,1354.0,32.5,45.0,0.0,23.055988,72.506014,132.509
2242,1731.75,1347.5,32.75,46.0,0.0,23.055988,72.506014,132.509
2243,1729.0,1341.0,33.0,47.0,0.0,23.055988,72.506014,132.509
2244,1726.875,1335.0,33.125,46.75,0.0,23.055988,72.506014,132.51325
2245,1724.75,1329.0,33.25,46.5,0.0,23.055988,72.506014,132.51749999999998
2246,1722.625,1323.0,33.375,46.25,0.0,23.055988,72.506014,132.52175
2247,1720.5,1317.0,33.5,46.0,0.0,23.055988,72.506014,132.526
2248,1718.375,1311.0,33.625,45.75,0.0,23.055988,72.506014,132.53025
2249,1716.25,1305.0,33.75,45.5,0.0,23.055988,72.506014,132.5345
2250,1714.125,1299.0,33.875,45.25,0.0,23.055988,72.506014,132.53875
2251,1712.0,1293.0,34.0,45.0,0.0,23.055988,72.506014,132.543
2252,1709.0,1283.0,33.0,45.0,0.0,23.055988,72.506014,132.543
2253,1707.0,1282.0,34.0,44.0,0.0,23.055988,72.506014,132.543
2254,1704.0,1278.0,33.0,42.0,0.0,23.055988,72.506014,132.543
2255,1696.7586206896551,1271.8275862068965,37.827586206896555,43.275862068965516,0.0,23.055988,72.506014,132.5459655172414
2256,1689.5172413793102,1265.655172413793,42.6551724137931,44.55172413793103,0.0,23.055988,72.506014,132.54893103448276
2257,1682.2758620689656,1259.4827586206898,47.48275862068965,45.827586206896555,0.0,23.055988,72.506014,132.55189655172416
2258,1675.0344827586207,1253.3103448275863,52.310344827586206,47.10344827586207,0.0,23.055988,72.506014,132.55486206896552
2259,1667.7931034482758,1247.1379310344828,57.13793103448276,48.37931034482759,0.0,23.055988,72.506014,132.5578275862069
2260,1660.551724137931,1240.9655172413793,61.96551724137931,49.6551724137931,0.0,23.055988,72.506014,132.56079310344828
2261,1653.3103448275863,1234.7931034482758,66.79310344827586,50.93103448275862,0.0,23.055988,72.506014,132.56375862068967
2262,1646.0689655172414,1228.6206896551723,71.62068965517241,52.20689655172414,0.0,23.055988,72.506014,132.56672413793103
2263,1638.8275862068965,1222.448275862069,76.44827586206897,53.48275862068966,0.0,23.055988,72.506014,132.56968965517243
2264,1631.5862068965516,1216.2758620689656,81.27586206896552,54.758620689655174,0.0,23.055988,72.506014,132.5726551724138
2265,1624.344827586207,1210.103448275862,86.10344827586206,56.03448275862069,0.0,23.055988,72.506014,132.57562068965518
2266,1617.103448275862,1203.9310344827586,90.93103448275862,57.310344827586206,0.0,23.055988,72.506014,132.57858620689655
2267,1609.8620689655172,1197.7586206896551,95.75862068965517,58.58620689655173,0.0,23.055988,72.506014,132.58155172413794
2268,1602.6206896551723,1191.5862068965516,100.58620689655172,59.86206896551724,0.0,23.055988,72.506014,132.5845172413793
2269,1595.3793103448277,1185.4137931034484,105.41379310344827,61.13793103448276,0.0,23.055988,72.506014,132.5874827586207
2270,1588.1379310344828,1179.2413793103449,110.24137931034483,62.41379310344828,0.0,23.055988,72.506014,132.59044827586206
2271,1580.896551724138,1173.0689655172414,115.06896551724138,63.689655172413794,0.0,23.055988,72.506014,132.59341379310345
2272,1573.655172413793,1166.896551724138,119.89655172413794,64.96551724137932,0.0,23.055988,72.506014,132.59637931034482
2273,1566.4137931034484,1160.7241379310344,124.72413793103448,66.24137931034483,0.0,23.055988,72.506014,132.5993448275862
2274,1559.1724137931035,1154.551724137931,129.55172413793105,67.51724137931035,0.0,23.055988,72.506014,132.60231034482757
2275,1551.9310344827586,1148.3793103448277,134.3793103448276,68.79310344827587,0.0,23.055988,72.506014,132.60527586206896
2276,1544.6896551724137,1142.2068965517242,139.20689655172413,70.06896551724138,0.0,23.055988,72.506014,132.60824137931033
2277,1537.448275862069,1136.0344827586207,144.0344827586207,71.3448275862069,0.0,23.055988,72.506014,132.61120689655172
2278,1530.2068965517242,1129.8620689655172,148.86206896551724,72.62068965517241,0.0,23.055988,72.506014,132.61417241379309
2279,1522.9655172413793,1123.6896551724137,153.68965517241378,73.89655172413794,0.0,23.055988,72.506014,132.61713793103448
2280,1515.7241379310344,1117.5172413793102,158.51724137931035,75.17241379310346,0.0,23.055988,72.506014,132.62010344827584
2281,1508.4827586206898,1111.344827586207,163.3448275862069,76.44827586206897,0.0,23.055988,72.506014,132.62306896551723
2282,1501.2413793103449,1105.1724137931035,168.17241379310343,77.72413793103448,0.0,23.055988,72.506014,132.6260344827586
2283,1494.0,1099.0,173.0,79.0,0.0,23.055988,72.506014,132.629
2284,1501.6666666666667,1095.3333333333333,163.46666666666667,76.2,0.0,23.055988,72.506014,132.63133333333332
