frameNo,left,top,w,h,conf,lat,long,alt
1013,3686.0,1188.0,45.0,32.0,0.0,23.055986,72.506014,133.305
1014,3675.0,1189.0,45.0,31.0,0.0,23.055986,72.506014,133.305
1015,3662.0,1191.0,47.0,31.0,0.0,23.055986,72.506014,133.305
1016,3643.0,1193.0,47.0,31.0,0.0,23.055986,72.506014,133.305
1017,3632.0,1196.0,45.0,30.0,0.0,23.055986,72.506014,133.305
1018,3623.0,1196.0,43.0,29.0,0.0,23.055986,72.506014,133.314
1019,3605.0,1195.0,43.0,31.0,0.0,23.055986,72.506014,133.314
1020,3592.0,1195.0,42.0,31.0,0.0,23.055986,72.506014,133.314
1021,3578.0,1197.0,45.0,30.0,0.0,23.055986,72.506014,133.314
1022,3564.0,1198.0,45.0,30.0,0.0,23.055986,72.506014,133.314
1023,3547.0,1200.0,45.0,31.0,0.0,23.055986,72.506014,133.314
1024,3534.0,1201.0,45.0,31.0,0.0,23.055986,72.506014,133.325
1025,3526.0,1201.0,44.0,31.0,0.0,23.055986,72.506014,133.325
1026,3511.0,1202.0,44.0,31.0,0.0,23.055986,72.506014,133.325
1027,3498.0,1201.0,43.0,32.0,0.0,23.055986,72.506014,133.325
1028,3484.0,1203.0,45.0,31.0,0.0,23.055986,72.506014,133.325
1029,3471.0,1205.0,43.0,31.0,0.0,23.055986,72.506014,133.325
1030,3453.0,1207.0,44.0,32.0,0.0,23.055986,72.506014,133.33
1031,3439.0,1206.0,45.0,33.0,0.0,23.055986,72.506014,133.33
1032,3423.0,1208.0,48.0,33.0,0.0,23.055986,72.506014,133.33
1033,3413.0,1210.0,48.0,33.0,0.0,23.055986,72.506014,133.33
1034,3397.0,1211.0,49.0,32.0,0.0,23.055986,72.506014,133.33
1035,3382.0,1211.0,52.0,32.0,0.0,23.055986,72.506014,133.33
1036,3370.0,1212.0,48.0,32.0,0.0,23.055986,72.506014,133.343
1037,3358.0,1212.0,49.0,33.0,0.0,23.055986,72.506014,133.343
1038,3342.0,1212.0,52.0,32.0,0.0,23.055986,72.506014,133.343
1039,3327.0,1214.0,51.0,31.0,0.0,23.055986,72.506014,133.343
1040,3320.0,1215.0,47.0,32.0,0.0,23.055986,72.506014,133.343
1041,3307.0,1216.0,46.0,32.0,0.0,23.055986,72.506014,133.343
1042,3293.0,1217.0,46.0,32.0,0.0,23.055986,72.506014,133.349
1043,3282.0,1220.0,47.0,31.0,0.0,23.055986,72.506014,133.349
1044,3269.0,1223.0,45.0,31.0,0.0,23.055986,72.506014,133.349
1045,3251.0,1222.0,46.0,32.0,0.0,23.055986,72.506014,133.349
1046,3239.0,1223.0,45.0,32.0,0.0,23.055986,72.506014,133.349
1047,3228.0,1225.0,45.0,32.0,0.0,23.055986,72.506014,133.349
1048,3213.0,1227.0,45.0,34.0,0.0,23.055986,72.506014,133.354
1049,3205.0,1230.0,43.0,33.0,0.0,23.055986,72.506014,133.354
1050,3193.0,1231.0,42.0,33.0,0.0,23.055986,72.506014,133.354
1051,3174.0,1229.0,43.0,34.0,0.0,23.055986,72.506014,133.354
1052,3163.0,1230.0,42.0,35.0,0.0,23.055986,72.506014,133.354
1053,3151.0,1233.0,43.0,33.0,0.0,23.055986,72.506014,133.354
1054,3145.0,1235.0,41.0,34.0,0.0,23.055986,72.506014,133.361
1055,3129.0,1236.0,40.0,33.0,0.0,23.055986,72.506014,133.361
1056,3114.0,1239.0,40.0,32.0,0.0,23.055986,72.506014,133.361
1057,3102.0,1241.0,40.0,30.0,0.0,23.055986,72.506014,133.361
1058,3083.0,1243.0,42.0,30.0,0.0,23.055986,72.506014,133.361
1059,3069.0,1244.0,42.0,31.0,0.0,23.055986,72.506014,133.361
1060,3059.0,1244.0,41.0,31.0,0.0,23.055986,72.506014,133.36
1061,3049.0,1245.0,41.0,31.0,0.0,23.055986,72.506014,133.36
1062,3037.0,1247.0,40.0,31.0,0.0,23.055986,72.506014,133.36
1063,3024.0,1249.0,39.0,31.0,0.0,23.055986,72.506014,133.36
1064,3014.0,1250.0,38.0,30.0,0.0,23.055986,72.506014,133.36
1065,3002.0,1251.0,38.0,30.0,0.0,23.055986,72.506014,133.36
1066,2987.0,1253.0,39.0,30.0,0.0,23.055986,72.506014,133.364
1067,2970.0,1255.0,39.0,29.0,0.0,23.055986,72.506014,133.364
1068,2952.0,1256.0,42.0,30.0,0.0,23.055986,72.506014,133.364
1069,2941.0,1257.0,41.0,30.0,0.0,23.055986,72.506014,133.364
1070,2929.0,1258.0,42.0,30.0,0.0,23.055986,72.506014,133.364
1071,2918.0,1259.0,44.0,30.0,0.0,23.055986,72.506014,133.364
1072,2907.0,1260.0,46.0,30.0,0.0,23.055986,72.506014,133.363
1073,2900.0,1261.0,42.0,30.0,0.0,23.055986,72.506014,133.363
1074,2884.0,1261.0,42.0,31.0,0.0,23.055986,72.506014,133.363
1075,2868.0,1262.0,44.0,31.0,0.0,23.055986,72.506014,133.363
1076,2857.0,1264.0,45.0,30.0,0.0,23.055986,72.506014,133.363
1077,2848.0,1266.0,46.0,29.0,0.0,23.055986,72.506014,133.363
1078,2835.0,1266.0,44.0,31.0,0.0,23.055986,72.506014,133.367
1079,2821.0,1267.0,44.0,30.0,0.0,23.055986,72.506014,133.367
1080,2809.0,1269.0,45.0,30.0,0.0,23.055986,72.506014,133.367
1081,2796.5,1270.25,44.5,29.5,0.0,23.055986,72.506014,133.36775
1082,2784.0,1271.5,44.0,29.0,0.0,23.055986,72.506014,133.36849999999998
1083,2771.5,1272.75,43.5,28.5,0.0,23.055986,72.506014,133.36925
1084,2759.0,1274.0,43.0,28.0,0.0,23.055986,72.506014,133.37
1085,2745.0,1275.0,43.0,29.0,0.0,23.055986,72.506014,133.37
1086,2732.0,1276.0,44.0,30.0,0.0,23.055986,72.506014,133.37
1087,2726.0,1277.0,43.0,29.0,0.0,23.055986,72.506014,133.37
1088,2716.0,1278.0,41.0,29.0,0.0,23.055986,72.506014,133.37
1089,2704.0,1279.0,42.0,29.0,0.0,23.055986,72.506014,133.37
1090,2690.0,1279.0,41.0,30.0,0.0,23.055986,72.506014,133.368
1091,2678.0,1279.0,40.0,30.0,0.0,23.055986,72.506014,133.368
1092,2665.0,1278.0,41.0,30.0,0.0,23.055986,72.506014,133.368
1093,2654.0,1280.0,42.0,30.0,0.0,23.055986,72.506014,133.368
1094,2636.0,1281.0,44.0,31.0,0.0,23.055986,72.506014,133.368
1095,2629.0,1282.0,43.0,31.0,0.0,23.055986,72.506014,133.368
1096,2618.0,1282.0,44.0,31.0,0.0,23.055986,72.506014,133.367
1097,2610.0,1284.0,43.0,30.0,0.0,23.055986,72.506014,133.367
1098,2598.0,1284.0,41.0,31.0,0.0,23.055986,72.506014,133.367
1099,2587.0,1285.0,40.0,31.0,0.0,23.055986,72.506014,133.367
1100,2571.0,1286.0,42.0,31.0,0.0,23.055986,72.506014,133.367
1101,2561.0,1286.0,42.0,31.0,0.0,23.055986,72.506014,133.367
