frameNo,left,top,w,h,conf,lat,long,alt
1,1971.0,1784.0,72.0,124.0,0.0,23.055988,72.506015,133.088
2,1968.0,1775.0,81.0,135.0,0.0,23.055988,72.506015,133.088
3,1966.0,1773.0,87.0,140.0,0.0,23.055988,72.506015,133.088
4,1963.25,1768.25,88.75,140.0,0.0,23.055988,72.506015,133.08575
5,1960.5,1763.5,90.5,140.0,0.0,23.055988,72.506015,133.08350000000002
6,1957.75,1758.75,92.25,140.0,0.0,23.055988,72.506015,133.08125
7,1955.0,1754.0,94.0,140.0,0.0,23.055988,72.506015,133.079
8,1953.0,1749.0,94.0,139.0,0.0,23.055988,72.506015,133.079
9,1951.0,1746.0,93.0,138.0,0.0,23.055988,72.506015,133.079
10,1949.2,1742.6,93.2,138.0,0.0,23.055988,72.506015,133.0782
11,1947.4,1739.2,93.4,138.0,0.0,23.055988,72.506015,133.0774
12,1945.6,1735.8,93.6,138.0,0.0,23.055988,72.506015,133.07659999999998
13,1943.8,1732.4,93.8,138.0,0.0,23.055988,72.506015,133.0758
14,1942.0,1729.0,94.0,138.0,0.0,23.055988,72.506015,133.075
15,1940.0,1726.0,94.0,137.0,0.0,23.055988,72.506015,133.075
16,1939.0,1725.0,94.0,136.0,0.0,23.055988,72.506015,133.075
17,1936.0,1722.0,93.0,135.0,0.0,23.055988,72.506015,133.067
18,1933.0,1717.0,93.0,136.0,0.0,23.055988,72.506015,133.067
19,1931.0,1714.0,93.0,135.0,0.0,23.055988,72.506015,133.067
20,1930.0,1711.0,91.0,134.0,0.0,23.055988,72.506015,133.067
21,1929.0,1706.0,91.0,133.0,0.0,23.055988,72.506015,133.067
22,1926.0,1703.0,90.0,132.0,0.0,23.055988,72.506015,133.067
23,1925.0,1700.0,89.0,130.0,0.0,23.055988,72.506015,133.06
24,1924.0,1696.0,86.0,129.0,0.0,23.055988,72.506015,133.06
25,1923.0,1692.0,87.0,130.0,0.0,23.055988,72.506015,133.06
26,1924.0,1687.0,88.0,131.0,0.0,23.055988,72.506015,133.06
27,1922.0,1685.0,88.0,131.0,0.0,23.055988,72.506015,133.06
28,1919.0,1680.0,89.0,132.0,0.0,23.055988,72.506015,133.06
29,1918.0,1678.0,91.0,132.0,0.0,23.055988,72.506015,133.058
30,1916.0,1674.0,92.0,132.0,0.0,23.055988,72.506015,133.058
31,1915.0,1671.0,92.0,133.0,0.0,23.055988,72.506015,133.058
32,1914.0,1669.0,93.0,132.0,0.0,23.055988,72.506015,133.058
33,1913.0,1664.0,94.0,132.0,0.0,23.055988,72.506015,133.058
34,1912.0,1663.0,93.0,130.0,0.0,23.055988,72.506015,133.058
35,1908.0,1658.0,94.0,131.0,0.0,23.055988,72.506015,133.051
36,1907.0,1656.0,93.0,128.0,0.0,23.055988,72.506015,133.051
37,1906.0,1653.0,95.0,128.0,0.0,23.055988,72.506015,133.051
38,1903.0,1649.0,91.0,127.0,0.0,23.055988,72.506015,133.051
39,1902.0,1646.0,91.0,127.0,0.0,23.055988,72.506015,133.051
40,1901.0,1641.0,93.0,128.0,0.0,23.055988,72.506015,133.051
41,1900.0,1638.0,93.0,127.0,0.0,23.055988,72.506015,133.047
42,1897.0,1636.0,93.0,128.0,0.0,23.055988,72.506015,133.047
43,1896.0,1631.0,93.0,129.0,0.0,23.055988,72.506015,133.047
44,1894.0,1627.0,94.0,130.0,0.0,23.055988,72.506015,133.047
45,1888.0,1623.0,95.0,132.0,0.0,23.055988,72.506015,133.047
46,1886.0,1619.0,94.0,133.0,0.0,23.055988,72.506015,133.047
47,1884.0,1615.0,94.0,133.0,0.0,23.055988,72.506015,133.035
48,1884.0,1611.0,93.0,132.0,0.0,23.055988,72.506015,133.035
49,1881.0,1607.0,92.0,131.0,0.0,23.055988,72.506015,133.035
50,1880.0,1602.0,91.0,131.0,0.0,23.055988,72.506015,133.035
51,1880.0,1598.0,88.0,131.0,0.0,23.055988,72.506015,133.035
52,1878.5,1594.4,88.0,131.2,0.0,23.055988,72.506015,133.0326
53,1877.0,1590.8,88.0,131.4,0.0,23.055988,72.506015,133.0302
54,1875.5,1587.2,88.0,131.6,0.0,23.055988,72.506015,133.02779999999998
55,1874.0,1583.6,88.0,131.8,0.0,23.055988,72.506015,133.0254
56,1872.5,1580.0,88.0,132.0,0.0,23.055988,72.506015,133.023
57,1871.0,1576.4,88.0,132.2,0.0,23.055988,72.506015,133.0206
58,1869.5,1572.8,88.0,132.4,0.0,23.055988,72.506015,133.0182
59,1868.0,1569.2,88.0,132.6,0.0,23.055988,72.506015,133.01579999999998
60,1866.5,1565.6,88.0,132.8,0.0,23.055988,72.506015,133.0134
61,1865.0,1562.0,88.0,133.0,0.0,23.055988,72.506015,133.011
62,1863.0,1560.0,88.0,131.0,0.0,23.055988,72.506015,133.011
63,1862.0,1556.0,88.0,129.0,0.0,23.055988,72.506015,133.011
64,1861.0,1555.0,87.0,128.0,0.0,23.055988,72.506015,133.011
65,1858.0,1550.0,89.0,129.0,0.0,23.055988,72.506015,132.994
66,1860.0,1544.0,89.0,129.0,0.0,23.055988,72.506015,132.994
67,1858.0,1542.0,89.0,129.0,0.0,23.055988,72.506015,132.994
68,1856.0,1538.75,89.0,129.0,0.0,23.055988,72.506015,132.98875
69,1854.0,1535.5,89.0,129.0,0.0,23.055988,72.506015,132.9835
70,1852.0,1532.25,89.0,129.0,0.0,23.055988,72.506015,132.97825
71,1850.0,1529.0,89.0,129.0,0.0,23.055988,72.506015,132.973
72,1848.0,1526.0,89.0,130.0,0.0,23.055988,72.506015,132.973
73,1846.0,1523.0,89.0,130.0,0.0,23.055988,72.506015,132.973
74,1844.0,1519.0,90.0,130.0,0.0,23.055988,72.506015,132.973
75,1842.0,1515.0,89.0,129.0,0.0,23.055988,72.506015,132.973
76,1838.0,1508.0,92.0,130.0,0.0,23.055988,72.506015,132.973
77,1836.625,1504.625,91.375,129.875,0.0,23.055988,72.506015,132.96812500000001
78,1835.25,1501.25,90.75,129.75,0.0,23.055988,72.506015,132.96325000000002
79,1833.875,1497.875,90.125,129.625,0.0,23.055988,72.506015,132.95837500000002
80,1832.5,1494.5,89.5,129.5,0.0,23.055988,72.506015,132.95350000000002
81,1831.125,1491.125,88.875,129.375,0.0,23.055988,72.506015,132.948625
82,1829.75,1487.75,88.25,129.25,0.0,23.055988,72.506015,132.94375
83,1828.375,1484.375,87.625,129.125,0.0,23.055988,72.506015,132.938875
