frameNo,left,top,w,h,conf,lat,long,alt
1,977.0,1409.0,41.0,33.0,0.0,23.055988,72.506015,133.088
2,966.0,1410.0,42.0,32.0,0.0,23.055988,72.506015,133.088
3,960.0,1411.0,39.0,31.0,0.0,23.055988,72.506015,133.088
4,956.0,1411.0,37.0,29.0,0.0,23.055988,72.506015,133.088
5,947.0,1410.0,39.0,30.0,0.0,23.055988,72.506015,133.079
6,938.0,1409.0,42.0,30.0,0.0,23.055988,72.506015,133.079
7,929.4,1408.2,42.0,30.2,0.0,23.055988,72.506015,133.0782
8,920.8,1407.4,42.0,30.4,0.0,23.055988,72.506015,133.0774
9,912.2,1406.6,42.0,30.6,0.0,23.055988,72.506015,133.07659999999998
10,903.6,1405.8,42.0,30.8,0.0,23.055988,72.506015,133.0758
11,895.0,1405.0,42.0,31.0,0.0,23.055988,72.506015,133.075
12,883.0,1405.0,43.0,31.0,0.0,23.055988,72.506015,133.075
13,873.0,1405.0,41.0,31.0,0.0,23.055988,72.506015,133.075
14,866.0,1404.0,39.0,31.0,0.0,23.055988,72.506015,133.075
15,857.0,1404.0,40.0,31.0,0.0,23.055988,72.506015,133.075
16,850.0,1404.0,40.0,31.0,0.0,23.055988,72.506015,133.075
17,839.0,1404.0,40.0,31.0,0.0,23.055988,72.506015,133.067
18,830.5,1403.5,39.75,30.5,0.0,23.055988,72.506015,133.067
19,822.0,1403.0,39.5,30.0,0.0,23.055988,72.506015,133.067
20,813.5,1402.5,39.25,29.5,0.0,23.055988,72.506015,133.067
21,805.0,1402.0,39.0,29.0,0.0,23.055988,72.506015,133.067
22,795.5,1401.25,38.25,29.25,0.0,23.055988,72.506015,133.06525
23,786.0,1400.5,37.5,29.5,0.0,23.055988,72.506015,133.0635
24,776.5,1399.75,36.75,29.75,0.0,23.055988,72.506015,133.06175000000002
25,767.0,1399.0,36.0,30.0,0.0,23.055988,72.506015,133.06
26,759.0,1398.0,35.0,30.0,0.0,23.055988,72.506015,133.06
27,752.0,1396.0,35.0,31.0,0.0,23.055988,72.506015,133.06
28,741.0,1398.0,35.0,31.0,0.0,23.055988,72.506015,133.06
29,731.0,1397.0,35.0,31.0,0.0,23.055988,72.506015,133.058
30,722.1666666666666,1396.8333333333333,35.166666666666664,30.666666666666668,0.0,23.055988,72.506015,133.05683333333332
31,713.3333333333334,1396.6666666666667,35.333333333333336,30.333333333333332,0.0,23.055988,72.506015,133.05566666666667
32,704.5,1396.5,35.5,30.0,0.0,23.055988,72.506015,133.0545
33,695.6666666666666,1396.3333333333333,35.666666666666664,29.666666666666668,0.0,23.055988,72.506015,133.0533333333333
34,686.8333333333334,1396.1666666666667,35.833333333333336,29.333333333333332,0.0,23.055988,72.506015,133.05216666666666
35,678.0,1396.0,36.0,29.0,0.0,23.055988,72.506015,133.051
36,669.0,1393.0,36.0,30.0,0.0,23.055988,72.506015,133.051
37,665.0,1393.0,36.0,29.0,0.0,23.055988,72.506015,133.051
38,654.0,1392.0,36.0,30.0,0.0,23.055988,72.506015,133.051
39,646.0,1391.0,36.0,30.0,0.0,23.055988,72.506015,133.051
40,633.0,1392.0,36.0,29.0,0.0,23.055988,72.506015,133.051
41,623.0,1392.0,36.0,29.0,0.0,23.055988,72.506015,133.047
42,615.0,1391.0,38.0,30.0,0.0,23.055988,72.506015,133.047
43,605.0,1390.0,37.0,30.0,0.0,23.055988,72.506015,133.047
44,599.0,1391.0,37.0,29.0,0.0,23.055988,72.506015,133.047
45,589.0,1391.0,36.0,30.0,0.0,23.055988,72.506015,133.047
