frameNo,left,top,w,h,conf,lat,long,alt
1195,3749.0,1278.0,90.0,79.0,0.0,23.055987,72.506015,133.402
1196,3748.0,1281.0,91.0,82.0,0.0,23.055987,72.506015,133.402
1197,3747.0,1282.0,92.0,86.0,0.0,23.055987,72.506015,133.395
1198,3747.0,1282.0,92.0,89.0,0.0,23.055987,72.506015,133.395
1199,3746.0,1282.0,92.0,93.0,0.0,23.055987,72.506015,133.395
1200,3746.0,1284.0,93.0,98.0,0.0,23.055987,72.506015,133.395
1201,3744.0,1283.0,93.0,99.0,0.0,23.055987,72.506015,133.395
1202,3746.0,1281.0,93.0,101.0,0.0,23.055987,72.506015,133.395
1203,3743.0,1281.0,94.0,100.0,0.0,23.055987,72.506015,133.395
1204,3743.0,1280.0,94.0,97.0,0.0,23.055986,72.506015,133.391
1205,3738.0,1279.0,97.0,90.0,0.0,23.055986,72.506015,133.391
1206,3736.0,1278.0,98.0,84.0,0.0,23.055986,72.506015,133.391
1207,3732.0,1282.0,102.0,82.0,0.0,23.055986,72.506015,133.391
1208,3727.1428571428573,1281.857142857143,107.57142857142857,88.14285714285714,0.0,23.055986,72.506015,133.38899999999998
1209,3722.285714285714,1281.7142857142858,113.14285714285714,94.28571428571429,0.0,23.055986,72.506015,133.387
1210,3717.4285714285716,1281.5714285714287,118.71428571428572,100.42857142857143,0.0,23.055986,72.506015,133.385
1211,3712.5714285714284,1281.4285714285713,124.28571428571428,106.57142857142857,0.0,23.055986,72.506015,133.383
1212,3707.714285714286,1281.2857142857142,129.85714285714286,112.71428571428572,0.0,23.055986,72.506015,133.381
1213,3702.8571428571427,1281.142857142857,135.42857142857144,118.85714285714286,0.0,23.055986,72.506015,133.37900000000002
1214,3698.0,1281.0,141.0,125.0,0.0,23.055986,72.506015,133.377
1215,3696.0,1279.0,143.0,127.0,0.0,23.055986,72.506015,133.377
1216,3691.0,1277.0,147.0,129.0,0.0,23.055986,72.506015,133.37
1217,3687.0,1277.0,151.0,127.0,0.0,23.055986,72.506015,133.37
1218,3684.0,1278.0,154.0,126.0,0.0,23.055986,72.506015,133.37
1219,3682.0,1280.0,157.0,126.0,0.0,23.055986,72.506015,133.37
1220,3680.0,1280.0,159.0,127.0,0.0,23.055986,72.506015,133.37
1221,3678.0,1279.0,161.0,127.0,0.0,23.055986,72.506015,133.37
1222,3676.0,1278.0,163.0,126.0,0.0,23.055986,72.506015,133.357
1223,3674.0,1277.0,165.0,127.0,0.0,23.055986,72.506015,133.357
1224,3671.0,1277.0,168.0,127.0,0.0,23.055986,72.506015,133.357
1225,3668.0,1278.0,171.0,127.0,0.0,23.055986,72.506015,133.357
1226,3663.0,1278.0,174.0,124.0,0.0,23.055986,72.506015,133.357
1227,3658.0,1278.0,179.0,122.0,0.0,23.055986,72.506015,133.357
1228,3656.0,1278.0,182.0,121.0,0.0,23.055986,72.506015,133.346
1229,3653.0,1278.0,185.0,121.0,0.0,23.055986,72.506015,133.346
1230,3650.0,1278.0,188.0,120.0,0.0,23.055986,72.506015,133.346
1231,3646.0,1278.0,191.0,119.0,0.0,23.055986,72.506015,133.346
1232,3640.0,1281.0,196.0,112.0,0.0,23.055986,72.506015,133.346
1233,3640.0,1281.0,198.0,111.0,0.0,23.055986,72.506015,133.346
1234,3638.0,1282.0,200.0,110.0,0.0,23.055986,72.506015,133.336
1235,3634.0,1280.0,202.0,107.0,0.0,23.055986,72.506015,133.336
1236,3629.0,1278.0,207.0,116.0,0.0,23.055986,72.506015,133.336
1237,3621.0,1278.0,214.0,114.0,0.0,23.055986,72.506015,133.336
1238,3616.0,1277.0,219.0,114.0,0.0,23.055986,72.506015,133.336
1239,3610.0,1277.0,225.0,114.0,0.0,23.055986,72.506015,133.336
1240,3603.0,1278.0,232.0,114.0,0.0,23.055986,72.506015,133.323
1241,3601.0,1277.0,235.0,114.0,0.0,23.055986,72.506015,133.323
1242,3597.0,1276.0,240.0,114.0,0.0,23.055986,72.506015,133.323
1243,3592.0,1277.0,244.0,114.0,0.0,23.055986,72.506015,133.323
1244,3588.0,1278.0,248.0,113.0,0.0,23.055986,72.506015,133.323
1245,3586.0,1277.0,250.0,112.0,0.0,23.055986,72.506015,133.323
1246,3582.0,1278.0,254.0,112.0,0.0,23.055986,72.506015,133.314
1247,3576.0,1277.0,260.0,113.0,0.0,23.055986,72.506015,133.314
1248,3573.0,1276.0,264.0,116.0,0.0,23.055986,72.506015,133.314
1249,3569.0,1276.0,268.0,116.0,0.0,23.055986,72.506015,133.314
1250,3565.0,1277.0,271.0,115.0,0.0,23.055986,72.506015,133.314
1251,3560.5,1277.5,275.5,113.5,0.0,23.055986,72.506015,133.3095
1252,3556.0,1278.0,280.0,112.0,0.0,23.055986,72.506015,133.305
1253,3552.0,1278.0,284.0,113.0,0.0,23.055986,72.506015,133.305
1254,3547.0,1276.0,289.0,119.0,0.0,23.055986,72.506015,133.305
1255,3542.0,1277.0,294.0,121.0,0.0,23.055986,72.506015,133.305
1256,3535.0,1278.0,301.0,123.0,0.0,23.055986,72.506015,133.305
1257,3531.0,1277.0,305.0,124.0,0.0,23.055986,72.506015,133.305
1258,3525.75,1277.25,310.25,125.0,0.0,23.055986,72.506015,133.303
1259,3520.5,1277.5,315.5,126.0,0.0,23.055986,72.506015,133.301
1260,3515.25,1277.75,320.75,127.0,0.0,23.055986,72.506015,133.299
1261,3510.0,1278.0,326.0,128.0,0.0,23.055986,72.506015,133.297
1262,3504.0,1278.0,332.0,129.0,0.0,23.055986,72.506015,133.297
1263,3498.0,1277.0,339.5,130.0,0.0,23.055986,72.506015,133.29149999999998
1264,3492.0,1276.0,347.0,131.0,0.0,23.055986,72.506015,133.286
1265,3489.0,1275.0,350.0,130.0,0.0,23.055986,72.506015,133.286
1266,3484.0,1275.0,355.0,131.0,0.0,23.055986,72.506015,133.286
1267,3480.0,1275.0,359.0,133.0,0.0,23.055986,72.506015,133.286
1268,3474.0,1275.0,365.0,135.0,0.0,23.055986,72.506015,133.286
1269,3468.0,1275.0,370.0,136.0,0.0,23.055986,72.506015,133.286
1270,3463.0,1274.0,375.0,135.0,0.0,23.055986,72.506015,133.274
1271,3458.0,1274.0,380.0,136.0,0.0,23.055986,72.506015,133.274
1272,3453.0,1274.0,385.0,136.0,0.0,23.055986,72.506015,133.274
1273,3447.0,1275.0,390.0,135.0,0.0,23.055986,72.506015,133.274
1274,3440.0,1274.0,394.0,133.0,0.0,23.055986,72.506015,133.274
1275,3436.0,1276.0,397.0,132.0,0.0,23.055986,72.506015,133.274
1276,3429.0,1275.0,400.0,132.0,0.0,23.055986,72.506015,133.268
1277,3426.0,1277.0,402.0,131.0,0.0,23.055986,72.506015,133.268
1278,3421.0,1277.0,404.0,130.0,0.0,23.055986,72.506015,133.268
1279,3413.0,1276.0,405.0,129.0,0.0,23.055986,72.506015,133.268
1280,3408.3333333333335,1276.6666666666667,402.6666666666667,128.0,0.0,23.055986333333333,72.506015,133.26533333333333
1281,3403.6666666666665,1277.3333333333333,400.3333333333333,127.0,0.0,23.055986666666666,72.506015,133.26266666666666
