frameNo,left,top,w,h,conf,lat,long,alt
1299,103.0,892.0,71.0,33.0,0.0,23.055987,72.506015,133.246
1300,113.0,892.0,70.0,33.0,0.0,23.055987,72.506015,133.245
1301,124.0,891.0,73.0,33.0,0.0,23.055987,72.506015,133.245
1302,132.0,890.0,74.0,34.0,0.0,23.055987,72.506015,133.245
1303,141.0,890.0,75.0,33.0,0.0,23.055987,72.506015,133.245
1304,150.0,890.0,74.0,34.0,0.0,23.055987,72.506015,133.245
1305,158.0,890.0,77.0,34.0,0.0,23.055987,72.506015,133.241
1306,168.0,889.0,77.0,34.0,0.0,23.055987,72.506015,133.241
1307,180.0,889.0,79.0,34.0,0.0,23.055987,72.506015,133.241
1308,189.0,887.0,79.0,34.0,0.0,23.055987,72.506015,133.241
1309,195.0,888.0,79.0,33.0,0.0,23.055987,72.506015,133.241
1310,202.0,888.0,78.0,34.0,0.0,23.055987,72.506015,133.241
1311,213.0,888.0,76.0,33.0,0.0,23.055987,72.506015,133.241
1312,222.0,888.0,74.0,33.0,0.0,23.055987,72.506015,133.241
1313,229.0,889.0,74.0,33.0,0.0,23.055987,72.506015,133.241
1314,239.0,889.0,73.0,33.0,0.0,23.055987,72.506015,133.241
1315,245.0,889.0,70.0,32.0,0.0,23.055987,72.506015,133.241
1316,253.0,889.0,71.0,32.0,0.0,23.055987,72.506015,133.241
1317,262.0,888.0,73.0,33.0,0.0,23.055987,72.506015,133.241
1318,275.0,887.0,75.0,34.0,0.0,23.055987,72.506015,133.238
1319,285.0,884.0,75.0,35.0,0.0,23.055987,72.506015,133.238
1320,293.0,886.0,76.0,33.0,0.0,23.055987,72.506015,133.238
1321,299.0,887.0,77.0,33.0,0.0,23.055987,72.506015,133.238
1322,307.0,886.0,79.0,34.0,0.0,23.055987,72.506015,133.238
1323,318.0,885.0,79.0,33.0,0.0,23.055987,72.506015,133.238
1324,325.0,883.0,79.0,33.0,0.0,23.055987,72.506015,133.242
1325,331.0,882.0,80.0,33.0,0.0,23.055987,72.506015,133.242
1326,337.0,883.0,78.0,32.0,0.0,23.055987,72.506015,133.242
1327,342.0,883.0,76.0,33.0,0.0,23.055987,72.506015,133.242
1328,349.0,883.0,74.0,33.0,0.0,23.055987,72.506015,133.242
1329,354.0,883.0,73.0,33.0,0.0,23.055987,72.506015,133.24
1330,366.0,883.0,72.0,33.0,0.0,23.055987,72.506015,133.24
1331,379.0,883.0,72.0,33.0,0.0,23.055987,72.506015,133.24
1332,385.0,882.0,73.0,34.0,0.0,23.055987,72.506015,133.24
1333,390.0,883.0,73.0,33.0,0.0,23.055987,72.506015,133.24
1334,401.0,883.0,70.0,33.0,0.0,23.055987,72.506015,133.24
1335,408.0,882.0,70.0,34.0,0.0,23.055987,72.506015,133.24
1336,413.0,883.0,72.0,33.0,0.0,23.055987,72.506014,133.242
1337,418.0,883.0,70.0,33.0,0.0,23.055987,72.506014,133.242
1338,426.0,882.0,73.0,32.0,0.0,23.055987,72.506014,133.242
1339,435.0,881.0,72.0,32.0,0.0,23.055987,72.506014,133.242
1340,439.0,881.0,71.0,32.0,0.0,23.055987,72.506014,133.242
1341,444.0,879.0,71.0,33.0,0.0,23.055987,72.506014,133.242
1342,450.0,878.0,69.0,32.0,0.0,23.055987,72.506014,133.24
1343,457.0,878.0,68.0,32.0,0.0,23.055987,72.506014,133.24
1344,465.0,877.0,69.0,32.0,0.0,23.055987,72.506014,133.24
1345,475.0,877.0,69.0,32.0,0.0,23.055987,72.506014,133.24
1346,482.0,877.0,69.0,32.0,0.0,23.055987,72.506014,133.24
1347,489.0,879.0,68.0,31.0,0.0,23.055987,72.506014,133.24
1348,495.0,879.0,67.0,32.0,0.0,23.055987,72.506014,133.245
1349,500.0,881.0,65.0,31.0,0.0,23.055987,72.506014,133.245
1350,505.0,878.0,66.0,32.0,0.0,23.055987,72.506014,133.245
1351,512.0,878.0,67.0,31.0,0.0,23.055987,72.506014,133.245
1352,518.0,876.0,71.0,30.0,0.0,23.055987,72.506014,133.245
1353,524.0,876.0,71.0,31.0,0.0,23.055987,72.506014,133.249
1354,527.0,876.0,75.0,31.0,0.0,23.055987,72.506015,133.249
1355,529.0,878.0,78.0,31.0,0.0,23.055987,72.506015,133.249
1356,536.0,877.5833333333334,77.5,31.083333333333332,0.0,23.055987,72.506015,133.249
1357,543.0,877.1666666666666,77.0,31.166666666666668,0.0,23.055987,72.506015,133.249
1358,550.0,876.75,76.5,31.25,0.0,23.055987,72.506015,133.249
1359,557.0,876.3333333333334,76.0,31.333333333333332,0.0,23.055987,72.506015,133.249
1360,564.0,875.9166666666666,75.5,31.416666666666668,0.0,23.055987,72.506015,133.249
1361,571.0,875.5,75.0,31.5,0.0,23.055987,72.506015,133.249
1362,578.0,875.0833333333334,74.5,31.583333333333332,0.0,23.055987,72.506015,133.249
1363,585.0,874.6666666666666,74.0,31.666666666666668,0.0,23.055987,72.506015,133.249
1364,592.0,874.25,73.5,31.75,0.0,23.055987,72.506015,133.249
1365,599.0,873.8333333333334,73.0,31.833333333333332,0.0,23.055987,72.506015,133.249
1366,606.0,873.4166666666666,72.5,31.916666666666668,0.0,23.055987,72.506015,133.249
1367,613.0,873.0,72.0,32.0,0.0,23.055987,72.506015,133.249
1368,619.0,873.0,72.0,31.0,0.0,23.055987,72.506015,133.249
1369,624.0,873.0,72.0,31.0,0.0,23.055987,72.506015,133.249
1370,628.0,873.0,74.0,31.0,0.0,23.055987,72.506015,133.249
1371,640.0,872.0,73.0,31.0,0.0,23.055987,72.506015,133.249
1372,646.0,872.0,74.0,30.0,0.0,23.055987,72.506014,133.249
1373,654.0,872.0,75.0,30.0,0.0,23.055987,72.506014,133.249
1374,660.0,871.0,77.0,31.0,0.0,23.055987,72.506014,133.249
1375,666.0,871.0,77.0,31.0,0.0,23.055987,72.506014,133.249
