frameNo,left,top,w,h,conf,lat,long,alt
1720,0.0,1277.0,296.0,123.0,0.0,23.055987,72.506015,133.103
1721,0.0,1277.0,284.0,120.0,0.0,23.055987,72.506015,133.103
1722,0.0,1278.0,273.0,116.0,0.0,23.055987,72.506015,133.103
1723,0.0,1278.0,262.0,114.0,0.0,23.055987,72.506015,133.103
1724,0.0,1279.0,254.0,114.0,0.0,23.055987,72.506015,133.103
1725,0.0,1281.0,244.0,112.0,0.0,23.055987,72.506015,133.099
1726,0.0,1280.0,234.0,113.0,0.0,23.055987,72.506015,133.099
1727,0.0,1280.0,225.0,111.0,0.0,23.055987,72.506015,133.099
1728,0.0,1279.0,212.0,110.0,0.0,23.055987,72.506015,133.099
1729,0.0,1278.0,201.0,108.0,0.0,23.055987,72.506015,133.099
1730,0.0,1277.0,191.0,108.0,0.0,23.055987,72.506015,133.099
1731,0.0,1277.0,179.0,107.0,0.0,23.055987,72.506015,133.097
1732,0.0,1276.0,168.0,105.0,0.0,23.055987,72.506015,133.097
1733,0.0,1277.0,158.0,103.0,0.0,23.055987,72.506015,133.097
1734,0.0,1276.0,148.0,102.0,0.0,23.055987,72.506015,133.097
1735,0.0,1276.0,136.0,101.0,0.0,23.055987,72.506015,133.097
1736,0.0,1277.0,124.0,99.0,0.0,23.055987,72.506015,133.097
1737,0.0,1273.0,115.0,103.5,0.0,23.055987,72.50601449999999,133.098
1738,0.0,1269.0,106.0,108.0,0.0,23.055987,72.506014,133.099
1739,0.0,1270.0,97.0,106.0,0.0,23.055987,72.506014,133.099
1740,0.0,1276.0,81.0,98.0,0.0,23.055987,72.506014,133.099
1741,0.0,1278.0,70.0,94.0,0.0,23.055987,72.506014,133.099
1742,0.0,1280.0,61.0,90.0,0.0,23.055987,72.506014,133.099
1743,0.0,1282.0,50.0,84.0,0.0,23.055987,72.506015,133.1
1744,0.0,1284.0,38.0,76.0,0.0,23.055987,72.506015,133.1
