frameNo,left,top,w,h,conf,lat,long,alt
1649,3495,1487,59,26,0.0,23.055951,72.506034,133.04
1650,3485,1486,62,26,0.0,23.055951,72.506034,133.035
1651,3473,1485,65,26,0.0,23.055951,72.506034,133.035
1652,3468,1487,67,28,0.0,23.055951,72.506034,133.035
1653,3452,1485,72,28,0.0,23.055951,72.506034,133.035
1654,3450,1486,72,29,0.0,23.055951,72.506034,133.035
1655,3443,1486,72,30,0.0,23.055951,72.506034,133.035
1656,3431,1484,76,30,0.0,23.055951,72.506034,133.032
1657,3420,1487,75,30,0.0,23.055951,72.506034,133.032
1661,3381,1490,77,29,0.0,23.055951,72.506034,133.032
1662,3372,1491,76,30,0.0,23.055951,72.506034,133.022
1663,3364,1492,76,30,0.0,23.055951,72.506034,133.022
1664,3359,1492,68,29,0.0,23.055951,72.506034,133.022
1665,3352,1493,65,30,0.0,23.055951,72.506034,133.022
1666,3348,1495,61,27,0.0,23.055951,72.506034,133.022
1667,3337,1493,63,27,0.0,23.055951,72.506034,133.022
1668,3321,1491,65,27,0.0,23.055951,72.506034,133.018
1669,3309,1491,67,27,0.0,23.055951,72.506034,133.018
1670,3299,1490,69,27,0.0,23.055951,72.506034,133.018
1671,3288,1489,70,28,0.0,23.055951,72.506034,133.018
1672,3279,1489,72,28,0.0,23.055951,72.506034,133.018
1673,3272,1486,75,30,0.0,23.055951,72.506034,133.018
1674,3264,1487,76,30,0.0,23.055951,72.506034,133.007
1681,3200,1494,72,30,0.0,23.055951,72.506035,132.991
1682,3188,1494,75,31,0.0,23.055951,72.506035,132.991
1683,3180,1493,74,31,0.0,23.055951,72.506035,132.991
1689,3129,1491,65,31,0.0,23.055951,72.506035,132.985
1690,3118,1491,67,32,0.0,23.055951,72.506035,132.985
1691,3108,1489,68,32,0.0,23.055951,72.506035,132.985
1692,3101,1490,70,33,0.0,23.055951,72.506035,132.974
1693,3093,1491,71,34,0.0,23.055951,72.506035,132.974
1694,3080,1494,74,35,0.0,23.055951,72.506035,132.974
1695,3069,1493,75,36,0.0,23.055951,72.506035,132.974
1696,3066,1494,73,35,0.0,23.055951,72.506035,132.974
1697,3056,1494,71,33,0.0,23.055951,72.506035,132.974
1698,3045,1492,72,34,0.0,23.055951,72.506035,132.965
1699,3029,1492,75,35,0.0,23.055951,72.506035,132.965
1700,3018,1492,76,35,0.0,23.055951,72.506035,132.965
1701,3009,1492,76,36,0.0,23.055951,72.506035,132.965
1702,3001,1489,76,34,0.0,23.055951,72.506035,132.965
1703,2992,1491,76,34,0.0,23.055951,72.506035,132.965
1704,2980,1493,76,34,0.0,23.055951,72.506035,132.955
1705,2972,1493,75,34,0.0,23.055951,72.506035,132.955
1706,2964,1494,74,34,0.0,23.055951,72.506035,132.955
1707,2962,1495,68,33,0.0,23.055951,72.506035,132.955
1708,2950,1492,70,33,0.0,23.055951,72.506035,132.955
1709,2938,1489,70,34,0.0,23.055951,72.506035,132.955
1710,2923,1487,72,33,0.0,23.055951,72.506035,132.947
1711,2915,1488,71,34,0.0,23.055951,72.506035,132.947
1712,2905,1489,72,34,0.0,23.055951,72.506035,132.947
1713,2894,1490,73,35,0.0,23.055951,72.506035,132.947
1714,2886,1492,73,36,0.0,23.055951,72.506035,132.947
1715,2875,1493,73,36,0.0,23.055951,72.506035,132.947
1716,2866,1493,73,36,0.0,23.055951,72.506035,132.939
1717,2859,1493,74,36,0.0,23.055951,72.506035,132.939
1718,2849,1494,73,36,0.0,23.055951,72.506035,132.939
1719,2842,1495,73,36,0.0,23.055951,72.506035,132.939
1720,2831,1497,74,35,0.0,23.055951,72.506035,132.939
1721,2823,1499,73,36,0.0,23.055951,72.506035,132.939
1722,2814,1498,74,34,0.0,23.055951,72.506035,132.929
1723,2805,1498,74,33,0.0,23.055951,72.506035,132.929
1724,2796,1501,75,32,0.0,23.055951,72.506035,132.929
1725,2784,1501,75,34,0.0,23.055951,72.506035,132.929
1726,2778,1503,69,33,0.0,23.055951,72.506035,132.929
1727,2772,1502,64,32,0.0,23.055951,72.506035,132.929
1728,2758,1501,67,33,0.0,23.055951,72.506035,132.918
1729,2744,1499,72,34,0.0,23.055951,72.506035,132.918
1730,2733,1497,74,34,0.0,23.055951,72.506035,132.918
1731,2724,1499,74,34,0.0,23.055951,72.506035,132.918
1751,2543,1516,47,31,0.0,23.055951,72.506035,132.901
1752,2539,1516,44,32,0.0,23.055951,72.506035,132.897
1753,2522,1517,54,34,0.0,23.055951,72.506035,132.897
1754,2512,1517,52,33,0.0,23.055951,72.506035,132.897
1758,2472,1523,57,32,0.0,23.055951,72.506035,132.894
1774,2307,1533,69,32,0.0,23.055951,72.506035,132.881
1775,2299,1534,70,33,0.0,23.055951,72.506035,132.881
1776,2296,1538,61,28,0.0,23.055951,72.506035,132.881
1791,2144,1540,55,29,0.0,23.055951,72.506035,132.871
1794,2103,1539,80,35,0.0,23.055951,72.506035,132.872
1801,2029,1539,72,31,0.0,23.055951,72.506035,132.874
1802,2021,1539,71,31,0.0,23.055951,72.506035,132.874
1803,2011,1538,70,31,0.0,23.055951,72.506035,132.874
1809,1951,1534,73,37,0.0,23.055951,72.506035,132.87
1810,1944,1534,72,37,0.0,23.055951,72.506035,132.87
1811,1938,1534,71,36,0.0,23.055951,72.506035,132.87
1812,1925,1535,72,36,0.0,23.055951,72.506035,132.871
1817,1895,1542,43,25,0.0,23.055951,72.506035,132.871
1818,1882,1543,44,24,0.0,23.055951,72.506035,132.869
1819,1874,1545,44,23,0.0,23.055951,72.506035,132.869
1820,1866,1544,43,23,0.0,23.055951,72.506035,132.869
1821,1860,1543,41,23,0.0,23.055951,72.506035,132.869
1825,1813,1542,44,26,0.0,23.055951,72.506035,132.876
1829,1767,1544,45,23,0.0,23.055951,72.506035,132.872
1830,1752,1538,52,26,0.0,23.055951,72.506035,132.872
1831,1743,1540,52,26,0.0,23.055951,72.506035,132.872
1832,1731,1542,52,25,0.0,23.055951,72.506035,132.872
1833,1720,1544,53,25,0.0,23.055951,72.506035,132.872
1834,1711,1543,51,25,0.0,23.055951,72.506035,132.872
1835,1700,1543,50,24,0.0,23.055951,72.506035,132.873
1836,1687,1543,52,26,0.0,23.055951,72.506035,132.873
1837,1682,1544,51,28,0.0,23.055951,72.506035,132.873
1838,1674,1544,49,28,0.0,23.055951,72.506035,132.873
1850,1549,1538,58,36,0.0,23.055951,72.506035,132.874
1856,1472,1542,67,38,0.0,23.055951,72.506035,132.876
1857,1459,1540,69,38,0.0,23.055951,72.506035,132.876
1858,1446,1541,72,38,0.0,23.055951,72.506035,132.876
1859,1436,1542,74,38,0.0,23.055951,72.506035,132.876
1860,1432,1546,75,38,0.0,23.055951,72.506035,132.876
1861,1424,1548,74,37,0.0,23.055951,72.506035,132.876
1862,1412,1548,76,37,0.0,23.055951,72.506035,132.876
1866,1368,1549,81,40,0.0,23.055951,72.506035,132.877
1867,1355,1548,84,41,0.0,23.055951,72.506035,132.877
1868,1345,1548,84,40,0.0,23.055951,72.506035,132.877
1869,1333,1548,81,40,0.0,23.055951,72.506035,132.877
1870,1323,1550,75,36,0.0,23.055951,72.506035,132.877
1871,1310,1551,76,36,0.0,23.055951,72.506035,132.875
1872,1295,1551,77,36,0.0,23.055951,72.506035,132.875
1876,1270,1553,62,32,0.0,23.055951,72.506035,132.875
1877,1263,1554,60,30,0.0,23.055951,72.506035,132.872
1878,1252,1553,57,30,0.0,23.055951,72.506035,132.872
1879,1245,1553,61,32,0.0,23.055951,72.506035,132.872
