frameNo,left,top,w,h,conf,lat,long,alt
1,2245,462,69,36,0.0,23.055986,72.506015,133.062
2,2246,461,69,35,0.0,23.055986,72.506015,133.062
3,2245,461,70,36,0.0,23.055986,72.506015,133.064
4,2245,463,69,36,0.0,23.055986,72.506015,133.064
5,2246,462,70,36,0.0,23.055986,72.506015,133.064
6,2246,461,71,37,0.0,23.055986,72.506015,133.064
7,2247,461,71,37,0.0,23.055986,72.506015,133.064
8,2248,460,71,37,0.0,23.055986,72.506015,133.064
9,2248,461,71,37,0.0,23.055986,72.506015,133.07
10,2248,461,70,37,0.0,23.055986,72.506015,133.07
11,2248,460,71,37,0.0,23.055986,72.506015,133.07
12,2249,459,71,37,0.0,23.055986,72.506015,133.07
13,2249,459,70,36,0.0,23.055986,72.506015,133.07
14,2249,459,70,36,0.0,23.055986,72.506015,133.07
15,2250,458,70,37,0.0,23.055986,72.506015,133.068
16,2250,459,70,37,0.0,23.055986,72.506015,133.068
17,2250,458,71,38,0.0,23.055986,72.506015,133.068
18,2250,459,72,38,0.0,23.055986,72.506015,133.068
19,2250,459,72,38,0.0,23.055986,72.506015,133.068
20,2250,460,72,38,0.0,23.055986,72.506015,133.068
21,2248,461,73,38,0.0,23.055987,72.506015,133.075
22,2247,461,73,38,0.0,23.055987,72.506015,133.075
23,2250,462,73,38,0.0,23.055987,72.506015,133.075
24,2251,463,73,38,0.0,23.055987,72.506015,133.075
25,2251,464,73,38,0.0,23.055987,72.506015,133.075
51,2244,464,67,38,0.0,23.055987,72.506015,133.068
52,2242,468,68,38,0.0,23.055987,72.506015,133.068
53,2242,467,68,39,0.0,23.055987,72.506015,133.068
54,2239,472,69,38,0.0,23.055987,72.506015,133.068
55,2239,470,68,38,0.0,23.055987,72.506015,133.068
56,2239,473,68,39,0.0,23.055987,72.506015,133.068
57,2238,475,69,39,0.0,23.055987,72.506015,133.071
58,2239,473,69,39,0.0,23.055987,72.506015,133.071
59,2239,472,69,39,0.0,23.055987,72.506015,133.071
60,2240,470,69,39,0.0,23.055987,72.506015,133.071
65,2241,473,69,39,0.0,23.055987,72.506015,133.07
66,2238,476,70,39,0.0,23.055987,72.506015,133.07
67,2239,477,69,39,0.0,23.055987,72.506015,133.07
68,2238,478,70,38,0.0,23.055987,72.506015,133.07
69,2239,479,70,38,0.0,23.055987,72.506015,133.075
70,2239,478,70,39,0.0,23.055987,72.506015,133.075
71,2240,477,71,39,0.0,23.055987,72.506015,133.075
72,2240,477,71,39,0.0,23.055987,72.506015,133.075
73,2240,475,71,40,0.0,23.055987,72.506015,133.075
74,2240,474,71,40,0.0,23.055987,72.506015,133.075
75,2240,474,71,40,0.0,23.055987,72.506015,133.077
76,2240,474,71,41,0.0,23.055987,72.506015,133.077
77,2240,474,71,41,0.0,23.055987,72.506015,133.077
78,2241,474,71,41,0.0,23.055987,72.506015,133.077
79,2241,473,72,41,0.0,23.055987,72.506015,133.077
80,2242,472,72,40,0.0,23.055987,72.506015,133.077
81,2242,472,73,41,0.0,23.055987,72.506015,133.087
82,2243,471,73,41,0.0,23.055987,72.506015,133.087
83,2243,469,73,41,0.0,23.055987,72.506015,133.087
84,2243,469,73,41,0.0,23.055987,72.506015,133.087
85,2244,467,73,41,0.0,23.055987,72.506015,133.087
86,2244,468,73,40,0.0,23.055987,72.506015,133.087
87,2245,467,73,40,0.0,23.055987,72.506015,133.096
88,2243,470,73,40,0.0,23.055987,72.506015,133.096
89,2242,472,74,41,0.0,23.055987,72.506015,133.096
90,2242,472,73,41,0.0,23.055987,72.506015,133.096
94,2239,473,73,40,0.0,23.055987,72.506015,133.101
100,2242,480,72,38,0.0,23.055987,72.506015,133.107
113,2241,474,70,38,0.0,23.055987,72.506015,133.107
114,2242,473,70,38,0.0,23.055987,72.506015,133.107
115,2243,473,69,38,0.0,23.055987,72.506015,133.107
116,2244,470,69,39,0.0,23.055987,72.506015,133.107
117,2244,472,69,39,0.0,23.055987,72.506015,133.107
118,2242,477,69,38,0.0,23.055987,72.506015,133.107
119,2243,473,69,38,0.0,23.055987,72.506015,133.107
120,2243,473,70,38,0.0,23.055987,72.506015,133.107
121,2242,473,70,39,0.0,23.055987,72.506015,133.107
122,2242,472,70,39,0.0,23.055987,72.506015,133.107
123,2241,471,71,39,0.0,23.055987,72.506015,133.108
124,2241,471,70,39,0.0,23.055987,72.506015,133.108
125,2241,471,70,39,0.0,23.055987,72.506015,133.108
126,2240,471,71,40,0.0,23.055987,72.506015,133.108
127,2240,472,72,39,0.0,23.055987,72.506015,133.108
128,2239,471,72,39,0.0,23.055987,72.506015,133.108
129,2239,469,72,39,0.0,23.055987,72.506015,133.096
130,2239,468,74,40,0.0,23.055987,72.506015,133.096
131,2239,469,74,39,0.0,23.055987,72.506015,133.096
132,2241,469,73,39,0.0,23.055987,72.506015,133.096
133,2242,470,73,38,0.0,23.055987,72.506015,133.096
134,2243,469,73,39,0.0,23.055987,72.506015,133.096
135,2242,471,73,38,0.0,23.055987,72.506015,133.09
136,2242,471,73,38,0.0,23.055987,72.506015,133.09
137,2242,472,71,37,0.0,23.055987,72.506015,133.09
138,2243,472,71,38,0.0,23.055987,72.506015,133.09
139,2241,472,72,37,0.0,23.055987,72.506015,133.09
140,2241,473,71,38,0.0,23.055987,72.506015,133.09
141,2241,475,71,37,0.0,23.055987,72.506015,133.088
142,2240,475,71,37,0.0,23.055987,72.506015,133.088
143,2239,475,70,36,0.0,23.055987,72.506015,133.088
144,2239,474,70,37,0.0,23.055987,72.506015,133.088
145,2239,475,69,36,0.0,23.055987,72.506015,133.088
146,2241,475,70,36,0.0,23.055987,72.506015,133.088
147,2239,475,70,36,0.0,23.055987,72.506015,133.087
148,2240,475,70,36,0.0,23.055987,72.506015,133.087
149,2242,474,70,36,0.0,23.055987,72.506015,133.087
150,2241,475,71,35,0.0,23.055987,72.506015,133.087
151,2240,476,70,35,0.0,23.055987,72.506015,133.087
152,2239,476,70,36,0.0,23.055987,72.506015,133.087
153,2238,476,70,35,0.0,23.055987,72.506015,133.075
154,2238,475,69,35,0.0,23.055987,72.506015,133.075
155,2239,474,68,36,0.0,23.055987,72.506015,133.075
156,2239,474,70,36,0.0,23.055987,72.506015,133.075
157,2239,473,70,36,0.0,23.055987,72.506015,133.075
158,2240,473,70,36,0.0,23.055987,72.506015,133.075
159,2240,472,70,36,0.0,23.055987,72.506015,133.062
160,2240,471,70,37,0.0,23.055987,72.506015,133.062
161,2240,471,70,37,0.0,23.055987,72.506015,133.062
162,2240,470,71,37,0.0,23.055987,72.506015,133.062
163,2240,470,72,37,0.0,23.055987,72.506015,133.062
164,2247,469,72,37,0.0,23.055987,72.506015,133.062
165,2247,467,73,37,0.0,23.055987,72.506015,133.046
