frameNo,left,top,w,h,conf,lat,long,alt
496,2433,1302,41,32,0.0,23.055987,72.506014,132.82
497,2424,1301,42,32,0.0,23.055987,72.506014,132.82
498,2414,1304,39,31,0.0,23.055987,72.506014,132.82
499,2401,1305,40,31,0.0,23.055987,72.506014,132.82
517,2230,1328,42,30,0.0,23.055987,72.506014,132.843
518,2224,1329,42,29,0.0,23.055987,72.506014,132.843
527,2139,1342,41,28,0.0,23.055987,72.506014,132.85
528,2132,1344,41,28,0.0,23.055987,72.506014,132.85
529,2120,1343,40,30,0.0,23.055987,72.506014,132.85
530,2109,1347,41,29,0.0,23.055987,72.506014,132.85
531,2100,1348,41,29,0.0,23.055987,72.506014,132.857
532,2093,1349,40,29,0.0,23.055987,72.506014,132.857
533,2079,1350,42,30,0.0,23.055987,72.506014,132.857
534,2071,1352,40,30,0.0,23.055987,72.506014,132.857
535,2063,1353,41,31,0.0,23.055987,72.506014,132.857
536,2053,1354,42,30,0.0,23.055987,72.506014,132.857
542,1992,1361,44,30,0.0,23.055987,72.506014,132.864
543,1984,1362,45,30,0.0,23.055987,72.506014,132.864
544,1978,1367,44,29,0.0,23.055987,72.506014,132.864
545,1970,1367,42,30,0.0,23.055987,72.506014,132.864
546,1960,1368,41,30,0.0,23.055987,72.506014,132.864
547,1947,1369,42,30,0.0,23.055987,72.506014,132.864
548,1936,1370,43,31,0.0,23.055987,72.506014,132.864
549,1928,1372,42,29,0.0,23.055987,72.506014,132.866
550,1918,1373,41,30,0.0,23.055987,72.506014,132.866
551,1908,1375,40,31,0.0,23.055987,72.506014,132.866
552,1900,1377,42,30,0.0,23.055987,72.506014,132.866
553,1894,1378,41,30,0.0,23.055987,72.506014,132.866
554,1885,1378,42,30,0.0,23.055987,72.506014,132.866
555,1867,1381,41,30,0.0,23.055987,72.506014,132.866
571,1711,1399,42,30,0.0,23.055987,72.506014,132.854
572,1699,1400,42,30,0.0,23.055987,72.506014,132.854
606,1348,1407,44,30,0.0,23.055987,72.506014,132.8
607,1335,1407,46,30,0.0,23.055987,72.506014,132.8
608,1328,1406,44,29,0.0,23.055987,72.506014,132.8
609,1321,1405,43,29,0.0,23.055987,72.506014,132.788
610,1308,1406,44,29,0.0,23.055987,72.506014,132.788
611,1296,1405,43,30,0.0,23.055987,72.506014,132.788
612,1287,1406,42,29,0.0,23.055987,72.506014,132.788
613,1277,1405,43,29,0.0,23.055987,72.506014,132.788
620,1201,1397,39,31,0.0,23.055987,72.506014,132.778
621,1189,1398,40,30,0.0,23.055987,72.506014,132.773
622,1180,1398,40,31,0.0,23.055987,72.506014,132.773
623,1170,1397,40,31,0.0,23.055987,72.506014,132.773
624,1160,1397,39,31,0.0,23.055987,72.506014,132.773
625,1148,1395,37,31,0.0,23.055987,72.506014,132.773
626,1137,1395,39,31,0.0,23.055987,72.506014,132.76
627,1124,1395,39,31,0.0,23.055987,72.506014,132.76
628,1112,1395,38,30,0.0,23.055987,72.506014,132.76
629,1101,1393,37,30,0.0,23.055987,72.506014,132.76
630,1091,1392,37,30,0.0,23.055987,72.506014,132.76
631,1081,1392,40,31,0.0,23.055987,72.506014,132.76
632,1072,1392,39,31,0.0,23.055987,72.506014,132.75
633,1057,1391,41,32,0.0,23.055987,72.506014,132.75
634,1045,1390,42,31,0.0,23.055987,72.506014,132.75
635,1032,1388,41,31,0.0,23.055987,72.506014,132.75
636,1023,1387,41,31,0.0,23.055987,72.506014,132.75
637,1012,1385,40,31,0.0,23.055987,72.506014,132.75
638,1003,1384,39,31,0.0,23.055987,72.506014,132.75
639,994,1384,40,31,0.0,23.055987,72.506014,132.74
640,983,1385,40,30,0.0,23.055987,72.506014,132.74
641,970,1385,40,30,0.0,23.055987,72.506014,132.74
642,958,1384,39,31,0.0,23.055987,72.506014,132.74
643,939,1382,38,31,0.0,23.055987,72.506014,132.74
647,898,1375,41,32,0.0,23.055987,72.506014,132.736
648,890,1376,42,30,0.0,23.055987,72.506014,132.736
649,880,1376,43,30,0.0,23.055987,72.506014,132.736
650,866,1375,43,32,0.0,23.055987,72.506014,132.736
651,854,1375,42,32,0.0,23.055987,72.506014,132.73
652,843,1374,42,30,0.0,23.055987,72.506014,132.73
653,831,1371,44,31,0.0,23.055987,72.506014,132.73
654,818,1369,46,31,0.0,23.055987,72.506014,132.73
655,809,1368,45,31,0.0,23.055987,72.506014,132.73
656,799,1368,45,30,0.0,23.055987,72.506014,132.73
657,787,1368,45,30,0.0,23.055987,72.506014,132.719
658,775,1369,47,30,0.0,23.055987,72.506014,132.719
659,764,1368,46,30,0.0,23.055987,72.506014,132.719
660,750,1367,47,30,0.0,23.055987,72.506014,132.719
661,737,1366,48,30,0.0,23.055987,72.506014,132.719
662,723,1365,49,30,0.0,23.055987,72.506014,132.71
663,711,1364,50,31,0.0,23.055987,72.506014,132.71
664,703,1363,49,31,0.0,23.055987,72.506014,132.71
665,689,1362,48,31,0.0,23.055987,72.506014,132.71
666,679,1362,50,31,0.0,23.055987,72.506014,132.71
667,670,1362,50,32,0.0,23.055987,72.506014,132.71
672,612,1360,46,30,0.0,23.055987,72.506014,132.702
676,566,1358,46,30,0.0,23.055987,72.506014,132.697
677,557,1358,47,30,0.0,23.055987,72.506014,132.697
704,227,1348,59,32,0.0,23.055987,72.506014,132.689
708,183,1345,56,34,0.0,23.055987,72.506014,132.693
709,172,1347,54,33,0.0,23.055987,72.506014,132.693
710,157,1345,54,34,0.0,23.055987,72.506014,132.693
711,146,1343,54,36,0.0,23.055988,72.506014,132.691
