frameNo,left,top,w,h,conf,lat,long,alt
650,41,1009,40,28,0.0,23.055987,72.506014,132.736
651,50,1010,41,28,0.0,23.055987,72.506014,132.73
652,62,1011,42,28,0.0,23.055987,72.506014,132.73
653,80,1010,43,28,0.0,23.055987,72.506014,132.73
657,119,1012,39,28,0.0,23.055987,72.506014,132.719
658,130,1010,42,29,0.0,23.055987,72.506014,132.719
674,287,1015,42,34,0.0,23.055987,72.506014,132.702
675,295,1015,43,35,0.0,23.055987,72.506014,132.697
696,506,1008,38,32,0.0,23.055987,72.506014,132.684
697,513,1009,38,33,0.0,23.055987,72.506014,132.684
698,526,1011,37,32,0.0,23.055987,72.506014,132.684
699,530,1009,38,32,0.0,23.055987,72.506014,132.689
700,538,1009,37,32,0.0,23.055987,72.506014,132.689
712,643,1007,43,31,0.0,23.055988,72.506014,132.691
716,678,1007,42,29,0.0,23.055988,72.506014,132.691
717,685,1007,44,31,0.0,23.055988,72.506014,132.696
718,699,1008,42,29,0.0,23.055988,72.506014,132.696
719,708,1007,40,28,0.0,23.055988,72.506014,132.696
720,720,1007,39,29,0.0,23.055988,72.506014,132.696
721,726,1007,38,29,0.0,23.055988,72.506014,132.696
722,734,1008,39,29,0.0,23.055988,72.506014,132.696
723,745,1009,39,28,0.0,23.055988,72.506014,132.698
724,750,1008,39,29,0.0,23.055988,72.506014,132.698
725,765,1008,37,28,0.0,23.055988,72.506014,132.698
726,769,1007,39,29,0.0,23.055988,72.506014,132.698
727,777,1007,39,30,0.0,23.055988,72.506014,132.698
728,787,1007,40,30,0.0,23.055988,72.506014,132.697
729,795,1006,39,30,0.0,23.055988,72.506014,132.697
730,802,1006,39,31,0.0,23.055988,72.506014,132.697
731,810,1006,38,30,0.0,23.055988,72.506014,132.697
732,822,1006,38,30,0.0,23.055988,72.506014,132.697
733,827,1006,36,30,0.0,23.055988,72.506014,132.697
734,837,1007,36,29,0.0,23.055988,72.506014,132.697
735,847,1006,35,30,0.0,23.055988,72.506014,132.701
736,856,1006,34,29,0.0,23.055988,72.506014,132.701
737,867,1006,34,29,0.0,23.055988,72.506014,132.701
738,871,1005,36,31,0.0,23.055988,72.506014,132.701
739,881,1006,35,30,0.0,23.055988,72.506014,132.701
740,890,1005,36,31,0.0,23.055988,72.506014,132.701
741,897,1004,36,31,0.0,23.055988,72.506014,132.704
742,907,1003,36,31,0.0,23.055988,72.506014,132.704
743,915,1004,37,31,0.0,23.055988,72.506014,132.704
744,924,1005,36,31,0.0,23.055988,72.506014,132.704
745,932,1005,35,31,0.0,23.055988,72.506014,132.704
746,945,1005,35,29,0.0,23.055988,72.506014,132.704
747,954,1005,35,29,0.0,23.055988,72.506014,132.706
748,960,1005,35,29,0.0,23.055988,72.506014,132.706
749,968,1005,35,30,0.0,23.055988,72.506014,132.706
750,974,1005,35,30,0.0,23.055988,72.506014,132.706
751,988,1004,34,29,0.0,23.055988,72.506014,132.706
752,995,1003,35,30,0.0,23.055988,72.506014,132.706
753,1004,1003,34,30,0.0,23.055988,72.506014,132.708
754,1013,1003,34,30,0.0,23.055988,72.506014,132.708
755,1016,1003,34,30,0.0,23.055988,72.506014,132.708
756,1028,1003,35,30,0.0,23.055988,72.506014,132.708
757,1035,1003,36,29,0.0,23.055988,72.506014,132.708
758,1045,1003,35,29,0.0,23.055988,72.506014,132.708
759,1054,1004,34,29,0.0,23.055988,72.506014,132.715
760,1063,1004,34,30,0.0,23.055988,72.506014,132.715
761,1070,1005,35,30,0.0,23.055988,72.506014,132.715
762,1079,1003,35,30,0.0,23.055988,72.506014,132.715
763,1086,1002,36,31,0.0,23.055988,72.506014,132.715
764,1095,1003,36,30,0.0,23.055988,72.506014,132.715
765,1105,1002,35,31,0.0,23.055988,72.506014,132.715
766,1112,1002,36,31,0.0,23.055988,72.506014,132.715
767,1119,1001,37,32,0.0,23.055988,72.506014,132.715
768,1127,1000,36,32,0.0,23.055988,72.506014,132.715
769,1138,1000,36,31,0.0,23.055988,72.506014,132.715
770,1147,1000,38,30,0.0,23.055988,72.506014,132.715
771,1155,1000,38,30,0.0,23.055988,72.506014,132.717
772,1165,998,38,31,0.0,23.055988,72.506014,132.717
773,1173,997,38,31,0.0,23.055988,72.506014,132.717
774,1182,997,38,30,0.0,23.055988,72.506014,132.717
775,1190,997,39,30,0.0,23.055988,72.506014,132.717
776,1201,998,39,30,0.0,23.055988,72.506014,132.717
777,1207,996,40,31,0.0,23.055988,72.506014,132.721
778,1219,996,39,30,0.0,23.055988,72.506014,132.721
779,1226,996,38,30,0.0,23.055988,72.506014,132.721
780,1236,995,39,30,0.0,23.055988,72.506014,132.721
781,1245,992,39,31,0.0,23.055988,72.506014,132.721
782,1252,991,39,31,0.0,23.055988,72.506014,132.721
786,1292,988,40,30,0.0,23.055988,72.506014,132.717
787,1297,987,41,31,0.0,23.055988,72.506014,132.717
788,1307,987,40,31,0.0,23.055988,72.506014,132.717
789,1316,987,41,30,0.0,23.055988,72.506014,132.717
790,1324,986,41,30,0.0,23.055988,72.506014,132.717
791,1329,985,43,30,0.0,23.055988,72.506014,132.717
792,1341,986,42,29,0.0,23.055988,72.506014,132.717
793,1350,985,41,29,0.0,23.055988,72.506014,132.717
794,1361,984,43,28,0.0,23.055988,72.506014,132.717
795,1369,982,44,27,0.0,23.055988,72.506014,132.725
796,1379,981,42,28,0.0,23.055988,72.506014,132.725
797,1386,980,42,28,0.0,23.055988,72.506014,132.725
798,1395,979,41,27,0.0,23.055988,72.506014,132.725
802,1437,977,40,27,0.0,23.055988,72.506014,132.723
803,1445,977,38,27,0.0,23.055988,72.506014,132.723
804,1452,977,38,28,0.0,23.055988,72.506014,132.723
805,1459,975,37,29,0.0,23.055988,72.506014,132.723
806,1467,974,40,29,0.0,23.055988,72.506014,132.723
807,1477,974,40,28,0.0,23.055988,72.506014,132.729
808,1487,974,39,28,0.0,23.055988,72.506014,132.729
809,1496,973,37,29,0.0,23.055988,72.506014,132.729
810,1503,970,36,29,0.0,23.055988,72.506014,132.729
811,1510,969,35,30,0.0,23.055988,72.506014,132.729
812,1521,968,39,29,0.0,23.055988,72.506014,132.729
813,1533,966,37,29,0.0,23.055988,72.506014,132.725
814,1540,966,36,29,0.0,23.055988,72.506014,132.725
815,1550,966,34,28,0.0,23.055988,72.506014,132.725
816,1557,965,33,29,0.0,23.055988,72.506014,132.725
817,1563,963,34,30,0.0,23.055988,72.506014,132.725
818,1575,961,34,29,0.0,23.055988,72.506014,132.728
822,1607,958,33,30,0.0,23.055988,72.506014,132.728
823,1615,958,33,29,0.0,23.055988,72.506014,132.728
829,1660,955,35,29,0.0,23.055988,72.506014,132.725
830,1665,954,35,29,0.0,23.055988,72.506014,132.722
831,1680,954,35,29,0.0,23.055988,72.506014,132.722
832,1686,953,35,30,0.0,23.055988,72.506014,132.722
833,1693,951,35,31,0.0,23.055988,72.506014,132.722
834,1699,950,35,31,0.0,23.055988,72.506014,132.722
835,1708,950,34,30,0.0,23.055988,72.506014,132.722
836,1717,949,36,31,0.0,23.055988,72.506014,132.722
837,1723,948,39,31,0.0,23.055988,72.506014,132.719
838,1731,946,38,32,0.0,23.055988,72.506014,132.719
839,1737,944,37,32,0.0,23.055988,72.506014,132.719
845,1783,940,37,31,0.0,23.055988,72.506014,132.717
846,1794,940,37,30,0.0,23.055988,72.506014,132.717
847,1803,940,37,30,0.0,23.055988,72.506014,132.717
911,2116,979,34,37,0.0,23.055988,72.506015,132.635
912,2119,982,34,37,0.0,23.055988,72.506015,132.635
913,2121,983,33,36,0.0,23.055988,72.506015,132.635
914,2123,984,33,37,0.0,23.055988,72.506015,132.627
934,2167,1013,37,38,0.0,23.055988,72.506015,132.609
938,2171,1017,37,38,0.0,23.055988,72.506015,132.605
954,2200,1039,34,38,0.0,23.055988,72.506015,132.594
955,2201,1038,33,38,0.0,23.055988,72.506015,132.594
956,2205,1039,32,37,0.0,23.055988,72.506015,132.593
957,2205,1042,33,36,0.0,23.055988,72.506015,132.593
958,2205,1044,33,37,0.0,23.055988,72.506015,132.593
959,2205,1044,34,36,0.0,23.055988,72.506015,132.593
963,2209,1047,36,39,0.0,23.055988,72.506015,132.583
964,2210,1049,35,38,0.0,23.055988,72.506015,132.583
965,2212,1050,34,38,0.0,23.055988,72.506015,132.583
966,2214,1050,34,37,0.0,23.055988,72.506015,132.583
967,2215,1050,34,37,0.0,23.055988,72.506015,132.583
968,2215,1051,34,38,0.0,23.055988,72.506015,132.58
969,2214,1053,35,39,0.0,23.055988,72.506015,132.58
973,2221,1053,33,38,0.0,23.055988,72.506015,132.58
1025,2273,1126,36,36,0.0,23.055988,72.506015,132.547
