frameNo,left,top,w,h,conf,lat,long,alt
557,3635,1130,195,93,0.0,23.055987,72.506015,133.219
558,3621,1132,201,94,0.0,23.055987,72.506015,133.219
559,3605,1134,202,93,0.0,23.055987,72.506015,133.219
560,3591,1136,202,91,0.0,23.055987,72.506015,133.219
561,3577,1136,203,91,0.0,23.055987,72.506015,133.219
562,3566,1137,203,91,0.0,23.055987,72.506015,133.223
563,3551,1136,203,91,0.0,23.055987,72.506015,133.223
564,3540,1135,202,90,0.0,23.055987,72.506015,133.223
565,3528,1136,203,90,0.0,23.055987,72.506015,133.223
566,3516,1137,203,89,0.0,23.055987,72.506015,133.223
567,3500,1138,201,89,0.0,23.055987,72.506015,133.223
568,3488,1140,199,87,0.0,23.055987,72.506015,133.23
569,3476,1141,199,87,0.0,23.055987,72.506015,133.23
570,3464,1142,198,86,0.0,23.055987,72.506015,133.23
571,3451,1144,198,85,0.0,23.055987,72.506015,133.23
572,3437,1145,199,84,0.0,23.055987,72.506015,133.23
573,3424,1145,200,84,0.0,23.055987,72.506015,133.23
574,3411,1145,200,85,0.0,23.055987,72.506015,133.234
575,3397,1145,199,86,0.0,23.055987,72.506015,133.234
576,3384,1145,201,86,0.0,23.055987,72.506015,133.234
577,3372,1145,199,87,0.0,23.055987,72.506015,133.234
578,3360,1146,199,85,0.0,23.055987,72.506015,133.234
579,3347,1146,198,86,0.0,23.055987,72.506015,133.234
580,3336,1148,198,85,0.0,23.055987,72.506015,133.242
581,3326,1147,198,86,0.0,23.055987,72.506015,133.242
582,3312,1149,196,87,0.0,23.055987,72.506015,133.242
583,3298,1150,196,86,0.0,23.055987,72.506015,133.242
584,3287,1150,196,87,0.0,23.055987,72.506015,133.242
585,3275,1150,195,87,0.0,23.055987,72.506015,133.242
586,3260,1150,196,87,0.0,23.055987,72.506015,133.245
587,3247,1151,197,87,0.0,23.055987,72.506015,133.245
595,3147,1153,197,88,0.0,23.055987,72.506015,133.247
596,3134,1154,197,88,0.0,23.055987,72.506015,133.247
597,3121,1154,197,88,0.0,23.055987,72.506015,133.247
598,3108,1154,197,88,0.0,23.055987,72.506015,133.247
599,3098,1156,195,87,0.0,23.055987,72.506015,133.247
600,3088,1155,194,88,0.0,23.055987,72.506015,133.247
601,3074,1156,195,88,0.0,23.055987,72.506015,133.247
602,3061,1156,196,90,0.0,23.055987,72.506015,133.247
603,3049,1155,197,91,0.0,23.055987,72.506015,133.247
604,3039,1156,195,90,0.0,23.055987,72.506015,133.248
605,3025,1156,196,90,0.0,23.055987,72.506015,133.248
606,3011,1156,196,90,0.0,23.055987,72.506015,133.248
607,2999,1157,197,89,0.0,23.055987,72.506015,133.248
