frameNo,left,top,w,h,conf,lat,long,alt
1192,3,731,163,72,0.0,23.055987,72.506015,133.402
1193,3,731,163,73,0.0,23.055987,72.506015,133.402
1194,3,731,162,72,0.0,23.055987,72.506015,133.402
1195,3,731,162,73,0.0,23.055987,72.506015,133.402
1208,4,732,160,71,0.0,23.055986,72.506015,133.391
1209,4,732,159,72,0.0,23.055986,72.506015,133.391
1210,4,732,159,72,0.0,23.055986,72.506015,133.377
1211,4,732,160,72,0.0,23.055986,72.506015,133.377
1212,4,732,160,72,0.0,23.055986,72.506015,133.377
1213,4,732,160,72,0.0,23.055986,72.506015,133.377
1214,3,732,160,72,0.0,23.055986,72.506015,133.377
1215,3,731,160,72,0.0,23.055986,72.506015,133.377
1216,3,731,161,72,0.0,23.055986,72.506015,133.37
1217,3,731,160,72,0.0,23.055986,72.506015,133.37
1218,3,731,161,73,0.0,23.055986,72.506015,133.37
1219,3,731,161,73,0.0,23.055986,72.506015,133.37
1220,4,732,160,72,0.0,23.055986,72.506015,133.37
1221,4,731,160,73,0.0,23.055986,72.506015,133.37
1222,4,731,160,73,0.0,23.055986,72.506015,133.357
1223,4,732,160,72,0.0,23.055986,72.506015,133.357
1224,4,731,160,73,0.0,23.055986,72.506015,133.357
1225,4,731,160,73,0.0,23.055986,72.506015,133.357
1226,4,731,160,74,0.0,23.055986,72.506015,133.357
1227,4,730,161,74,0.0,23.055986,72.506015,133.357
1228,4,730,161,75,0.0,23.055986,72.506015,133.346
1229,4,729,162,76,0.0,23.055986,72.506015,133.346
1230,4,729,162,76,0.0,23.055986,72.506015,133.346
1231,4,729,162,76,0.0,23.055986,72.506015,133.346
1232,3,730,162,75,0.0,23.055986,72.506015,133.346
1233,3,730,162,75,0.0,23.055986,72.506015,133.346
1234,3,731,162,74,0.0,23.055986,72.506015,133.336
1235,3,730,162,75,0.0,23.055986,72.506015,133.336
1236,2,730,162,75,0.0,23.055986,72.506015,133.336
1237,2,730,163,75,0.0,23.055986,72.506015,133.336
1238,2,730,163,75,0.0,23.055986,72.506015,133.336
1239,3,730,161,75,0.0,23.055986,72.506015,133.336
1240,2,729,163,76,0.0,23.055986,72.506015,133.323
1241,2,729,163,75,0.0,23.055986,72.506015,133.323
1242,3,730,162,74,0.0,23.055986,72.506015,133.323
1243,2,730,162,74,0.0,23.055986,72.506015,133.323
1244,2,730,162,74,0.0,23.055986,72.506015,133.323
1245,2,730,162,74,0.0,23.055986,72.506015,133.323
1246,2,729,162,76,0.0,23.055986,72.506015,133.314
1247,2,729,162,76,0.0,23.055986,72.506015,133.314
1248,2,729,162,75,0.0,23.055986,72.506015,133.314
1249,2,729,162,75,0.0,23.055986,72.506015,133.314
1250,2,729,162,75,0.0,23.055986,72.506015,133.314
1251,2,729,162,75,0.0,23.055986,72.506015,133.314
1252,2,728,163,77,0.0,23.055986,72.506015,133.305
1253,2,727,164,78,0.0,23.055986,72.506015,133.305
1254,2,726,164,79,0.0,23.055986,72.506015,133.305
1255,2,725,164,80,0.0,23.055986,72.506015,133.305
1256,2,725,164,81,0.0,23.055986,72.506015,133.305
1257,2,727,164,79,0.0,23.055986,72.506015,133.305
1258,3,728,162,77,0.0,23.055986,72.506015,133.297
1259,3,727,162,78,0.0,23.055986,72.506015,133.297
1260,3,728,162,77,0.0,23.055986,72.506015,133.297
1261,3,728,162,77,0.0,23.055986,72.506015,133.297
1262,3,727,161,78,0.0,23.055986,72.506015,133.297
1263,3,728,161,77,0.0,23.055986,72.506015,133.297
1264,3,728,161,77,0.0,23.055986,72.506015,133.286
1265,3,728,161,77,0.0,23.055986,72.506015,133.286
1266,3,727,161,78,0.0,23.055986,72.506015,133.286
1267,3,727,161,78,0.0,23.055986,72.506015,133.286
1268,3,727,162,78,0.0,23.055986,72.506015,133.286
1269,3,726,162,79,0.0,23.055986,72.506015,133.286
1270,3,726,162,79,0.0,23.055986,72.506015,133.274
1271,3,726,162,79,0.0,23.055986,72.506015,133.274
1272,3,726,161,79,0.0,23.055986,72.506015,133.274
1273,2,726,162,79,0.0,23.055986,72.506015,133.274
1274,2,726,162,79,0.0,23.055986,72.506015,133.274
1275,2,726,162,78,0.0,23.055986,72.506015,133.274
1276,2,726,162,78,0.0,23.055986,72.506015,133.268
1277,2,726,162,78,0.0,23.055986,72.506015,133.268
1278,2,726,162,78,0.0,23.055986,72.506015,133.268
1279,2,726,162,78,0.0,23.055986,72.506015,133.268
1280,2,726,162,78,0.0,23.055986,72.506015,133.268
1281,3,726,162,78,0.0,23.055986,72.506015,133.26
1282,2,727,162,78,0.0,23.055987,72.506015,133.26
1283,2,727,162,77,0.0,23.055987,72.506015,133.26
1284,2,726,162,78,0.0,23.055987,72.506015,133.26
1285,2,727,162,77,0.0,23.055987,72.506015,133.26
1286,2,727,161,77,0.0,23.055987,72.506015,133.26
1287,2,727,161,76,0.0,23.055987,72.506015,133.26
1288,2,727,161,76,0.0,23.055987,72.506015,133.255
1289,2,728,161,76,0.0,23.055987,72.506015,133.255
1290,1,728,162,75,0.0,23.055987,72.506015,133.255
1291,1,728,162,75,0.0,23.055987,72.506015,133.255
1292,1,728,163,75,0.0,23.055987,72.506015,133.255
1293,1,728,162,75,0.0,23.055987,72.506015,133.255
1294,1,727,163,76,0.0,23.055987,72.506015,133.246
1295,1,727,163,76,0.0,23.055987,72.506015,133.246
1296,1,727,163,76,0.0,23.055987,72.506015,133.246
1297,1,727,163,76,0.0,23.055987,72.506015,133.246
1298,1,726,163,77,0.0,23.055987,72.506015,133.246
1299,1,726,163,77,0.0,23.055987,72.506015,133.246
1300,2,726,162,77,0.0,23.055987,72.506015,133.245
1301,2,725,163,78,0.0,23.055987,72.506015,133.245
1302,2,725,163,78,0.0,23.055987,72.506015,133.245
1303,2,725,163,78,0.0,23.055987,72.506015,133.245
1304,2,725,163,78,0.0,23.055987,72.506015,133.245
1305,2,725,163,78,0.0,23.055987,72.506015,133.241
1306,2,725,163,78,0.0,23.055987,72.506015,133.241
1307,2,725,163,78,0.0,23.055987,72.506015,133.241
1308,1,724,165,79,0.0,23.055987,72.506015,133.241
1309,2,724,163,79,0.0,23.055987,72.506015,133.241
1310,1,725,164,78,0.0,23.055987,72.506015,133.241
1311,1,724,164,79,0.0,23.055987,72.506015,133.241
