frameNo,left,top,w,h,conf,lat,long,alt
47,2958,537,31,57,0.0,23.055988,72.506015,133.035
48,2959,536,31,59,0.0,23.055988,72.506015,133.035
49,2959,533,31,62,0.0,23.055988,72.506015,133.035
50,2959,535,31,61,0.0,23.055988,72.506015,133.035
51,2959,536,31,60,0.0,23.055988,72.506015,133.035
52,2958,539,30,57,0.0,23.055988,72.506015,133.035
53,2958,540,30,56,0.0,23.055988,72.506015,133.026
54,2959,540,29,56,0.0,23.055988,72.506015,133.026
55,2959,538,30,57,0.0,23.055988,72.506015,133.026
56,2958,538,30,55,0.0,23.055988,72.506015,133.026
57,2957,534,31,58,0.0,23.055988,72.506015,133.026
62,2956,539,30,54,0.0,23.055988,72.506015,133.011
63,2957,540,29,53,0.0,23.055988,72.506015,133.011
64,2958,543,29,51,0.0,23.055988,72.506015,133.011
65,2958,543,30,52,0.0,23.055988,72.506015,132.994
66,2959,541,30,52,0.0,23.055988,72.506015,132.994
67,2958,541,30,52,0.0,23.055988,72.506015,132.994
68,2958,542,30,52,0.0,23.055988,72.506015,132.994
69,2958,543,31,51,0.0,23.055988,72.506015,132.994
70,2958,543,30,51,0.0,23.055988,72.506015,132.994
71,2957,542,30,50,0.0,23.055988,72.506015,132.973
99,2958,541,30,55,0.0,23.055988,72.506014,132.9
100,2958,541,30,55,0.0,23.055988,72.506014,132.9
101,2958,541,30,55,0.0,23.055988,72.506014,132.895
102,2958,541,30,55,0.0,23.055988,72.506014,132.895
103,2958,542,29,53,0.0,23.055988,72.506014,132.895
104,2958,544,29,51,0.0,23.055988,72.506014,132.895
