frameNo,left,top,w,h,conf,lat,long,alt
3,2238,534,68,52,0.0,23.05595,72.506036,133.565
67,2240,535,67,45,0.0,23.05595,72.506036,133.67
68,2240,535,68,45,0.0,23.05595,72.506036,133.67
69,2240,535,68,46,0.0,23.05595,72.506036,133.67
70,2240,534,70,47,0.0,23.05595,72.506036,133.67
71,2240,534,72,47,0.0,23.05595,72.506036,133.67
127,2230,547,90,39,0.0,23.05595,72.506036,133.779
131,2231,551,92,40,0.0,23.05595,72.506036,133.779
132,2232,551,93,40,0.0,23.05595,72.506036,133.779
133,2232,552,94,40,0.0,23.05595,72.506036,133.791
134,2231,553,94,39,0.0,23.05595,72.506036,133.791
135,2232,552,93,40,0.0,23.05595,72.506036,133.791
136,2232,548,87,39,0.0,23.05595,72.506036,133.791
137,2235,551,88,40,0.0,23.05595,72.506036,133.791
138,2235,552,90,40,0.0,23.05595,72.506036,133.791
139,2233,548,86,40,0.0,23.055951,72.506036,133.795
140,2234,551,88,40,0.0,23.055951,72.506036,133.795
141,2235,552,89,41,0.0,23.055951,72.506036,133.795
142,2233,552,90,41,0.0,23.055951,72.506036,133.795
143,2232,551,89,42,0.0,23.055951,72.506036,133.795
144,2232,552,90,41,0.0,23.055951,72.506036,133.795
145,2233,552,89,41,0.0,23.055951,72.506036,133.804
146,2232,553,89,40,0.0,23.055951,72.506036,133.804
147,2231,553,89,40,0.0,23.055951,72.506036,133.804
148,2232,553,89,40,0.0,23.055951,72.506036,133.804
149,2231,553,88,40,0.0,23.055951,72.506036,133.804
150,2231,552,87,40,0.0,23.055951,72.506036,133.804
151,2229,552,87,40,0.0,23.055951,72.506036,133.819
155,2230,553,89,40,0.0,23.055951,72.506036,133.819
156,2230,552,89,41,0.0,23.055951,72.506036,133.819
157,2229,552,88,40,0.0,23.05595,72.506036,133.825
165,2229,553,89,40,0.0,23.05595,72.506036,133.834
317,2227,551,97,42,0.0,23.055951,72.506036,133.966
318,2226,552,95,40,0.0,23.055951,72.506036,133.966
319,2227,551,93,41,0.0,23.055951,72.506036,133.962
320,2226,551,92,40,0.0,23.055951,72.506036,133.962
321,2225,552,90,40,0.0,23.055951,72.506036,133.962
322,2226,552,90,40,0.0,23.055951,72.506036,133.962
326,2229,553,92,41,0.0,23.055951,72.506036,133.959
327,2227,552,90,41,0.0,23.055951,72.506036,133.959
333,2227,551,90,41,0.0,23.055951,72.506036,133.955
334,2227,551,90,41,0.0,23.055951,72.506036,133.955
335,2227,551,93,42,0.0,23.055951,72.506036,133.955
336,2228,551,93,42,0.0,23.055951,72.506036,133.955
337,2228,550,96,43,0.0,23.055951,72.506036,133.955
570,2220,546,57,39,0.0,23.055951,72.506035,133.9
571,2221,547,56,39,0.0,23.055951,72.506035,133.908
577,2224,547,53,40,0.0,23.055951,72.506035,133.909
578,2224,547,53,39,0.0,23.055951,72.506035,133.909
579,2224,547,53,39,0.0,23.055951,72.506035,133.909
580,2224,547,52,39,0.0,23.055951,72.506035,133.909
581,2223,548,53,37,0.0,23.055951,72.506035,133.909
582,2224,548,51,37,0.0,23.055951,72.506035,133.909
583,2224,548,52,37,0.0,23.055951,72.506035,133.912
584,2224,548,52,37,0.0,23.055951,72.506035,133.912
585,2225,548,52,37,0.0,23.055951,72.506035,133.912
586,2226,548,51,37,0.0,23.055951,72.506035,133.912
587,2225,548,52,37,0.0,23.055951,72.506035,133.912
