frameNo,left,top,w,h,conf,lat,long,alt
849,1645,1,72,92,0.0,23.055951,72.506035,133.972
859,1657,7,78,137,0.0,23.055951,72.506035,133.956
860,1658,11,79,138,0.0,23.055951,72.506035,133.956
861,1652,9,85,146,0.0,23.055951,72.506035,133.956
862,1649,7,89,155,0.0,23.055951,72.506035,133.956
863,1651,10,89,156,0.0,23.055951,72.506035,133.956
864,1654,16,89,158,0.0,23.055951,72.506035,133.952
870,1667,58,85,150,0.0,23.055951,72.506035,133.943
875,1676,97,81,144,0.0,23.055951,72.506035,133.943
876,1678,104,80,144,0.0,23.055952,72.506035,133.94
877,1681,108,78,143,0.0,23.055952,72.506035,133.94
889,1697,169,81,138,0.0,23.055952,72.506035,133.926
890,1699,171,82,141,0.0,23.055952,72.506035,133.926
894,1716,196,74,137,0.0,23.055952,72.506035,133.923
895,1718,201,73,138,0.0,23.055952,72.506035,133.923
896,1718,208,74,136,0.0,23.055952,72.506035,133.923
897,1719,216,75,135,0.0,23.055952,72.506035,133.923
898,1718,216,76,138,0.0,23.055952,72.506035,133.923
899,1719,217,76,140,0.0,23.055952,72.506035,133.923
900,1707,184,84,165,0.0,23.055952,72.506035,133.92
901,1719,215,78,151,0.0,23.055952,72.506035,133.92
902,1718,220,78,155,0.0,23.055952,72.506035,133.92
903,1719,227,77,155,0.0,23.055952,72.506035,133.92
907,1733,270,74,130,0.0,23.055952,72.506035,133.913
908,1736,280,74,125,0.0,23.055952,72.506035,133.913
909,1739,281,71,121,0.0,23.055952,72.506035,133.913
913,1739,295,78,124,0.0,23.055952,72.506035,133.908
914,1742,302,78,124,0.0,23.055952,72.506035,133.908
915,1745,302,78,126,0.0,23.055952,72.506035,133.908
916,1745,301,79,127,0.0,23.055952,72.506035,133.908
917,1746,302,79,129,0.0,23.055952,72.506035,133.908
924,1754,344,81,130,0.0,23.055952,72.506035,133.899
930,1775,389,68,116,0.0,23.055952,72.506035,133.893
931,1777,393,67,115,0.0,23.055952,72.506035,133.893
938,1786,423,83,127,0.0,23.055952,72.506035,133.893
939,1785,423,85,131,0.0,23.055952,72.506035,133.893
940,1785,420,86,136,0.0,23.055952,72.506035,133.893
996,1815,534,151,240,0.0,23.055952,72.506035,133.87
997,1815,533,151,241,0.0,23.055952,72.506035,133.87
998,1817,534,148,236,0.0,23.055952,72.506035,133.87
999,1821,538,133,208,0.0,23.055952,72.506035,133.87
1007,1860,606,136,211,0.0,23.055952,72.506036,133.864
1008,1853,595,141,225,0.0,23.055952,72.506035,133.857
1015,1857,605,139,230,0.0,23.055952,72.506035,133.844
1016,1860,612,143,236,0.0,23.055952,72.506035,133.844
1017,1861,611,145,243,0.0,23.055952,72.506036,133.844
1018,1862,613,145,245,0.0,23.055952,72.506036,133.844
1019,1866,621,148,247,0.0,23.055952,72.506036,133.844
1020,1867,621,148,249,0.0,23.055952,72.506036,133.831
1021,1869,624,152,251,0.0,23.055952,72.506036,133.831
1022,1870,629,154,254,0.0,23.055952,72.506036,133.831
1023,1867,624,148,238,0.0,23.055952,72.506036,133.831
1024,1869,625,141,220,0.0,23.055952,72.506036,133.831
1025,1874,637,139,210,0.0,23.055952,72.506036,133.831
1026,1876,642,134,197,0.0,23.055952,72.506036,133.818
1027,1878,653,130,193,0.0,23.055952,72.506036,133.818
1028,1878,655,126,173,0.0,23.055952,72.506036,133.818
1036,1897,693,156,227,0.0,23.055952,72.506036,133.798
1037,1898,695,151,223,0.0,23.055952,72.506036,133.798
1038,1898,698,151,220,0.0,23.055952,72.506036,133.776
1039,1902,703,154,226,0.0,23.055952,72.506036,133.776
