frameNo,left,top,w,h,conf,lat,long,alt
1204,12,1016,104,61,0.0,23.055952,72.506035,133.233
1205,13,1015,112,61,0.0,23.055952,72.506035,133.233
1206,23,1015,118,61,0.0,23.055952,72.506035,133.225
1207,27,1016,121,60,0.0,23.055952,72.506035,133.225
1211,71,1019,120,55,0.0,23.055952,72.506035,133.225
1212,79,1021,119,53,0.0,23.055952,72.506035,133.22
1213,88,1022,119,54,0.0,23.055952,72.506035,133.22
1214,99,1019,119,54,0.0,23.055952,72.506035,133.22
1215,105,1018,121,54,0.0,23.055952,72.506035,133.22
1219,142,1019,118,52,0.0,23.055952,72.506035,133.215
1220,152,1016,116,52,0.0,23.055952,72.506035,133.215
1221,162,1014,116,54,0.0,23.055952,72.506035,133.215
1222,172,1014,118,55,0.0,23.055952,72.506035,133.215
1223,180,1014,119,57,0.0,23.055952,72.506035,133.215
1227,215,1014,114,56,0.0,23.055952,72.506035,133.203
1228,222,1013,115,58,0.0,23.055952,72.506035,133.203
1238,303,1011,116,58,0.0,23.055952,72.506035,133.194
1239,310,1010,113,57,0.0,23.055952,72.506035,133.194
1240,316,1010,113,57,0.0,23.055952,72.506035,133.194
1296,729,993,110,47,0.0,23.055952,72.506036,133.164
1297,736,997,107,46,0.0,23.055952,72.506036,133.164
1298,744,993,108,46,0.0,23.055952,72.506036,133.164
1299,751,992,109,46,0.0,23.055952,72.506036,133.164
1300,756,991,109,47,0.0,23.055952,72.506036,133.164
1301,765,991,108,47,0.0,23.055952,72.506036,133.164
1302,774,991,105,48,0.0,23.055952,72.506036,133.159
1326,943,979,113,54,0.0,23.055952,72.506036,133.125
1327,957,979,109,52,0.0,23.055952,72.506036,133.125
1394,1502,947,108,51,0.0,23.055952,72.506035,133.076
1395,1510,943,114,53,0.0,23.055952,72.506035,133.076
1396,1523,944,105,50,0.0,23.055952,72.506035,133.076
1397,1533,946,104,50,0.0,23.055952,72.506035,133.076
1398,1540,945,102,50,0.0,23.055952,72.506035,133.077
1406,1611,938,106,55,0.0,23.055952,72.506035,133.082
1407,1618,940,105,54,0.0,23.055952,72.506035,133.082
1408,1628,940,104,53,0.0,23.055952,72.506035,133.082
1409,1636,940,103,53,0.0,23.055952,72.506035,133.082
1410,1648,936,101,51,0.0,23.055952,72.506035,133.087
1411,1654,937,101,51,0.0,23.055952,72.506035,133.087
1421,1745,930,101,54,0.0,23.055952,72.506035,133.086
1422,1756,929,99,53,0.0,23.055952,72.506035,133.08
1428,1811,923,104,56,0.0,23.055952,72.506035,133.079
1429,1819,924,104,56,0.0,23.055952,72.506035,133.079
1430,1830,924,104,56,0.0,23.055952,72.506035,133.079
1431,1838,925,103,56,0.0,23.055952,72.506035,133.079
1432,1848,923,104,57,0.0,23.055952,72.506035,133.079
1457,2078,917,110,61,0.0,23.055951,72.506035,133.076
1458,2089,919,109,60,0.0,23.055951,72.506035,133.075
1459,2099,920,107,59,0.0,23.055951,72.506035,133.075
1460,2109,919,110,60,0.0,23.055951,72.506035,133.075
1461,2119,919,110,60,0.0,23.055951,72.506035,133.075
1462,2128,918,110,60,0.0,23.055951,72.506035,133.075
1463,2138,918,109,59,0.0,23.055951,72.506035,133.075
1464,2146,918,110,60,0.0,23.055951,72.506035,133.072
1465,2156,918,110,61,0.0,23.055951,72.506035,133.072
1466,2165,920,110,60,0.0,23.055951,72.506035,133.072
