frameNo,left,top,w,h,conf,lat,long,alt
1,2395,745,48,61,0.0,23.05595,72.506036,133.565
2,2394,745,50,62,0.0,23.05595,72.506036,133.565
3,2394,745,49,61,0.0,23.05595,72.506036,133.565
4,2395,745,48,61,0.0,23.05595,72.506036,133.565
5,2395,745,49,62,0.0,23.05595,72.506036,133.565
6,2394,745,50,62,0.0,23.05595,72.506036,133.565
7,2395,745,50,63,0.0,23.05595,72.506036,133.573
8,2395,745,49,62,0.0,23.05595,72.506036,133.573
9,2395,745,49,62,0.0,23.05595,72.506036,133.573
10,2395,746,50,61,0.0,23.05595,72.506036,133.573
11,2395,745,50,62,0.0,23.05595,72.506036,133.573
12,2395,745,51,62,0.0,23.05595,72.506036,133.573
13,2394,745,52,62,0.0,23.05595,72.506036,133.585
14,2394,745,52,62,0.0,23.05595,72.506036,133.585
15,2394,745,52,62,0.0,23.05595,72.506036,133.585
16,2394,745,52,62,0.0,23.05595,72.506036,133.585
17,2394,744,51,63,0.0,23.05595,72.506036,133.585
18,2394,744,51,63,0.0,23.05595,72.506036,133.585
19,2393,744,52,63,0.0,23.05595,72.506036,133.593
20,2393,744,52,63,0.0,23.05595,72.506036,133.593
21,2393,744,52,63,0.0,23.05595,72.506036,133.593
22,2393,744,52,63,0.0,23.05595,72.506036,133.593
23,2393,744,52,63,0.0,23.05595,72.506036,133.593
24,2393,744,52,63,0.0,23.05595,72.506036,133.593
25,2393,744,52,63,0.0,23.055951,72.506036,133.607
26,2393,743,52,64,0.0,23.055951,72.506036,133.607
27,2394,743,50,63,0.0,23.055951,72.506036,133.607
28,2394,743,51,63,0.0,23.055951,72.506036,133.607
29,2394,743,50,63,0.0,23.055951,72.506036,133.607
30,2394,743,50,63,0.0,23.055951,72.506036,133.607
31,2394,744,51,62,0.0,23.05595,72.506036,133.618
32,2394,744,51,62,0.0,23.05595,72.506036,133.618
33,2395,744,49,62,0.0,23.05595,72.506036,133.618
34,2395,743,50,63,0.0,23.05595,72.506036,133.618
35,2395,744,49,62,0.0,23.05595,72.506036,133.618
36,2395,744,48,62,0.0,23.05595,72.506036,133.618
37,2395,744,49,62,0.0,23.05595,72.506036,133.628
38,2395,743,49,63,0.0,23.05595,72.506036,133.628
39,2394,743,50,63,0.0,23.05595,72.506036,133.628
40,2394,743,50,63,0.0,23.05595,72.506036,133.628
41,2395,743,49,63,0.0,23.05595,72.506036,133.628
42,2394,743,50,62,0.0,23.05595,72.506036,133.628
43,2394,743,49,62,0.0,23.05595,72.506036,133.639
44,2394,743,49,62,0.0,23.05595,72.506036,133.639
45,2394,743,49,62,0.0,23.05595,72.506036,133.639
46,2393,743,51,63,0.0,23.05595,72.506036,133.639
47,2393,742,51,64,0.0,23.05595,72.506036,133.639
48,2393,742,51,64,0.0,23.05595,72.506036,133.639
49,2393,742,52,64,0.0,23.05595,72.506036,133.643
50,2393,742,52,64,0.0,23.05595,72.506036,133.643
51,2393,742,52,64,0.0,23.05595,72.506036,133.643
52,2393,742,52,64,0.0,23.05595,72.506036,133.643
53,2393,742,52,64,0.0,23.05595,72.506036,133.643
54,2393,742,51,64,0.0,23.05595,72.506036,133.643
55,2393,742,51,64,0.0,23.055951,72.506036,133.653
56,2393,743,51,62,0.0,23.055951,72.506036,133.653
57,2392,743,51,62,0.0,23.055951,72.506036,133.653
58,2392,743,51,63,0.0,23.055951,72.506036,133.653
59,2392,743,51,63,0.0,23.055951,72.506036,133.653
60,2392,743,51,62,0.0,23.055951,72.506036,133.653
61,2393,743,49,62,0.0,23.055951,72.506036,133.666
62,2393,744,48,61,0.0,23.055951,72.506036,133.666
63,2393,744,48,61,0.0,23.055951,72.506036,133.666
64,2393,744,48,61,0.0,23.055951,72.506036,133.666
65,2393,744,47,61,0.0,23.055951,72.506036,133.666
66,2394,743,46,62,0.0,23.055951,72.506036,133.666
67,2394,743,46,62,0.0,23.05595,72.506036,133.67
68,2393,743,47,62,0.0,23.05595,72.506036,133.67
69,2393,743,48,62,0.0,23.05595,72.506036,133.67
70,2392,744,48,62,0.0,23.05595,72.506036,133.67
71,2392,743,49,62,0.0,23.05595,72.506036,133.67
72,2392,743,49,62,0.0,23.05595,72.506036,133.67
