frameNo,left,top,w,h,conf,lat,long,alt
1701,1853,26,30,47,0.0,23.055988,72.506013,132.423
1702,1856,33,29,48,0.0,23.055988,72.506013,132.423
1703,1857,39,30,50,0.0,23.055988,72.506013,132.423
1704,1859,47,30,49,0.0,23.055988,72.506013,132.423
1705,1860,53,31,50,0.0,23.055988,72.506013,132.423
1706,1862,61,32,51,0.0,23.055988,72.506013,132.427
1711,1871,93,31,56,0.0,23.055988,72.506013,132.427
1712,1871,99,32,55,0.0,23.055988,72.506013,132.422
1713,1873,107,33,55,0.0,23.055988,72.506013,132.422
1714,1876,115,32,53,0.0,23.055988,72.506013,132.422
1715,1878,120,32,51,0.0,23.055988,72.506013,132.422
1716,1880,129,31,49,0.0,23.055988,72.506013,132.422
1717,1882,135,31,49,0.0,23.055988,72.506013,132.422
1721,1889,160,31,50,0.0,23.055988,72.506013,132.421
1722,1893,167,30,49,0.0,23.055988,72.506013,132.421
1723,1896,173,29,47,0.0,23.055988,72.506013,132.421
1724,1896,180,30,48,0.0,23.055988,72.506013,132.42
1725,1897,186,30,48,0.0,23.055988,72.506013,132.42
1726,1900,192,30,47,0.0,23.055988,72.506013,132.42
1727,1901,199,31,46,0.0,23.055988,72.506013,132.42
1728,1902,207,31,46,0.0,23.055988,72.506013,132.42
1729,1904,212,31,45,0.0,23.055988,72.506013,132.42
1730,1905,217,31,45,0.0,23.055988,72.506013,132.408
1731,1907,223,30,45,0.0,23.055988,72.506013,132.408
1732,1908,230,31,47,0.0,23.055988,72.506013,132.408
1733,1911,235,30,48,0.0,23.055988,72.506013,132.408
1734,1912,240,31,48,0.0,23.055988,72.506013,132.408
1735,1914,245,31,49,0.0,23.055988,72.506013,132.408
1736,1916,249,31,49,0.0,23.055988,72.506013,132.404
1748,1944,308,29,51,0.0,23.055988,72.506013,132.393
1749,1944,310,30,50,0.0,23.055988,72.506013,132.393
1764,1976,389,33,52,0.0,23.055988,72.506013,132.382
1765,1979,393,32,50,0.0,23.055988,72.506013,132.382
1766,1981,401,31,47,0.0,23.055988,72.506013,132.379
1767,1985,406,31,45,0.0,23.055988,72.506013,132.379
1768,1989,411,31,44,0.0,23.055988,72.506013,132.379
1769,1992,417,31,43,0.0,23.055988,72.506013,132.379
1770,1994,421,31,45,0.0,23.055988,72.506013,132.379
1771,1997,427,32,45,0.0,23.055988,72.506013,132.379
1772,2000,429,33,46,0.0,23.055988,72.506013,132.374
1773,2002,433,33,45,0.0,23.055988,72.506013,132.374
1774,2003,436,35,46,0.0,23.055988,72.506013,132.374
1775,2006,442,34,47,0.0,23.055988,72.506013,132.374
1783,2025,479,33,42,0.0,23.055988,72.506013,132.371
1784,2029,482,35,42,0.0,23.055988,72.506013,132.37
1785,2034,488,35,41,0.0,23.055988,72.506013,132.37
1786,2036,491,37,41,0.0,23.055988,72.506013,132.37
1787,2040,498,37,42,0.0,23.055988,72.506013,132.37
1788,2043,502,36,42,0.0,23.055988,72.506013,132.37
1789,2045,505,36,42,0.0,23.055988,72.506013,132.37
1790,2047,508,36,43,0.0,23.055988,72.506013,132.368
1791,2050,509,35,43,0.0,23.055988,72.506013,132.368
1792,2053,513,35,45,0.0,23.055988,72.506013,132.368
1793,2055,515,35,45,0.0,23.055988,72.506013,132.368
1794,2056,519,37,46,0.0,23.055988,72.506013,132.368
1795,2059,523,36,46,0.0,23.055988,72.506013,132.368
1796,2062,526,35,46,0.0,23.055988,72.506013,132.366
1797,2065,529,35,47,0.0,23.055988,72.506013,132.366
1798,2068,532,35,48,0.0,23.055988,72.506013,132.366
1799,2070,534,34,48,0.0,23.055988,72.506013,132.366
1800,2070,534,35,48,0.0,23.055988,72.506013,132.366
1801,2073,535,34,50,0.0,23.055988,72.506013,132.366
1802,2072,541,33,49,0.0,23.055988,72.506013,132.36
1803,2075,548,34,49,0.0,23.055988,72.506013,132.36
1804,2082,553,35,47,0.0,23.055988,72.506013,132.36
1805,2086,556,35,47,0.0,23.055988,72.506013,132.36
1806,2088,559,35,45,0.0,23.055988,72.506013,132.36
