frameNo,left,top,w,h,conf,lat,long,alt
1845,2258,526,67,42,0.0,23.055988,72.506014,132.345
1849,2260,527,66,42,0.0,23.055988,72.506014,132.345
1993,2263,527,61,38,0.0,23.055988,72.506014,132.446
1994,2263,527,62,38,0.0,23.055988,72.506014,132.446
1995,2264,527,62,38,0.0,23.055988,72.506014,132.446
2001,2262,526,65,38,0.0,23.055988,72.506014,132.452
2118,2261,521,67,43,0.0,23.055988,72.506014,132.486
2119,2261,521,66,44,0.0,23.055988,72.506014,132.48
2120,2262,522,66,44,0.0,23.055988,72.506014,132.48
2121,2261,522,67,43,0.0,23.055988,72.506014,132.48
2122,2260,522,67,43,0.0,23.055988,72.506014,132.48
2123,2260,522,67,43,0.0,23.055988,72.506014,132.48
2155,2257,526,71,38,0.0,23.055988,72.506014,132.485
2156,2256,527,72,38,0.0,23.055988,72.506014,132.485
2162,2258,527,70,37,0.0,23.055988,72.506014,132.476
2163,2258,526,70,38,0.0,23.055988,72.506014,132.476
2164,2257,526,70,38,0.0,23.055988,72.506014,132.476
2165,2257,526,69,38,0.0,23.055988,72.506014,132.476
2172,2259,519,69,39,0.0,23.055988,72.506014,132.469
2173,2259,520,69,38,0.0,23.055988,72.506014,132.467
2174,2259,520,69,39,0.0,23.055988,72.506014,132.467
2175,2257,516,69,39,0.0,23.055988,72.506014,132.467
2176,2258,522,69,39,0.0,23.055988,72.506014,132.467
2177,2257,524,70,40,0.0,23.055988,72.506014,132.467
2178,2256,525,70,39,0.0,23.055988,72.506014,132.467
2179,2257,525,70,40,0.0,23.055988,72.506014,132.462
2180,2257,524,71,41,0.0,23.055988,72.506014,132.462
2181,2259,521,69,40,0.0,23.055988,72.506014,132.462
2182,2258,516,68,40,0.0,23.055988,72.506014,132.462
2183,2259,514,67,40,0.0,23.055988,72.506014,132.462
2184,2259,513,67,40,0.0,23.055988,72.506014,132.462
2185,2260,512,65,39,0.0,23.055988,72.506014,132.463
2186,2260,512,65,39,0.0,23.055988,72.506014,132.463
2187,2261,512,63,39,0.0,23.055988,72.506014,132.463
2188,2261,512,63,39,0.0,23.055988,72.506014,132.463
2189,2262,512,62,39,0.0,23.055988,72.506014,132.463
2190,2262,513,62,39,0.0,23.055988,72.506014,132.463
2191,2262,513,61,39,0.0,23.055988,72.506014,132.464
2192,2262,513,61,39,0.0,23.055988,72.506014,132.464
2193,2263,512,61,40,0.0,23.055988,72.506014,132.464
2194,2263,513,61,39,0.0,23.055988,72.506014,132.464
2195,2263,513,61,39,0.0,23.055988,72.506014,132.464
2196,2263,513,61,39,0.0,23.055988,72.506014,132.464
2197,2262,513,61,40,0.0,23.055988,72.506014,132.465
2198,2262,514,62,40,0.0,23.055988,72.506014,132.465
2199,2263,513,61,41,0.0,23.055988,72.506014,132.465
2200,2263,514,62,40,0.0,23.055988,72.506014,132.465
2201,2263,514,61,40,0.0,23.055988,72.506014,132.465
2202,2262,513,62,41,0.0,23.055988,72.506014,132.465
2203,2263,513,61,40,0.0,23.055988,72.506014,132.468
2204,2263,512,62,41,0.0,23.055988,72.506014,132.468
2205,2263,513,62,41,0.0,23.055988,72.506014,132.468
2206,2264,513,62,41,0.0,23.055988,72.506014,132.468
2207,2263,514,62,41,0.0,23.055988,72.506014,132.468
2208,2263,514,62,41,0.0,23.055988,72.506014,132.468
2209,2263,514,61,41,0.0,23.055988,72.506014,132.468
2210,2264,514,61,41,0.0,23.055988,72.506014,132.468
2211,2264,515,61,41,0.0,23.055988,72.506014,132.468
2212,2264,514,62,42,0.0,23.055988,72.506014,132.468
2213,2265,514,61,42,0.0,23.055988,72.506014,132.468
2214,2269,517,61,44,0.0,23.055988,72.506014,132.468
2215,2271,519,61,44,0.0,23.055988,72.506014,132.468
2216,2272,520,61,45,0.0,23.055988,72.506014,132.468
2217,2273,520,62,45,0.0,23.055988,72.506014,132.468
2218,2273,520,62,45,0.0,23.055988,72.506014,132.468
2219,2273,520,62,45,0.0,23.055988,72.506014,132.468
2220,2272,520,63,45,0.0,23.055988,72.506014,132.468
2221,2272,520,63,45,0.0,23.055988,72.506013,132.474
2222,2272,520,64,45,0.0,23.055988,72.506013,132.474
2223,2271,521,64,44,0.0,23.055988,72.506013,132.474
2224,2271,521,64,44,0.0,23.055988,72.506013,132.474
2225,2272,521,63,43,0.0,23.055988,72.506013,132.474
2226,2271,521,64,42,0.0,23.055988,72.506013,132.474
2227,2271,521,64,42,0.0,23.055988,72.506013,132.487
2228,2271,521,64,42,0.0,23.055988,72.506013,132.487
2229,2271,522,65,41,0.0,23.055988,72.506013,132.487
2230,2272,522,64,41,0.0,23.055988,72.506013,132.487
2231,2272,522,65,41,0.0,23.055988,72.506013,132.487
2232,2272,522,65,42,0.0,23.055988,72.506013,132.487
2233,2272,522,66,41,0.0,23.055988,72.506013,132.497
2234,2272,522,66,41,0.0,23.055988,72.506013,132.497
2235,2271,522,67,41,0.0,23.055988,72.506013,132.497
2236,2272,521,66,42,0.0,23.055988,72.506013,132.497
2237,2272,521,66,41,0.0,23.055988,72.506013,132.497
2238,2272,521,66,41,0.0,23.055988,72.506013,132.497
2239,2272,520,65,41,0.0,23.055988,72.506014,132.509
2240,2272,519,65,41,0.0,23.055988,72.506014,132.509
2241,2272,518,64,42,0.0,23.055988,72.506014,132.509
2242,2272,518,63,42,0.0,23.055988,72.506014,132.509
2243,2272,519,63,41,0.0,23.055988,72.506014,132.509
2244,2273,518,62,41,0.0,23.055988,72.506014,132.509
2245,2273,518,62,41,0.0,23.055988,72.506014,132.524
2246,2274,519,62,41,0.0,23.055988,72.506014,132.524
2247,2275,520,62,40,0.0,23.055988,72.506014,132.524
2248,2275,520,62,41,0.0,23.055988,72.506014,132.524
2249,2275,520,62,41,0.0,23.055988,72.506014,132.524
2250,2275,520,61,41,0.0,23.055988,72.506014,132.524
2251,2274,520,61,41,0.0,23.055988,72.506014,132.543
2252,2275,520,60,41,0.0,23.055988,72.506014,132.543
2253,2275,521,60,41,0.0,23.055988,72.506014,132.543
2254,2275,521,60,41,0.0,23.055988,72.506014,132.543
2255,2276,522,61,41,0.0,23.055988,72.506014,132.543
2256,2277,522,60,41,0.0,23.055988,72.506014,132.543
2257,2278,523,61,40,0.0,23.055988,72.506014,132.565
2258,2278,523,62,41,0.0,23.055988,72.506014,132.565
2259,2278,523,63,41,0.0,23.055988,72.506014,132.565
2260,2278,522,64,42,0.0,23.055988,72.506014,132.565
2261,2277,522,64,42,0.0,23.055988,72.506014,132.565
2262,2277,521,65,42,0.0,23.055988,72.506014,132.565
2263,2277,521,65,42,0.0,23.055988,72.506014,132.584
2264,2277,521,65,42,0.0,23.055988,72.506014,132.584
2265,2277,520,65,43,0.0,23.055988,72.506014,132.584
2266,2277,521,65,42,0.0,23.055988,72.506013,132.584
2267,2278,521,64,42,0.0,23.055988,72.506013,132.584
2268,2278,521,63,42,0.0,23.055988,72.506013,132.584
2269,2278,521,63,41,0.0,23.055988,72.506014,132.597
2270,2278,520,63,42,0.0,23.055988,72.506014,132.597
2271,2278,520,63,41,0.0,23.055988,72.506014,132.597
2272,2278,520,63,41,0.0,23.055988,72.506014,132.597
2273,2278,519,62,41,0.0,23.055988,72.506014,132.597
2274,2278,519,61,41,0.0,23.055988,72.506014,132.597
2275,2278,518,61,41,0.0,23.055988,72.506014,132.607
2276,2278,518,61,41,0.0,23.055988,72.506014,132.607
2277,2278,518,60,41,0.0,23.055988,72.506014,132.607
2278,2279,518,59,41,0.0,23.055988,72.506014,132.607
2279,2279,518,59,41,0.0,23.055988,72.506014,132.607
2280,2279,518,59,41,0.0,23.055988,72.506014,132.607
2281,2279,519,59,41,0.0,23.055988,72.506014,132.629
2282,2279,518,59,42,0.0,23.055988,72.506014,132.629
2283,2280,519,57,41,0.0,23.055988,72.506014,132.629
2284,2280,519,58,42,0.0,23.055988,72.506014,132.629
2285,2280,519,57,42,0.0,23.055988,72.506014,132.629
2286,2280,519,57,42,0.0,23.055988,72.506014,132.629
2287,2281,519,56,42,0.0,23.055988,72.506014,132.643
2288,2281,519,56,42,0.0,23.055988,72.506014,132.643
2289,2281,520,56,42,0.0,23.055988,72.506014,132.643
2290,2281,520,56,42,0.0,23.055988,72.506014,132.643
2291,2281,520,56,43,0.0,23.055988,72.506014,132.643
2292,2282,521,55,43,0.0,23.055988,72.506014,132.643
2293,2282,522,55,42,0.0,23.055988,72.506014,132.664
2294,2282,522,55,42,0.0,23.055988,72.506014,132.664
2295,2282,523,56,41,0.0,23.055988,72.506014,132.664
2296,2283,524,56,42,0.0,23.055988,72.506014,132.664
2297,2283,524,56,42,0.0,23.055988,72.506014,132.664
2298,2283,525,57,41,0.0,23.055988,72.506014,132.664
2299,2284,525,56,41,0.0,23.055988,72.506014,132.684
2300,2283,525,57,41,0.0,23.055988,72.506014,132.684
2301,2283,524,57,41,0.0,23.055988,72.506014,132.684
2302,2284,525,57,41,0.0,23.055988,72.506014,132.684
2303,2284,524,57,41,0.0,23.055988,72.506014,132.684
2304,2283,524,57,40,0.0,23.055988,72.506014,132.684
2308,2281,524,60,39,0.0,23.055988,72.506014,132.694
