frameNo,left,top,w,h,conf,lat,long,alt
1928,3786,1247,50,139,0.0,23.055988,72.506014,132.38
1929,3778,1247,58,143,0.0,23.055988,72.506014,132.38
1930,3767,1245,66,137,0.0,23.055988,72.506014,132.38
1931,3758,1245,74,132,0.0,23.055988,72.506014,132.38
1932,3747,1246,83,130,0.0,23.055988,72.506014,132.38
1933,3735,1251,96,129,0.0,23.055988,72.506014,132.38
1934,3723,1254,108,129,0.0,23.055988,72.506014,132.379
1935,3713,1253,117,124,0.0,23.055988,72.506014,132.379
1936,3703,1251,126,120,0.0,23.055988,72.506014,132.379
1938,3679,1258,159,116,0.0,23.055988,72.506014,132.379
1939,3668,1256,169,121,0.0,23.055988,72.506014,132.379
1940,3660,1256,177,123,0.0,23.055988,72.506014,132.386
1941,3649,1256,186,121,0.0,23.055988,72.506014,132.386
1942,3641,1255,194,120,0.0,23.055988,72.506014,132.386
1943,3634,1254,201,119,0.0,23.055988,72.506014,132.386
1944,3619,1256,214,120,0.0,23.055988,72.506014,132.386
1945,3605,1257,227,123,0.0,23.055988,72.506014,132.39
1946,3594,1255,239,124,0.0,23.055988,72.506014,132.39
1947,3588,1254,246,123,0.0,23.055988,72.506014,132.39
1948,3578,1256,255,123,0.0,23.055988,72.506014,132.39
1949,3569,1257,265,127,0.0,23.055988,72.506014,132.39
1950,3559,1256,274,129,0.0,23.055988,72.506014,132.39
1951,3547,1256,285,130,0.0,23.055988,72.506014,132.394
1952,3537,1257,294,128,0.0,23.055988,72.506014,132.394
1958,3479,1257,354,133,0.0,23.055988,72.506014,132.397
