frameNo,left,top,w,h,conf,lat,long,alt
2199,1856,1623,35,50,0.0,23.055988,72.506014,132.465
2215,1806,1523,36,53,0.0,23.055988,72.506014,132.468
2227,1772,1442,33,47,0.0,23.055988,72.506013,132.487
2237,1747,1379,32,44,0.0,23.055988,72.506013,132.497
2238,1745,1374,32,44,0.0,23.055988,72.506013,132.497
2239,1740,1367,32,43,0.0,23.055988,72.506014,132.509
2243,1729,1341,33,47,0.0,23.055988,72.506014,132.509
2251,1712,1293,34,45,0.0,23.055988,72.506014,132.543
2252,1709,1283,33,45,0.0,23.055988,72.506014,132.543
2253,1707,1282,34,44,0.0,23.055988,72.506014,132.543
2254,1704,1278,33,42,0.0,23.055988,72.506014,132.543
2283,1494,1099,173,79,0.0,23.055988,72.506014,132.629
2298,1609,1044,30,37,0.0,23.055988,72.506014,132.664
2315,1579,968,31,41,0.0,23.055988,72.506014,132.7
2316,1578,967,31,42,0.0,23.055988,72.506014,132.7
2317,1576,962,32,42,0.0,23.055988,72.506014,132.712
2318,1574,957,32,44,0.0,23.055988,72.506014,132.712
2319,1572,953,33,45,0.0,23.055988,72.506014,132.712
2320,1572,952,32,43,0.0,23.055988,72.506014,132.712
2321,1572,951,31,41,0.0,23.055988,72.506014,132.712
2322,1570,948,31,39,0.0,23.055988,72.506014,132.712
2323,1566,944,31,38,0.0,23.055988,72.506014,132.721
2324,1565,941,31,38,0.0,23.055988,72.506014,132.721
2325,1564,939,31,39,0.0,23.055988,72.506014,132.721
2329,1408,914,191,82,0.0,23.055988,72.506014,132.725
2332,1546,913,36,44,0.0,23.055988,72.506014,132.725
2333,1544,911,37,43,0.0,23.055988,72.506014,132.725
2337,1541,895,32,40,0.0,23.055988,72.506014,132.736
2338,1539,892,31,40,0.0,23.055988,72.506014,132.736
2342,1535,875,31,42,0.0,23.055988,72.506014,132.739
2343,1534,871,31,42,0.0,23.055988,72.506014,132.739
2344,1533,869,32,43,0.0,23.055988,72.506014,132.739
2345,1531,866,33,43,0.0,23.055988,72.506014,132.739
2346,1529,863,33,44,0.0,23.055988,72.506014,132.739
2347,1528,860,33,44,0.0,23.055988,72.506014,132.74
2351,1525,845,30,41,0.0,23.055988,72.506014,132.74
2370,1507,757,31,47,0.0,23.055988,72.506014,132.756
2380,1504,702,27,42,0.0,23.055988,72.506014,132.765
2381,1504,697,26,41,0.0,23.055988,72.506014,132.765
2382,1503,688,27,45,0.0,23.055988,72.506014,132.765
2383,1502,680,28,48,0.0,23.055988,72.506014,132.77
2384,1502,676,29,50,0.0,23.055988,72.506014,132.77
2390,1502,648,27,42,0.0,23.055988,72.506014,132.774
2391,1502,641,27,44,0.0,23.055988,72.506014,132.774
2392,1502,634,28,46,0.0,23.055988,72.506014,132.774
2393,1503,629,27,48,0.0,23.055988,72.506014,132.774
2394,1502,623,29,51,0.0,23.055988,72.506014,132.774
2395,1502,615,29,51,0.0,23.055988,72.506014,132.78
2396,1501,610,30,52,0.0,23.055988,72.506014,132.78
2397,1501,606,30,52,0.0,23.055988,72.506014,132.78
2406,1502,554,29,48,0.0,23.055988,72.506014,132.787
2407,1502,548,29,46,0.0,23.055988,72.506014,132.788
2408,1503,540,29,49,0.0,23.055988,72.506014,132.788
2409,1502,532,30,51,0.0,23.055988,72.506014,132.788
2413,1502,506,29,46,0.0,23.055988,72.506014,132.793
2414,1503,501,29,44,0.0,23.055988,72.506014,132.793
2415,1504,496,28,43,0.0,23.055988,72.506014,132.793
2416,1504,492,28,43,0.0,23.055988,72.506014,132.793
2417,1504,488,28,42,0.0,23.055988,72.506014,132.793
2418,1504,481,28,42,0.0,23.055988,72.506014,132.793
2427,1502,415,29,46,0.0,23.055988,72.506014,132.795
2428,1501,408,28,44,0.0,23.055988,72.506014,132.795
2429,1501,399,28,47,0.0,23.055988,72.506014,132.795
2430,1500,392,28,48,0.0,23.055988,72.506014,132.795
2436,1499,353,28,45,0.0,23.055988,72.506014,132.797
2437,1499,348,29,45,0.0,23.055988,72.506014,132.793
2438,1498,344,29,43,0.0,23.055988,72.506014,132.793
2443,1494,310,29,42,0.0,23.055988,72.506015,132.794
2444,1492,301,29,42,0.0,23.055988,72.506015,132.794
2445,1490,295,29,43,0.0,23.055988,72.506015,132.794
2446,1489,287,29,46,0.0,23.055988,72.506015,132.794
2447,1489,280,29,46,0.0,23.055988,72.506015,132.794
2448,1488,271,29,46,0.0,23.055988,72.506015,132.794
2449,1486,265,29,44,0.0,23.055988,72.506015,132.792
2450,1483,259,29,42,0.0,23.055988,72.506015,132.792
2451,1482,250,29,44,0.0,23.055988,72.506015,132.792
2452,1481,241,29,47,0.0,23.055988,72.506015,132.792
2453,1479,235,30,49,0.0,23.055988,72.506015,132.792
2454,1477,227,29,48,0.0,23.055988,72.506015,132.792
2455,1476,221,29,46,0.0,23.055988,72.506015,132.79
2460,1469,181,30,45,0.0,23.055988,72.506015,132.79
2461,1468,172,30,44,0.0,23.055988,72.506015,132.791
2462,1465,163,30,43,0.0,23.055988,72.506015,132.791
2463,1462,155,31,46,0.0,23.055988,72.506015,132.791
2467,1455,128,30,49,0.0,23.055988,72.506015,132.785
2468,1452,117,30,47,0.0,23.055988,72.506015,132.785
2469,1451,109,30,47,0.0,23.055988,72.506015,132.785
2470,1449,100,30,49,0.0,23.055988,72.506015,132.785
2471,1446,92,31,49,0.0,23.055988,72.506015,132.785
2476,1436,47,32,48,0.0,23.055988,72.506015,132.78
2477,1433,37,32,49,0.0,23.055988,72.506015,132.78
2478,1431,32,32,49,0.0,23.055988,72.506015,132.78
2479,1429,23,32,46,0.0,23.055988,72.506015,132.782
2480,1427,14,32,46,0.0,23.055988,72.506015,132.782
2481,1426,4,32,47,0.0,23.055988,72.506015,132.782
