frameNo,left,top,w,h,conf,lat,long,alt
2304,2333,459,47,40,0.0,23.055988,72.506014,132.684
2305,2333,460,47,40,0.0,23.055988,72.506014,132.694
2306,2333,460,47,41,0.0,23.055988,72.506014,132.694
2307,2333,459,47,41,0.0,23.055988,72.506014,132.694
2308,2333,459,47,41,0.0,23.055988,72.506014,132.694
2309,2332,460,48,41,0.0,23.055988,72.506014,132.694
2310,2332,461,47,40,0.0,23.055988,72.506014,132.694
2311,2332,460,48,40,0.0,23.055988,72.506014,132.7
2312,2332,459,48,41,0.0,23.055988,72.506014,132.7
2313,2332,459,48,41,0.0,23.055988,72.506014,132.7
2314,2332,459,48,41,0.0,23.055988,72.506014,132.7
2315,2332,459,48,41,0.0,23.055988,72.506014,132.7
2316,2332,459,48,41,0.0,23.055988,72.506014,132.7
2317,2332,459,48,41,0.0,23.055988,72.506014,132.712
2318,2332,456,48,41,0.0,23.055988,72.506014,132.712
2319,2333,458,48,42,0.0,23.055988,72.506014,132.712
2320,2333,456,47,42,0.0,23.055988,72.506014,132.712
2321,2332,455,47,42,0.0,23.055988,72.506014,132.712
2322,2333,454,47,43,0.0,23.055988,72.506014,132.712
2323,2334,454,47,43,0.0,23.055988,72.506014,132.721
2324,2334,453,47,44,0.0,23.055988,72.506014,132.721
2325,2334,453,47,44,0.0,23.055988,72.506014,132.721
2326,2334,453,47,44,0.0,23.055988,72.506014,132.721
2327,2334,453,47,44,0.0,23.055988,72.506014,132.721
2328,2334,453,47,45,0.0,23.055988,72.506014,132.721
2329,2334,453,47,45,0.0,23.055988,72.506014,132.725
2330,2334,453,47,44,0.0,23.055988,72.506014,132.725
2331,2333,452,48,45,0.0,23.055988,72.506014,132.725
2332,2331,455,49,44,0.0,23.055988,72.506014,132.725
2333,2332,453,49,44,0.0,23.055988,72.506014,132.725
2334,2333,453,49,44,0.0,23.055988,72.506014,132.725
2335,2333,452,50,45,0.0,23.055988,72.506014,132.736
2336,2333,452,50,45,0.0,23.055988,72.506014,132.736
2337,2334,452,49,45,0.0,23.055988,72.506014,132.736
2338,2335,452,49,45,0.0,23.055988,72.506014,132.736
2339,2334,452,50,45,0.0,23.055988,72.506014,132.736
2340,2333,452,50,44,0.0,23.055988,72.506014,132.736
2341,2333,451,50,45,0.0,23.055988,72.506014,132.739
2342,2333,451,50,45,0.0,23.055988,72.506014,132.739
2343,2332,450,51,46,0.0,23.055988,72.506014,132.739
2344,2332,451,51,45,0.0,23.055988,72.506014,132.739
2345,2333,451,50,45,0.0,23.055988,72.506014,132.739
2346,2333,450,50,45,0.0,23.055988,72.506014,132.739
2347,2333,453,50,43,0.0,23.055988,72.506014,132.74
2348,2331,454,51,43,0.0,23.055988,72.506014,132.74
2349,2329,455,52,42,0.0,23.055988,72.506014,132.74
2350,2327,455,53,42,0.0,23.055988,72.506014,132.74
