frameNo,left,top,w,h,conf,lat,long,alt
361,3,854,61,41,0.0,23.055987,72.506014,132.985
362,4,854,69,41,0.0,23.055987,72.506014,132.985
363,10,856,70,40,0.0,23.055987,72.506014,132.975
364,19,860,73,37,0.0,23.055987,72.506014,132.975
365,33,861,74,34,0.0,23.055987,72.506014,132.975
366,41,862,77,34,0.0,23.055987,72.506014,132.975
367,54,862,75,34,0.0,23.055987,72.506014,132.975
368,65,863,74,33,0.0,23.055987,72.506014,132.975
369,74,862,76,32,0.0,23.055987,72.506014,132.963
370,83,863,76,32,0.0,23.055987,72.506014,132.963
371,94,863,75,32,0.0,23.055987,72.506014,132.963
372,106,863,73,32,0.0,23.055987,72.506014,132.963
373,113,865,74,32,0.0,23.055987,72.506014,132.963
374,124,866,73,31,0.0,23.055987,72.506014,132.963
375,133,867,74,32,0.0,23.055987,72.506014,132.952
376,138,867,78,33,0.0,23.055987,72.506014,132.952
377,152,866,78,34,0.0,23.055987,72.506014,132.952
378,165,866,77,33,0.0,23.055987,72.506014,132.952
379,174,866,75,33,0.0,23.055987,72.506014,132.952
380,182,867,74,32,0.0,23.055987,72.506014,132.952
381,193,863,76,34,0.0,23.055987,72.506014,132.944
382,204,863,77,35,0.0,23.055987,72.506014,132.944
383,216,865,76,34,0.0,23.055987,72.506014,132.944
384,223,863,80,35,0.0,23.055987,72.506014,132.944
385,233,865,81,35,0.0,23.055987,72.506014,132.944
386,242,864,82,35,0.0,23.055987,72.506014,132.944
387,253,864,80,35,0.0,23.055987,72.506014,132.931
388,264,866,77,34,0.0,23.055987,72.506014,132.931
389,271,867,77,33,0.0,23.055987,72.506014,132.931
390,280,868,78,32,0.0,23.055987,72.506014,132.931
391,287,868,80,33,0.0,23.055987,72.506014,132.931
392,296,867,82,34,0.0,23.055987,72.506014,132.931
393,304,868,81,32,0.0,23.055987,72.506014,132.925
394,315,868,78,32,0.0,23.055987,72.506014,132.925
395,322,870,78,32,0.0,23.055987,72.506014,132.925
396,333,869,78,33,0.0,23.055987,72.506014,132.925
397,337,869,80,34,0.0,23.055987,72.506014,132.925
398,351,869,77,33,0.0,23.055987,72.506014,132.925
399,360,868,77,34,0.0,23.055987,72.506014,132.912
400,368,869,75,34,0.0,23.055987,72.506014,132.912
401,375,870,75,34,0.0,23.055987,72.506014,132.912
