frameNo,left,top,w,h,conf,lat,long,alt
510,1781,3,41,69,0.0,23.055987,72.506014,132.834
511,1784,8,40,74,0.0,23.055987,72.506014,132.834
512,1786,17,41,76,0.0,23.055987,72.506014,132.834
513,1787,24,41,80,0.0,23.055987,72.506014,132.843
514,1790,36,41,79,0.0,23.055987,72.506014,132.843
515,1792,45,40,80,0.0,23.055987,72.506014,132.843
516,1793,55,41,81,0.0,23.055987,72.506014,132.843
517,1797,67,39,81,0.0,23.055987,72.506014,132.843
518,1797,76,40,81,0.0,23.055987,72.506014,132.843
519,1800,85,40,81,0.0,23.055987,72.506014,132.848
520,1804,97,39,81,0.0,23.055987,72.506014,132.848
521,1805,107,38,81,0.0,23.055987,72.506014,132.848
522,1807,116,37,82,0.0,23.055987,72.506014,132.848
523,1811,124,37,83,0.0,23.055987,72.506014,132.848
524,1813,136,37,80,0.0,23.055987,72.506014,132.848
525,1816,145,36,79,0.0,23.055987,72.506014,132.85
526,1818,156,36,79,0.0,23.055987,72.506014,132.85
527,1820,165,36,78,0.0,23.055987,72.506014,132.85
528,1823,175,36,77,0.0,23.055987,72.506014,132.85
529,1825,186,36,76,0.0,23.055987,72.506014,132.85
530,1828,194,35,74,0.0,23.055987,72.506014,132.85
531,1831,205,35,76,0.0,23.055987,72.506014,132.857
532,1832,213,35,75,0.0,23.055987,72.506014,132.857
533,1833,222,37,75,0.0,23.055987,72.506014,132.857
534,1836,230,37,74,0.0,23.055987,72.506014,132.857
535,1838,235,38,72,0.0,23.055987,72.506014,132.857
536,1840,246,39,73,0.0,23.055987,72.506014,132.857
537,1843,256,39,73,0.0,23.055987,72.506014,132.864
538,1845,266,38,71,0.0,23.055987,72.506014,132.864
539,1847,277,38,66,0.0,23.055987,72.506014,132.864
540,1850,285,37,63,0.0,23.055987,72.506014,132.864
541,1851,295,38,67,0.0,23.055987,72.506014,132.864
542,1854,302,37,67,0.0,23.055987,72.506014,132.864
543,1853,307,37,68,0.0,23.055987,72.506014,132.864
544,1857,314,38,69,0.0,23.055987,72.506014,132.864
545,1861,323,37,67,0.0,23.055987,72.506014,132.864
546,1865,328,37,68,0.0,23.055987,72.506014,132.864
547,1867,338,37,66,0.0,23.055987,72.506014,132.864
548,1872,348,37,65,0.0,23.055987,72.506014,132.864
549,1874,354,37,67,0.0,23.055987,72.506014,132.866
550,1878,363,37,66,0.0,23.055987,72.506014,132.866
551,1879,369,37,66,0.0,23.055987,72.506014,132.866
552,1881,377,36,65,0.0,23.055987,72.506014,132.866
553,1883,381,36,67,0.0,23.055987,72.506014,132.866
554,1884,385,37,69,0.0,23.055987,72.506014,132.866
555,1886,395,38,70,0.0,23.055987,72.506014,132.866
556,1887,401,38,71,0.0,23.055987,72.506014,132.866
557,1890,408,40,71,0.0,23.055987,72.506014,132.866
558,1892,413,41,72,0.0,23.055987,72.506014,132.866
559,1894,420,42,73,0.0,23.055987,72.506014,132.866
560,1896,425,43,73,0.0,23.055987,72.506014,132.866
