frameNo,left,top,w,h,conf,lat,long,alt
269,2255,404,78,39,0.0,23.055988,72.506015,133.039
270,2255,406,77,38,0.0,23.055988,72.506015,133.039
271,2255,406,78,38,0.0,23.055988,72.506015,133.039
272,2254,407,78,38,0.0,23.055988,72.506015,133.039
273,2253,407,79,39,0.0,23.055988,72.506015,133.039
274,2253,408,79,39,0.0,23.055988,72.506015,133.045
275,2254,411,78,38,0.0,23.055988,72.506015,133.045
276,2253,413,79,38,0.0,23.055988,72.506015,133.045
277,2254,411,78,38,0.0,23.055988,72.506015,133.045
278,2253,413,79,38,0.0,23.055988,72.506015,133.045
279,2254,412,78,38,0.0,23.055988,72.506015,133.045
280,2254,413,78,38,0.0,23.055988,72.506015,133.05
281,2254,410,78,38,0.0,23.055988,72.506015,133.05
282,2254,411,79,39,0.0,23.055988,72.506015,133.05
283,2253,413,79,39,0.0,23.055988,72.506015,133.05
284,2254,411,79,39,0.0,23.055988,72.506015,133.05
285,2254,409,79,40,0.0,23.055988,72.506015,133.05
286,2254,410,80,40,0.0,23.055988,72.506015,133.05
287,2254,411,80,40,0.0,23.055988,72.506015,133.05
288,2254,412,79,39,0.0,23.055988,72.506015,133.05
289,2255,413,78,39,0.0,23.055988,72.506015,133.05
293,2255,407,77,38,0.0,23.055988,72.506015,133.049
297,2256,406,76,38,0.0,23.055988,72.506015,133.049
298,2256,405,76,38,0.0,23.055988,72.506015,133.05
299,2256,405,76,38,0.0,23.055988,72.506015,133.05
300,2256,406,76,38,0.0,23.055988,72.506015,133.05
301,2256,405,76,39,0.0,23.055988,72.506015,133.05
302,2256,406,76,38,0.0,23.055988,72.506015,133.05
303,2256,406,76,38,0.0,23.055988,72.506015,133.05
304,2256,406,76,38,0.0,23.055988,72.506015,133.043
305,2256,407,76,38,0.0,23.055988,72.506015,133.043
306,2256,407,76,38,0.0,23.055988,72.506015,133.043
307,2256,406,76,38,0.0,23.055988,72.506015,133.043
308,2256,406,76,38,0.0,23.055987,72.506015,133.043
330,2255,410,75,38,0.0,23.055987,72.506015,133.051
331,2255,411,75,37,0.0,23.055987,72.506015,133.051
332,2255,411,75,38,0.0,23.055987,72.506014,133.051
333,2255,410,75,37,0.0,23.055987,72.506014,133.051
334,2256,409,75,37,0.0,23.055987,72.506014,133.053
335,2255,409,75,38,0.0,23.055987,72.506015,133.053
336,2255,408,76,37,0.0,23.055987,72.506015,133.053
337,2255,408,76,38,0.0,23.055987,72.506015,133.053
338,2255,407,76,38,0.0,23.055987,72.506014,133.053
339,2255,407,76,38,0.0,23.055987,72.506014,133.053
340,2256,408,75,38,0.0,23.055987,72.506014,133.057
341,2256,408,74,38,0.0,23.055987,72.506014,133.057
342,2256,407,74,38,0.0,23.055987,72.506014,133.057
360,2255,407,77,39,0.0,23.055987,72.506014,133.085
361,2256,407,76,38,0.0,23.055987,72.506014,133.085
362,2256,406,76,39,0.0,23.055987,72.506014,133.085
363,2257,406,75,39,0.0,23.055987,72.506014,133.085
364,2256,407,76,38,0.0,23.055987,72.506014,133.101
365,2256,406,76,39,0.0,23.055988,72.506014,133.101
366,2256,407,76,38,0.0,23.055988,72.506014,133.101
367,2256,406,76,39,0.0,23.055988,72.506014,133.101
368,2256,407,76,39,0.0,23.055988,72.506014,133.101
369,2256,410,76,39,0.0,23.055988,72.506014,133.101
370,2256,409,76,39,0.0,23.055988,72.506014,133.112
371,2256,408,76,39,0.0,23.055987,72.506014,133.112
372,2255,409,76,39,0.0,23.055987,72.506014,133.112
373,2256,409,75,39,0.0,23.055987,72.506014,133.112
374,2255,412,76,39,0.0,23.055987,72.506014,133.112
375,2256,411,75,39,0.0,23.055987,72.506014,133.112
376,2256,412,75,39,0.0,23.055987,72.506014,133.128
377,2256,412,75,38,0.0,23.055987,72.506014,133.128
378,2256,411,75,38,0.0,23.055987,72.506014,133.128
379,2256,410,76,39,0.0,23.055987,72.506014,133.128
380,2256,410,75,39,0.0,23.055987,72.506014,133.128
381,2256,410,75,39,0.0,23.055987,72.506014,133.128
382,2256,411,75,38,0.0,23.055987,72.506014,133.143
383,2257,412,74,38,0.0,23.055987,72.506014,133.143
384,2257,410,74,38,0.0,23.055987,72.506014,133.143
385,2257,410,74,39,0.0,23.055987,72.506014,133.143
386,2257,412,74,38,0.0,23.055987,72.506014,133.143
387,2257,413,74,38,0.0,23.055987,72.506014,133.143
388,2256,411,75,39,0.0,23.055987,72.506014,133.156
389,2256,413,75,38,0.0,23.055987,72.506014,133.156
390,2256,414,74,38,0.0,23.055987,72.506014,133.156
391,2256,416,74,38,0.0,23.055987,72.506014,133.156
392,2256,416,74,38,0.0,23.055987,72.506014,133.156
393,2257,414,73,37,0.0,23.055987,72.506014,133.156
394,2257,415,73,37,0.0,23.055987,72.506014,133.171
395,2257,415,73,37,0.0,23.055987,72.506014,133.171
396,2257,415,73,37,0.0,23.055987,72.506014,133.171
397,2257,416,73,37,0.0,23.055987,72.506014,133.171
398,2257,417,73,38,0.0,23.055987,72.506014,133.171
399,2257,415,73,38,0.0,23.055987,72.506014,133.171
400,2256,414,74,38,0.0,23.055987,72.506014,133.189
401,2256,416,74,37,0.0,23.055987,72.506014,133.189
402,2256,414,74,37,0.0,23.055987,72.506014,133.189
403,2256,413,75,37,0.0,23.055987,72.506014,133.189
404,2256,415,75,37,0.0,23.055988,72.506014,133.189
405,2256,414,74,37,0.0,23.055988,72.506014,133.189
406,2256,414,75,37,0.0,23.055988,72.506014,133.204
407,2256,415,74,38,0.0,23.055987,72.506014,133.204
408,2256,416,74,37,0.0,23.055987,72.506014,133.204
409,2256,417,74,37,0.0,23.055987,72.506014,133.204
410,2256,416,74,37,0.0,23.055987,72.506014,133.204
411,2256,415,74,38,0.0,23.055987,72.506014,133.204
412,2256,415,74,37,0.0,23.055987,72.506014,133.214
413,2256,414,74,37,0.0,23.055987,72.506014,133.214
425,2254,412,77,37,0.0,23.055988,72.506014,133.229
426,2254,410,77,38,0.0,23.055988,72.506014,133.229
427,2255,407,77,37,0.0,23.055988,72.506014,133.229
428,2256,407,76,37,0.0,23.055988,72.506014,133.229
429,2256,407,76,38,0.0,23.055988,72.506014,133.229
430,2255,410,76,37,0.0,23.055988,72.506014,133.234
434,2255,412,76,38,0.0,23.055988,72.506014,133.234
435,2255,411,76,38,0.0,23.055988,72.506014,133.234
436,2255,410,76,37,0.0,23.055988,72.506014,133.237
437,2255,409,76,38,0.0,23.055988,72.506015,133.237
