frameNo,left,top,w,h,conf,lat,long,alt
515,2258,424,67,39,0.0,23.055988,72.506015,133.209
525,2257,428,66,39,0.0,23.055988,72.506015,133.212
529,2256,434,65,40,0.0,23.055988,72.506015,133.208
530,2256,435,66,40,0.0,23.055988,72.506015,133.208
539,2255,434,67,41,0.0,23.055987,72.506015,133.211
540,2254,434,67,41,0.0,23.055987,72.506015,133.211
589,2258,428,67,42,0.0,23.055987,72.506015,133.245
590,2258,423,68,42,0.0,23.055987,72.506015,133.245
591,2259,420,68,42,0.0,23.055987,72.506015,133.245
592,2259,419,68,41,0.0,23.055987,72.506015,133.247
593,2259,418,69,42,0.0,23.055987,72.506015,133.247
594,2259,418,70,42,0.0,23.055987,72.506015,133.247
595,2260,418,69,42,0.0,23.055987,72.506015,133.247
596,2259,419,69,41,0.0,23.055987,72.506015,133.247
597,2259,419,69,42,0.0,23.055987,72.506015,133.247
598,2259,418,69,42,0.0,23.055987,72.506015,133.247
599,2259,418,69,42,0.0,23.055987,72.506015,133.247
603,2259,418,70,42,0.0,23.055987,72.506015,133.247
604,2260,417,69,42,0.0,23.055987,72.506015,133.248
605,2259,416,71,43,0.0,23.055987,72.506015,133.248
606,2259,417,70,42,0.0,23.055987,72.506015,133.248
607,2259,416,70,42,0.0,23.055987,72.506015,133.248
608,2259,416,70,42,0.0,23.055987,72.506015,133.248
609,2259,418,70,42,0.0,23.055987,72.506015,133.248
610,2259,419,69,42,0.0,23.055987,72.506014,133.244
611,2259,419,69,42,0.0,23.055987,72.506014,133.244
612,2259,418,69,42,0.0,23.055987,72.506014,133.244
613,2259,419,69,42,0.0,23.055987,72.506014,133.244
614,2259,419,69,42,0.0,23.055987,72.506014,133.244
615,2259,418,70,42,0.0,23.055987,72.506014,133.244
616,2260,417,69,42,0.0,23.055987,72.506014,133.247
617,2259,418,70,42,0.0,23.055987,72.506014,133.247
618,2259,419,70,41,0.0,23.055987,72.506014,133.247
619,2259,419,69,42,0.0,23.055987,72.506014,133.247
620,2259,419,70,42,0.0,23.055987,72.506014,133.247
621,2259,420,70,42,0.0,23.055987,72.506014,133.247
622,2259,419,70,42,0.0,23.055987,72.506014,133.249
623,2259,419,70,41,0.0,23.055987,72.506014,133.249
624,2259,418,71,42,0.0,23.055987,72.506014,133.249
625,2259,418,71,42,0.0,23.055987,72.506014,133.249
626,2259,419,71,41,0.0,23.055987,72.506014,133.249
627,2258,420,71,41,0.0,23.055987,72.506014,133.249
628,2259,420,70,41,0.0,23.055987,72.506014,133.245
629,2258,421,71,40,0.0,23.055987,72.506014,133.245
630,2259,420,71,40,0.0,23.055987,72.506014,133.245
631,2258,420,71,40,0.0,23.055987,72.506014,133.245
632,2258,420,72,40,0.0,23.055987,72.506014,133.245
633,2258,419,72,40,0.0,23.055987,72.506014,133.245
634,2258,420,72,39,0.0,23.055987,72.506014,133.248
635,2258,419,72,40,0.0,23.055987,72.506014,133.248
636,2258,420,72,39,0.0,23.055987,72.506014,133.248
637,2258,421,72,39,0.0,23.055987,72.506014,133.248
638,2258,421,71,39,0.0,23.055987,72.506014,133.248
639,2258,421,71,39,0.0,23.055987,72.506014,133.248
640,2257,421,72,38,0.0,23.055987,72.506014,133.246
641,2257,421,72,39,0.0,23.055987,72.506014,133.246
642,2257,422,72,38,0.0,23.055987,72.506014,133.246
643,2257,422,72,38,0.0,23.055987,72.506014,133.246
644,2257,422,73,38,0.0,23.055987,72.506014,133.246
645,2257,422,72,39,0.0,23.055987,72.506014,133.246
646,2256,422,73,38,0.0,23.055987,72.506014,133.247
647,2257,422,73,38,0.0,23.055987,72.506014,133.247
648,2257,421,73,38,0.0,23.055987,72.506014,133.247
649,2257,421,73,39,0.0,23.055987,72.506014,133.247
650,2257,422,73,38,0.0,23.055987,72.506014,133.247
651,2258,421,73,39,0.0,23.055987,72.506014,133.247
652,2257,422,74,39,0.0,23.055987,72.506014,133.243
653,2257,421,74,39,0.0,23.055987,72.506014,133.243
654,2257,422,74,39,0.0,23.055987,72.506014,133.243
655,2257,422,74,39,0.0,23.055987,72.506014,133.243
656,2258,421,73,39,0.0,23.055987,72.506014,133.243
657,2258,420,73,39,0.0,23.055987,72.506014,133.243
658,2258,421,73,39,0.0,23.055987,72.506014,133.244
659,2258,422,72,38,0.0,23.055987,72.506014,133.244
660,2258,422,73,39,0.0,23.055987,72.506014,133.244
661,2257,423,73,38,0.0,23.055987,72.506014,133.244
662,2257,422,72,39,0.0,23.055987,72.506014,133.244
663,2257,422,73,38,0.0,23.055987,72.506014,133.244
664,2257,421,73,39,0.0,23.055987,72.506014,133.241
665,2257,422,73,38,0.0,23.055987,72.506014,133.241
666,2257,422,72,38,0.0,23.055987,72.506014,133.241
667,2257,421,73,38,0.0,23.055987,72.506014,133.241
668,2257,421,73,38,0.0,23.055987,72.506014,133.241
669,2257,421,72,38,0.0,23.055987,72.506014,133.241
670,2257,421,72,38,0.0,23.055987,72.506014,133.241
671,2258,421,71,37,0.0,23.055987,72.506014,133.241
672,2257,421,72,38,0.0,23.055987,72.506014,133.241
673,2257,422,71,38,0.0,23.055987,72.506014,133.241
674,2257,422,72,38,0.0,23.055987,72.506014,133.241
675,2257,423,72,37,0.0,23.055987,72.506014,133.241
676,2257,422,71,38,0.0,23.055987,72.506014,133.243
677,2258,422,71,38,0.0,23.055987,72.506014,133.243
678,2258,423,71,37,0.0,23.055987,72.506014,133.243
679,2257,423,71,37,0.0,23.055987,72.506014,133.243
680,2257,424,70,37,0.0,23.055987,72.506014,133.243
681,2257,424,70,37,0.0,23.055987,72.506014,133.243
685,2257,424,70,38,0.0,23.055987,72.506014,133.239
686,2257,423,70,37,0.0,23.055987,72.506014,133.239
687,2257,424,70,38,0.0,23.055987,72.506014,133.239
688,2257,431,70,38,0.0,23.055987,72.506014,133.244
689,2257,427,70,39,0.0,23.055987,72.506014,133.244
690,2257,426,71,39,0.0,23.055987,72.506014,133.244
691,2256,432,71,39,0.0,23.055987,72.506014,133.244
692,2256,434,70,39,0.0,23.055987,72.506014,133.244
693,2256,434,70,40,0.0,23.055987,72.506014,133.244
694,2256,428,71,40,0.0,23.055987,72.506014,133.239
695,2256,426,71,39,0.0,23.055987,72.506014,133.239
696,2256,425,70,39,0.0,23.055987,72.506014,133.239
697,2256,425,70,39,0.0,23.055987,72.506014,133.239
698,2256,425,70,39,0.0,23.055987,72.506014,133.239
699,2256,425,70,38,0.0,23.055987,72.506014,133.239
700,2256,425,70,38,0.0,23.055987,72.506014,133.239
701,2256,425,70,38,0.0,23.055987,72.506014,133.239
702,2257,430,69,39,0.0,23.055987,72.506014,133.239
703,2256,433,70,38,0.0,23.055987,72.506014,133.239
704,2256,433,70,39,0.0,23.055987,72.506014,133.239
705,2256,433,70,40,0.0,23.055987,72.506014,133.239
706,2256,433,70,40,0.0,23.055987,72.506014,133.24
707,2256,433,70,39,0.0,23.055987,72.506014,133.24
708,2256,433,70,40,0.0,23.055987,72.506014,133.24
709,2256,433,71,40,0.0,23.055987,72.506014,133.24
710,2256,433,71,41,0.0,23.055987,72.506014,133.24
711,2256,433,72,41,0.0,23.055987,72.506014,133.24
712,2256,433,72,41,0.0,23.055987,72.506014,133.236
713,2256,434,73,41,0.0,23.055987,72.506014,133.236
714,2255,434,74,41,0.0,23.055987,72.506014,133.236
715,2255,434,74,41,0.0,23.055987,72.506014,133.236
716,2255,433,75,42,0.0,23.055987,72.506014,133.236
717,2255,433,76,42,0.0,23.055987,72.506014,133.236
718,2256,433,76,42,0.0,23.055987,72.506014,133.228
719,2255,434,77,42,0.0,23.055987,72.506014,133.228
720,2254,428,79,42,0.0,23.055987,72.506014,133.228
721,2254,426,78,41,0.0,23.055987,72.506014,133.228
722,2253,425,79,41,0.0,23.055987,72.506014,133.228
723,2253,425,78,40,0.0,23.055987,72.506014,133.228
724,2253,425,79,41,0.0,23.055987,72.506014,133.222
725,2253,425,79,41,0.0,23.055987,72.506014,133.222
726,2253,425,79,41,0.0,23.055987,72.506014,133.222
727,2252,425,80,41,0.0,23.055987,72.506014,133.222
728,2252,425,79,41,0.0,23.055987,72.506014,133.222
729,2256,419,78,42,0.0,23.055987,72.506014,133.222
730,2254,423,79,41,0.0,23.055987,72.506014,133.218
731,2256,418,78,42,0.0,23.055987,72.506014,133.218
732,2254,422,78,41,0.0,23.055987,72.506014,133.218
733,2253,424,78,41,0.0,23.055987,72.506014,133.218
734,2255,417,77,41,0.0,23.055987,72.506014,133.218
735,2257,413,75,41,0.0,23.055987,72.506014,133.218
735,2252,433,78,41,0.0,23.055987,72.506014,133.218
736,2257,412,75,41,0.0,23.055987,72.506014,133.21
736,2252,433,78,41,0.0,23.055987,72.506014,133.21
737,2257,412,75,41,0.0,23.055987,72.506014,133.21
737,2252,433,77,41,0.0,23.055987,72.506014,133.21
738,2257,411,74,41,0.0,23.055987,72.506014,133.21
738,2251,433,78,42,0.0,23.055987,72.506014,133.21
739,2258,411,73,41,0.0,23.055987,72.506014,133.21
739,2251,433,77,42,0.0,23.055987,72.506014,133.21
740,2257,412,74,41,0.0,23.055987,72.506014,133.21
740,2252,432,77,42,0.0,23.055987,72.506014,133.21
741,2257,412,75,41,0.0,23.055987,72.506014,133.21
741,2251,432,78,42,0.0,23.055987,72.506014,133.21
742,2257,412,74,41,0.0,23.055987,72.506014,133.209
742,2251,432,78,42,0.0,23.055987,72.506014,133.209
743,2257,413,74,42,0.0,23.055987,72.506014,133.209
743,2251,432,78,42,0.0,23.055987,72.506014,133.209
744,2257,413,75,42,0.0,23.055987,72.506014,133.209
744,2251,432,78,42,0.0,23.055987,72.506014,133.209
745,2251,426,79,43,0.0,23.055987,72.506014,133.209
746,2251,424,79,42,0.0,23.055987,72.506014,133.209
747,2251,423,79,42,0.0,23.055987,72.506014,133.209
748,2251,423,78,42,0.0,23.055987,72.506014,133.199
749,2250,423,79,42,0.0,23.055987,72.506014,133.199
750,2249,423,80,43,0.0,23.055987,72.506014,133.199
751,2249,423,80,43,0.0,23.055987,72.506014,133.199
752,2249,423,80,43,0.0,23.055987,72.506014,133.199
753,2249,423,80,43,0.0,23.055987,72.506014,133.199
754,2250,423,79,43,0.0,23.055987,72.506014,133.187
755,2250,424,79,42,0.0,23.055987,72.506014,133.187
756,2250,424,79,42,0.0,23.055987,72.506014,133.187
757,2250,423,79,42,0.0,23.055987,72.506014,133.187
758,2250,423,79,42,0.0,23.055987,72.506014,133.187
759,2250,424,79,42,0.0,23.055987,72.506014,133.187
760,2250,423,79,42,0.0,23.055987,72.506014,133.175
761,2250,424,79,42,0.0,23.055987,72.506014,133.175
762,2250,424,80,42,0.0,23.055987,72.506014,133.175
763,2251,423,79,43,0.0,23.055987,72.506014,133.175
764,2250,423,80,43,0.0,23.055987,72.506014,133.175
765,2250,424,81,43,0.0,23.055987,72.506014,133.175
766,2250,424,81,43,0.0,23.055987,72.506014,133.167
767,2250,423,81,44,0.0,23.055987,72.506014,133.167
768,2250,423,81,44,0.0,23.055987,72.506014,133.167
769,2249,423,83,45,0.0,23.055987,72.506013,133.167
770,2249,423,83,45,0.0,23.055987,72.506013,133.167
771,2248,424,84,44,0.0,23.055987,72.506013,133.167
772,2248,424,84,44,0.0,23.055987,72.506014,133.159
773,2248,424,84,44,0.0,23.055987,72.506014,133.159
774,2252,419,82,44,0.0,23.055987,72.506014,133.159
775,2253,416,82,45,0.0,23.055987,72.506014,133.159
777,2249,432,82,45,0.0,23.055987,72.506014,133.159
778,2250,431,81,45,0.0,23.055987,72.506014,133.15
779,2250,432,82,45,0.0,23.055987,72.506014,133.15
780,2250,432,81,45,0.0,23.055987,72.506014,133.15
781,2249,432,81,45,0.0,23.055987,72.506014,133.15
782,2256,415,78,45,0.0,23.055987,72.506014,133.15
782,2249,432,81,44,0.0,23.055987,72.506014,133.15
783,2249,426,81,45,0.0,23.055987,72.506014,133.15
784,2249,431,81,44,0.0,23.055987,72.506013,133.147
785,2249,432,81,44,0.0,23.055987,72.506013,133.147
786,2250,432,80,43,0.0,23.055987,72.506013,133.147
787,2251,432,79,43,0.0,23.055987,72.506013,133.147
788,2251,432,79,43,0.0,23.055987,72.506013,133.147
789,2251,427,79,43,0.0,23.055987,72.506013,133.147
790,2251,430,78,44,0.0,23.055987,72.506013,133.141
791,2252,426,78,43,0.0,23.055987,72.506013,133.141
792,2252,425,78,43,0.0,23.055987,72.506013,133.141
793,2252,424,78,43,0.0,23.055987,72.506013,133.141
794,2252,423,79,43,0.0,23.055987,72.506013,133.141
795,2252,424,79,43,0.0,23.055987,72.506013,133.141
796,2251,423,80,43,0.0,23.055987,72.506013,133.138
797,2250,424,81,43,0.0,23.055987,72.506013,133.138
798,2250,423,82,44,0.0,23.055987,72.506013,133.138
799,2250,423,82,44,0.0,23.055987,72.506013,133.138
800,2250,423,82,44,0.0,23.055987,72.506013,133.138
