frameNo,left,top,w,h,conf,lat,long,alt
1,2259,517,56,43,0.0,23.055988,72.506015,133.088
2,2259,517,56,42,0.0,23.055988,72.506015,133.088
3,2258,516,57,43,0.0,23.055988,72.506015,133.088
4,2258,516,57,43,0.0,23.055988,72.506015,133.088
5,2258,516,56,43,0.0,23.055988,72.506015,133.079
6,2258,516,55,42,0.0,23.055988,72.506015,133.079
7,2258,515,54,43,0.0,23.055988,72.506015,133.079
8,2257,515,54,43,0.0,23.055988,72.506015,133.079
9,2258,514,54,42,0.0,23.055988,72.506015,133.079
10,2258,514,53,42,0.0,23.055988,72.506015,133.079
11,2257,514,54,42,0.0,23.055988,72.506015,133.075
12,2257,514,54,42,0.0,23.055988,72.506015,133.075
13,2257,514,53,42,0.0,23.055988,72.506015,133.075
14,2257,514,52,42,0.0,23.055988,72.506015,133.075
15,2257,513,53,42,0.0,23.055988,72.506015,133.075
16,2258,513,52,42,0.0,23.055988,72.506015,133.075
17,2257,514,53,42,0.0,23.055988,72.506015,133.067
18,2257,515,53,40,0.0,23.055988,72.506015,133.067
19,2258,515,52,40,0.0,23.055988,72.506015,133.067
20,2258,515,53,41,0.0,23.055988,72.506015,133.067
21,2258,516,53,40,0.0,23.055988,72.506015,133.067
22,2258,516,53,39,0.0,23.055988,72.506015,133.067
23,2258,515,53,40,0.0,23.055988,72.506015,133.06
24,2257,515,53,40,0.0,23.055988,72.506015,133.06
25,2256,515,54,39,0.0,23.055988,72.506015,133.06
26,2256,515,54,39,0.0,23.055988,72.506015,133.06
27,2257,514,54,40,0.0,23.055988,72.506015,133.06
28,2256,514,55,40,0.0,23.055988,72.506015,133.06
29,2256,514,55,40,0.0,23.055988,72.506015,133.058
30,2254,514,57,41,0.0,23.055988,72.506015,133.058
31,2255,514,57,40,0.0,23.055988,72.506015,133.058
32,2255,514,58,41,0.0,23.055988,72.506015,133.058
33,2255,514,58,41,0.0,23.055988,72.506015,133.058
34,2255,514,58,41,0.0,23.055988,72.506015,133.058
35,2255,514,59,41,0.0,23.055988,72.506015,133.051
36,2254,514,60,41,0.0,23.055988,72.506015,133.051
37,2255,514,60,42,0.0,23.055988,72.506015,133.051
38,2255,514,61,42,0.0,23.055988,72.506015,133.051
39,2255,513,61,42,0.0,23.055988,72.506015,133.051
40,2255,513,60,42,0.0,23.055988,72.506015,133.051
49,2256,514,60,40,0.0,23.055988,72.506015,133.035
50,2256,515,60,39,0.0,23.055988,72.506015,133.035
51,2256,515,59,39,0.0,23.055988,72.506015,133.035
52,2255,515,60,38,0.0,23.055988,72.506015,133.035
53,2255,515,60,39,0.0,23.055988,72.506015,133.026
54,2256,515,60,38,0.0,23.055988,72.506015,133.026
55,2256,515,60,38,0.0,23.055988,72.506015,133.026
56,2257,515,59,38,0.0,23.055988,72.506015,133.026
57,2256,515,60,39,0.0,23.055988,72.506015,133.026
58,2257,515,60,38,0.0,23.055988,72.506015,133.026
59,2256,516,60,38,0.0,23.055988,72.506015,133.011
60,2255,515,60,39,0.0,23.055988,72.506015,133.011
61,2255,516,60,38,0.0,23.055988,72.506015,133.011
62,2255,516,60,38,0.0,23.055988,72.506015,133.011
63,2255,516,60,38,0.0,23.055988,72.506015,133.011
64,2255,516,61,38,0.0,23.055988,72.506015,133.011
65,2255,516,61,38,0.0,23.055988,72.506015,132.994
66,2254,517,62,38,0.0,23.055988,72.506015,132.994
67,2254,517,62,38,0.0,23.055988,72.506015,132.994
68,2254,517,62,38,0.0,23.055988,72.506015,132.994
69,2253,517,63,38,0.0,23.055988,72.506015,132.994
70,2252,517,63,39,0.0,23.055988,72.506015,132.994
71,2252,517,63,39,0.0,23.055988,72.506015,132.973
72,2251,517,63,38,0.0,23.055988,72.506015,132.973
73,2251,518,64,38,0.0,23.055988,72.506015,132.973
74,2252,517,64,39,0.0,23.055988,72.506015,132.973
75,2251,517,64,39,0.0,23.055988,72.506015,132.973
76,2251,517,64,39,0.0,23.055988,72.506015,132.973
77,2251,517,64,39,0.0,23.055988,72.506015,132.949
78,2250,517,65,39,0.0,23.055988,72.506015,132.949
79,2249,517,66,39,0.0,23.055988,72.506015,132.949
80,2249,518,66,38,0.0,23.055988,72.506015,132.949
81,2250,518,65,38,0.0,23.055988,72.506015,132.949
82,2249,517,66,39,0.0,23.055988,72.506015,132.949
83,2249,517,66,39,0.0,23.055988,72.506015,132.934
84,2249,517,66,39,0.0,23.055988,72.506015,132.934
85,2250,517,66,39,0.0,23.055988,72.506015,132.934
86,2250,517,66,38,0.0,23.055988,72.506015,132.934
87,2250,517,66,38,0.0,23.055988,72.506015,132.934
88,2249,517,66,38,0.0,23.055988,72.506015,132.934
89,2250,517,65,38,0.0,23.055988,72.506015,132.918
90,2251,517,65,38,0.0,23.055988,72.506015,132.918
91,2250,516,66,39,0.0,23.055988,72.506015,132.918
92,2250,516,67,39,0.0,23.055988,72.506015,132.918
93,2250,516,67,40,0.0,23.055988,72.506015,132.918
94,2250,516,66,40,0.0,23.055988,72.506015,132.918
95,2251,516,66,39,0.0,23.055988,72.506014,132.9
96,2251,516,66,40,0.0,23.055988,72.506014,132.9
97,2251,515,64,40,0.0,23.055988,72.506014,132.9
98,2251,515,64,40,0.0,23.055988,72.506014,132.9
99,2252,515,63,40,0.0,23.055988,72.506014,132.9
100,2252,515,63,40,0.0,23.055988,72.506014,132.9
101,2253,515,63,39,0.0,23.055988,72.506014,132.895
102,2252,515,63,40,0.0,23.055988,72.506014,132.895
103,2253,516,63,39,0.0,23.055988,72.506014,132.895
104,2254,516,62,40,0.0,23.055988,72.506014,132.895
105,2255,516,62,40,0.0,23.055988,72.506014,132.895
106,2255,516,63,40,0.0,23.055988,72.506014,132.895
107,2254,516,64,40,0.0,23.055988,72.506014,132.888
108,2254,516,63,40,0.0,23.055988,72.506014,132.888
109,2254,516,63,39,0.0,23.055988,72.506014,132.888
110,2254,515,64,40,0.0,23.055988,72.506014,132.888
111,2254,515,63,39,0.0,23.055988,72.506014,132.888
112,2254,515,63,39,0.0,23.055988,72.506014,132.888
113,2254,515,63,39,0.0,23.055988,72.506014,132.885
114,2254,515,63,39,0.0,23.055988,72.506014,132.885
115,2254,515,63,39,0.0,23.055988,72.506014,132.885
116,2253,515,62,39,0.0,23.055988,72.506014,132.885
117,2253,515,62,39,0.0,23.055988,72.506014,132.885
118,2253,515,61,39,0.0,23.055988,72.506014,132.885
119,2252,515,61,39,0.0,23.055988,72.506014,132.888
120,2251,514,61,40,0.0,23.055988,72.506014,132.888
121,2250,514,60,39,0.0,23.055988,72.506014,132.888
122,2250,514,59,39,0.0,23.055988,72.506014,132.888
123,2250,514,59,39,0.0,23.055988,72.506014,132.888
124,2250,514,59,39,0.0,23.055988,72.506014,132.888
125,2251,514,58,39,0.0,23.055988,72.506014,132.893
126,2250,514,58,39,0.0,23.055988,72.506014,132.893
127,2250,514,58,39,0.0,23.055988,72.506014,132.893
128,2250,514,58,39,0.0,23.055988,72.506014,132.893
129,2251,515,58,38,0.0,23.055988,72.506014,132.893
130,2251,515,58,39,0.0,23.055988,72.506014,132.893
131,2251,515,58,39,0.0,23.055989,72.506014,132.898
132,2250,515,59,39,0.0,23.055989,72.506014,132.898
133,2250,515,59,38,0.0,23.055989,72.506014,132.898
134,2250,515,59,38,0.0,23.055989,72.506014,132.898
135,2249,515,59,38,0.0,23.055989,72.506014,132.898
136,2248,515,59,38,0.0,23.055989,72.506014,132.898
137,2248,515,59,38,0.0,23.055989,72.506014,132.905
138,2248,516,59,38,0.0,23.055989,72.506014,132.905
139,2248,515,60,39,0.0,23.055989,72.506014,132.905
140,2248,515,60,39,0.0,23.055989,72.506014,132.905
141,2248,516,60,38,0.0,23.055989,72.506014,132.905
142,2248,516,61,38,0.0,23.055989,72.506014,132.905
143,2248,516,61,38,0.0,23.055989,72.506014,132.906
144,2248,516,61,38,0.0,23.055989,72.506014,132.906
145,2249,517,61,38,0.0,23.055989,72.506014,132.906
146,2249,516,61,39,0.0,23.055988,72.506014,132.906
147,2249,516,61,38,0.0,23.055988,72.506014,132.906
148,2250,516,62,39,0.0,23.055988,72.506014,132.906
149,2250,516,62,39,0.0,23.055988,72.506014,132.907
150,2250,516,62,39,0.0,23.055988,72.506014,132.907
151,2250,516,63,39,0.0,23.055988,72.506014,132.907
152,2251,516,63,39,0.0,23.055988,72.506015,132.907
153,2251,515,62,40,0.0,23.055988,72.506015,132.907
154,2251,515,63,40,0.0,23.055988,72.506015,132.907
155,2252,516,62,40,0.0,23.055988,72.506014,132.909
156,2252,516,62,40,0.0,23.055988,72.506014,132.909
157,2253,516,60,41,0.0,23.055988,72.506014,132.909
158,2254,516,60,41,0.0,23.055988,72.506014,132.909
159,2254,516,59,41,0.0,23.055988,72.506014,132.909
160,2255,515,58,41,0.0,23.055988,72.506014,132.909
161,2255,514,58,42,0.0,23.055988,72.506015,132.911
162,2255,514,59,42,0.0,23.055988,72.506015,132.911
163,2255,514,59,42,0.0,23.055988,72.506015,132.911
164,2255,514,59,42,0.0,23.055988,72.506015,132.911
165,2256,514,58,42,0.0,23.055988,72.506015,132.911
166,2255,514,59,42,0.0,23.055988,72.506015,132.913
