frameNo,left,top,w,h,conf,lat,long,alt
558,1694,2,100,88,0.0,23.055987,72.506015,133.219
559,1692,3,104,95,0.0,23.055987,72.506015,133.219
560,1693,3,106,102,0.0,23.055987,72.506015,133.219
561,1694,3,108,109,0.0,23.055987,72.506015,133.219
562,1694,4,111,117,0.0,23.055987,72.506015,133.223
563,1695,4,114,124,0.0,23.055987,72.506015,133.223
564,1697,4,114,130,0.0,23.055987,72.506015,133.223
565,1697,4,117,138,0.0,23.055987,72.506015,133.223
566,1697,4,119,145,0.0,23.055987,72.506015,133.223
567,1699,4,119,151,0.0,23.055987,72.506015,133.223
568,1699,4,121,159,0.0,23.055987,72.506015,133.23
569,1700,5,122,167,0.0,23.055987,72.506015,133.23
570,1702,7,123,173,0.0,23.055987,72.506015,133.23
571,1705,12,123,178,0.0,23.055987,72.506015,133.23
572,1706,17,124,181,0.0,23.055987,72.506015,133.23
573,1708,22,124,184,0.0,23.055987,72.506015,133.23
574,1712,28,122,185,0.0,23.055987,72.506015,133.234
575,1716,35,122,186,0.0,23.055987,72.506015,133.234
576,1720,41,120,186,0.0,23.055987,72.506015,133.234
577,1724,49,120,186,0.0,23.055987,72.506015,133.234
578,1727,57,120,186,0.0,23.055987,72.506015,133.234
579,1731,65,117,186,0.0,23.055987,72.506015,133.234
580,1733,72,116,187,0.0,23.055987,72.506015,133.242
581,1736,79,114,188,0.0,23.055987,72.506015,133.242
582,1739,86,114,189,0.0,23.055987,72.506015,133.242
583,1742,93,113,189,0.0,23.055987,72.506015,133.242
584,1746,101,113,188,0.0,23.055987,72.506015,133.242
585,1748,109,113,188,0.0,23.055987,72.506015,133.242
586,1750,117,113,187,0.0,23.055987,72.506015,133.245
587,1752,123,114,187,0.0,23.055987,72.506015,133.245
588,1753,129,115,186,0.0,23.055987,72.506015,133.245
589,1757,135,114,186,0.0,23.055987,72.506015,133.245
590,1760,142,112,186,0.0,23.055987,72.506015,133.245
591,1762,149,113,186,0.0,23.055987,72.506015,133.245
592,1765,155,114,187,0.0,23.055987,72.506015,133.247
593,1766,161,115,187,0.0,23.055987,72.506015,133.247
594,1769,168,114,186,0.0,23.055987,72.506015,133.247
595,1771,177,115,186,0.0,23.055987,72.506015,133.247
596,1773,183,116,185,0.0,23.055987,72.506015,133.247
597,1776,190,115,185,0.0,23.055987,72.506015,133.247
598,1777,196,116,185,0.0,23.055987,72.506015,133.247
599,1779,204,116,184,0.0,23.055987,72.506015,133.247
600,1781,211,117,183,0.0,23.055987,72.506015,133.247
601,1783,216,117,183,0.0,23.055987,72.506015,133.247
602,1785,223,115,181,0.0,23.055987,72.506015,133.247
603,1787,229,115,178,0.0,23.055987,72.506015,133.247
604,1789,234,115,178,0.0,23.055987,72.506015,133.248
605,1792,243,115,175,0.0,23.055987,72.506015,133.248
606,1794,250,116,174,0.0,23.055987,72.506015,133.248
607,1797,255,116,174,0.0,23.055987,72.506015,133.248
608,1801,261,114,175,0.0,23.055987,72.506015,133.248
609,1804,267,112,174,0.0,23.055987,72.506015,133.248
610,1808,273,109,175,0.0,23.055987,72.506014,133.244
611,1810,279,109,175,0.0,23.055987,72.506014,133.244
612,1810,282,109,178,0.0,23.055987,72.506014,133.244
613,1812,287,109,179,0.0,23.055987,72.506014,133.244
614,1815,297,107,177,0.0,23.055987,72.506014,133.244
618,1823,325,105,171,0.0,23.055987,72.506014,133.247
619,1824,332,107,169,0.0,23.055987,72.506014,133.247
620,1826,337,108,168,0.0,23.055987,72.506014,133.247
621,1829,341,107,167,0.0,23.055987,72.506014,133.247
628,1837,375,111,175,0.0,23.055987,72.506014,133.245
629,1838,379,111,175,0.0,23.055987,72.506014,133.245
630,1840,383,111,175,0.0,23.055987,72.506014,133.245
631,1841,388,113,174,0.0,23.055987,72.506014,133.245
632,1843,395,114,173,0.0,23.055987,72.506014,133.245
633,1846,401,114,173,0.0,23.055987,72.506014,133.245
634,1848,405,115,174,0.0,23.055987,72.506014,133.248
635,1849,409,116,175,0.0,23.055987,72.506014,133.248
636,1851,413,115,175,0.0,23.055987,72.506014,133.248
637,1852,418,116,175,0.0,23.055987,72.506014,133.248
638,1854,422,116,176,0.0,23.055987,72.506014,133.248
639,1855,427,116,175,0.0,23.055987,72.506014,133.248
640,1857,431,116,176,0.0,23.055987,72.506014,133.246
641,1859,436,116,176,0.0,23.055987,72.506014,133.246
642,1860,440,115,177,0.0,23.055987,72.506014,133.246
643,1861,444,116,177,0.0,23.055987,72.506014,133.246
644,1862,448,116,176,0.0,23.055987,72.506014,133.246
645,1865,453,116,176,0.0,23.055987,72.506014,133.246
646,1866,458,117,177,0.0,23.055987,72.506014,133.247
647,1867,462,117,177,0.0,23.055987,72.506014,133.247
648,1869,466,117,177,0.0,23.055987,72.506014,133.247
649,1870,470,117,176,0.0,23.055987,72.506014,133.247
650,1871,474,117,177,0.0,23.055987,72.506014,133.247
651,1874,478,117,177,0.0,23.055987,72.506014,133.247
652,1876,483,117,177,0.0,23.055987,72.506014,133.243
653,1877,489,117,175,0.0,23.055987,72.506014,133.243
654,1877,494,118,175,0.0,23.055987,72.506014,133.243
655,1879,499,118,174,0.0,23.055987,72.506014,133.243
656,1881,503,117,174,0.0,23.055987,72.506014,133.243
657,1882,509,117,172,0.0,23.055987,72.506014,133.243
658,1883,514,117,172,0.0,23.055987,72.506014,133.244
